                                  50x102  59x19         14x94         47x13     73x43     61x97
Malignant                   2.838002e-01    1.0  6.820950e-02  3.909866e-01  0.963459  0.912302
CAF                         3.182063e-01    0.0  3.412932e-01  1.085289e-01  0.034180  0.000000
Endothelial                 5.388012e-02    0.0  1.440208e-01  3.047848e-02  0.002361  0.000000
Plasma                      2.303391e-02    0.0  1.429096e-02  1.101208e-02  0.000000  0.000000
B cell                      0.000000e+00    0.0  9.437949e-02  1.480662e-01  0.000000  0.008078
T CD4                       1.401274e-01    0.0  1.634334e-02  1.253064e-01  0.000000  0.000000
T CD8                       2.366751e-03    0.0  0.000000e+00  0.000000e+00  0.000000  0.000000
NK                          0.000000e+00    0.0  0.000000e+00  0.000000e+00  0.000000  0.000000
cDC                         0.000000e+00    0.0  7.850817e-02  7.630341e-02  0.000000  0.000000
pDC                         0.000000e+00    0.0  2.113457e-02  1.622482e-02  0.000000  0.006472
Macrophage                  1.749316e-01    0.0  5.304366e-02  9.309314e-02  0.000000  0.000000
Mast                        0.000000e+00    0.0  0.000000e+00  0.000000e+00  0.000000  0.000000
Neutrophil                  0.000000e+00    0.0  0.000000e+00  0.000000e+00  0.000000  0.000000
Unidentifiable              3.653745e-03    0.0  1.687764e-01  0.000000e+00  0.000000  0.073147
B cell naive                0.000000e+00    0.0  3.667393e-17  3.361921e-02  0.000000  0.002017
B cell non-switched memory  0.000000e+00    0.0  2.048602e-16  1.387731e-15  0.000000  0.002017
B cell switched memory      0.000000e+00    0.0  9.437949e-02  1.144270e-01  0.000000  0.002017
B cell exhausted            0.000000e+00    0.0  6.434333e-17  2.319439e-15  0.000000  0.002017
T CD4 naive                 8.065766e-17    0.0  2.115807e-16  1.253064e-01  0.000000  0.000000
Th1                         8.906623e-17    0.0  3.074964e-16  3.446488e-17  0.000000  0.000000
Th2                         8.030182e-17    0.0  4.258516e-16  1.565678e-16  0.000000  0.000000
Th17                        1.243882e-16    0.0  3.992640e-16  1.036727e-16  0.000000  0.000000
Tfh                         2.343204e-16    0.0  1.657232e-15  1.546191e-16  0.000000  0.000000
Treg                        1.401074e-01    0.0  1.632334e-02  1.859209e-16  0.000000  0.000000
T CD8 naive                 4.713503e-04    0.0  0.000000e+00  0.000000e+00  0.000000  0.000000
T CD8 central memory        4.713503e-04    0.0  0.000000e+00  0.000000e+00  0.000000  0.000000
T CD8 effector memory       4.713503e-04    0.0  0.000000e+00  0.000000e+00  0.000000  0.000000
T CD8 effector              4.713503e-04    0.0  0.000000e+00  0.000000e+00  0.000000  0.000000
T CD8 exhausted             4.713503e-04    0.0  0.000000e+00  0.000000e+00  0.000000  0.000000
cDC1 CLEC9A                 0.000000e+00    0.0  3.585142e-02  2.479725e-02  0.000000  0.000000
cDC2 CD1C                   0.000000e+00    0.0  1.781808e-02  6.127346e-16  0.000000  0.000000
cDC3 LAMP3                  0.000000e+00    0.0  2.483868e-02  5.148616e-02  0.000000  0.000000
Macrophage M1               1.092098e-01    0.0  0.000000e+00  5.593060e-02  0.000000  0.000000
Macrophage M2               6.572181e-02    0.0  0.000000e+00  3.716254e-02  0.000000  0.000000
Macrophage other            0.000000e+00    0.0  5.304366e-02  0.000000e+00  0.000000  0.000000
