                                                  s1            s2            s3            s4            s5            s6
Acinar cells                            1.905588e-02  7.332050e-03  3.305507e-02  6.256921e-02  2.403791e-02  3.028946e-02
Cancer                                  0.000000e+00  0.000000e+00  1.666385e-01  2.784933e-02  6.880166e-01  1.998036e-01
Ductal                                  2.151441e-01  7.851639e-01  6.136272e-01  8.162937e-01  1.339939e-01  6.146943e-01
Endocrine cells                         0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
Endothelial cells                       1.909212e-01  0.000000e+00  1.839858e-02  0.000000e+00  0.000000e+00  1.164677e-02
Fibroblasts                             4.056367e-01  2.983915e-02  8.935631e-02  0.000000e+00  1.550423e-02  5.133408e-02
Macrophage                              0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
Mast cells                              3.401994e-03  0.000000e+00  2.085036e-02  0.000000e+00  1.638977e-02  2.267267e-02
Monocytes                               4.737814e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
RBCs                                    0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
T cells & NK cells                      2.947989e-02  0.000000e+00  1.728710e-02  9.089418e-03  1.354104e-02  0.000000e+00
Tuft cells                              4.185274e-03  4.751672e-02  1.985462e-03  0.000000e+00  4.517006e-02  0.000000e+00
mDC                                     1.274371e-01  1.301481e-01  3.880143e-02  8.419840e-02  0.000000e+00  0.000000e+00
pDCs                                    0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.334655e-02  6.955913e-02
Cancer clone A                          0.000000e+00  0.000000e+00  8.509668e-02  2.782933e-02  5.224458e-01  1.672935e-01
Cancer clone B                          0.000000e+00  0.000000e+00  8.152178e-02  4.522449e-16  1.655508e-01  3.249001e-02
Ductal - APOL1 high/hypoxic             1.697666e-16  1.313480e-15  1.323175e-16  1.125789e-01  1.058308e-16  1.649809e-01
Ductal - CRISP3 high/centroacinar like  2.151241e-01  6.723506e-01  5.246752e-01  2.768452e-01  1.339939e-01  4.496935e-01
Ductal - MHC Class II                   1.191406e-15  1.654859e-15  4.252550e-16  1.924146e-16  2.691630e-16  2.891778e-16
Ductal - terminal ductal like           5.129131e-15  1.127933e-01  8.893208e-02  4.268496e-01  2.113878e-16  3.391317e-15
Macrophages A                           0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
Macrophages B                           0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
mDCs A                                  2.143378e-16  9.132248e-02  3.878143e-02  1.759542e-16  0.000000e+00  0.000000e+00
mDCs B                                  1.274371e-01  3.882566e-02  3.278531e-17  8.419840e-02  0.000000e+00  0.000000e+00
