                             b1   b2   b3   b4   b5   b6
Malignant                   1.0  1.0  1.0  1.0  1.0  1.0
CAF                         0.0  0.0  0.0  0.0  0.0  0.0
Endothelial                 0.0  0.0  0.0  0.0  0.0  0.0
Plasma                      0.0  0.0  0.0  0.0  0.0  0.0
B cell                      0.0  0.0  0.0  0.0  0.0  0.0
T CD4                       0.0  0.0  0.0  0.0  0.0  0.0
T CD8                       0.0  0.0  0.0  0.0  0.0  0.0
NK                          0.0  0.0  0.0  0.0  0.0  0.0
cDC                         0.0  0.0  0.0  0.0  0.0  0.0
pDC                         0.0  0.0  0.0  0.0  0.0  0.0
Macrophage                  0.0  0.0  0.0  0.0  0.0  0.0
Mast                        0.0  0.0  0.0  0.0  0.0  0.0
Neutrophil                  0.0  0.0  0.0  0.0  0.0  0.0
Unidentifiable              0.0  0.0  0.0  0.0  0.0  0.0
B cell naive                0.0  0.0  0.0  0.0  0.0  0.0
B cell non-switched memory  0.0  0.0  0.0  0.0  0.0  0.0
B cell switched memory      0.0  0.0  0.0  0.0  0.0  0.0
B cell exhausted            0.0  0.0  0.0  0.0  0.0  0.0
T CD4 naive                 0.0  0.0  0.0  0.0  0.0  0.0
Th1                         0.0  0.0  0.0  0.0  0.0  0.0
Th2                         0.0  0.0  0.0  0.0  0.0  0.0
Th17                        0.0  0.0  0.0  0.0  0.0  0.0
Tfh                         0.0  0.0  0.0  0.0  0.0  0.0
Treg                        0.0  0.0  0.0  0.0  0.0  0.0
T CD8 naive                 0.0  0.0  0.0  0.0  0.0  0.0
T CD8 central memory        0.0  0.0  0.0  0.0  0.0  0.0
T CD8 effector memory       0.0  0.0  0.0  0.0  0.0  0.0
T CD8 effector              0.0  0.0  0.0  0.0  0.0  0.0
T CD8 exhausted             0.0  0.0  0.0  0.0  0.0  0.0
cDC1 CLEC9A                 0.0  0.0  0.0  0.0  0.0  0.0
cDC2 CD1C                   0.0  0.0  0.0  0.0  0.0  0.0
cDC3 LAMP3                  0.0  0.0  0.0  0.0  0.0  0.0
Macrophage M1               0.0  0.0  0.0  0.0  0.0  0.0
Macrophage M2               0.0  0.0  0.0  0.0  0.0  0.0
Macrophage other            0.0  0.0  0.0  0.0  0.0  0.0
