                    p.Moran_I  p.Moran_Z  p.Moran_P  p.Moran_Padj
C3_LRP1              0.320778  66.412050   0.000999      0.004740
B2M_HLA-F            0.249691  52.684238   0.000999      0.004740
CDH1_ERBB3           0.230159  46.910821   0.000999      0.004740
CDH1_PTPRF           0.225250  45.265147   0.000999      0.004740
SERPING1_LRP1        0.223468  45.360343   0.000999      0.004740
APOE_LRP1            0.220116  45.715809   0.000999      0.004740
CTGF_LRP1            0.209087  40.901618   0.000999      0.004740
C3_ITGB2             0.187123  38.574937   0.000999      0.004740
A2M_LRP1             0.177313  35.150429   0.000999      0.004740
C1QB_LRP1            0.174783  37.129058   0.000999      0.004740
B2M_CD3D             0.164700  34.182095   0.000999      0.004740
HLA-A_CD3D           0.162524  33.778342   0.000999      0.004740
B2M_CD247            0.154530  31.963325   0.000999      0.004740
HLA-B_CD3D           0.141134  28.846432   0.000999      0.004740
CCL19_CCR7           0.139981  29.404730   0.000999      0.004740
ALB_LRP2             0.135532  27.922993   0.000999      0.004740
PSAP_LRP1            0.135021  28.657993   0.000999      0.004740
LYZ_ITGAL            0.130663  26.196874   0.000999      0.004740
SERPINE2_LRP1        0.128501  26.508080   0.000999      0.004740
CYR61_CAV1           0.124894  25.019578   0.000999      0.004740
SELPLG_ITGB2         0.122780  25.487175   0.000999      0.004740
MMP9_ITGB2           0.119912  24.419189   0.000999      0.004740
CCL19_CXCR3          0.118887  25.359515   0.000999      0.004740
COL1A1_ITGA5         0.118868  24.625128   0.000999      0.004740
C3_ITGAX             0.115612  24.688347   0.000999      0.004740
HLA-C_CD3D           0.115508  23.477756   0.000999      0.004740
COL1A2_CD93          0.115364  23.483137   0.000999      0.004740
COL1A1_ITGA11        0.113918  24.313847   0.000999      0.004740
HLA-C_DDR1           0.111109  23.809322   0.000999      0.004740
VWF_SELP             0.110958  22.736389   0.000999      0.004740
COL1A2_ITGA11        0.110608  23.293982   0.000999      0.004740
C3_CD19              0.110441  23.492822   0.000999      0.004740
HLA-A_LILRB2         0.106924  22.333016   0.000999      0.004740
B2M_CD3G             0.105004  22.978213   0.000999      0.004740
CXCL12_CD4           0.104674  22.206879   0.000999      0.004740
FN1_ITGB1            0.104643  21.329748   0.000999      0.004740
COL1A1_CD93          0.104546  22.500350   0.000999      0.004740
IL16_CD4             0.103464  22.119063   0.000999      0.004740
C1QA_CD93            0.102972  20.750334   0.000999      0.004740
SERPINE1_LRP1        0.102575  21.531458   0.000999      0.004740
LAMB2_RPSA           0.101566  21.166907   0.000999      0.004740
MFGE8_PDGFRB         0.101431  20.115992   0.000999      0.004740
CCL5_CXCR3           0.098654  21.301464   0.000999      0.004740
TFPI_LRP1            0.097941  20.592902   0.000999      0.004740
COL18A1_ITGA5        0.097471  19.898099   0.000999      0.004740
TGFB1_ENG            0.095560  20.505085   0.000999      0.004740
COL1A1_ITGAV         0.095388  20.258837   0.000999      0.004740
B2M_LILRB2           0.094807  20.190795   0.000999      0.004740
COL1A2_ITGAV         0.094357  20.440807   0.000999      0.004740
HLA-A_CD3G           0.093224  19.498898   0.000999      0.004740
CDH1_ITGAE           0.093187  19.456973   0.000999      0.004740
C3_C3AR1             0.092686  20.253912   0.000999      0.004740
MDK_SDC1             0.092593  19.649773   0.000999      0.004740
CTGF_ITGA5           0.092143  18.799935   0.000999      0.004740
CXCL13_CXCR5         0.091241  19.481885   0.000999      0.004740
EFEMP2_AQP1          0.091149  19.768297   0.000999      0.004740
NPNT_ITGB1           0.088621  18.572333   0.000999      0.004740
TGFB1_TGFBR2         0.085752  17.801563   0.000999      0.004740
C3_ITGAM             0.085626  18.479485   0.000999      0.004740
B2M_KLRD1            0.084374  17.995702   0.000999      0.004740
CXCL12_CXCR4         0.083123  16.631540   0.000999      0.004740
CTGF_ITGB2           0.083036  17.610721   0.000999      0.004740
FN1_PLAUR            0.082689  17.683678   0.000999      0.004740
COL1A1_DDR2          0.081143  17.005955   0.000999      0.004740
COL1A2_ITGA1         0.080956  17.413599   0.000999      0.004740
COL6A2_ITGA1         0.080631  17.414505   0.000999      0.004740
SPINT1_ST14          0.080568  17.240422   0.000999      0.004740
CXCL12_CXCR3         0.080414  17.705724   0.000999      0.004740
HSP90B1_ERBB2        0.080391  17.514526   0.000999      0.004740
CGN_OCLN             0.080321  17.246657   0.000999      0.004740
CXCL9_CXCR3          0.080218  17.510108   0.000999      0.004740
HLA-B_LILRB2         0.079991  17.296684   0.000999      0.004740
MMP9_CD44            0.079961  16.621180   0.000999      0.004740
HLA-B_CD3G           0.079889  17.310138   0.000999      0.004740
IL18_CD48            0.079215  16.291383   0.000999      0.004740
HLA-B_KLRD1          0.079045  17.473135   0.000999      0.004740
CYR61_ITGA5          0.078356  16.166199   0.000999      0.004740
COL1A1_ITGA1         0.078271  17.035637   0.000999      0.004740
SELPLG_SELL          0.077586  16.120360   0.000999      0.004740
LAMA5_SDC1           0.077018  15.825263   0.000999      0.004740
BGN_LY96             0.076617  16.106915   0.000999      0.004740
