              p.Moran_I  p.Moran_Z  p.Moran_P  p.Moran_Padj
JAG1_NOTCH4    0.022657   4.696235   0.000999       0.00474
NID1_ITGB1     0.023254   4.930540   0.000999       0.00474
CALM3_ABCA1    0.023208   4.885695   0.000999       0.00474
FN1_ITGB7      0.023191   5.219231   0.000999       0.00474
CD40LG_CD40    0.023101   4.992102   0.000999       0.00474
F13A1_ITGA4    0.022947   4.721718   0.000999       0.00474
DLL4_NOTCH1    0.022895   4.780592   0.000999       0.00474
CCL4_CCR5      0.022695   4.782320   0.000999       0.00474
ADAM9_ITGA3    0.022673   4.921027   0.000999       0.00474
BGN_TLR1       0.023261   4.919075   0.000999       0.00474
CCL23_CCR1     0.022622   5.069123   0.000999       0.00474
APP_TNFRSF21   0.022622   4.711570   0.000999       0.00474
IL16_KCNA3     0.022563   4.890353   0.000999       0.00474
COL4A1_ITGA2   0.022414   4.709911   0.000999       0.00474
IL7_IL2RG      0.022290   4.740749   0.000999       0.00474
WNT5A_RYK      0.022279   4.601968   0.000999       0.00474
PTDSS1_JMJD6   0.022139   4.478132   0.000999       0.00474
THBS2_NOTCH4   0.022042   4.689099   0.000999       0.00474
WNT5A_ROR2     0.023285   4.890122   0.000999       0.00474
LAMA4_ITGB1    0.023290   4.813680   0.000999       0.00474
