         p.Moran_I  p.Moran_Z  p.Moran_P  p.Moran_Padj
CXCL14    0.594017  88.134861   0.000999      0.004052
TFF3      0.602342  90.432865   0.000999      0.004052
MT-CO1    0.608418  95.315000   0.000999      0.004052
HLA-A     0.614107  96.898704   0.000999      0.004052
IGKC      0.614594  90.166314   0.000999      0.004052
MT-ND1    0.616783  92.943180   0.000999      0.004052
SLITRK6   0.618261  90.863733   0.000999      0.004052
MT-CO3    0.618989  89.485308   0.000999      0.004052
ALB       0.624717  94.448182   0.000999      0.004052
HLA-B     0.633819  98.936196   0.000999      0.004052
RPLP1     0.522037  78.111331   0.000999      0.004052
B2M       0.524117  83.018339   0.000999      0.004052
FTL       0.524203  79.174678   0.000999      0.004052
MT-ND4    0.528520  79.875021   0.000999      0.004052
C3        0.530931  83.423803   0.000999      0.004052
IGHG4     0.532318  78.305040   0.000999      0.004052
SCGB2A2   0.486685  72.467295   0.000999      0.004052
S100A6    0.491435  72.449085   0.000999      0.004052
TIMP1     0.493983  73.235417   0.000999      0.004052
CCND1     0.501811  76.760585   0.000999      0.004052
