                     p.Moran_I   p.Moran_Z  p.Moran_P  p.Moran_Padj
MGP               8.281477e-01  124.148182   0.000999      0.004052
COX6C             8.112588e-01  124.992005   0.000999      0.004052
MALAT1            7.354408e-01  107.658302   0.000999      0.004052
CRISP3            7.175420e-01  107.831042   0.000999      0.004052
KRT8              6.826637e-01   99.780816   0.000999      0.004052
CPB1              6.802803e-01   99.753959   0.000999      0.004052
CD74              6.723974e-01  104.064059   0.000999      0.004052
IGFBP5            6.642680e-01  101.477667   0.000999      0.004052
IGHG3             6.561412e-01   96.722676   0.000999      0.004052
IGLC2             6.477485e-01   95.689450   0.000999      0.004052
HLA-B             6.338194e-01   98.936196   0.000999      0.004052
ALB               6.247173e-01   94.448182   0.000999      0.004052
MT-CO3            6.189893e-01   89.485308   0.000999      0.004052
SLITRK6           6.182607e-01   90.863733   0.000999      0.004052
MT-ND1            6.167826e-01   92.943180   0.000999      0.004052
IGKC              6.145944e-01   90.166314   0.000999      0.004052
HLA-A             6.141067e-01   96.898704   0.000999      0.004052
MT-CO1            6.084178e-01   95.315000   0.000999      0.004052
TFF3              6.023419e-01   90.432865   0.000999      0.004052
CXCL14            5.940167e-01   88.134861   0.000999      0.004052
KRT19             5.881436e-01   84.178720   0.000999      0.004052
MT-CO2            5.880199e-01   87.542771   0.000999      0.004052
MUC1              5.854246e-01   86.806881   0.000999      0.004052
S100G             5.821816e-01   85.886687   0.000999      0.004052
IFI27             5.736796e-01   85.997777   0.000999      0.004052
APOE              5.708521e-01   83.764757   0.000999      0.004052
IGHG1             5.689523e-01   85.636885   0.000999      0.004052
KRT18             5.667738e-01   84.438432   0.000999      0.004052
MT-ATP6           5.599284e-01   81.457109   0.000999      0.004052
CSTA              5.542641e-01   82.662782   0.000999      0.004052
CALML5            5.540274e-01   84.177103   0.000999      0.004052
S100A11           5.353562e-01   80.637343   0.000999      0.004052
MT-ND2            5.342765e-01   81.554396   0.000999      0.004052
IGHG4             5.323181e-01   78.305040   0.000999      0.004052
C3                5.309306e-01   83.423803   0.000999      0.004052
MT-ND4            5.285199e-01   79.875021   0.000999      0.004052
FTL               5.242030e-01   79.174678   0.000999      0.004052
B2M               5.241174e-01   83.018339   0.000999      0.004052
RPLP1             5.220366e-01   78.111331   0.000999      0.004052
HLA-DRA           5.154092e-01   81.909180   0.000999      0.004052
RPL41             5.121628e-01   78.354618   0.000999      0.004052
H2AFJ             5.091185e-01   76.027980   0.000999      0.004052
MT-ND3            5.073918e-01   76.558588   0.000999      0.004052
TMSB10            5.063403e-01   77.665684   0.000999      0.004052
CCND1             5.018112e-01   76.760585   0.000999      0.004052
TIMP1             4.939828e-01   73.235417   0.000999      0.004052
S100A6            4.914348e-01   72.449085   0.000999      0.004052
SCGB2A2           4.866848e-01   72.467295   0.000999      0.004052
ARPP21            4.796397e-01   77.203153   0.000999      0.004052
FAM234B           4.759935e-01   74.989803   0.000999      0.004052
MT-CYB            4.708455e-01   69.027405   0.000999      0.004052
ADIRF             4.705100e-01   72.433247   0.000999      0.004052
ISG15             4.676599e-01   70.773181   0.000999      0.004052
LINC00645         4.663630e-01   70.978115   0.000999      0.004052
AGR2              4.656578e-01   69.028006   0.000999      0.004052
HEBP1             4.641737e-01   69.539805   0.000999      0.004052
NUPR1             4.636537e-01   70.846207   0.000999      0.004052
SLC39A6           4.624146e-01   69.653509   0.000999      0.004052
IFI6              4.615147e-01   68.312739   0.000999      0.004052
IGLC3             4.613156e-01   70.015080   0.000999      0.004052
KRT14             4.608457e-01   69.582015   0.000999      0.004052
TFF1              4.600407e-01   67.356118   0.000999      0.004052
LINC00052         4.576466e-01   69.673359   0.000999      0.004052
AC087379.2        4.564521e-01   69.049370   0.000999      0.004052
SCGB1D2           4.554380e-01   68.087814   0.000999      0.004052
APOC1             4.529275e-01   69.710234   0.000999      0.004052
C6orf141          4.518343e-01   67.896658   0.000999      0.004052
TCEAL4            4.508666e-01   65.140006   0.000999      0.004052
BAMBI             4.496336e-01   66.660359   0.000999      0.004052
RPL36             4.487405e-01   67.354235   0.000999      0.004052
IGHM              4.415398e-01   66.107368   0.000999      0.004052
RPL13             4.412817e-01   65.218079   0.000999      0.004052
RPS27             4.398088e-01   64.506760   0.000999      0.004052
LYZ               4.380280e-01   64.406107   0.000999      0.004052
ZNF350-AS1        4.346649e-01   66.350342   0.000999      0.004052
CTSD              4.329289e-01   63.370690   0.000999      0.004052
AEBP1             4.328563e-01   65.725909   0.000999      0.004052
RAB11FIP1         4.309083e-01   64.992031   0.000999      0.004052
RPL8              4.289431e-01   64.954025   0.000999      0.004052
ZNF703            4.271135e-01   65.704181   0.000999      0.004052
GFRA1             4.261342e-01   62.742181   0.000999      0.004052
UGCG              4.235967e-01   64.441548   0.000999      0.004052
C1QA              4.224180e-01   63.871175   0.000999      0.004052
TTLL12            4.181373e-01   64.029625   0.000999      0.004052
KRT17             4.156742e-01   61.912074   0.000999      0.004052
Z82214.2          4.148238e-01   62.989897   0.000999      0.004052
KRT5              4.147851e-01   62.246302   0.000999      0.004052
PGM5-AS1          4.133088e-01   62.873576   0.000999      0.004052
DEGS1             4.123853e-01   63.407216   0.000999      0.004052
IGHA1             4.120988e-01   61.676555   0.000999      0.004052
FCGR3B            4.108540e-01   60.184059   0.000999      0.004052
HLA-C             4.105060e-01   62.873866   0.000999      0.004052
CCL19             4.070481e-01   60.156314   0.000999      0.004052
COL1A1            4.067577e-01   62.350116   0.000999      0.004052
SHISA2            4.065581e-01   59.376434   0.000999      0.004052
SNCG              4.062332e-01   59.045069   0.000999      0.004052
SCD               4.054448e-01   61.235143   0.000999      0.004052
IFITM3            4.034621e-01   61.622927   0.000999      0.004052
ARMT1             4.031938e-01   61.597266   0.000999      0.004052
FTH1              4.019971e-01   63.042144   0.000999      0.004052
H3F3A             3.995787e-01   60.767839   0.000999      0.004052
FCGRT             3.991732e-01   60.524214   0.000999      0.004052
DDR1              3.982024e-01   58.729017   0.000999      0.004052
HLA-E             3.978623e-01   59.663642   0.000999      0.004052
TNFSF10           3.946592e-01   58.343485   0.000999      0.004052
SPAG6             3.942258e-01   61.913279   0.000999      0.004052
COL1A2            3.939038e-01   59.417936   0.000999      0.004052
AQP3              3.928969e-01   58.484389   0.000999      0.004052
VTCN1             3.909790e-01   60.210072   0.000999      0.004052
GATA3             3.879440e-01   58.968771   0.000999      0.004052
AC093001.1        3.877875e-01   58.109495   0.000999      0.004052
HLA-DRB1          3.876246e-01   59.584486   0.000999      0.004052
MORF4L2           3.874279e-01   60.878724   0.000999      0.004052
SERHL2            3.872775e-01   58.137382   0.000999      0.004052
COL6A2            3.864915e-01   57.161265   0.000999      0.004052
GAPDH             3.864439e-01   58.206865   0.000999      0.004052
MCCD1             3.861331e-01   59.474543   0.000999      0.004052
CRABP2            3.851011e-01   58.183994   0.000999      0.004052
TBC1D9            3.801455e-01   55.226058   0.000999      0.004052
AC105999.2        3.789265e-01   56.302057   0.000999      0.004052
S100A16           3.787943e-01   56.354453   0.000999      0.004052
KRT37             3.753622e-01   57.470712   0.000999      0.004052
PVALB             3.739233e-01   56.755502   0.000999      0.004052
ABHD2             3.738776e-01   56.288947   0.000999      0.004052
CCDC80            3.738596e-01   57.948469   0.000999      0.004052
CD24              3.725296e-01   55.283471   0.000999      0.004052
ERLIN2            3.710548e-01   58.694876   0.000999      0.004052
HSP90AB1          3.697830e-01   55.322224   0.000999      0.004052
IER3              3.695124e-01   57.327463   0.000999      0.004052
IGHG2             3.691531e-01   56.163650   0.000999      0.004052
HLA-DPB1          3.686343e-01   54.896049   0.000999      0.004052
BGN               3.683886e-01   54.714569   0.000999      0.004052
TAGLN             3.672755e-01   56.321116   0.000999      0.004052
PBX1              3.669830e-01   54.199845   0.000999      0.004052
MMP7              3.662765e-01   55.753665   0.000999      0.004052
IGFBP4            3.649810e-01   56.380894   0.000999      0.004052
HSPA1A            3.635777e-01   55.738404   0.000999      0.004052
CTPS2             3.611095e-01   55.008794   0.000999      0.004052
FASN              3.597963e-01   54.896778   0.000999      0.004052
