                              50x102      3x43         14x94         3x117    45x115    54x124
Malignant                   0.113208  0.530997  5.390836e-03  2.129380e-01  0.309973  0.016173
CAF                         0.018183  0.133366  1.791077e-01  5.690630e-03  0.009889  0.024433
Endothelial                 0.000000  0.055486  3.956555e-02  5.850927e-04  0.004111  0.023918
Plasma                      0.000000  0.006287  4.872746e-04  0.000000e+00  0.000000  0.000000
B cell                      0.000000  0.000000  2.734422e-02  0.000000e+00  0.000000  0.000000
T CD4                       0.000000  0.000000  8.984611e-03  0.000000e+00  0.000000  0.000000
T CD8                       0.000000  0.000000  0.000000e+00  0.000000e+00  0.000000  0.000000
NK                          0.000000  0.000000  0.000000e+00  0.000000e+00  0.000000  0.000000
cDC                         0.000000  0.000000  9.871196e-03  0.000000e+00  0.000000  0.000000
pDC                         0.000000  0.000000  7.505653e-03  0.000000e+00  0.000000  0.000000
Macrophage                  0.004182  0.031287  2.799060e-02  5.408915e-03  0.006057  0.000000
Mast                        0.000000  0.000000  0.000000e+00  0.000000e+00  0.000000  0.000000
Neutrophil                  0.000000  0.000000  0.000000e+00  0.000000e+00  0.000000  0.000000
Hepatocyte                  0.831606  0.242576  6.199936e-01  7.507140e-01  0.669971  0.915360
Cholangiocyte               0.032822  0.000000  7.375883e-02  2.466340e-02  0.000000  0.020116
Unidentifiable              0.000000  0.000000  0.000000e+00  2.220446e-16  0.000000  0.000000
B cell naive                0.000000  0.000000  5.531828e-16  0.000000e+00  0.000000  0.000000
B cell non-switched memory  0.000000  0.000000  7.794409e-16  0.000000e+00  0.000000  0.000000
B cell switched memory      0.000000  0.000000  2.734422e-02  0.000000e+00  0.000000  0.000000
B cell exhausted            0.000000  0.000000  9.872702e-15  0.000000e+00  0.000000  0.000000
T CD4 naive                 0.000000  0.000000  1.495769e-03  0.000000e+00  0.000000  0.000000
Th1                         0.000000  0.000000  1.495769e-03  0.000000e+00  0.000000  0.000000
Th2                         0.000000  0.000000  1.495769e-03  0.000000e+00  0.000000  0.000000
Th17                        0.000000  0.000000  1.495769e-03  0.000000e+00  0.000000  0.000000
Tfh                         0.000000  0.000000  1.495769e-03  0.000000e+00  0.000000  0.000000
Treg                        0.000000  0.000000  1.495769e-03  0.000000e+00  0.000000  0.000000
T CD8 naive                 0.000000  0.000000  0.000000e+00  0.000000e+00  0.000000  0.000000
T CD8 central memory        0.000000  0.000000  0.000000e+00  0.000000e+00  0.000000  0.000000
T CD8 effector memory       0.000000  0.000000  0.000000e+00  0.000000e+00  0.000000  0.000000
T CD8 effector              0.000000  0.000000  0.000000e+00  0.000000e+00  0.000000  0.000000
T CD8 exhausted             0.000000  0.000000  0.000000e+00  0.000000e+00  0.000000  0.000000
cDC1 CLEC9A                 0.000000  0.000000  3.287065e-03  0.000000e+00  0.000000  0.000000
cDC2 CD1C                   0.000000  0.000000  3.287065e-03  0.000000e+00  0.000000  0.000000
cDC3 LAMP3                  0.000000  0.000000  3.287065e-03  0.000000e+00  0.000000  0.000000
Macrophage M1               0.002086  0.000000  6.921654e-03  2.699457e-03  0.003024  0.000000
Macrophage M2               0.002086  0.031287  2.106894e-02  2.699457e-03  0.003024  0.000000
Macrophage other            0.000010  0.000000  3.469447e-18  1.000000e-05  0.000010  0.000000
