"","Endothelial ACKR1","Endothelial RGS5","Endothelial CXCL12","CAFs MSC iCAF-like","CAFs myCAF-like","PVL Differentiated","PVL Immature","B cells Memory","T cells CD8+","T cells CD4+","Macrophage","Monocyte","DCs","Myoepithelial","Luminal Progenitors","Mature Luminal","Plasmablasts","Cancer Cycling","Cancer Her2 SC","Cancer LumB SC","Cancer LumA SC","Cancer Basal SC"
"Bulk_0000",0.0228255274225504,0.0108512277066572,0.0189797775899586,4.66866517960132e-08,1.8554964339024e-08,1.09154143093507e-07,0.00143359526637666,1.23859382184184e-18,2.61396432439884e-06,1.30988458786699e-18,9.69228715425439e-08,1.8850515896518e-18,9.8765816672148e-20,4.87487385552208e-07,0.00137903299221622,4.35556760716076e-09,0.944527121650105,2.8523033795399e-20,1.0535386850574e-07,0,2.34892359209334e-07,0
"Bulk_0001",9.67602217153431e-07,3.13396691496622e-09,0.00128329184976539,0.0598131830806676,0.0104517148643427,0,0.00992548788409413,7.02940773832232e-07,3.78785877808722e-07,1.95379552656043e-07,0.0839382993615768,0.0531041388006539,6.43461981790847e-07,2.75225064443947e-07,8.52944235528568e-08,3.68649859366784e-20,0.781201162116202,0.000279340371714186,4.84274950350554e-08,0,8.14196303548102e-08,0
"Bulk_0002",6.17285766540243e-08,8.92979794294871e-11,2.96599772704288e-20,0.00301758686646015,0.00352381576159057,0.0563633335528414,0.0848952561517305,0.268984030271738,0.283776328253814,0.239949331756074,0.00461168586956871,4.49335328300188e-08,0.00535705514886813,0.00205915251120185,0.00393136797910422,0.000524692609587806,0.0374375812783446,1.19646324281432e-09,0.00052148238860977,4.82454934656751e-21,0.00504719003906033,1.61353523133517e-09
"Bulk_0003",1.49104021411733e-05,0.00611202694129326,0.00718554873425124,0.00955463025662215,0.0100531375539615,0.00265783710799335,0.00277497489312053,0.052708410059691,0.349044022957396,0.226430861698766,0.000650392656519353,0,0.00485204075215961,5.45667450075516e-13,0.0252626691546468,0.000636558581267554,0.185351861725482,0.0156714975883843,0.00725210203794244,0.0872313517609285,0.00655516513688809,1.61990075300027e-19
"Bulk_0004",2.93532243687337e-21,1.01743142921962e-08,2.47003332171344e-09,0.257930664491486,0.116543717024167,0.12927595309692,0.312671343156252,2.96689738834631e-08,0.00458646672952612,1.14190424367742e-19,0.00146554965182076,0.00691618058745285,0.00109109502394431,0,0.00141147828968658,1.97249063487634e-10,0.16810747400877,0,4.78840163217679e-09,3.06368162325131e-08,0,4.18474458876647e-12
"Bulk_0005",7.06162314590535e-09,0,3.08527537831125e-22,0.0519579885109936,0.0134056863547493,0,0.00408112564799719,0.258927243389557,0.0580087563304319,3.8607860227514e-09,0.259614579955071,0.12456384170138,0.0419789429660196,0.00499072556554881,0.012762854934277,2.00884502092707e-09,0.166892082696533,4.04299462506131e-07,0.000469166481459118,8.57112524892071e-20,0.00234658823526733,0
"Bulk_0006",0.0045053119324014,3.07977848691554e-08,0.00351651216912815,0.047024468968768,0.0223417102057866,0.014055161389787,0.041553700835556,1.49282455463109e-07,0.0956714060304815,0.00479458659386283,0.0275495588926419,0.0105318938321706,9.58817713041334e-08,2.8363995915098e-07,0.000615241381395161,4.68526669507269e-20,0.727811912101642,2.78185211731994e-05,3.85201111942253e-08,3.63795491702634e-19,1.19023123252917e-07,3.1799564643248e-20
"Bulk_0007",0.263103577682423,0.191389850433889,0.202300611953066,0.00907496723696061,0.00544488178561294,0.120989398955443,0.128488620240316,0.0191119569744405,0.00606862889739728,0.0149785008440082,0.00186658473430914,0.00105949229193569,0.00340201499970532,0.00600305665461472,0.0100611109242528,0.00162201245338214,0.00851331573643213,0.00288112079438936,3.88819605727825e-14,0,0.003640296407364,1.87490882563335e-14
"Bulk_0008",1.25880546799497e-08,0.00121566737712261,2.30791937947693e-11,0.0199465907865315,0.00855497867627007,6.96252295162833e-11,0.00254786651078406,0.0972165049290692,0.00311873136518763,0,0.117835984818335,0.0548294834374883,0.019711234701018,0.0398116363852845,0.130049095775958,0.051596796425992,0.397357035010181,0.00470366533699453,0.00340962765535794,0.0230984578068567,0.0249966303208091,9.0587295533078e-20
"Bulk_0009",0.0257857082757567,0.0212162194018582,0.0309353355022604,0.0530930293857227,0.0232059133022079,0.00156952933269417,4.45429133005745e-08,0.0544413219933776,0.00973226432415954,0.0199644627786169,0.0344190077992066,0.0146500673501524,0.0037729112571857,0.118053781725452,0.313856911846083,0.180365663320496,0.0620450331715574,0.00258867626240625,0.00163883788224176,0,0.028665280545652,0
