"","Endothelial ACKR1","Endothelial RGS5","Endothelial CXCL12","CAFs MSC iCAF-like","CAFs myCAF-like","PVL Differentiated","PVL Immature","B cells Memory","T cells CD8+","T cells CD4+","Macrophage","Monocyte","DCs","Myoepithelial","Luminal Progenitors","Mature Luminal","Plasmablasts","Cancer Cycling","Cancer Her2 SC","Cancer LumB SC","Cancer LumA SC","Cancer Basal SC"
"Bulk_0000",0.063587170276704,0.0705778142881133,0.0613684014786867,0.0208616093408187,0.0305591280714469,0.0657974716068226,0.0469973510614363,0.0971968586721396,0.0074416501649158,0.0198994252678668,0.0827914216205385,0.000406187517756622,0.0267307952127302,0.0176259166835495,0.0785810933264272,0.0132415597185224,0.0983306268493464,0.0593607385243445,0.00674348929102859,0.0832523646757481,0.0451162801288833,0.00353264622217416
"Bulk_0001",0.0855714910794295,0.12692903240984,0.0742270492066854,0.0171110342334983,0.0154966075433483,0.0658441834621994,0.0714537873454566,0.140327165963761,0.0771114889893161,0.0723467621253114,0.0387844630007328,0.00792350676003017,0.0181620115632953,0,0.0415346332918152,4.06419540596994e-13,0.00426652593484014,0,0.0190744679371865,0.106978430546082,0.0168573586067655,0
"Bulk_0002",0.000511001416418957,1.70756182554196e-20,2.57418955870807e-10,0.02561197551192,0.00468956346066955,0.0355614686749696,0.070418095357855,0.010953249989211,0.053446936443858,0.0185197100755359,0.0321744648698763,0.0316348957429543,6.69228095192606e-08,0.0183721360613278,0.0599824454408585,0.00734318168276616,0.627380092965917,0.000168008722080582,0.000754130289859207,3.10911227047811e-20,0.00247857611369387,3.22912910709342e-22
"Bulk_0003",1.66162817098483e-11,1.05804324403658e-19,1.31907919086803e-13,0.0965811010348842,0.0475066629613042,0.0497417490478146,0.0785910762995702,1.60275884630432e-11,1.04822923037663e-11,1.58255335640792e-19,0.032892340766004,0.0244972480194256,0.00199537385771822,0.00155308639515759,0.0465595145986276,0.00836348080051755,0.508689295180323,5.55190536369469e-11,0.00783241195938811,0.0926651448476351,0.00253151413285322,1.44234941188704e-21
"Bulk_0004",0.0302857290890016,0.0488009899121206,0.0252742021161615,0.00648920512622797,0.00525625321619693,0.0795260465269908,0.0935528753997541,0.0777744092937415,0.029735795485111,0.00764748574197252,0.00112477551393494,1.42971014467061e-19,0.00598350665166071,0.00453955534746813,0.0673757765105584,0.0136171701574505,0.222783024071496,0.0565548719038241,0.0183993799270243,0.173219490719744,0.0320594572895596,0
"Bulk_0005",0.0574003657459051,0.0973070013595753,0.0792398178776539,0.0627656363569701,0.0468805524196885,0.0522968304606907,0.051191264826891,0.243005982479198,0.0664566365919511,0.0289463734888064,0.0630189613661336,0.0247505167461257,0.0122558844329483,0.0208952024916639,0.0420645408184974,0.0051055373414739,0.0352017799123722,0.000139193311381892,0.000809440432651804,0,0.0102684815394208,0
"Bulk_0006",0.00383547448971582,0.00361129755272895,0.00143484263614575,0.0355622417793221,0.0230307701163308,0.0278643877192991,0.064844003515828,0.0558638531035171,0.0070065289184721,0,0.010613907696077,1.47748945118485e-09,0.00545787382960074,0.0330608872083841,0.131394349666897,0.034951842941885,0.272868785925706,0.0853661426870402,0.0145214077946426,0.143515967196637,0.0451954337442813,0
"Bulk_0007",0.00184438609550743,0.00136829623116026,0.00571889846917386,0.066926516668529,0.0237500870072936,0.0109157816568202,0.028968867350564,0.0789968332860365,0.0662472996771715,0.0429540730250762,0.0317493064692411,0.0137514138670937,0.00893621573646593,0.0208901778490054,0.10456936985866,0.0337493476680146,0.173939318852483,0.0890238417726887,0.00796803123378262,0.132631945924202,0.0550999913010305,0
"Bulk_0008",0.000544944611942369,0.00858836536432817,0.00623200606769573,0.0144146424942007,0.00779357928175125,0.0179207339247101,0.0137266755341362,0.00672648322164203,0.0900543330968902,0.0320789886778807,0.0209980846567827,0.0124556499126588,0.0120662490476542,0.00104165662837153,0.0819401580177762,0.00477801060952948,0.30601403792856,0.064444912364258,0.0248874314384467,0.219429336907323,0.0538637202134613,2.57175140801747e-19
"Bulk_0009",0.0282634303494206,1.26151253704116e-08,0.0031314479678394,0.0278347454496071,0.0075076775259668,0.0329941936273594,0.0655411412382987,0.116841418764761,6.88317918133273e-07,0,0.0288182698674875,0.0341798890120397,0.00362207619386563,4.29541180979855e-08,0.0484943289990993,0.0138806007012941,0.515181396439847,6.93348548859395e-09,0.0249443574142128,0.0166429804905609,0.0321212951376928,0
