"","Endothelial ACKR1","Endothelial RGS5","Endothelial CXCL12","CAFs MSC iCAF-like","CAFs myCAF-like","PVL Differentiated","PVL Immature","B cells Memory","T cells CD8+","T cells CD4+","Macrophage","Monocyte","DCs","Myoepithelial","Luminal Progenitors","Mature Luminal","Plasmablasts","Cancer Cycling","Cancer Her2 SC","Cancer LumB SC","Cancer LumA SC","Cancer Basal SC"
"Bulk_0000",0.0137811259566742,0.0184395760034608,0.0213198034085013,0.0174932614537727,0.00859019353898897,0.00229092729093955,0.0368889648127429,0.0201224861355613,0.00530356950487733,1.68385408582867e-09,0.0076103903092207,6.69603123198276e-20,0.0107812866175852,0.02164759987979,0.11756362661978,0.0321275074691427,0.226119387290817,0.134943638029734,0.0203173818737462,0.222838639571879,0.0618206325489315,3.77397224120731e-19
"Bulk_0001",0.0111248804408038,0.0157161877981022,0.0325297925495288,0.118027658342283,0.0670423875476265,0,0.0252001884832326,0.0497852397768052,0.0127590061874521,0.00334375953755837,0.0132429665213366,0.00803433552910738,0.00839466814749266,0.026764368717484,0.13243521524513,0.0329281944346867,0.0232914184946958,0.122351898505145,0.0192681157581528,0.159824215841041,0.117935502142336,0
"Bulk_0002",0.00142849117661377,5.41394131458591e-09,0.00447049728629942,0.0166629170305891,0.0159248911049273,0.00548159259605467,0.0112671487686417,1.85008881982306e-08,1.95540044803547e-20,2.45103593155278e-19,0.0126189897207958,0,0.0078441642957538,0.0229032167617831,0.114572850875338,0.0296537903943665,0.342549890508874,0.126301830370953,0.0234251086339971,0.199711257408697,0.0651833391514864,3.16877266054421e-19
"Bulk_0003",0.0138733141737488,0.0154754091053731,0.0120678758762567,0.0274168949615871,0.0160289013865354,0.00797996969623767,0.0351694238507476,0.123603185285702,0.0496004296046025,0.019087448947195,0.0039223022665405,0.000550318987277405,0.00328038942704743,0.047636293710209,0.142221634655515,0.0353091636274048,0.0300473820386601,0.129161575633158,0.0189193389007308,0.193753407250594,0.0748953406148763,0
"Bulk_0004",0,0.00978156978351604,0.00489552566709837,0.0297043654011606,0.0230826537146138,0.0062177737440353,0.0045698682670462,0.0420245657520844,0.0251733492869612,0.0111974582067257,0.0179614406240279,0.00117468884022755,0.0061346905522155,0.0434678421541108,0.147060671875069,0.0335824600951807,0.07361149900081,0.173359160398332,0.0282954585828494,0.205375508380971,0.113329449672965,1.4193801681009e-19
"Bulk_0005",0.00765632527611756,0.00381870488243565,0.00446084568811446,0.0129648965819155,0.0119794860512476,0.00553297534441438,0.00334793203975567,0.103285258548427,0.0154540791946283,0.00998983813366263,0.0200746700420514,0.00784500259404391,0.000177932190218099,0.0351139534184941,0.169757332268153,0.0406776765653941,0.0723174868739002,0.14009552006568,0.0294698713030224,0.189821725091953,0.116158487846371,2.78746496876536e-20
"Bulk_0006",0.00612892142942566,0.00245651138649505,0.0044163643056747,0.0198200996697748,0.0161720382562595,0.0319171574962592,0.0346784720818975,0.0850636764513285,1.58278675433667e-10,3.99693329545497e-20,0.00999451417912581,8.82928919452427e-12,0.00843019144561887,0.0170394498947263,0.0906174002859246,0.0294607975284726,0.306553206213976,0.0778376382043398,0.0224371306827958,0.198447535751953,0.0385288945688444,0
"Bulk_0007",0.00473391695038104,0.00671254686231212,0.00501171700848753,0.030702245015806,0.0223759252841613,0.00203745717404037,0.0123553490291051,0.0334078466205024,0,0.0153672936870834,0.035777620152748,0.00253498333507664,0.0116671502084607,0.0395910584637788,0.178221966305311,0.0377939677218234,0.0115062179827737,0.176907768497176,0.0317810658514631,0.201591915711693,0.139921988137817,5.87760068575509e-20
"Bulk_0008",0.00838493758578172,0.0099340976013275,0.0252526520038891,0.0569426465002329,0.0148559442870655,0,0.0279551217078202,0.0117083720419049,0.0297943493938331,0.0328190452301788,0.0119053412433041,0.00140426392105005,0.0045934711723843,0.0375514527524474,0.183225488016151,0.0384036020810458,0.0328568241652686,0.153787882581315,0.0308180143501267,0.198743552541621,0.0816592811409042,0.00740365968234748
"Bulk_0009",0.0246542072296742,0.0354966212990147,0.0279927175950696,0.0172029139714573,0.0111171322177747,0.0435809420248737,0.0122912680097096,0.0131410760317916,0.0286041728652667,0.0220800105119589,0.0208749289390232,0.00270257911538202,0.014915667948888,0.0125880504980154,0.0901164880398789,0.0211383849619041,0.218430700637053,0.0983718625314618,0.0217485768044013,0.218082143065096,0.0448695557023056,0
