"","Endothelial ACKR1","Endothelial RGS5","Endothelial CXCL12","CAFs MSC iCAF-like","CAFs myCAF-like","PVL Differentiated","PVL Immature","B cells Memory","T cells CD8+","T cells CD4+","Macrophage","Monocyte","DCs","Myoepithelial","Luminal Progenitors","Mature Luminal","Plasmablasts","Cancer Cycling","Cancer Her2 SC","Cancer LumB SC","Cancer LumA SC","Cancer Basal SC"
"Bulk_0000",0.0269367660519905,0.00375314000281723,0.0267013100435707,0.137994013573049,0.0651240968498123,0,0.0217328965760622,0.00786142728281821,0.0339397283016185,0,0.00621450872500622,2.56412445402968e-09,0.00444299474362994,0.00149289328430806,0.0198993252006802,0.00268374650091609,0.607539807273642,1.02033983474628e-10,0.00794982449294379,0.00797649643185389,0.0177570219991226,1.60997202504167e-19
"Bulk_0001",0.0350361048262907,0.029825906809988,0.03847491290852,0.228270770518444,0.0884290997615632,0.0019578375161762,0.0668399525081852,0.0456688420589264,0.00893385514522353,0.0821098907412564,0.0387766683971309,0.0480759328313296,0.00865141802417471,0.0382783542500743,0.108048200949415,0.0369064929372971,0.0263642068741709,0,0.00754445438938727,0,0.0618070985524466,2.39529066238303e-20
"Bulk_0002",1.67358379840985e-08,0.000153206202517144,0.000446713405398257,5.08564381573125e-20,1.44411885430762e-13,0.0148172817367244,0.0319170513037481,0.162269772998107,0.0414345195269254,8.75150946139715e-09,0.106009995977654,0.044105354088699,0.0261813694171678,0.0323161233067252,0.105719971754031,0.0467833551366481,0.294018323670929,0.0107509099687404,0.00358286327331019,0.0636938446354541,0.0157993181097293,3.50964730141338e-20
"Bulk_0003",6.33728800355286e-20,0,1.54452737186081e-20,0.0414873999946794,0.0171942344716067,0.0180248397586182,0.0251116225624178,0.101536280091901,0.144528436646181,0.0713625525292964,0.012333758528993,9.60538000715042e-20,0.00948572850859996,0.00171526524976423,0.0394515245226877,0.0086922525998533,0.408370489065265,1.39038898974486e-08,0.0105878890177268,0.0810456594028873,0.00907205314563204,0
"Bulk_0004",0.00969002444491429,0.0151765106734497,0.0176067785902205,0.062488740198248,0.0409929232581514,0.00762357350173779,0.0115193345630013,0.104970362674563,0.0403457274753715,0.0117593944518747,0.0164944850165759,0.0143113734191124,0.00401432180294964,0.0291624730152006,0.0855212383723852,0.0306381488989825,0.313731392897794,0.0236907427444423,0.0121562166672154,0.104165097932589,0.0439411394012208,0
"Bulk_0005",0.0134427398054655,0.0143578230376347,0.0212136237495224,0.00988133780476746,0.000928868476318019,0.00358151593829283,0.00335557391277736,0.0133444385999098,9.65306969585885e-07,0,0.142762205387751,0.0721523473993232,0.0159921518068625,0.000228003052235393,0.00743020563638499,0.000667520569007969,0.678822964989781,8.28297506717498e-09,0.00183764774132502,0,5.85026965638383e-08,0
"Bulk_0006",0.0183928701365291,6.37110704843548e-08,0.00228365424689704,0.017216964073589,0.0127242428257133,0.120262568310374,0.131353686876552,0.0659821887278345,7.68280122541346e-07,0.0190431938951837,0.102432719891775,0.0677705761732336,0.00758234679589769,3.58401028861922e-19,0.0486620236903336,0.00295511926930703,0.339077472899545,4.59453432423156e-09,0.0138680534188918,0.019229064704997,0.0111624174776207,0
"Bulk_0007",0.0170039835949434,0.0194277791397682,0.0130740129565542,0.00538376890497111,0.00482896108156819,0.0482594874094715,0.0595523620818091,0.0866412838979995,0.0360675423565904,0.013921857271375,0.00112497403247147,0.0043601040817182,0.00234902651643534,0.0234127571334955,0.0569008479039607,0.0208435494692041,0.583604295036547,1.09287831017155e-11,0.00167460841036532,1.45294009165426e-19,0.00156879870982339,0
"Bulk_0008",0.0729550836868635,0.070979859048763,0.0603855438897948,0.0347914001386029,0.0145786929010366,0.0336549942292267,0.056186737728175,0.125189981769564,0.148381706263899,0.09627732802969,0.00501213037396371,9.699785538254e-09,0.0028745430058863,0,0.0122886762030498,0.00525984831508848,0.237130335724688,1.16273988771581e-09,0.00201159089443613,0.0220415323783838,4.30542560508069e-09,2.50937083715028e-10
"Bulk_0009",0.0153053734514511,2.00843725316246e-08,0.0157157078403512,0.294362204360014,0.11408472171883,0.00285698259243823,0.0654965403455323,4.24038119904222e-09,0.0833761106082249,0.0836564761247493,0.0254623324007679,0.0223950717641232,0.00768501895608822,0.020807436844707,0.0902457789540491,0.0341284695444924,0.0819085025395826,0,0.00737894951936608,6.57875313209981e-19,0.0351342981104792,1.28310030835184e-21
"Bulk_0010",0.0467851519458643,0.0604042906607225,0.048130038190858,0,0.00209532289762974,0.0669828292576026,0.0576825725474181,0.0119504123355571,0.0216492241177157,3.14421569154239e-10,0.0390800285876088,0.02850604442115,0.00865132278757538,0.0473898256116885,0.160004558033779,0.0634482818879504,0.240512178532427,0.00412302352527953,0.00564325650795941,0.0281079679253458,0.0588536699114466,6.40824552020991e-21
"Bulk_0011",0.0355092119745384,0.050716142917961,0.0447639510821242,0.0317412637600739,0.0261620470453056,0.00692942026294074,0.0354182108228197,0.0572015347799514,0.241162132791027,0.128774324176924,0.00231787812097536,1.13060544120668e-10,0.00525554056879277,0.00485494642737445,0.0322522853509923,0.0106788878696,0.261134883739043,1.45202825481513e-12,0.00280741983510795,0.00280792909619288,0.019511989263742,0
"Bulk_0012",0.0625185890710863,0.0396950767937206,0.0477639835150545,0.00788014446408108,0.00432352702030827,0.0103733595463033,0.0280352069751658,0.127500470852577,0.146824335102396,0.0805169678131929,0.00278778044405897,0.0232487219615465,0.0078437899593336,0.0115811914108662,0.0585392163168944,0.00221995799459955,0.310522148498946,0,0.00755050968428754,0,0.0202750225755817,0
"Bulk_0013",0.00280621319082493,0.00130261268060242,0.00260749101366845,0.0485024513357063,0.0243163561004517,0.0149283119024321,0.0265665648187109,0.0809076706525664,7.52203550036864e-12,1.1849063687154e-19,0.0649081717324472,0.0241123384299298,0.00547313750624478,0.0163223368268473,0.0515245654847455,0.0211192399522293,0.542255766985906,0.00414874564823299,0.00610575572145598,0.0422577097826196,0.0198345602268567,1.08818033987411e-20
"Bulk_0014",0.00936741646741551,7.19111090546033e-14,0.011052196595508,0.0954303555899792,0.0540363560166762,0.0117632109006691,0.0174750988573803,0.0356396454578931,0.00310461169905797,6.25281373059417e-20,0.00857456263302581,1.67487047098484e-13,0.00763044721243986,0.00331565686077495,0.0607654667529977,0.0219684137311293,0.546926272147904,2.51933448868084e-12,0.0139163513958039,0.064542718936235,0.0344912187423516,2.37370670060609e-19
