"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"Bulk_0000",0.0606250410792663,5.77772547819585e-10,0.00312772491056153,0,0.0229969614217197,0.000105720124566021,0.0107718425487301,0.902083820353547,0.000288888983837203
"Bulk_0001",1.06104661790545e-06,0.0306300725997606,4.23475650044846e-21,0.00789659188934633,1.05489748887647e-06,0.100363147542364,1.66322500222532e-07,0.861107820623767,8.50781546290786e-08
"Bulk_0002",0.00143715281665117,0.00932578895642258,0.13505495332458,0.272440012097627,0.539287272872006,0.0062516959079683,0.0106247321809483,0.0244324215219402,0.00114597032185688
"Bulk_0003",0.0207690830073291,0.017637634242676,1.33224447190683e-09,0.100342172962746,0.561934194979613,0.00267962417848488,0.0689934366240264,0.147393686363715,0.0802501663091653
"Bulk_0004",0.00132412668963182,0.365367850325753,0.432570349355709,0.00496080161484633,0.00469950826620891,0.00848188722465513,0.00259356007936219,0.180001916443834,0
"Bulk_0005",3.65158467932659e-09,0.0456651210490197,0.00230343940763461,0.264333019496643,0.0553660764108641,0.43621255518999,0.0212317818584804,0.174345563475161,0.000542439460622188
"Bulk_0006",0.00786496571820433,0.0543450286481733,0.0477105146704964,2.04253413370062e-07,0.108463041837058,0.0386973075605168,9.81881691309689e-05,0.742820669306645,7.98363613634049e-08
"Bulk_0007",0.65630538124918,0.0106382813635748,0.25600110818181,0.0210398662219696,0.0217372965278607,0.00313270842116602,0.0228205275203836,0.00830656636643779,1.82641476177884e-05
"Bulk_0008",0.00252795362887633,0.0238179924441609,0.000460031765992631,0.0920594911319621,2.40700705129849e-08,0.222441158902817,0.298122568574551,0.313540857319084,0.0470299221624858
"Bulk_0009",0.0713630986542771,0.052377601474874,0.00434366702491659,0.0662041405409785,0.0164229107660729,0.0503512599829648,0.68900198559304,0.0378802429382817,0.0120550930245945
"Bulk_0010",0.00455207316772174,0.0650938166135985,0.0207733333015573,0.520646808821489,0.0118092235635194,0.0430839496041806,0.0618536940671844,0.135395420125474,0.136791680735275
"Bulk_0011",0.231823428935792,1.30773747135501e-07,3.11676657227923e-07,0.00709816250037031,0.610239332306104,0.0305457121730988,0.0697800266233783,0.0491462261885442,0.001366668822308
