"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"Bulk_0000",0.203410878123896,0.032997368743185,0.126328689158095,0.104166212133785,0.016747132937465,0.109879241505691,0.131522926769454,0.107011870470278,0.167935680158152
"Bulk_0001",0.260871650825329,0.0336422078468901,0.123327944507281,0.278256264345635,0.104256506313186,0.0522306222779825,0.0634631406142248,0.0105416374194057,0.0734100258500653
"Bulk_0002",0.00372910363006767,0.0189438347017509,0.101086078285345,0.0221159777082652,0.0810215759547646,0.0621405156822521,0.102676792338906,0.605490636091757,0.00279548560689199
"Bulk_0003",4.88756027414417e-08,0.132904803172946,0.123117352531654,2.67516770814328e-08,5.87319496385072e-08,0.0636766999375281,0.100870206624026,0.526452174167502,0.0529786292071161
"Bulk_0004",0.116225920673469,0.0121237602497249,0.207108700726187,0.102742213424808,0.0234055638333351,0.00668838640526057,0.147488889436072,0.154215600430814,0.230000964820329
"Bulk_0005",0.232380812501286,0.0953707014053177,0.114493087347976,0.246608070516554,0.100272599784084,0.097619933536404,0.0765114134587293,0.035028984176576,0.00171439727307374
"Bulk_0006",0.011542142373917,0.0626222763516065,0.0982614356707034,0.0765991225949569,0.00870911207824399,0.020165702343538,0.254324584076577,0.166752009931013,0.301023614579444
"Bulk_0007",0.00728354562646446,0.0642697024766266,0.0396937550474104,0.0770149247112607,0.115496485076177,0.0521135268158486,0.172947951848657,0.213525179478245,0.25765492891931
"Bulk_0008",0.0114815695857057,0.0200221348129912,0.0234466664722532,0.0181983419664948,0.134461018999292,0.0383433717606378,0.115335392672736,0.344182562982793,0.294528940747096
"Bulk_0009",0.00948561044624209,0.0176957346216745,0.0415923040449948,0.0229270251535058,0.0146432869186954,0.0368180794648991,0.0582088374983253,0.770282868221322,0.0283462536303415
"Bulk_0010",0.0483244608857686,0.00388103611283275,0.00696420443426333,0.119033792760025,2.17236480562489e-06,0.0260025408054245,0.186915440338497,0.606628331384853,0.00224802091352976
"Bulk_0011",0.0344388296084466,0.0334427790901198,0.116947165069627,0.0949629410061373,0.0150723985351059,0.0618997298152775,0.220779609173828,0.0261974370395159,0.396259110661941
"Bulk_0012",0.0329021147386059,0.00441434720068809,0.0650940828618883,0.023382613588479,0.285989399048112,0.026363537451748,0.105616157724222,0.440786094248125,0.0154516531381319
"Bulk_0013",0.0143989248464626,0.0204344077305502,0.0124491631619158,0.0257885090069887,0.0582364477123955,0.0722817840324588,0.257396335385755,0.0824612116084266,0.456553216515047
