"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"Bulk_0000",0.0535971638588165,0.0221269706538929,0.0381573389447695,0.0287815313974863,0.00365581612799958,0.012205847114034,0.178059441368191,0.287318331401586,0.376097559133224
"Bulk_0001",0.0560989373758112,0.143881507677914,0.0249162633742861,0.133129812497708,0.0190040373804437,0.0234521782834263,0.215237607411507,0.0270145403265756,0.357265115672328
"Bulk_0002",0.0104510478017099,0.0305384363717626,0.0345866081581154,0.0420634983015307,1.40117019843122e-19,0.0235821339243863,0.199454526806144,0.181887059406144,0.477436689230207
"Bulk_0003",0.0417763135108815,0.0334362124626143,0.0431974563383046,0.154232935618265,0.0716464161782518,0.00590099771290907,0.250925373066667,0.0565454239633887,0.342338871148718
"Bulk_0004",0.0110455008605708,0.0439735287341548,0.0129396028266212,0.0594379861604813,0.0435269656539983,0.0242373097627677,0.244611080679572,0.11922263217471,0.441005393147123
"Bulk_0005",0.0134762553438627,0.0208384899737932,0.00837462202452106,0.0683857100498767,0.0308469066064487,0.0297374314648052,0.273718566653462,0.15042507052542,0.40419694735781
"Bulk_0006",0.0119817382968172,0.035307186610711,0.0614478109392864,0.0957471512100736,1.56471320935526e-08,0.015754467523627,0.14715833601587,0.331655550759959,0.300947742996524
"Bulk_0007",0.0126599509736497,0.041280779860563,0.0143160728771474,0.117754692006792,0.0159461605626126,0.0477655983548487,0.284003759175692,0.0146348814871796,0.451638104701515
"Bulk_0008",0.0420127562164639,0.0367222887580086,0.0152911212686291,0.015018502352042,0.0663593327153998,0.0181465915775759,0.339219791750281,0.0348863363241775,0.432343279037422
"Bulk_0009",0.0842158060156035,0.0242169609366804,0.0560413966315828,0.0187152496605679,0.0570621394195023,0.0298486167762856,0.131490488566415,0.286376819630628,0.312032522362734
"Bulk_0010",0.0148940050600199,0.0306207576049661,0.00733840164734505,0.026733435558865,0.134301450006279,0.00495445270633279,0.26010911793564,0.053073590707395,0.467974788773157
"Bulk_0011",0.00308357506928544,0.030741030068599,0.0309486994100257,0.0301175124790962,0.0275928519380813,0.0121261262257729,0.181827669899968,0.2905021276177,0.393060407291471
