"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"Bulk_0000",0.0319746997267851,0.0993323806910856,0.0041066625825359,0.0168337735496451,0.0514356642874554,0.00585578931457355,0.0195771266958488,0.755927359145422,0.0149565440066484
"Bulk_0001",0.0873074608117698,0.216229135462529,0.0406503535559969,0.181213074222717,0.0983433261583147,0.0664176089004401,0.209313749552354,0.0718661763570957,0.0286591149787827
"Bulk_0002",6.59896803418157e-08,1.53180771638367e-11,0.0406985806705347,0.180109346911589,0.0437651514294586,0.167497603117531,0.206836712432284,0.295878778109419,0.0652137613241862
"Bulk_0003",2.07442807220371e-07,0.0486943098687136,0.041477202746148,0.127339965716364,0.228313001950085,0.0195165156341397,0.0812847794443734,0.392269423199289,0.0611045939980796
"Bulk_0004",0.0450103224128246,0.0978399425292352,0.0221545919256135,0.125075464042657,0.0603934603964461,0.0326456403077379,0.173080902643255,0.286989588144589,0.156810087597642
"Bulk_0005",0.0438431538416583,0.0036218288754887,0.00590293927246528,0.0157401123329322,3.44402358163763e-07,0.219083833149008,0.0114708273858221,0.69999050661972,0.000346454120547038
"Bulk_0006",0.00377302738386068,0.0276978162350162,0.185708519347995,0.0192558289840518,0.0875750122819727,0.144586334248457,0.0692921610535997,0.445983122545003,0.0161281779200434
"Bulk_0007",0.0474013387864836,0.00988095056116036,0.101137780843249,0.0936010872332286,0.056308683165066,0.0036351257776667,0.105069094349401,0.58238402561954,0.000581913664203935
"Bulk_0008",0.25675371656623,0.0446731309753573,0.124402098799946,0.13999088804923,0.261239403731052,0.00883309647493427,0.0465179753601312,0.109047258936394,0.0085424311067264
"Bulk_0009",0.0307929290669898,0.319039757113852,0.045114903523649,0.0300287725493549,0.191181477473272,0.0490189904681558,0.179827964722772,0.129821344811999,0.0251738602699553
"Bulk_0010",0.173138653419108,0.00499259355436844,0.137132645582134,0.00469257015894398,0.0157021393036098,0.0758524295353423,0.358575282358021,0.176075951871277,0.0538377342171957
