"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"Bulk_0000",0.261410048792892,0.000523426415860664,0.0174333938948064,0.0687972648606592,0.0139726142924846,0.0030343727264242,0.0583808711059555,0.55615711491789,0.0202908929930269
"Bulk_0001",0.0100578238081099,0.0852992388410735,0.00645903285214043,0.117859165800871,0,0.443473508759249,0.0337133285825257,0.290998808710335,0.0121390926456946
"Bulk_0002",0.0176120773870536,0.00932994790903553,0.155363829859016,0.294145948615938,0.471963561103475,0.0181715208229219,0.0238915723494571,0.00102577091509685,0.00849577103800639
"Bulk_0003",0.0281705379420276,0.0230120630472899,0.000953646455434356,0.125583218557228,0.598610654933647,0.00707145245964199,0.0634888402437146,0.016969378736595,0.136140207624421
"Bulk_0004",0.0500958608368762,0.365566094238301,0.521627755109883,0.000828931720051318,0.0143854553887364,0.0150146398291639,0.0168169720082928,0.0152125184318578,0.000451772436837438
"Bulk_0005",0.00797421946103856,0.0532347933700002,0.0062943641104183,0.00786333556695898,0.0306684363880944,0.840587730000975,0.0334798435063069,0.00637912251542964,0.0135181550807775
"Bulk_0006",0.0485764037194562,0.116142849078745,0.115105864297313,0.0581809166984093,0.242118096097694,0.149029860293447,0.0371251183122264,0.220689535499205,0.013031356003504
"Bulk_0007",0.680341865477807,0.0137193235661355,0.270057070895343,0,0,0.0042961327430467,0.0291801884119153,0,0.00240541890575302
"Bulk_0008",0.00459896456639467,0.0253106672176062,0.00400643208249088,0.0428374579604134,0,0.406955022494251,0.408369924999557,0.0312931920415827,0.0766283386377044
"Bulk_0009",0.0905676303479975,0.0442177759999364,0.0304601159651137,0,0,0.0663231811828888,0.736373134213937,9.73999604589468e-05,0.0319607623296672
"Bulk_0010",0.0191909162237707,0.0706929113793081,0.0156625913655074,0.453515925648887,0.0184968495139608,0.109380109418399,0.100323573057038,0.0120565852195862,0.200680538173543
"Bulk_0011",0.364945210647784,0,0.0203328425465548,0.00335162922673666,0.429033832981011,0.0606452144556335,0.103688778011123,0.00339398377845442,0.014608508352702
"Bulk_0012",0.0209365156372519,0.0167817381903984,0.513130186347439,0,0.00424320768367631,0.119694296968301,0.097159557575047,0.000140387047713131,0.227914110550174
"Bulk_0013",0.553125599983086,0.0219955458094011,0.0824142648522721,0,0.0622843436181183,0.0880647188021625,0.0639580440548302,0.00738305039338743,0.120774432486743
"Bulk_0014",0.280900405037975,0.0589377064351944,0.082912773774837,0.00301214104606805,0.0443170424293273,0.0129069610349232,0.394476560923588,0.0446649136808004,0.0778714956372874
"Bulk_0015",0.0298554524558756,0.22315573256251,0.414860519055621,0.0806568588712562,0.0702455842703506,0.0409163340631649,0.13917656193194,0,0.00113295678928047
"Bulk_0016",0.000512666577387166,0.00599604690660022,0.000131045054244564,0.47835078237145,0.0112493967285757,0.0394722439113602,0.185926367632318,0.076618203573695,0.201743247244369
"Bulk_0017",0.269485355286626,0.00547658738913095,0.028442920291415,0,0.064467338884489,0.114406866319778,0.159341889324199,0.000230180209843949,0.358148862294519
"Bulk_0018",0.0724813116996371,0.0409859106120898,0.493964518942601,0.247512979339992,0.0244020132287935,0.0164327738243641,0.0522007581149617,0.0129145849220461,0.0391051493155141
"Bulk_0019",0.510798769203271,0.155434371957682,0.0682262806581211,0.127719363261486,0,0.0580469282220114,0.0794355953325764,0.000338691364852086,0
"Bulk_0020",0.00255910898653956,0.0104652519395818,0.234807509945454,0.0226110266992273,0,0.000661724723368108,0.70705824470851,0.00613989677246125,0.0156972362248584
"Bulk_0021",0.615376231380936,0.0148001349836765,0.146588966721677,0,0.123812847911007,0.0327969048721728,0.0564195113507576,0.00270650220446775,0.00749890057530539
"Bulk_0022",0.00357834931253296,0.0490577032473971,0.326436756579036,0,0.0194449599530336,0.0106855333386526,0.499679592367879,0,0.0911171052014693
"Bulk_0023",0.00712730821595488,0,0.000324017347648262,0.190424497403048,0.710081012010971,0.00416119113343796,0.0729266921726624,0.000554048453722093,0.0144012332625551
"Bulk_0024",0.240799930364032,0.039305887083836,0.212979823018643,0.203099911025312,0,0.150173290873846,0.0803167521547127,0.000729415811988909,0.07259498966763
"Bulk_0025",0.072288344848759,0.0700542951542527,0.686916200634538,0.0232509467309359,0.0314165830031299,0.0182634036621194,0.0352325687330037,0.0575251533647674,0.00505250386849393
"Bulk_0026",0.0270493733052495,0.117089885711496,0.388149756763408,0.326456721337971,0.0122247546411039,0.013860928294463,0.111749760075345,0.000845640700215541,0.00257317917074862
"Bulk_0027",0.104087255345265,0.0089854866793479,0.0293437942562559,0,0.004466303983064,0.119310293360729,0.212633396191592,0,0.521173470183745
"Bulk_0028",0.0521294800687232,0.209403445833472,0.52612896882406,0.0239731256170903,0.0134908324030122,0.0166265565896822,0.0247041277354677,0.118090487684947,0.0154529752435445
"Bulk_0029",0.0882173416495878,0.170080573435796,0.454836014418598,0.0366711860827488,0.0133959298399503,0.00530491187863991,0.100894340476285,0.0956843529107721,0.0349153493076211
"Bulk_0030",0.381369068974026,0.132878932454562,0.033565978973452,0.317300442265614,0.00408000574748799,0.0314889845434217,0.0837110681787486,0.00118169323443048,0.0144238256282569
"Bulk_0031",0.165354241646297,0.0123332273025939,0.0124993189442116,0.355672530384651,0.0581828085192793,0.141036641450912,0.177972764337017,0.0312683313179773,0.0456801360970611
"Bulk_0032",0.00172476333104475,0.25374486798261,0.0396066152829801,0,0.0840392919308741,0.143774075679267,0.396507427122479,0.00010241318359935,0.0805005454871465
"Bulk_0033",0.0459339100277482,0.319986561491351,0.0345574368552704,0,0.0655108258365572,0.515061853542815,0.00505506232025301,0.00243105993823752,0.0114632899877679
"Bulk_0034",0,0.000740502831465719,2.58063037560352e-05,0,0,0.281176370118144,0.631275700859356,0,0.0867816198872786
"Bulk_0035",0.0210207833438128,0.178958809117001,0.249117023116668,0,0.0603671655633166,0.44905473746744,0.0118965694602002,0.0225097725927472,0.00707513933881429
"Bulk_0036",0.535289516362673,0.123382326326082,0.0699124938666782,0.00294361042935422,0.0484837640648599,0.00561716740407453,0.152407668384765,0.0491454851336389,0.0128179680278742
"Bulk_0037",0.257745808972477,0.117909688726074,0.0623953229474147,0,0.0607517318093135,0.275018140263774,0.220813234802564,0,0.00536607247838292
"Bulk_0038",0.0710083980365387,0.00595707002063871,0.241963189259214,0,0.0205698765954924,0.536653628949459,0.0415279155553738,0.000555281338513226,0.0817646402447697
"Bulk_0039",0.00952483817316025,0.0865549316340708,0.271645085151866,0.11534393577346,0.0636690335588759,0.00597400978664418,0.286616484957887,0.150309676992003,0.010362003972032
"Bulk_0040",0.0449876420504282,0,0.0236709353310876,0.180408574904519,0.00761650426009789,0.0148153943383347,0.679494232904119,0.00167450472129862,0.0473322114901158
"Bulk_0041",0.239284287962111,0.320545853980174,0.108689681530453,0.0314875139421073,0.0871941417874481,0.192888429603213,0.0156140671735513,0.00429602402094232,0
"Bulk_0042",0.0134552882864619,0.0195920575924313,0.293905194308715,0,0.0169771853271385,0.174223716847584,0.127465708961356,0,0.354380848676313
"Bulk_0043",0.253195603814196,0.0150141949753689,0.0130294240347937,0.0994700742417008,0.452751858534663,0.0297107412511109,0.121859769607632,0.000845832910553599,0.0141225006299817
"Bulk_0044",0.212127719075699,0.0117745735993796,0.0343294329694613,0.110027390165307,0.0611824577679427,0.00181783745716254,0.559756888398933,0,0.00898370056611462
"Bulk_0045",0.0822315184842721,0.135542452523531,0.0951573631393983,0,0,0.60675410261785,0.00526178348824831,0.0612934775491092,0.0137593021975907
"Bulk_0046",0.435000306445542,0.0659219126123341,0.433251880131814,0,0,0.0373523952735872,0.0215330801402194,0.00530578923066159,0.00163463616584101
"Bulk_0047",0.0160574597617272,0.339471317316135,0.0773833100441798,0.00654383204605311,0.205452879999077,0.0868676742029813,0.262001229413188,0.000390708897538055,0.00583158831912013
"Bulk_0048",0.00809654742337126,0.0219124022093483,0.031570702762425,0.730098560745385,0.0856885189220557,0.0177995424857907,0.0701688475400971,0.00574813031151451,0.0289167476000123
"Bulk_0049",0.0116428516849655,0.186821990236397,0.0359054542372966,0.0893290379027884,0.0086427224622869,0.00710663865325078,0.450652219994946,0.118559203678212,0.0913398811498561
"Bulk_0050",0.00132647275492985,0.0133630766966018,0.22930165648008,0,0,0.432122954798913,0.318587143599691,0,0.00529869566978473
"Bulk_0051",0.194828891743152,0.0245026841804619,0.302647894033644,0.0056408467380374,0,0.292422239698974,0.138524178823688,0.00304939186444417,0.0383838729175984
"Bulk_0052",0.485075483742747,0.014635794526448,0.0275731925255903,0,0.0375701304734841,0.0920075075462278,0.103939602099682,0,0.23919828908582
