"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"Bulk_0000",0.274023236484982,0.0322124347156261,0.138433466439269,0.0230164936709297,0.00175361529008455,0.162102126911367,0.160190036273784,0.00666828625424486,0.201600303959713
"Bulk_0001",0.365443213541415,0.0316168708776383,0.152977743458804,0.0754735142672363,0.0947787453904402,0.0937534819616978,0.0746848782888205,0.000160508730501384,0.111111043483447
"Bulk_0002",0.0143509744797341,0.0337752140472792,0.172798615946711,0.134754276630631,0.125589284557343,0.175336055627073,0.246274661110608,0.0844869488798381,0.0126339687207813
"Bulk_0003",0.0136867555465773,0.191025853607539,0.214534815581666,0.0558857924969164,0.00778587625705093,0.156233067095374,0.146434852048476,0.0725514101427983,0.141861577223603
"Bulk_0004",0.176195490771771,0.0111621909169097,0.212069919948069,0.080702890579576,0.0691403802619647,0.00899059853622093,0.129530071419392,0.0122258105034172,0.299982647062679
"Bulk_0005",0.332895020147412,0.10443733102884,0.157154869078251,0.0833803422192703,0.0379180616475204,0.17086918735102,0.111487061460196,0.00185812706749199,0
"Bulk_0006",0.0272453890527152,0.0512506492051413,0.115019808096089,0.0833986201534431,0.0312142488374693,0.0330096487558543,0.271700400545573,0.0109538374649994,0.376207397888716
"Bulk_0007",0.027301203679048,0.0597846086038523,0.0521037698139947,0.0503709232721727,0.120168387084359,0.0969950120870171,0.231756588277335,0.00191710324774617,0.359602403934475
"Bulk_0008",0.0281604856054074,0.0183594698203775,0.0240748710526523,0.0806973242048247,0.163322064398893,0.0741855084261393,0.187235089002979,0.021527798449892,0.402437389038835
"Bulk_0009",0.0564994968686209,0.0407311298311915,0.112897624768371,0.118053599295694,0.0707447821459167,0.160580403931831,0.148240991952616,0.138695219479831,0.153556751725929
"Bulk_0010",0.110539554229692,0.0075184801003619,0.0178030601773018,0.295002121910839,0.023524941720302,0.0741172800627033,0.376672675817053,0.0831405237419221,0.0116813622398245
"Bulk_0011",0.0454191822449199,0.0280777275918863,0.114741141907155,0.0269454665808279,0.00354894367539397,0.0920073723014833,0.230475027247419,0.000116388658993024,0.458668749791922
"Bulk_0012",0.0850904769043712,0.0102853420855895,0.0906078839407531,0.107279966128408,0.34258947644522,0.0674587128348836,0.158576862853621,0.0656770539042067,0.0724342249029458
"Bulk_0013",0.0228062711432576,0.0117352736181908,0.00858057423076057,0.00712561868436494,0.0536718657564172,0.104600493534023,0.244434672051833,0.0016145631192041,0.545430667861949
"Bulk_0014",0.195021747693475,0.121333433106978,0.0679817096524014,0.0378007558365744,0.0268706396516351,0.31654719530808,0.0643038521108371,0.0811079379126318,0.0890327287273876
"Bulk_0015",0.123678383691998,0.0604609148330994,0.0386971894795389,0.0553327610037882,0.0403892763170662,0.0672643469864093,0.223213904189489,0.00842641714407424,0.382536806354537
"Bulk_0016",0.0847733938908794,0.0152277964151962,0.0311700216144922,0.00682436829471851,0.139086763943409,0.124949240186483,0.264218864943115,0.00103456200347188,0.332714988708235
"Bulk_0017",0.230449092205112,0.02612535710396,0.0958465198812892,0.0931324947512418,0.173170518318126,0.11038219491643,0.170035776572018,0.0867555185470051,0.0141025277048186
"Bulk_0018",0.262008417767498,0.0158059538874499,0.151716519053398,0.200212726277213,0.194933916576973,0.0418686700537111,0.0498509506072413,0.00352872790670105,0.080074117869814
"Bulk_0019",0.013236416669465,0.0656854221225501,0.0420903059273313,0.0107295385947647,0.307047282490327,0.143487861486788,0.149567904369267,0.00231965302845459,0.265835615311051
"Bulk_0020",0.0165738849627602,0.100323024864315,0.151878856757398,0.117645136321999,0.0364934669299759,0.0302598704164116,0.227229705173391,0.223413339892041,0.0961827146817083
"Bulk_0021",0.0185402618259377,0.0275103590750474,0.131433500101715,0.0218546851128719,0.0146864263167361,0.0231115030276722,0.242174668039998,0.00426621157240469,0.516422384927618
"Bulk_0022",0.102512231370162,0.0285885312871843,0.0498878902197022,0.191172206349571,0.209996278602092,0.173783133654634,0.136279094176269,0.0215891510345294,0.0861914833058551
"Bulk_0023",0.0504582648890652,0.0458592513795743,0.0349063882317842,0,0.02059546669407,0.364954967180213,0.196314810079141,0.0180910953225982,0.268819756223554
"Bulk_0024",0.00251473694291045,0.0454995354631124,0.0617471742053205,0.189694753807459,0.0784520386315599,0.0311254901682764,0.246397243998084,0.0216315467948072,0.32293747998847
"Bulk_0025",0.0165159651861229,0.0147099989267103,0.038098655472787,0.0542937841669638,0.0232569072175092,0.0145616249964158,0.261937443244968,0.00257532980058392,0.574050290987938
"Bulk_0026",0.276063647561212,0.04366057162654,0.0868761065422275,0,0.000708897948404864,0.213729115883213,0.147466713034172,0.0223781947352517,0.209116752668978
"Bulk_0027",0.00995749707026545,0.0198631712421425,0.370614530141287,0.0170544522736208,0.110816634371748,0.0281923094173301,0.313047067324684,0.00961371772241323,0.120840620436509
"Bulk_0028",0.0416472086532821,0.0194853130803578,0.0313034571945333,0.0929282369760498,0.00256906708891917,0.0144432830268712,0.232571240202426,0.00100504305270257,0.564047150724858
"Bulk_0029",0.0808847942993431,0.0199071299577486,0.315611632663005,0.0983485235660379,0.0206705082823563,0.0460206521767091,0.177678422269741,0.0110433902912365,0.229834946493823
"Bulk_0030",0.00851668438002425,0.0428082142967679,0.054532412928181,0.114522249888468,0.156167531291079,0.0441752037732424,0.179031127020506,0.00775527442538979,0.392491301996342
"Bulk_0031",0.0778626276008081,0.0223442616799215,0.400164239195519,0.0963355838624177,0.0389345180285184,0.0832452537967359,0.157372184106001,0.000244750227320584,0.123496581502758
"Bulk_0032",0.233463479430289,0.075749137695581,0.0332165855404043,0.0900504563627183,0.0679389481625259,0.0381955182425962,0.240763270280723,0.0412801377593535,0.179342466525808
"Bulk_0033",0.0258602872822946,0.0187739515298523,0.177219058519578,0.0260024924616047,0.0693451827972712,0.0845960043404062,0.184622147905754,0.00782789133217922,0.405752983831059
"Bulk_0034",0.030147219458948,0.0199878067362592,0.241923130900882,0.0640374311471532,0.0243403945776637,0.160972614727023,0.171521594153451,0.0781958719261085,0.208873936372512
"Bulk_0035",0.00441700847187128,0.0397929851748151,0.0564172420197717,0.117664027693709,0.00500714164001042,0.0147886806791795,0.280749839899608,0.00342569965943683,0.477737374761598
"Bulk_0036",0.0122078792770342,0.0141968724709221,0.0615762031418404,0.0959698052051089,0.0270837376046952,0.0142826732747284,0.264556254411496,0.015630183098051,0.494496391516124
"Bulk_0037",0.161322188531196,0.0784801956352486,0.172290433567894,0.0141034449698989,0.0620117878675132,0.0574966738894081,0.135302027110806,8.30387261577089e-05,0.318910209701877
"Bulk_0038",0.402898615965373,0.00257948137960748,0.172474411172592,0.0908032642665462,0.0116971077773764,0.036914114954426,0.168425223152408,0.0463816225204947,0.0678261588111761
"Bulk_0039",0.0423666017535621,0.115769224719709,0.0942398597069714,0.17292483912436,0.0739041421632218,0.0228368160638861,0.264117415699434,0.0167460263958901,0.197095074372966
"Bulk_0040",0.0377840037249829,0.0150198064801712,0.00500826231628394,0.0288733959257314,0.0283877658877618,0.0203092016901704,0.287573690739336,0.00231283323967641,0.574731039995886
"Bulk_0041",0.0173928968919427,0.0700807547974524,0.0844520537223407,0.0985480896271138,0.00168152072897357,0.182115143302282,0.187816069032316,0.0131668184429449,0.344746653454635
"Bulk_0042",0.0375682229226264,0.0626552949345594,0.0979037538169933,0.00346524832478104,0.0828303311341795,0.131215618817701,0.23428270887757,0.000229483685322407,0.349849337486268
"Bulk_0043",0.0158482838856687,0.0377709316177371,0.02638554585455,0.0031352315772029,0.0324475235797562,0.0216073050302424,0.278212598590007,0.000160691352274874,0.584431888512561
"Bulk_0044",0.381591974694051,0.00314140614155227,0.126435026501561,0.113799108164423,0.0862330846768796,0.03122042028255,0.0936266530740217,0.0893399471668889,0.0746123792980722
"Bulk_0045",0.0132166175576283,0.0273110262921226,0.0728433156213797,0.0052506169280843,0.0268427547712356,0.0195794430026451,0.255924586237864,0,0.579031639589041
"Bulk_0046",0.160177427930916,0.0754634013753512,0.149529269673973,0.204174390380638,0.0273897901198811,0.0265911099895793,0.230627268772688,0.000933421593449208,0.125113920163524
"Bulk_0047",0.0191250513140983,0.0464996523641947,0.0643137175647202,0.0171055396551788,0.0248664408996937,0.16779389237942,0.220271087247817,0.0223511030271446,0.417673515547733
"Bulk_0048",0.0479345119621727,0.0623846052180441,0.0787937062697846,0.0329039090435399,0.0692725533556367,0.116248329019858,0.254352517249818,4.89362561455545e-05,0.338060931625
"Bulk_0049",0.0421622474609334,0.0979124681064462,0.0523363163560597,0.130533809781894,0.0463467252187822,0.0226246864437466,0.19915572258047,0.0135091444455988,0.395418879606069
"Bulk_0050",0.0317894567435699,0.0281874988411131,0.0842600675592328,0.0222721557034385,0.0573443855232453,0.102049985664026,0.206642331457936,0,0.467454118507439
"Bulk_0051",0.211721307326293,0.0606880649433469,0.181478620131419,0.0351074829028715,0.0970606355127058,0.046573477341366,0.135771165344038,0.00074861393314999,0.23085063256481
"Bulk_0052",0.0790075641147885,0.00401312450269654,0.018254338790927,0.21342197940408,0.0359851273407204,0.354990588411735,0.134371128189693,0.062496285050109,0.0974598641952501
"Bulk_0053",0.0755840832835871,0.143411459267551,0.0169964920083301,0.256759001101235,0.0596800005249315,0.138752663836444,0.160389460777131,0.000495726062993108,0.147931113137797
"Bulk_0054",0.0207961521567415,0.162150557915204,0.0625625769005244,0.0437310333597184,0.124461236749942,0.0134866906652932,0.350479164735999,0.0186737141673527,0.203658873349224
"Bulk_0055",0.0156634434380268,0.0287613779343954,0.0620653313195112,0.0027590260080691,0.0451435514161177,0.0338672401105489,0.251889230055692,0.000676933917692075,0.559173865799947
"Bulk_0056",0.159428291218555,0.0380198634688149,0.100920479137244,0.036661415530507,0.385297236784565,0.106230180102404,0.0515172878290775,0.0330895060596261,0.0888357398692066
"Bulk_0057",0.25198347413361,0.0248816976366305,0.0292506169343171,0.134885012360756,0.115481568711059,0.0265471880025421,0.132822172857603,0.00885106696781597,0.275297202395667
"Bulk_0058",0.118286698489017,0.018725152198063,0.0551891632713173,0.0657439718756067,0.0454719456385048,0.0302613965760909,0.230515602396873,0.00369391254236558,0.432112157012161
"Bulk_0059",0.0678363183950152,0.0227662087159168,0.139887223725002,0.0457945773081068,0.0453442587349852,0.185114283428964,0.338823770128812,0.00323017388616533,0.151203185677032
"Bulk_0060",0.0025546432531149,0.0117766880650703,0.0125087808031587,0.0422749485328208,0.0624588518768249,0.0274465904047153,0.304694215254091,0.000344304338233335,0.535940977471971
"Bulk_0061",0.166500268692251,0.0373252347195448,0.082629176524905,0.0480336369757874,0.0780313038507066,0.039468433571352,0.287880817363215,0.18346334032297,0.0766677879792675
"Bulk_0062",0.12537727470592,0.0527232473841311,0.141755860811808,0.0363887529147001,0,0.157278179643843,0.235819813237701,0.2341742018089,0.016482669492997
"Bulk_0063",0.00979234737294591,0.0115970440039741,0.010679419970464,0.0298090193386166,0.0231910644835812,0.0244325412346694,0.297235598209544,0.00822608455953877,0.585036880826666
