"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"Bulk_0000",0.0598816998765265,0.00364416971706831,0.0193663668953288,0.028911276536174,0.0428311131092837,0.011200924774064,0.116571799498833,0.0411410019442017,0.67645164764852
"Bulk_0001",0.0129744539355022,0.0277383947749805,0.0158686634912926,0.0414541667809992,0.0143673510020533,0.104045391159523,0.120535318926246,0.00264332768899756,0.660372932240405
"Bulk_0002",0.0124271822459355,0.00886916277274491,0.00200955620882152,0.0103238554477825,0.0420596853239917,0.020242119805889,0.12226097661534,0.00439454720829769,0.777412914371197
"Bulk_0003",0.0144208705703564,0.0052614018583362,0.120573477252363,0.0475960195377569,0.0755664545537695,0.030251691234308,0.110111937553134,0.0038410918297082,0.592377055610268
"Bulk_0004",0.0506734838928446,0.0117897315839228,0.0324524525710005,0.00951597082360099,0.038528985847831,0.0118534021960028,0.126514650030137,0.000635755172310372,0.718035567882351
"Bulk_0005",0.0233513154807128,0.019442448715226,0.00209890301963365,0.00664600150744873,0.0565918988542721,0.0162024364723293,0.106908436164431,0.000792360426079368,0.767966199359867
"Bulk_0006",0.0326530181377116,0.0328099694380524,0.0189689423368149,0.048139700372484,0.0396770654411933,0.00722125695910243,0.130394287215346,0.00231123573572727,0.687824524363568
"Bulk_0007",0.0150980303399181,0.0365300208097616,0.00587995880466206,0.018103327205931,0.0590028832644212,0.011154998900509,0.124993014202344,0.0141802134368607,0.715057553035593
"Bulk_0008",0.0346457305798749,0.0148789207955428,0.0578968921089297,0.0076344796543587,0.0728617608086098,0.030469348285149,0.127956676566989,0.0173801673030854,0.63627602389746
"Bulk_0009",0.0392419159459036,0.0513076005251603,0.00658815266225508,0.0407361243705956,0.101924694297815,0.00282215747010373,0.0978667349183179,4.84611159155716e-05,0.659464158693933
"Bulk_0010",0.0983063303583035,0.0183809212546236,0.0503368411354464,0.0694339348479196,0.0236014354965976,0.0495866697077323,0.0896420479712984,0.0249386191997731,0.575773200028305
"Bulk_0011",0.0659850513432849,0.00929239717830778,0.0225322994250162,0.0212055656173931,0.0363166461081643,0.012173179558115,0.121517087470264,0.00189316613850563,0.709084607160949
"Bulk_0012",0.0183992018916161,0.0135009479452934,0.0255839803291261,0.0127327868804216,0.0562752351174717,0.0422432396689227,0.0931243480335351,0.00369569208804004,0.734444568045573
"Bulk_0013",0.00614960441766471,0.0132017075223089,0,0.0304296205898281,0.0817300876416371,0.090844625991756,0.106998516013309,0.00138012853493053,0.669265709288566
"Bulk_0014",0.0276648518234948,0.0317365414264296,0.110583889701647,0.0219295860688506,0.0268819964068574,0.0171680762469917,0.117247285496163,0.0173683203120485,0.629419452517518
"Bulk_0015",0.00966669722389975,0.00755909752357049,0,0,0.0387774055488336,0.0242075779031762,0.105714770473414,0.0169579256424961,0.79711652568461
"Bulk_0016",0.0164793504929984,0.0403769312148573,0.0403607685994917,0.103245085898219,0.0340455393200287,0.0478186037930565,0.119617414689038,0.00175119772413791,0.596305108268173
"Bulk_0017",0.0223166000991932,0.0107595149525624,0.0422154085146075,0.117529699362969,0.128523463843847,0.0219225035376274,0.086410745227659,0.00136938266818611,0.568952681793349
"Bulk_0018",0.00637111067408449,0.0190925295332096,0,0.110687227565724,0.0341431389641119,0.0156234010061703,0.109794992434057,0.00304745041756698,0.701240149405076
"Bulk_0019",0.0885992846278908,0.0237743071698013,0.034232014622567,0.103598152878112,0.0374119410337096,0.0128001145144129,0.108937568338031,0.00867170390948272,0.581974912905992
