"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"Bulk_0000",0.0974337043303601,0.260824085429939,0.0242556287277706,0.112144794243916,0.0665974071901172,0.0172582198552201,0.0505720941185602,0.219517364284911,0.151396701819205
"Bulk_0001",0.195070488322615,0.0207080210038738,0.110254085441342,0.0960879731892657,0.0245636814133119,0.17198347256894,0.152125621798935,0.140739277356016,0.088467378905701
"Bulk_0002",0.0942427025316689,0.133680141017464,0.202437285646593,0.225941886164963,0.0618592095104207,0.215848660476591,0.024245071292622,0.0129406998377677,0.0288043435219098
"Bulk_0003",0.0500797542032377,0.0270807646218698,0.0486330858240224,0.559966197957429,0.0808463708609398,0.00126609438915207,0.160514333680358,0.014462397950142,0.0571510005128488
"Bulk_0004",0.0307589248842657,0.092243529756708,0.0182599152055422,0.0874003058220077,0.0485465274811562,0.137297941594976,0.12279713399182,0.258331197158834,0.20436452410469
"Bulk_0005",0.0636655342917765,0.0202411249474893,0.169150243156698,0.220144676414834,0.210106596409716,0.070461614717903,0.0366656154797121,0.00756453412263046,0.202000060459241
"Bulk_0006",0.0721828891037022,0.0556141304398422,0.227687831486746,0.133563158535149,0.0809497726698788,0.17194195823921,0.195750928793968,0.0580410077082238,0.00426832302327959
"Bulk_0007",0.0757641466285181,0.0627207382288777,0.0597811776164708,0.179762423706844,0.0372311947924185,0.17708266614585,0.111304361945156,0.0613184440870734,0.23503484684879
"Bulk_0008",0.0387400721957172,0.00595264227691914,0.0106980797329477,0.143863569720428,0.0139090948006446,0.169383514076822,0.13807379362983,0.00411858626391542,0.475260647302776
"Bulk_0009",0.118513794745242,0.0292495477800807,0.116924596748367,0.0847983973192108,0.239386742097564,0.120089038464495,0.0476692655341069,0.0036530596520489,0.239715557658884
"Bulk_0010",0.0123575631896668,0.0219381180559405,0.12086899785087,0.146682810173804,0.00541499918503179,0.0474878908828262,0.293316909670129,0.00185545203993112,0.3500772589518
"Bulk_0011",0.104710725128283,0.0636350407812791,0.0471668569871081,0.124502788231617,0.124662107837561,0.0474963031489609,0.339076749047832,0.000384413461702904,0.148365015375656
"Bulk_0012",0.0950169025783914,0.0454282480708261,0.0395368011280811,0.325078940411364,0.118970801495364,0.256399227672444,0.0638699884237934,0.00102092611348191,0.0546781641062544
"Bulk_0013",0.0134477754390171,0.0740923917228046,0.00133073948657532,0.140300003860211,0.186004716888717,0.0808087079477355,0.0837201654943698,0.164445073193979,0.25585042596659
"Bulk_0014",0.17325350698106,0.176384679939982,0.0555053963234431,0.139023889883797,0,0.0768474981680628,0.105052238811307,0.272317339425417,0.00161545046693027
"Bulk_0015",0.0259235599547915,0.0895968361370559,0.0149548509363406,0.167762360580934,0.0999920390192763,0,0.0700870872656959,0.471617324342383,0.0600659417635228
"Bulk_0016",0.0781574121974733,0.0936673388863262,0.099179019598628,0.422908761973877,0.0683566497016397,0.0750589737859591,0.0838519988565029,0.0450094698479152,0.033810375151678
"Bulk_0017",0.0184859226206745,0.002815187801161,0.0370376098595411,0.25824548914429,0.272367619847954,0.0288758425035947,0.0804674072155084,0.0605277596336754,0.2411771613736
"Bulk_0018",0.222149455006958,0.0506391233243575,0.0801637881148905,0.203988632232909,0.0981644019400021,0.126066280304089,0.116636785006134,0.0323981583536119,0.0697933757170478
"Bulk_0019",0.0775864599430136,0.188800325909192,0.116826451309025,0.0905726987875387,0.0817411025939483,0.0366987235858182,0.150146270679057,0.0128600354487398,0.244767931743667
"Bulk_0020",0.0159840579779857,0.0705490839123557,0.108745302746271,0.209490675241214,0.0756219188276673,0.161968270703773,0.133833101642894,4.3915214868001e-05,0.223763673732971
"Bulk_0021",0.228487016739975,0.0773236812457447,0.152777913828108,0.112205559628999,0,0.0243942823254977,0.0673084969487474,0.00085902709392612,0.336644022189002
"Bulk_0022",0.0115103096118031,0.0677014443161868,0.0827343677635102,0.152129674073518,0.0802039953497754,0.318913850467171,0.0204371926379699,0.204546412678074,0.0618227531019923
"Bulk_0023",0.224551804165164,0.0220980856692805,0.0663791630853431,0.267328662846249,0.0130967377039933,0.177364177162758,0.0907305649397064,0.0382459350914529,0.100204869336053
"Bulk_0024",0.256118684860941,0.0139820296692899,0.150703635814266,0.303433208121196,0.123219807432663,0.0230163401203961,0.0433387327978492,0.000187728299834424,0.0859998328835646
"Bulk_0025",0.393216577940515,0.199602477635825,0.163685580093058,0.116179204522035,0,0.0680353671184763,0.0529563115433583,0.00632448114673245,0
"Bulk_0026",0.0406036508787641,0.0340569657734551,0.0731047835846665,0.255839104421391,0.0738849723968732,0.116893241406223,0.0286524679318949,0.223960063861958,0.153004749744775
"Bulk_0027",0.12039014336851,0.0379109121651055,0.105969144471944,0.169127767099306,0.0175344294048797,0.00616346424594346,0.222644377082075,0.178915882153726,0.141343880008509
"Bulk_0028",0.0648826681241867,0.0591894724044311,0.0253352184541141,0.694144274795727,0.0413669637170578,0.0177911841230469,0.0731044817138336,0.0166411978554126,0.00754453881218992
"Bulk_0029",0.194480707814256,0.0932835120447756,0.0520400658898308,0.124414416029991,0.0653417384098303,0.14952912474666,0.121512042641985,0.0340315926247508,0.165366799797922
"Bulk_0030",0.304077300664877,0.0596279386398557,0.04938173633489,0.19049482278568,0.0247173075094374,0.00320541639143243,0.305178590566096,0.0262114258333055,0.0371054612744259
"Bulk_0031",0.0447995686286921,0.170110491450854,0.122180187279484,0.124432786275053,0.00410091945472023,0.117276306214331,0.290117230221929,0.00703619658350826,0.119946313891428
"Bulk_0032",0.0380043635714086,0.146437380343738,0.0314517683745074,0.314968851249647,0.120155282227518,0.0480287884668196,0.199040125221012,0.0225043760002555,0.0794090645450935
"Bulk_0033",0.0445976027985235,0.0137048328846885,0.0468710890444868,0.0927264279700303,0.131573990251931,0.124777552440879,0.0928897332143663,0.207525204936688,0.245333566458406
"Bulk_0034",0.05650673285402,0.0627040880472259,0.0237285697670777,0.193625970949501,0.0741735609318312,0.145906568700782,0.108982176481306,0.191682889534007,0.14268944273425
"Bulk_0035",0.210995947605963,0.0786606981022171,0.110898457709512,0.124574360682625,0.00789542517314473,0.237474087539941,0.0380835049204702,0.0766210676334958,0.114796450632631
"Bulk_0036",0.183026121299441,0.00319844533802934,0.312029787215394,0.29192418413666,0.0695103887825397,0,0.0611063531199192,0.00404824221657347,0.0751564778914427
"Bulk_0037",0.246658562685203,0.00884532782916083,0.162937090252054,0.145695496103023,0,0.142807908039892,0.139990507506127,0.133887618508016,0.0191774890765243
"Bulk_0038",0.250541155512136,0.0573845943365442,0.045640886314507,0.141130936239429,0.0399785374214866,0.183896712033296,0.154167013905209,0.0397216619025452,0.0875385023348469
"Bulk_0039",0.204403696507451,0.0703758451113007,0.0859368046435773,0.176834958876451,0.0102416517890654,0.258737181855435,0.0384889555615904,0.0609640750933676,0.0940168305617615
"Bulk_0040",0.0379657360020494,0.0471175797195248,0.068643049031737,0.151061792048079,0.0101793214968162,0.000328468184152112,0.105086839428835,0.378571772907081,0.201045441181725
