,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
Bulk_0000,0.0006112068636565021,0.0010006066734818916,0.01990444207782025,0.21295386718427475,6.192394523568456e-06,0.03729487454781787,0.008610319287611225,0.679068784443122,0.04054970652769197
Bulk_0001,0.09251134557788754,0.13393810723318336,0.003916491910011809,0.0026463217037908534,0.3648175906191505,0.011890735557300176,7.721882607264704e-06,0.3822152744010683,0.008056411115000283
Bulk_0002,0.2954274244062133,0.006092613467439656,0.0014861938628540957,0.00020004886405828456,0.0032516049270590857,0.012701122394036072,0.1559384669570806,0.016806040024612754,0.5080964850966461
Bulk_0003,0.05465222596426426,0.03129179913091608,0.18739811052593078,0.02356172806437855,8.400507264634873e-06,0.00794053797013029,0.00011921148071845645,0.07692423912667401,0.6181037472297229
Bulk_0004,0.023298329113641318,0.47603489399340126,7.655435825088646e-05,0.0005953720440378561,0.0006510424609148132,0.0027489756669642177,0.43184050502990695,0.06410038372678668,0.000653943606095956
Bulk_0005,0.1316402078538876,0.09122563414206045,4.3779953999702997e-07,2.053430629277102e-06,0.6747388597877801,0.0236325471088602,0.0002715462669933785,0.031023804352483277,0.047464909257765864
Bulk_0006,0.019568581227734982,0.16045741444432043,1.0757640406448677e-06,0.018087849901762768,0.11566320313070069,0.01632068745151788,0.08633942751830898,0.33186038150573977,0.25170137905587386
Bulk_0007,0.009261231208293435,0.010893151771438904,0.0002792620536256562,0.6942411284016011,0.001243622458691892,0.029594500148693463,0.2454170030207483,0.007982511690378799,0.0010875892465283556
Bulk_0008,0.07953066376245845,0.05292426163215064,0.09259920919982972,0.007333821053781965,0.3650641172103066,0.30213645524707666,0.0030111197392443884,0.09507501426586414,0.002325337889287363
Bulk_0009,0.038806674726939286,0.08243134925215943,0.010141468746007867,0.08764250035832889,0.07763798089879899,0.6941927682625333,0.0015631349895855774,0.007567857149667579,1.626561597882819e-05
Bulk_0010,0.4633433923794319,0.09961956643740186,0.2939300474421761,0.010338314548876092,0.06193670002951317,0.0014155217103542085,0.008664757650422766,0.04159593670196894,0.019155763099854846
Bulk_0011,0.001131981639600449,9.507817191764094e-06,0.0026453594777644304,0.3343014006314063,0.05190930500012217,0.07596389218362626,0.0002573929945651788,0.016346963829069274,0.5174341964266543
Bulk_0012,1.6846827976183462e-05,0.0005844074970445692,0.3771632596674648,0.0007847818862814978,0.12462754668625471,0.0002790238496919791,0.4683297798436501,0.010172692736086435,0.018041661005549672
Bulk_0013,0.0005890552918262784,0.022441796473073823,0.16463240066433704,0.5602518425867702,0.09456105808571683,0.0015475781793356925,0.04773054779880809,0.027687312081104767,0.08055840883902726
Bulk_0014,0.006508384369529659,0.084698733728143,0.12009168650587244,0.2740512712132772,0.012074202665688314,0.32212062958063925,0.030583019961457514,0.12180522691226002,0.02806684506313257
Bulk_0015,0.13260952345322005,0.3304383797983881,0.00013187994914115128,0.004342908239308648,0.035574202230252976,0.0884770047818198,0.3420523778832829,5.699312519086296e-05,0.06631673053939537
Bulk_0016,0.4422807288604086,0.008158411945093355,0.2999072018440787,5.89813647021883e-07,0.013337250511083509,0.07592502127265677,0.0012144202671508651,0.15915990232677624,1.6473159104853834e-05
Bulk_0017,0.09679371066027126,4.459073253939142e-08,0.5409466253543027,0.1890710334867578,0.1038427304610305,0.00365601805651842,0.012479820227187384,0.006846473517330731,0.04636354364586851
Bulk_0018,0.26644878376501374,0.047943763285306466,0.06780789606313997,0.04988010559859753,0.0028521360045034613,0.031149991174604236,0.4623297763757769,0.049887835402750484,0.021699712330307302
Bulk_0019,0.262800186003187,0.24428892387415854,2.249934627932723e-06,0.3836791569432076,0.030330325030352254,0.05595095568942553,0.02289990233070959,2.5383771203270337e-07,4.804635661970753e-05
Bulk_0020,0.017390818718423604,0.007720209984685122,6.1530056420571605e-06,0.0034873303289230796,0.005171835583679581,0.7179770391360184,0.22710938788755344,0.020789321213940122,0.0003479041411345555
Bulk_0021,0.007703285967345537,0.0194248402453137,0.00024535082300117115,0.5944248941256421,0.03093005074276837,0.04918660420816819,0.10729661478908278,0.03538310349214578,0.15540525560653248
Bulk_0022,0.05441007730802346,0.07308121168515223,0.17513615803877353,6.160310361248088e-08,0.0022683331800324564,0.4200926681820342,0.2694475435075764,0.0006448052479349563,0.004919141247369086
Bulk_0023,0.10550267971902931,0.0002323539677791877,0.00811728685776594,0.0054178001734707035,4.654664062124786e-05,0.07454619682625327,0.0009851152645618834,0.022749401717308788,0.7824026188332097
Bulk_0024,0.31815595266851215,0.04978460956874122,0.11708856375359462,0.1789177768773554,0.12449761573557967,0.02080080061509214,0.1614449405667773,0.025154652823568213,0.00415508739077914
Bulk_0025,0.03488320015114379,0.08598782333968565,0.00020033382179329763,0.0390058419370709,0.009283840791545999,0.025064265846625532,0.6382045151490482,0.15899474071799025,0.008375438245096343
Bulk_0026,0.38971845312088915,0.16856066715520568,0.009024422323200049,2.391404199771609e-13,0.00022550588790572258,0.08508510914550431,0.3325275705337206,0.002771259706178385,0.012087012127156713
Bulk_0027,0.0007112839742694877,1.302320923758463e-06,0.8014240837764821,0.07436956586129188,0.10352737104701876,0.0081519991809318,0.008691325880662798,0.00027266870021596605,0.0028503992582035362
Bulk_0028,0.0249890994707697,0.2667015169813882,0.01158748121991678,0.014131231484456863,0.008928825899911856,0.007602154216545546,0.4190795586816596,0.2436145051073101,0.0033656269380412315
Bulk_0029,0.02929299012082947,0.23554522777772244,0.03891233311075419,0.044634344426407596,5.989441284838242e-08,0.0644833278746071,0.39651575239311254,0.1889397247037065,0.001676239698447345
Bulk_0030,0.37388171521881397,0.1784342332606926,0.030049233377062494,0.3381202921849513,0.006264377882720222,0.05463378616153601,0.00022618627298052858,0.012425997494806232,0.005964178146436815
Bulk_0031,0.37869956444245917,0.0120525158660249,0.06916219787707659,0.1255929976945678,0.12701268731819879,0.10062243229061461,0.015921489315719798,0.10032126018969698,0.07061485500564121
Bulk_0032,8.914168334841272e-07,0.3766314549186181,0.11352505410948473,8.11905191178041e-07,0.11034348040122,0.26275815919771617,0.0017433752941247189,0.011023835571818533,0.12397293718499289
Bulk_0033,0.0005923680343260303,0.39027862909048255,0.002135276354395576,0.02571313825879799,0.41372000302258066,0.0001761655191507674,0.0023160140862129776,0.012875996454462295,0.152192409179591
Bulk_0034,0.00419118478401385,0.0009040271311302145,0.1283765423154128,0.0005908382177239438,0.2996968828483969,0.565042034946529,0.0002614572186528976,0.0006600524320105299,0.0002769801061298057
Bulk_0035,0.13385194897370678,0.20769289528676038,0.0002742682800918877,0.0002893848915769139,0.35234354465457846,3.372135532440322e-05,0.1694834713521247,0.06180100623905902,0.07422975896677739
Bulk_0036,0.00759325028146423,0.16973291846489413,0.00022350155721689535,0.4512744697477922,0.0001780223891259749,0.13941723724113922,0.023143874731648896,0.15210778702942473,0.05632893855729385
Bulk_0037,0.01975728825588827,0.17849185810288726,2.3792496614517716e-05,0.21537420111461322,0.2437711272385311,0.1777331287470707,0.026258604802393684,0.00015201065617490448,0.13843798858582634
Bulk_0038,0.09539852603416482,0.0026281989102303446,0.10607185555564924,0.038786584529239845,0.5076209659980084,0.0030814223309790644,0.1914581901396207,0.00996684349106507,0.044987413011042476
Bulk_0039,0.05136951486389644,0.08733059527517559,7.791716908241663e-06,0.0015212329144410049,3.753187461529752e-05,0.2159511783935085,0.2592221185054525,0.32172997153965005,0.06283006491635232
Bulk_0040,0.21203300044206339,1.3337676879027085e-06,0.05667402489179107,0.05717730229854055,0.009803780683057949,0.6234407875593071,0.013733228775189779,0.01120649102935053,0.015930050553011617
Bulk_0041,0.05307726245228509,0.43130683134972225,5.5520132323437645e-05,0.16987016812197048,0.1543620638967687,0.0005696589558145224,0.042427925142856635,0.004167956141242419,0.14416261380701634
Bulk_0042,0.022871319083461447,0.019294800268431552,0.5145673369789994,0.002074707810708249,0.18249953516910752,1.7869980266661173e-05,0.2323063949430247,2.013529437024427e-08,0.026368015630706038
Bulk_0043,0.06093581421215064,0.03163164597598321,0.005123828595550838,0.23076319006230522,0.013239861407136363,0.11375266244279625,0.00013644308454841494,0.007924021737877754,0.5364925324816513
Bulk_0044,0.13418697557506445,0.04032424172067689,9.008461136169268e-06,0.2110851855001473,0.00022570994920820782,0.5368759220624385,0.008128283335036849,0.003689689674125818,0.06547498372216597
Bulk_0045,0.017292132447504757,0.16027522646579534,0.006681945317378956,0.04482685094669032,0.5305551071063883,0.0018824463610222124,0.045859673054236647,0.15374305861797352,0.038883559683009807
Bulk_0046,0.0006761601651693942,0.0863780539071397,0.0030903524418534833,0.40786264023410485,0.0398048283046838,0.01484447262237122,0.4053418722535482,0.030357555205129956,0.011644064865999273
Bulk_0047,5.875099050540693e-07,0.47237056559717616,0.00011742766394748064,1.9516198474011505e-05,0.06686910383412928,0.19400362094840237,0.01371881680099975,0.00022215621269560125,0.25267820523427037
Bulk_0048,0.7211454759886887,0.04390399939047266,0.042562571175370156,0.0006279893236109289,0.0006955726581488833,0.041745977880544995,0.01805332956245895,0.05418514071870746,0.07707994330199723
Bulk_0049,0.023856577269625836,0.24389494178174,0.11798565811986858,0.008817392770595588,0.0002505282470134259,0.3196108100367184,0.0006466529311858714,0.2800542789937763,0.0048831598494759815
Bulk_0050,0.00011258505599684936,0.004022797729950601,1.1117697670647184e-09,0.0011341551248026218,0.4763734375870395,0.2992230840128594,0.1975933943371596,0.00014685449601972882,0.021393690544402034
Bulk_0051,0.10340680889207832,0.01964061718595222,0.06097844106362643,0.16629295726382695,0.26308568166549706,0.1074747466645286,0.2632684771486976,0.00360403917428642,0.012248230941506332
Bulk_0052,0.052640532411801784,0.029950786458429603,0.36866886483914824,0.43677865279975625,0.07524797132589914,1.9258055168827996e-05,0.0050266891943048925,0.00040629464212502863,0.03126095027336622
Bulk_0053,0.013567588719859676,0.4253177202119546,0.002709043773561189,0.002952602095200148,0.001297014020905684,0.06071172932111723,0.2028875266442131,0.12075731278802014,0.16979946242516825
Bulk_0054,0.002131945744060883,7.90962616036769e-05,0.05087370105552166,0.36685293392686463,0.3822296092551103,0.013094477988322542,0.16789294858308548,0.014209957182986014,0.002635330002444759
Bulk_0055,0.7793000826673611,0.021140012015774267,0.0006621373014875148,0.057452561452295804,0.07522607443517682,0.01702617253743469,0.014819369431716528,0.019946552400410437,0.01442703775834283
Bulk_0056,0.00017558833947862288,0.010854889532223418,0.17111464846570018,0.06816627660416073,0.02206371183846748,0.2777895739773699,1.4920245999695057e-06,0.4493210448812469,0.0005127743367528875
Bulk_0057,0.040818273980006536,0.02165192052237389,0.04873848627553734,0.18157441627105386,0.053128989260609855,0.0072799467865736125,0.00015546955053928288,0.3064960131855085,0.34015648416779726
Bulk_0058,1.1860142950964946e-08,7.982372604560275e-05,0.058432589366138245,0.0217808224729412,0.1726669835664222,0.24316425118046833,0.011939846280876174,0.4798641278120996,0.012071543734865723
Bulk_0059,0.005950707410589491,0.07916753371448915,0.29790847819015487,0.02270886207766497,0.27148282341118873,1.1790015125110124e-05,0.23117944557088063,1.6313720307481007e-05,0.0915740458895996
Bulk_0060,0.0304223256878498,0.6399224587268997,0.0140512875090178,0.1040052014810391,0.02282801138543468,0.010892067319220261,0.011937950522314231,0.00041040237536591395,0.1655302949928585
Bulk_0061,0.0007329572844873176,0.02481379709466297,0.03245702830190348,0.07963940503431563,0.11672806002406187,0.013678366516126493,0.16577059952183631,0.47551383555593185,0.09066595066667406
Bulk_0062,0.049096522756997406,0.02958927450526042,0.00467670058818881,4.3276397670145244e-05,0.050429116305866134,0.8419704167783656,0.0003345105431800689,0.00037568616118597144,0.02348449596328536
Bulk_0063,0.14253959476694245,0.3244168254430023,2.0389902271016592e-05,1.2131170456449495e-07,0.013845998112055075,0.048763570013169916,0.3870257394809514,5.039274399164332e-06,0.08338272169550404
Bulk_0064,0.3248172064602479,0.1364975259549081,0.18004454570272502,0.15857626360574306,0.021623551827508587,0.004108367601441286,0.04213197183670366,0.05856162876101683,0.0736389382497056
Bulk_0065,0.08010201322763862,0.03156298136885979,0.47876099463114963,7.830677740865795e-06,0.042766312383908545,0.07058754945259177,0.0006541150675281897,0.004426214104540307,0.2911319890860423
Bulk_0066,0.002359522646442871,0.16009851994305926,0.00976381095173245,0.4289435994605137,0.09771934762634937,0.20886989530906114,0.004209470708032223,0.004029710551670536,0.0840061228031386
Bulk_0067,3.578704563745846e-05,9.409234246724978e-05,0.0017169359074249812,0.11696777706431911,0.046722023018391186,0.21060663740598468,0.4355072928628167,0.1424695844819587,0.04587986987099986
Bulk_0068,0.21686015669070222,0.07607748243458645,0.11154428526514648,0.10370247629874893,0.26564475497436185,0.16817360928953146,0.0055400366724691775,0.046637541668043195,0.005819656706410125
Bulk_0069,0.004031356702924816,0.122170734637029,0.00928982729202167,0.12819116795605776,0.09873650481070483,0.0030777548668456463,0.029774119235657693,0.5207757997755089,0.08395273472324963
Bulk_0070,0.03327221034548259,0.13496516555904994,0.024697898187178706,0.027989138649577666,0.026616871714631136,0.22826990118116028,0.298059562782608,0.00045766601465414424,0.2256715855656575
Bulk_0071,0.023343818291246692,0.011362873624190448,0.2550548789569913,0.0012843883397524055,0.04982020313173684,0.08722890519402172,0.194944687674805,0.3760552559416195,0.0009049888456361748
Bulk_0072,0.009680365132058555,0.23232952764653936,0.0006903101912760309,0.06958783117076878,0.37923232371190996,0.04981377564994018,0.028816740321093198,0.22072251425167297,0.009126611924740891
Bulk_0073,0.5185944016547709,0.006216496423643787,0.028087654698687084,0.014108337976280349,0.11505509256968745,0.023769785904644593,0.13533972825503765,0.15771881026314463,0.0011096922541034837
Bulk_0074,1.2663218216767886e-08,0.49276538153737764,0.021533860306942158,0.007317214161899548,0.004444028355539751,0.45452824868895453,0.0014687039688063485,0.016314616543134583,0.0016279337741272504
