,Cancer Epithelial,B-cells,CAFs,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
Bulk_0000,0.3,0.08022732313022538,0.03927674183378912,0.22720259844155796,0.17736064098776616,0.0472509656096186,0.09166200829676313,0.03277173229889664,0.004247989401382963
Bulk_0001,0.2,0.19024384721603038,0.03635413634085111,0.2817625041114599,0.09348347351459496,0.008839648024575887,0.09318079218844766,0.006912280709681854,0.0892233178943582
Bulk_0002,0.0,0.11085413900387762,0.054003968458779576,0.004630006985462084,0.15742306176577558,0.16220595344060995,0.1267703776798444,0.24777209218127022,0.13634040048438048
Bulk_0003,0.2,0.0457256009070086,0.23410044026647917,0.001885332947666299,0.11268973586915682,0.0530918083307689,0.14888834283095173,0.19681549011929667,0.006803248728671992
Bulk_0004,0.5,0.06397980930410843,0.0056205511774562724,0.14505886597802012,0.0014676121841199449,0.017726949820629744,0.14366609654659732,0.0631056994190426,0.059374415570025554
Bulk_0005,0.0,0.18569385699598645,0.135273854929831,0.27931351771957924,0.13760949843021464,0.08775639799765701,0.1002795294456803,0.009615799019849956,0.06445754546120135
Bulk_0006,0.6,0.07669767928595578,0.06807798967354332,0.014642262977282765,0.028255294530176795,0.08710073168555774,0.06953693597275891,0.04444624261322016,0.01124286326150456
Bulk_0007,0.5,0.07082451270171283,0.0994956727997867,0.006841788177049793,0.08614383647420314,0.0741530865120293,0.028396580158275456,0.02541385219632099,0.10873067098062178
Bulk_0008,0.6,0.009909525197509561,0.019769685396729568,0.01848026265030218,0.07272309190534397,0.0025486966328273574,0.009215163995571948,0.09113136889505562,0.17622220532665978
Bulk_0009,0.2,0.10628042907690485,0.05338485759429517,0.0392060694915232,0.12877141365620468,0.05455145432334907,0.07621602121264423,0.2691215193640384,0.07246823528104056
Bulk_0010,0.0,0.24794078965316022,0.014592027527703054,0.08539633267313222,0.053376949084460154,0.2924410001952754,0.003481624049984536,0.26549983133512806,0.0372714454811564
Bulk_0011,0.7,0.04670053065830515,0.02371669085616624,0.03244218614648374,0.08603805087059847,0.03356718984115838,0.07385500736210718,0.0009736009899142592,0.002706743275266665
Bulk_0012,0.1,0.04634811939160732,0.011331098395973046,0.05153529976711519,0.03555951641243918,0.09675486890198627,0.05270988360075588,0.18873867498382393,0.41702253854629917
Bulk_0013,0.8,0.00452821596707114,0.0017652276244793472,0.015965753575391376,0.1116473648129481,0.015939315030984908,0.0026550683340527625,0.020291871095504666,0.027207183559567655
Bulk_0014,0.1,0.04901805132400345,0.1566758084714932,0.12240899934062127,0.2800709320951402,0.017147814429877117,0.02586394758451834,0.17451178268777312,0.07430266406657307
Bulk_0015,0.6,0.0833665006833653,0.06145587894056053,0.08707040311115266,0.031024117667591663,0.039062650098189565,0.012991121496994183,0.06879898836906209,0.016230339633084137
Bulk_0016,0.5,0.014295028818590723,0.02575449725715503,0.056326768120205845,0.11621856005692616,0.12503575666412226,0.013705043198333914,0.012263663783184863,0.1364006821014813
