,Cancer Epithelial,B-cells,CAFs,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
Bulk_0000,0.8,0.028974182877656355,0.001651275747898491,0.05054785685556793,0.010424695830558632,0.017975575039902988,0.015188785485985103,0.05825642097671217,0.016981207185718317
Bulk_0001,0.75,0.05203051731520098,0.03462539973754421,0.013856208210278132,0.08187793532124522,0.034413720830033113,0.01777632519534601,0.015110927499417807,0.00030896589093444137
Bulk_0002,0.9,0.002538928966418572,0.01797983842916756,0.012323205396509983,0.019244226693262746,0.020556794734906635,0.0062150939453419676,0.014650439116685357,0.006491472717707139
Bulk_0003,0.7,0.030921828455087206,0.008755911812642972,0.004275443306289585,0.02128889241964468,0.025792053167302185,0.15051054968999908,0.0077550467133344295,0.05070027443569984
Bulk_0004,0.85,0.005575981586067302,0.016024441436404968,0.043258974386532534,0.009596381329278893,0.017139162898675748,0.04381170762965748,0.0031071550145866495,0.011486195718796456
Bulk_0005,0.9,0.016707443356182062,0.018212245048222345,0.015096407358009463,0.014958300430108897,0.006838048582177167,0.007008702468857008,0.0005942078993201151,0.020584644857122924
Bulk_0006,0.8,0.04289148049403062,0.04471673145475274,0.030699517406423998,0.004323524163328533,0.016163813905538248,0.03628309975405355,0.008455664989907985,0.01646616783196428
Bulk_0007,0.85,0.00030000405670941,0.04841633521774497,0.009478724558229836,0.007862120807855042,0.03451618984213441,0.009781595954860141,0.02573389810364316,0.013911131458823054
Bulk_0008,0.7,0.002414157122477039,0.023301743484205013,0.03503016193241856,0.023384722582589407,0.05584159104813323,0.04905946489167923,0.051384756953163885,0.05958340198533377
Bulk_0009,0.75,0.025199810058416677,0.07230721614063314,0.04638195239585186,0.004234195845963435,0.01212190478750252,0.001690046699316553,0.001670876107070432,0.08639399796524541
Bulk_0010,0.65,0.05031461372865145,0.021176912637529886,0.10262828751126112,0.04752726195466088,0.012506960455782099,0.05619530198146696,0.051070869390783,0.008579792339864585
Bulk_0011,0.85,0.013960914239655026,0.016108055864120344,0.06762822992925117,0.0069068934166003505,0.01694417796700716,0.017970956719892656,0.005523055778553409,0.004957716084919921
Bulk_0012,0.85,0.007666099748740507,0.013766278858009117,0.0166742172991199,0.036885048170235,0.0005547081830321633,0.02190795047406113,0.01691325544997925,0.03563244181682297
Bulk_0013,0.8,0.010516798568269403,0.014507397311218098,0.0030704503800679634,0.07750366532042904,0.012758975928935814,0.00330725573489005,0.007235872198235142,0.07109958455795443
Bulk_0014,0.75,0.005457649545630012,0.04436394562191181,0.015897278249447734,0.011102094289853297,0.030848105910416264,0.10160593460362034,0.020669394036489253,0.020055597742631298
Bulk_0015,0.9,0.0019597401893013855,0.009759177105900817,0.007869965082666347,0.02485282839164361,0.0018384401153554934,0.0037264533831820362,0.03342135739518541,0.01657203833676488
Bulk_0016,0.7,0.08414049329039706,0.05454056610434703,0.007746050385560856,0.043517258919542244,0.044251640415412956,0.03608048739522645,0.009229433596928524,0.020494069892584853
Bulk_0017,0.65,0.11066307403604587,0.020439562811335642,0.019952926374803778,0.01092675428898508,0.026814643325446648,0.03504135581272832,0.006731775214092584,0.11942990813656205
