,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
Bulk_0000,0.051919084880134525,0.3330351102267054,0.14568267668084786,0.10100653113344629,0.01876702941329479,0.018763867527631532,0.006620467431889573,0.2225194258821852,0.10168580682386456
Bulk_0001,0.15225535026558595,0.3024066535936641,0.09060127733750781,0.10828014969198695,0.10025058282970162,0.16420555316115903,0.022470217972663784,0.004546103031763095,0.05498411211596785
Bulk_0002,0.15515404366713872,3.0534385775839356e-05,0.15971227007816333,0.011514377951240233,0.31810218051261346,0.21357122949999988,0.047058767437481594,0.049565820252102134,0.04529077621548488
Bulk_0003,0.17742123734469573,0.09184304785073925,0.199855597537054,0.005174745892410669,0.026253157608135253,0.028821376881939927,0.04449197076484268,0.13038825849276828,0.2957506076274142
Bulk_0004,0.14011427754669026,0.14654249862846863,0.33225885385289505,0.05997544654961812,0.052229693412666235,0.12051096419560932,0.012229803252729552,0.06813261802710838,0.06800584453421463
Bulk_0005,0.06076926022570846,0.02587397746918112,0.007672278192484254,0.10855928455636042,0.5501540858576364,0.022167334244071198,0.005806650568323044,0.1836376716766377,0.03535945720959745
Bulk_0006,0.014836872261423932,0.03822694647023964,0.08497832920368403,0.00767660372851318,0.2823300356128084,0.04467160366493155,0.2396595642939831,0.14913108447161774,0.13848896029279845
Bulk_0007,0.18189123824830022,0.028269278063923074,0.007955518952348955,0.08852320657833473,0.007481556215340672,0.1696976162032185,0.14815730253711473,0.2489953630039849,0.11902892019743412
Bulk_0008,0.1474326828256342,0.07776511277326782,0.04111599682106588,0.30109143234743047,0.01011592667894463,0.013194909265033916,0.10610714767087241,0.05318487467081596,0.24999191694693462
Bulk_0009,0.03813655956586928,0.4430084546549278,0.07146887487657426,0.054000378379482496,0.05781780914449628,0.13980147716778485,0.035155703664976695,0.0416021312217482,0.1190086113241401
Bulk_0010,0.007724012505692686,0.003918843703544077,0.14882369264569678,0.21279007910270997,0.12097096285586299,0.28248722433017487,0.1436638813832905,0.055623910184853964,0.023997393288174143
Bulk_0011,0.06219444622045485,0.08809740969114511,0.052463642320775536,0.17569642508768005,0.004517147563466051,0.06364966936320111,0.05424185817041318,0.11744352882526636,0.38169587275759786
Bulk_0012,0.19697006867773317,0.011726021311935526,0.03933614380201671,0.17527960776958448,0.03102678716053461,0.1055857777632655,0.035625923045296666,0.118086039098216,0.28636363137141724
Bulk_0013,0.14954476503368425,0.13357233116518274,0.16768767677807012,0.02130075583518508,0.2164375436034127,0.10707802579806736,0.034780682664609444,0.1686874713831184,0.0009107477386700638
Bulk_0014,0.06715132334343421,0.21564764829561534,0.2812414986413719,0.04293979039565927,0.027456873289256164,0.06733316142153566,0.021321553196397534,0.2324076894645434,0.0445004619521866
Bulk_0015,0.2874426541643745,0.06571350972259256,0.02994406805636565,0.26722469233945384,0.0683719374601985,0.05605074187993926,0.04663624121412429,0.05882827880102107,0.11978787636193045
Bulk_0016,0.01344204069907019,0.00028236002289198323,0.006202487280025232,0.42702737143063496,0.016952630305970887,0.005702512667038007,0.046537859452363876,0.11142123561507883,0.37243150252692603
Bulk_0017,0.2333991087930416,0.1951075024818853,0.012748888697549955,0.11004171908356439,0.19634602604442492,0.06318000766113438,0.06759700303479123,0.023948968674499842,0.09763077552910844
