variant,scenario,cell_type,r,bias,var_ratio,rmse
v0_none,tumor_purity,B cell,0.4469884713337345,-0.02339781172024387,0.21600938908615655,0.038712721379720316
v0_none,tumor_purity,CAF,0.9652134429159398,-0.0026125393132638915,0.3230920794507921,0.016636430926331318
v0_none,tumor_purity,Endothelial,0.9473391460169278,-0.00967776456526236,0.5691652126427901,0.014494663299995459
v0_none,tumor_purity,Malignant,0.9157520504601739,-0.17447942609279404,0.2742381299443649,0.18255504682391552
v0_none,tumor_purity,Myeloid,0.9782521906521757,0.01979493286510072,1.157796089807435,0.021121019166244405
v0_none,tumor_purity,Normal_Epithelial,0.5397835373807797,0.22883931590233114,1.224215366301283,0.23062218525275963
v0_none,tumor_purity,PVL,0.9781255178885315,-0.010147478371056711,0.3840239787959808,0.017981937841842325
v0_none,tumor_purity,Plasma,0.9639068723768933,-0.015571602346550733,0.2212724498304433,0.022963791439252815
v0_none,tumor_purity,T_cells,0.8732804572813023,-0.012747626358260225,0.17316353131884374,0.022431389838674636
v0_none,titration,B cell,0.5841729932219899,-0.04332130309404445,0.24981542939782572,0.07377573929515192
v0_none,titration,CAF,0.965475598459379,-0.007268376337064343,0.5577111713576378,0.020288847626357666
v0_none,titration,Endothelial,0.9760583551066215,-0.0014041321367774069,1.0467676136399824,0.01755515980961455
v0_none,titration,Malignant,0.9845934070497785,-0.06284655194553074,0.4351853628163262,0.12265650182658414
v0_none,titration,Myeloid,0.9757219473272539,0.032913592848140834,1.5068232810449407,0.04055375775886577
v0_none,titration,Normal_Epithelial,0.5438761444572866,0.15096790259797574,1.5468932847755752,0.1722834400733149
v0_none,titration,PVL,0.9587039363387644,-0.009506200348420717,0.737524882792035,0.022552687010865418
v0_none,titration,Plasma,0.983040007183739,-0.02718058882702536,0.5078823656836159,0.03961494419869081
v0_none,titration,T_cells,0.9642635414559124,-0.032354342757253546,0.26965253224265695,0.06022919135223429
v0_none,uniform,B cell,0.6018700999967281,-0.052772009512185074,0.2622630027534134,0.09265196798986935
v0_none,uniform,CAF,0.9791619004805662,-0.02020327988515266,0.5954324738903028,0.03834063236097332
v0_none,uniform,Endothelial,0.9683010635681102,0.008733548688697374,1.0303200061796869,0.027178158606360484
v0_none,uniform,Malignant,0.9623753821213775,0.028013012016117403,0.8126804632260732,0.040010316709546086
v0_none,uniform,Myeloid,0.9787245500918105,0.053991025462526814,1.629073487342476,0.06651354673967881
v0_none,uniform,Normal_Epithelial,0.9017233805082079,0.06575463602098186,1.7939173607755863,0.09067736792628574
v0_none,uniform,PVL,0.9646040701039297,-0.0014291558813585873,0.8486668557241542,0.02319652100649959
v0_none,uniform,Plasma,0.9785993370409996,-0.031824061290579395,0.5955724997650199,0.04331277710963943
v0_none,uniform,T_cells,0.9320309550741708,-0.05026371561904772,0.32948082129799156,0.07105559621883667
v0_none,sparse,B cell,0.8238435440082922,-0.053130983613520366,0.2196435124067333,0.11786738331384175
v0_none,sparse,CAF,0.9788007489659007,-0.014806614426287517,0.6238197284684711,0.044139549853694886
v0_none,sparse,Endothelial,0.9791519000205967,0.0053666143639626894,0.874237069127861,0.0343805356122779
v0_none,sparse,Malignant,0.9637554297463249,0.018289840725974768,0.6912217824989092,0.05590152978574466
v0_none,sparse,Myeloid,0.9851405019051876,0.0445557279920601,1.2924030204489625,0.06109456420549727
v0_none,sparse,Normal_Epithelial,0.9087283685828234,0.05873968747867847,1.2455135823287184,0.09342661851360873
v0_none,sparse,PVL,0.970298401164254,-0.0007352140871825328,0.8773184470476265,0.03775871619804455
v0_none,sparse,Plasma,0.9842679451279593,-0.02374057113605462,0.7078716906679375,0.04500113335766596
v0_none,sparse,T_cells,0.9439083802532585,-0.034538487297630975,0.4189628887291066,0.0798045740689639
v1_ratio,tumor_purity,B cell,0.44595073360215104,-0.021104431052710468,0.2844408389363041,0.03750216168178094
v1_ratio,tumor_purity,CAF,0.9661628138721838,-0.0018220124740825495,0.32592981969105905,0.016419921255451716
v1_ratio,tumor_purity,Endothelial,0.9502837950015816,-0.00924631849616101,0.5926755566593653,0.013906614418817818
v1_ratio,tumor_purity,Malignant,0.9212119660924313,-0.1690694625857326,0.2974680597383606,0.17680974330233484
v1_ratio,tumor_purity,Myeloid,0.9782106221380615,0.01910045833397316,1.1699387414576796,0.0205023536978169
v1_ratio,tumor_purity,Normal_Epithelial,0.5870629701374199,0.21738200536447436,1.1079567201952736,0.21897186506693858
v1_ratio,tumor_purity,PVL,0.9780736230632261,-0.010081201473179814,0.3944977470491222,0.017733081368051275
v1_ratio,tumor_purity,Plasma,0.9669744108162743,-0.01427005161464587,0.27040243563195937,0.021058901041671758
v1_ratio,tumor_purity,T_cells,0.8512337324813887,-0.010888986001935164,0.17210114883868152,0.02177358758086891
v1_ratio,titration,B cell,0.6082747778767454,-0.03903807587866457,0.270926717361551,0.070280276341188
v1_ratio,titration,CAF,0.9654412917028642,-0.007122014999168841,0.5504084759425688,0.020406331130821704
v1_ratio,titration,Endothelial,0.9777605553750308,-0.0022073275172620533,1.0223534141186794,0.01684361535469529
v1_ratio,titration,Malignant,0.9861411965359808,-0.061251161519461236,0.45072012741300105,0.118618271523514
v1_ratio,titration,Myeloid,0.976266807990037,0.03134832041135731,1.470696697699372,0.0387413024076301
v1_ratio,titration,Normal_Epithelial,0.57314541486218,0.1433931086071925,1.4324440335290178,0.16334460795475006
v1_ratio,titration,PVL,0.9603193357158187,-0.009539112635951266,0.7381972026988128,0.02227362737496116
v1_ratio,titration,Plasma,0.9838920327213518,-0.022894756187982108,0.5930353672173464,0.03359360123016583
v1_ratio,titration,T_cells,0.9631069895658201,-0.03268898028005975,0.2573500835508956,0.06135649148028714
v1_ratio,uniform,B cell,0.6388576343419079,-0.047087602658322895,0.2706147541562013,0.08751406093844732
v1_ratio,uniform,CAF,0.9799455520518178,-0.020908975505478492,0.5908241733377991,0.038724614730648
v1_ratio,uniform,Endothelial,0.9712769393515795,0.006240704436830473,1.0156371113830274,0.025167066835134824
v1_ratio,uniform,Malignant,0.9635198605242813,0.027591710281292498,0.8085965630586525,0.03948033853791723
v1_ratio,uniform,Myeloid,0.9789134127866388,0.05161121587130097,1.5990327078639524,0.06393410717136358
v1_ratio,uniform,Normal_Epithelial,0.9078373307358418,0.06223606521535574,1.7309688458396395,0.08601332364707083
v1_ratio,uniform,PVL,0.964674132609969,-0.0019525713200478406,0.8372023941493489,0.023307591661928972
v1_ratio,uniform,Plasma,0.979793633968676,-0.0250914370377044,0.6975624879510777,0.03531536726291736
v1_ratio,uniform,T_cells,0.9378831817663735,-0.05263910928322606,0.3160888437607045,0.07288865102444693
v1_ratio,sparse,B cell,0.8483517038292872,-0.047618599728984155,0.25024881106834684,0.11045472495831059
v1_ratio,sparse,CAF,0.9791937241019992,-0.015226125838340937,0.6236138405457484,0.04413816742862304
v1_ratio,sparse,Endothelial,0.9817141910016048,0.002904127038095232,0.8725093416351555,0.032188562166165
v1_ratio,sparse,Malignant,0.9645645177309532,0.018671485813996386,0.6958706192435702,0.055440218222464636
v1_ratio,sparse,Myeloid,0.9860107901958671,0.042246555766102666,1.269888240843633,0.05804925631784137
v1_ratio,sparse,Normal_Epithelial,0.913793538335876,0.055154843632125757,1.2076217704120202,0.08879433428292667
v1_ratio,sparse,PVL,0.9706755240972411,-0.0010875089996919718,0.8745683902901773,0.03757558341566516
v1_ratio,sparse,Plasma,0.9852473319823141,-0.017578522557791555,0.7892989418641757,0.037458830830570895
v1_ratio,sparse,T_cells,0.9529883437569895,-0.03746625512551141,0.40245079092956987,0.08051143826966463
v3_irwls,tumor_purity,B cell,0.9284910588467541,-0.004064657832087347,0.07601319210954958,0.026205660912001993
v3_irwls,tumor_purity,CAF,0.960347228078659,0.01271124010886873,0.3448779278232692,0.0205157091335796
v3_irwls,tumor_purity,Endothelial,0.9719496589176292,-0.0038859838765002114,0.4608205657283346,0.011522086603275113
v3_irwls,tumor_purity,Malignant,0.9360818338668095,-0.2030106440969953,0.22808685264997952,0.21040216267886436
v3_irwls,tumor_purity,Myeloid,0.9852046823309829,0.011440310134530616,1.1075858256521647,0.012878368272544844
v3_irwls,tumor_purity,Normal_Epithelial,0.680736183168,0.20413349550491097,0.9964960055154839,0.20537172957743877
v3_irwls,tumor_purity,PVL,0.9701501631485314,-0.010327760476091082,0.33974822533989174,0.019354028845464017
v3_irwls,tumor_purity,Plasma,0.9818755192663611,0.006569260734244858,0.603525926428661,0.010666372031604927
v3_irwls,tumor_purity,T_cells,0.9649835160984503,-0.013565260200881262,0.09610664781436531,0.023747227188905283
v3_irwls,titration,B cell,0.9573970869339928,-0.03387374061419135,0.1240109695780166,0.05963176753243816
v3_irwls,titration,CAF,0.9559960757511035,0.004708702573044866,0.5622797322825129,0.02051743672678066
v3_irwls,titration,Endothelial,0.9803731106734747,-0.00588929885407654,0.8263417490200325,0.01750648733735525
v3_irwls,titration,Malignant,0.9838134864116537,-0.0704890502409576,0.3835890235685553,0.13568822676056275
