trial,method,scenario,scenario_desc,r,rho,rmse
0,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.929613522703711,0.6587020954566463,0.09233859195423787
0,spacet_v0_none,titration,Titration (0-90%),0.9080937031943808,0.7504718224501882,0.07675605102525666
0,spacet_v0_none,uniform,Uniform (alpha=1.0),0.825238099129796,0.8257025071064685,0.059193799041769586
0,spacet_v0_none,sparse,Sparse (alpha=0.3),0.8965993953325401,0.8372057193936334,0.07231024996126421
0,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.9407528409712526,0.6595818306559506,0.08662095235237581
0,spacet_v1_ratio,titration,Titration (0-90%),0.9195656771550436,0.7602377782875641,0.07237721318994125
0,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.8350858044349289,0.837420205737819,0.05728857581366049
0,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.9056467894662011,0.8458664850124838,0.06924785206599646
0,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.892089765265544,0.705137236348183,0.11643336243087779
0,spacet_v3_irwls,titration,Titration (0-90%),0.8871850767474928,0.7831767154760337,0.0855337213452202
0,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.8438332914669491,0.8701664511162742,0.055007943393070864
0,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.9246070760408427,0.8723974244329596,0.06240544635716408
0,music,tumor_purity,Tumor Purity (60-90%),0.8464129281970472,0.616049908720781,0.1373632648006394
0,music,titration,Titration (0-90%),0.824217005335944,0.7105439867856287,0.10683646352594561
0,music,uniform,Uniform (alpha=1.0),0.862875634626291,0.8275029078813807,0.053118031916945245
0,music,sparse,Sparse (alpha=0.3),0.9425450165436992,0.834679912528692,0.05455607076510856
0,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.8778031389898959,0.6683756106254548,0.1254770647017335
0,dwls_minor,titration,Titration (0-90%),0.7616376719615006,0.7243900007934162,0.1178131276024164
0,dwls_minor,uniform,Uniform (alpha=1.0),0.6189803295595242,0.7833625149953493,0.11669947441728179
0,dwls_minor,sparse,Sparse (alpha=0.3),0.81691546375755,0.8407258369851035,0.10329446974003328
1,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.29341834346371537,0.4671273006240034,0.24426466508236452
1,spacet_v0_none,titration,Titration (0-90%),0.33239151158092667,0.6015890794473192,0.1883508401035112
1,spacet_v0_none,uniform,Uniform (alpha=1.0),0.6396405963326276,0.7213268860012236,0.09311843132283594
1,spacet_v0_none,sparse,Sparse (alpha=0.3),0.7645442443469466,0.77538723556631,0.11014405895061809
1,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.3125111089665597,0.4806040465526809,0.2400545354394694
1,spacet_v1_ratio,titration,Titration (0-90%),0.35039433896824396,0.6179147830332521,0.18476012532978223
1,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.6589806530519364,0.7373365982681019,0.08966947931440827
1,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.7814703893574931,0.7905634749872334,0.10583917420160453
1,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.7232134562293394,0.6204808169953806,0.1597045526194221
1,spacet_v3_irwls,titration,Titration (0-90%),0.7709742165834835,0.7564956812582723,0.11146760277483363
1,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.7766251239992912,0.8262409198916515,0.06472876405609235
1,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.8821196182429663,0.8386420119613254,0.07560677796315998
1,music,tumor_purity,Tumor Purity (60-90%),0.8008602904796349,0.5521118777939262,0.1439641136069079
1,music,titration,Titration (0-90%),0.7300954474993065,0.5972952043365726,0.11944825031416727
1,music,uniform,Uniform (alpha=1.0),0.5837460511236435,0.6369859467800006,0.09802096273322985
1,music,sparse,Sparse (alpha=0.3),0.7975665190569853,0.6963022617776324,0.09806665972235562
1,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.6668201281866829,0.5270682755491526,0.17214166501915207
1,dwls_minor,titration,Titration (0-90%),0.5307417097115568,0.5466449340861474,0.1604325191408528
1,dwls_minor,uniform,Uniform (alpha=1.0),0.5075001572215337,0.6481119613065602,0.1439406168927094
1,dwls_minor,sparse,Sparse (alpha=0.3),0.7220508182636984,0.7637701422269713,0.1268764697204819
2,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.724240579859962,0.6505767677408038,0.16098148106842558
2,spacet_v0_none,titration,Titration (0-90%),0.7050937628783548,0.7380927166488636,0.1174626220309346
2,spacet_v0_none,uniform,Uniform (alpha=1.0),0.7943060902630675,0.8118119746482364,0.06467247876717952
2,spacet_v0_none,sparse,Sparse (alpha=0.3),0.8847642023619363,0.8249463004247624,0.07783027686285152
2,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.7414893037770671,0.6578240956472572,0.15688428157741433
2,spacet_v1_ratio,titration,Titration (0-90%),0.720550765805187,0.740502232685335,0.11463577411074523
2,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.7990811335578694,0.8121692976757531,0.06382251410393326
2,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.887087365287919,0.8260076424417505,0.07708021108277266
2,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.8118181499375158,0.6757987306029519,0.14030601986919608
2,spacet_v3_irwls,titration,Titration (0-90%),0.7524972609583155,0.7496435409982125,0.10854186945821039
2,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.7982342930557811,0.8291322663163339,0.06467372327746106
2,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.892451800243282,0.8290341389357421,0.07530752505256037
2,music,tumor_purity,Tumor Purity (60-90%),0.9657210626007071,0.6781485677240132,0.08735562583226104
2,music,titration,Titration (0-90%),0.9279795972648154,0.811137093346029,0.0675977752087329
2,music,uniform,Uniform (alpha=1.0),0.9062198693601562,0.8864407065590415,0.04388760190489376
2,music,sparse,Sparse (alpha=0.3),0.9646854524329513,0.8484561916823657,0.04396990672813332
2,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.7469270463754517,0.68726798315462,0.16254122560057
2,dwls_minor,titration,Titration (0-90%),0.66707583220598,0.739701530164432,0.1226704793284215
2,dwls_minor,uniform,Uniform (alpha=1.0),0.74027232533787,0.8292887292043403,0.07921886651743654
2,dwls_minor,sparse,Sparse (alpha=0.3),0.8876967764839478,0.8629598806479036,0.07767608513397456
3,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.7089009855167331,0.6274100490799347,0.16216575171849118
3,spacet_v0_none,titration,Titration (0-90%),0.7043196661721687,0.7612461587538093,0.11290367062312094
3,spacet_v0_none,uniform,Uniform (alpha=1.0),0.803850593926848,0.816355709584706,0.062062792686240674
3,spacet_v0_none,sparse,Sparse (alpha=0.3),0.8730152172815637,0.8407684269141791,0.08218908134096424
3,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.7536133704737302,0.6391491497262547,0.15142632025792177
3,spacet_v1_ratio,titration,Titration (0-90%),0.7425518098054762,0.7702331565986084,0.10592591724638592
3,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.8125368653988385,0.8237350005536784,0.06046413515215938
3,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.8795642864229941,0.8432207557364382,0.08000985496616347
3,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.890557296651951,0.6484540694477291,0.10901687526615036
3,spacet_v3_irwls,titration,Titration (0-90%),0.9015308139759138,0.8094408530934004,0.06811203366023533
3,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.8259729675325287,0.8232654330236945,0.057148061964706294
3,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.9058527388077954,0.8505528500395866,0.07061175953474313
3,music,tumor_purity,Tumor Purity (60-90%),0.7311751961292002,0.624687240083077,0.15993527153342688
3,music,titration,Titration (0-90%),0.7180995075672827,0.7354523824828972,0.10953261059749209
3,music,uniform,Uniform (alpha=1.0),0.8402042111167782,0.7903679660273841,0.055264681264021225
3,music,sparse,Sparse (alpha=0.3),0.9224779595432622,0.8037167109068418,0.06432098215350651
3,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.7510437116826835,0.7039002014025671,0.1543912879969065
3,dwls_minor,titration,Titration (0-90%),0.7757509358702951,0.8208875973361666,0.09972480918909217
3,dwls_minor,uniform,Uniform (alpha=1.0),0.9205362064940361,0.916671949590108,0.038187377250965895
3,dwls_minor,sparse,Sparse (alpha=0.3),0.9474881134255598,0.8898299437467506,0.05342367226762421
4,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.8702344271192894,0.5471517890021729,0.13418877541187663
4,spacet_v0_none,titration,Titration (0-90%),0.8284283099146237,0.6556656203865425,0.10565739124132242
4,spacet_v0_none,uniform,Uniform (alpha=1.0),0.8333544703324046,0.8201135027981897,0.05746512532614671
4,spacet_v0_none,sparse,Sparse (alpha=0.3),0.9123738691175397,0.8266654130702913,0.06755989312792984
4,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.8547442672268375,0.5444348087064905,0.13758950932607117
4,spacet_v1_ratio,titration,Titration (0-90%),0.8143991350528719,0.6516876962501651,0.10826439022055466
4,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.8301026431990818,0.8180140166201978,0.05807029577054506
4,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.9108912188712517,0.8261924943700127,0.0681093307576726
4,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.924404265470861,0.6296771654459992,0.09499648896383686
4,spacet_v3_irwls,titration,Titration (0-90%),0.8013204079874917,0.6995457400534534,0.10638295295626794
4,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.842987487302107,0.8095175933905855,0.05527590794969847
4,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.9192969102242442,0.8414216048390256,0.06504557321832694
4,music,tumor_purity,Tumor Purity (60-90%),0.9691355815593902,0.5940473932716431,0.07870683911469777
4,music,titration,Titration (0-90%),0.9409810499109995,0.7199937409323223,0.06737127362857824
4,music,uniform,Uniform (alpha=1.0),0.8361080906690366,0.7813588959058902,0.05745725148919679
4,music,sparse,Sparse (alpha=0.3),0.9332037462597175,0.8035143983161076,0.05930191165829731
4,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.9189650406306937,0.7395308631664842,0.10315569933346368
4,dwls_minor,titration,Titration (0-90%),0.9039359969200426,0.7902453047478478,0.08153908066001019
4,dwls_minor,uniform,Uniform (alpha=1.0),0.8963497995690106,0.9022965670165828,0.04521458198127391
4,dwls_minor,sparse,Sparse (alpha=0.3),0.9554012959918339,0.8863927214416739,0.04883944025789874
5,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),-0.09569087092878678,0.5709784058879506,0.35264038246625756
5,spacet_v0_none,titration,Titration (0-90%),-0.010481882003199862,0.5208452790793581,0.2507883409876407
5,spacet_v0_none,uniform,Uniform (alpha=1.0),0.597446139578008,0.6296123046876237,0.10295481465285869
5,spacet_v0_none,sparse,Sparse (alpha=0.3),0.6843475885081686,0.7342726844620453,0.1304176199103936
5,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),-0.09738772286212137,0.5805476388365367,0.3530408817699096
5,spacet_v1_ratio,titration,Titration (0-90%),-0.01234107099878677,0.5151576454486511,0.2512229367006852
5,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.6014037120517968,0.6301008019278888,0.1023128060868958
5,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.6889658702604728,0.7351688900045821,0.12949191752874956
5,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.9803428948430093,0.6769979237389124,0.06333579389549952
5,spacet_v3_irwls,titration,Titration (0-90%),0.9541353723612227,0.8392489312050082,0.04908932502867401
5,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.8619341697373081,0.8596195467726733,0.05087214524647169
5,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.9228188247211754,0.8629273534983525,0.061934866515602094
5,music,tumor_purity,Tumor Purity (60-90%),0.9207375716562444,0.5372961003444641,0.11673377895554313
5,music,titration,Titration (0-90%),0.8293070304725367,0.6897374458431691,0.09150612159706067
5,music,uniform,Uniform (alpha=1.0),0.8077703235138474,0.7753234110956888,0.06699580944652174
5,music,sparse,Sparse (alpha=0.3),0.8980456116807396,0.8043228808501351,0.07090869368819526
5,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.7840276849320862,0.7022016469290983,0.15298728572298603
5,dwls_minor,titration,Titration (0-90%),0.6309810268464884,0.7406587513036224,0.12538503637054557
5,dwls_minor,uniform,Uniform (alpha=1.0),0.7186522025524243,0.8137487346961116,0.08818914951424459
5,dwls_minor,sparse,Sparse (alpha=0.3),0.8570886459223076,0.8737162030914554,0.0861603658968771
6,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.7271201120277947,0.5237457665066697,0.15778045830383267
6,spacet_v0_none,titration,Titration (0-90%),0.6964083668849586,0.5728609485043513,0.12634915592622095
6,spacet_v0_none,uniform,Uniform (alpha=1.0),0.7376843332518397,0.7233328743251165,0.07594742619207655
6,spacet_v0_none,sparse,Sparse (alpha=0.3),0.8617613041801088,0.7942676452779521,0.08446133276589758
