"gene","value"
"A1BG",0.616666666666667
"NAT2",0.416666666666667
"ADA",0.916666666666667
"CDH2",0.75
"AKT3",0.533333333333333
"MED6",0.866666666666667
"NR2E3",0.916666666666667
"NAALAD2",0.85
"DUXB",0.666666666666667
"DDTL",0.9
"NAALADL1",0.866666666666667
"SIGLEC14",0.65
"ACOT8",0.933333333333333
"ABI1",0.383333333333333
"GNPDA1",0.516666666666667
"KCNE3",0.833333333333333
"CDH3",0.683333333333333
"TANK",0.7
"POM121C",0.866666666666667
"SPDYE12",0.85
"ZSCAN30",0.75
"MCTS2",0.966666666666667
"SRA1",0.5
"TMEM170B",0.75
"ZGLP1",0.866666666666667
"GJE1",0.6
"MINAR2",0.483333333333333
"C8orf88",1.2
"FAM229A",0.983333333333333
"TRAPPC3L",0.333333333333333
"TEKTIP1",0.716666666666667
"OST4",0.883333333333333
"CIROP",1.08333333333333
"ZBTB42",0.983333333333333
"KDM4F",0.85
"KHDC1L",0.533333333333333
"DEFB131B",0.816666666666667
"SMIM27",0.616666666666667
"KPLCE",1.2
"TDRD15",0.866666666666667
"SMIM10L1",0.7
"MKRN2OS",0.65
"ZNF730",0.766666666666667
"FAM47E",0.866666666666667
"TCF24",1.13333333333333
"IZUMO3",0.5
"CCDC152",1.08333333333333
"ZNF737",0.716666666666667
"TMEM269",0.933333333333333
"SPATA31F3",0.7
"CCDC166",1.03333333333333
"C8orf89",1.16666666666667
"C17orf107",0.533333333333333
"TMEM262",0.866666666666667
"TMEM221",0.766666666666667
"CD300H",1.01666666666667
"SPMIP1",0.816666666666667
"LRRC70",0.5
"LRRC69",1.18333333333333
"EFCAB10",0.866666666666667
"SBK3",0.716666666666667
"TSTD3",0.416666666666667
"SMIM6",1.01666666666667
"SYCE1L",0.716666666666667
"SPMIP7",0.666666666666667
"ZNF316",0.983333333333333
"BSPH1",0.633333333333333
"TSTD1",1.06666666666667
"NEMP2",0.566666666666667
"ANKRD63",0.583333333333333
"DPEP2NB",0.683333333333333
"C11orf91",0.7
"SP9",0.65
"CD300LD",1.01666666666667
"PRR23D1",0.45
"PET100",0.866666666666667
"ZNF717",0.55
"INSYN2B",0.45
"KRTAP25-1",0.933333333333333
"ZNF705G",0.433333333333333
"FOXO6",0.983333333333333
"FAM240A",0.483333333333333
"GOLGA6L25",0.716666666666667
"NPIPB5",0.55
"KRTAP4-9",0.7
"ZNF705B",0.433333333333333
"NBPF10",1.16666666666667
"CLDN24",0.633333333333333
"KRTAP4-7",0.7
"GOLGA8F",0.716666666666667
"SHISAL2B",0.5
"FAM25G",0.65
"PRR23D2",0.45
"DEFB130B",0.45
"XNDC1N",0.816666666666667
"CD24",0.433333333333333
"TEN1",1.01666666666667
"UPK3BL1",0.866666666666667
"JMJD7",0.616666666666667
"PLA2G4B",0.616666666666667
