"gene","value"
"A1BG",0.0806765432098765
"A2M",0.0936061728395062
"A2ML1",0.0972765432098765
"A4GALT",-0.193906172839506
"AAAS",0.0136703703703704
"AACS",-0.00274320987654321
"AADAC",0.163854320987654
"AADAT",-0.104255555555556
"AAED1",-0.0748604938271605
"AAGAB",-0.0864518518518518
"AAK1",0.0297691358024691
"AAMDC",0.241988888888889
"AAMP",-0.0727320987654321
"AAR2",0.298728395061728
"AARD",0.854237037037037
"AARS",-0.271249382716049
"AARS2",0.106164197530864
"AARSD1",-0.051858024691358
"AASDH",-0.0251037037037037
"AASDHPPT",-0.254938271604938
"AASS",0.076979012345679
"AATF",0.026583950617284
"AATK",0.2051
"ABAT",0.346133333333333
"ABCA1",-0.0859012345679012
"ABCA10",0.301286419753086
"ABCA11P",-0.122079012345679
"ABCA12",-0.0707703703703704
"ABCA13",0.14286049382716
"ABCA17P",0.348474074074074
"ABCA2",-0.0476604938271605
"ABCA3",0.351382716049383
"ABCA4",-0.0804901234567901
"ABCA5",0.296938271604938
"ABCA6",0.29369012345679
"ABCA7",-0.13746049382716
"ABCA8",0.315648148148148
"ABCA9",0.298446913580247
"ABCB1",0.094741975308642
"ABCB10",0.645488888888889
"ABCB4",0.0949950617283951
"ABCB5",0.150793827160494
"ABCB6",-0.071783950617284
"ABCB7",-0.025016049382716
"ABCB8",0.0589543209876543
"ABCB9",0.00317530864197531
"ABCC1",0.341533333333333
"ABCC10",0.112437037037037
"ABCC11",-0.144288888888889
"ABCC12",-0.142481481481481
"ABCC13",0.0269333333333333
"ABCC2",-0.101885185185185
"ABCC3",0.291501234567901
"ABCC4",-0.107895061728395
"ABCC5",0.193079012345679
"ABCC6",0.341533333333333
"ABCC6P1",0.341533333333333
"ABCC8",-0.0157246913580247
"ABCC9",0.100108641975309
"ABCD1",0.0326222222222222
"ABCD2",0.0672345679012346
"ABCD3",-0.0885703703703704
"ABCD4",-0.121948148148148
"ABCE1",-0.0759506172839506
"ABCF1",0.0985777777777778
"ABCF2",0.0558679012345679
"ABCF3",0.178925925925926
"ABCG1",0.0679271604938272
"ABCG2",-0.0858592592592593
"ABHD1",0.013516049382716
"ABHD10",0.0958543209876543
"ABHD11",0.120835802469136
"ABHD12",0.193814814814815
"ABHD12B",0.00887777777777778
"ABHD13",-0.0968432098765432
"ABHD14A",-0.149198765432099
"ABHD14B",-0.149198765432099
"ABHD15",0.123996296296296
"ABHD16A",0.093358024691358
"ABHD16B",0.423361728395062
"ABHD17A",-0.135944444444444
"ABHD17B",-0.0699765432098765
"ABHD17C",-0.0242654320987654
"ABHD2",-0.00169382716049383
"ABHD3",-0.0179395061728395
"ABHD4",0.0127493827160494
"ABHD5",-0.1222
"ABHD6",-0.142096296296296
"ABHD8",0.039716049382716
"ABI1",0.089841975308642
"ABI2",-0.0449074074074074
"ABI3",0.272051851851852
"ABI3BP",0.0878691358024691
"ABL1",-0.0623098765432099
"ABL2",0.625201234567901
"ABLIM1",-0.0976518518518519
"ABLIM2",-0.128233333333333
"ABLIM3",-0.00787654320987654
"ABO",-0.0619555555555556
"ABR",-0.292713580246914
"ABRACL",-0.0466703703703704
"ABT1",0.104685185185185
"ABTB1",0.0724012345679012
"ABTB2",0.0729777777777778
"ACAA1",-0.0706444444444444
"ACAA2",-0.0839024691358025
"ACACA",0.0543395061728395
"ACACB",-0.00458518518518519
"ACAD10",-0.0145703703703704
"ACAD11",0.0873641975308642
"ACAD8",-0.24928024691358
"ACAD9",0.080820987654321
"ACADL",-0.0618728395061728
"ACADM",-0.0788493827160494
"ACADS",-0.00648765432098765
"ACADSB",-0.072558024691358
"ACADVL",-0.334823456790123
"ACAN",-0.000744444444444446
"ACAP1",-0.331501234567901
"ACAP2",0.190514814814815
"ACAP3",-0.180296296296296
"ACAT1",-0.264376543209877
"ACAT2",-0.122201234567901
"ACBD3",0.651704938271605
"ACBD4",-0.0446246913580247
"ACBD5",0.0849506172839506
"ACBD6",0.637051851851852
"ACBD7",0.145162962962963
"ACCS",0.0205469135802469
"ACD",-0.288466666666667
"ACE",0.378179012345679
"ACE2",0.0109691358024691
"ACER2",-0.0413123456790123
"ACER3",0.207240740740741
"ACHE",0.0921222222222222
"ACIN1",0.0157518518518519
"ACKR1",0.64193950617284
"ACKR2",-0.120611111111111
"ACKR3",-0.109287654320988
"ACKR4",0.0853
"ACLY",-0.024179012345679
"ACMSD",-0.0792012345679012
"ACO1",-0.0537481481481481
"ACO2",-0.189997530864198
"ACOT1",-0.123018518518519
"ACOT11",-0.0435962962962963
"ACOT13",0.123398765432099
"ACOT2",-0.123018518518519
"ACOT4",-0.123018518518519
"ACOT7",-0.186014814814815
"ACOT8",0.312338271604938
"ACOT9",0.0335592592592593
"ACOX1",0.244877777777778
"ACOX2",-0.143648148148148
"ACOX3",-0.128202469135802
"ACP1",0.012420987654321
"ACP2",0.00462345679012346
"ACP5",-0.00653333333333333
"ACP6",0.631502469135802
"ACPP",0.0839901234567901
"ACRBP",0.118643209876543
"ACRC",-0.0110716049382716
"ACSF2",0.29072962962963
"ACSF3",-0.289837037037037
