"gene","value"
"A1BG",0.148339366515837
"A2M",0.0357737556561086
"A2ML1",0.0357737556561086
"A4GALT",-0.0792443438914027
"AAAS",0.078841628959276
"AACS",0.0503348416289593
"AACSP1",-0.0758823529411765
"AADAC",0.776665158371041
"AADACL2",0.776665158371041
"AADAT",-0.162864253393665
"AAED1",0.0348190045248869
"AAGAB",0.0267918552036199
"AAK1",0.145886877828054
"AAMDC",-0.0747194570135747
"AAMP",-0.215511312217195
"AAR2",0.306954751131222
"AARD",0.281461538461538
"AARS",0.00484162895927602
"AARS2",0.080710407239819
"AARSD1",0.0305610859728507
"AASDH",-0.105235294117647
"AASDHPPT",-0.284321266968326
"AASS",-0.0169683257918552
"AATF",0.00266063348416289
"AATK",0.0548868778280543
"ABAT",0.13083257918552
"ABCA1",0.0404162895927602
"ABCA10",0.121941176470588
"ABCA11P",-0.245325791855204
"ABCA12",-0.212004524886878
"ABCA13",0.038814479638009
"ABCA17P",0.0534389140271493
"ABCA2",0.060447963800905
"ABCA3",0.0613574660633484
"ABCA4",0.0931176470588235
"ABCA5",0.107389140271493
"ABCA6",0.126266968325792
"ABCA7",-0.183787330316742
"ABCA8",0.134841628959276
"ABCA9",0.138185520361991
"ABCB1",0.0449909502262443
"ABCB10",0.340253393665158
"ABCB4",0.0415610859728507
"ABCB6",-0.223484162895928
"ABCB7",-0.00847058823529412
"ABCB8",-0.0402262443438914
"ABCB9",0.0522850678733032
"ABCC1",0.101669683257919
"ABCC10",0.0771357466063348
"ABCC2",-0.12968778280543
"ABCC3",0.0897149321266968
"ABCC4",-0.00353846153846154
"ABCC5",0.891457013574661
"ABCC6",0.101669683257919
"ABCC6P1",0.101669683257919
"ABCC9",0.0292579185520362
"ABCD1",0.0882760180995475
"ABCD2",0.0834705882352941
"ABCD3",0.0891764705882353
"ABCD4",0.0773484162895928
"ABCE1",-0.153054298642534
"ABCF1",0.159882352941176
"ABCF2",-0.0365701357466063
"ABCF3",0.875828054298643
"ABCG1",-0.0254253393665158
"ABCG2",-0.151085972850679
"ABCG4",-0.371674208144796
"ABHD1",0.169289592760181
"ABHD10",0.509330316742081
"ABHD11",0.0170407239819005
"ABHD12",0.23420814479638
"ABHD12B",0.073
"ABHD13",0.0391085972850679
"ABHD14A",-0.222497737556561
"ABHD14B",-0.222497737556561
"ABHD15",0.00544343891402715
"ABHD16A",0.143054298642534
"ABHD16B",0.286542986425339
"ABHD17A",-0.142090497737557
"ABHD17B",0.0156651583710407
"ABHD17C",0.0758552036199095
"ABHD2",0.102927601809955
