"gene","value"
"A1BG",0.0644822485207101
"A1CF",-0.06948224852071
"A2M",0.0706272189349112
"A4GALT",-0.190473372781065
"AAAS",0.0787810650887574
"AACS",0.0514112426035503
"AADAC",0.050707100591716
"AADAT",-0.161713017751479
"AAED1",0.0237810650887574
"AAGAB",-0.20608875739645
"AAK1",0.0757366863905325
"AAMDC",-0.00984319526627219
"AAMP",0.0745
"AAR2",1.08605325443787
"AARS",0.099387573964497
"AARS2",0.128988165680473
"AARSD1",0.0761508875739645
"AASDH",-0.11605325443787
"AASDHPPT",-0.0265
"AASS",0.32839349112426
"AATF",0.0993846153846154
"AATK",0.0910207100591716
"ABAT",0.0902041420118343
"ABCA1",0.0251568047337278
"ABCA10",0.089008875739645
"ABCA11P",-0.153494082840237
"ABCA12",0.0742218934911243
"ABCA13",0.469443786982249
"ABCA17P",0.0869082840236686
"ABCA2",0.0415
"ABCA3",0.0828550295857988
"ABCA4",-0.136633136094675
"ABCA5",0.0881213017751479
"ABCA6",0.0858254437869822
"ABCA7",0.000905325443786981
"ABCA8",0.0857662721893491
"ABCA9",0.0858254437869822
"ABCB1",0.348976331360947
"ABCB10",0.107458579881657
"ABCB11",0.0704881656804734
"ABCB4",0.348254437869822
"ABCB6",0.076603550295858
"ABCB7",0.0225710059171598
"ABCB8",0.318065088757396
"ABCB9",0.054612426035503
"ABCC1",0.110784023668639
"ABCC10",0.135408284023669
"ABCC13",-0.149902366863905
"ABCC2",-0.10708875739645
"ABCC3",0.0725502958579882
"ABCC4",0.660387573964497
"ABCC5",0.067414201183432
"ABCC6",0.110784023668639
"ABCC6P1",0.110784023668639
"ABCC8",0.0176272189349112
"ABCC9",0.0778579881656805
"ABCD1",0.0426745562130178
"ABCD2",0.0750680473372781
"ABCD3",-0.136647928994083
"ABCD4",-0.187855029585799
"ABCE1",-0.148476331360947
"ABCF1",0.0783550295857988
"ABCF2",0.322778106508876
"ABCF3",0.0700591715976331
"ABCG1",-0.115713017751479
"ABCG2",-0.139520710059172
"ABCG5",0.0619260355029586
"ABCG8",0.067301775147929
"ABHD1",0.0817485207100592
"ABHD10",0.0326686390532544
"ABHD11",0.336713017751479
"ABHD12",0.686751479289941
"ABHD12B",-0.166263313609467
"ABHD13",0.670461538461538
"ABHD14A",-0.0606420118343195
"ABHD14B",-0.0606420118343195
