"gene","value"
"A1BG",0.107231884057971
"A1CF",-0.0156521739130435
"A2M",0.156260869565217
"A2ML1",0.149753623188406
"A4GALT",-0.0715579710144928
"A4GNT",0.442173913043478
"AAAS",0.0130507246376812
"AACS",0.00455797101449275
"AACSP1",-0.145869565217391
"AADAC",0.584826086956522
"AADACL2",0.576442028985507
"AADAT",-0.199369565217391
"AAED1",0.0317028985507246
"AAGAB",-0.0240434782608696
"AAK1",0.216260869565217
"AAMDC",0.026536231884058
"AAMP",-0.0210652173913043
"AAR2",0.451036231884058
"AARD",0.519297101449275
"AARS",-0.00865217391304348
"AARS2",0.321188405797101
"AARSD1",0.102326086956522
"AASDH",-0.104782608695652
"AASDHPPT",-0.106478260869565
"AASS",0.0488623188405797
"AATF",0.0782826086956522
"AATK",0.0862826086956522
"ABAT",-0.0120072463768116
"ABCA1",0.0668985507246377
"ABCA10",0.183355072463768
"ABCA11P",-0.203804347826087
"ABCA12",-0.0178913043478261
"ABCA13",0.375347826086957
"ABCA17P",-0.0863550724637681
"ABCA2",0.12745652173913
"ABCA3",-0.0866666666666667
"ABCA4",-0.11213768115942
"ABCA5",0.179811594202899
"ABCA6",0.190217391304348
"ABCA7",-0.187884057971014
"ABCA8",0.179833333333333
"ABCA9",0.190217391304348
"ABCB1",0.428782608695652
"ABCB10",0.269036231884058
"ABCB4",0.389253623188406
"ABCB5",0.396797101449275
"ABCB6",-0.0231811594202899
"ABCB7",0.0234492753623188
"ABCB8",-0.0271884057971014
"ABCB9",0.0132173913043478
"ABCC1",-0.00947101449275362
"ABCC10",0.305572463768116
"ABCC13",-0.216666666666667
"ABCC2",-0.112992753623188
"ABCC3",0.166608695652174
"ABCC4",0.00471739130434783
"ABCC5",0.715992753623188
"ABCC6",-0.00947101449275362
"ABCC6P1",-0.00947101449275362
"ABCC8",-0.0480217391304348
"ABCC9",0.212217391304348
"ABCD1",0.176811594202899
"ABCD2",0.0177608695652174
"ABCD3",-0.0982173913043478
"ABCD4",-0.00592028985507246
"ABCE1",-0.149710144927536
"ABCF1",0.0695289855072464
"ABCF2",0.0061231884057971
"ABCF3",0.679891304347826
"ABCG1",-0.252478260869565
"ABCG2",-0.186173913043478
"ABCG4",-0.140173913043478
"ABCG5",0.142514492753623
"ABCG8",0.142514492753623
"ABHD1",0.142369565217391
"ABHD10",0.26181884057971
"ABHD11",0.249463768115942
"ABHD12",0.290594202898551
"ABHD12B",0.0655507246376812
"ABHD13",0.049036231884058
"ABHD14A",-0.316434782608696
"ABHD14B",-0.316434782608696
"ABHD15",0.0943188405797101
"ABHD16A",0.057731884057971
"ABHD16B",0.434507246376812
"ABHD17A",-0.203217391304348
"ABHD17B",0.00300724637681159
"ABHD17C",0.0265797101449275
"ABHD2",0.0607028985507246
"ABHD3",0.16963768115942
"ABHD4",0.0272463768115942
"ABHD5",-0.284594202898551
"ABHD6",-0.336173913043478
"ABHD8",-0.019
"ABI1",0.0402173913043478
"ABI2",0.0811231884057971
"ABI3",0.133268115942029
"ABI3BP",0.236094202898551
"ABL1",0.0708333333333333
"ABL2",0.24736231884058
"ABLIM1",-0.0868768115942029
"ABLIM2",-0.20054347826087
"ABLIM3",-0.226326086956522
"ABO",0.0674782608695652
"ABR",-0.145188405797101
"ABRACL",0.0531159420289855
"ABT1",-0.0121739130434783
"ABTB1",0.327028985507246
"ABTB2",0.0899057971014493
"ACAA1",-0.263101449275362
"ACAA2",-0.25636231884058
"ACACA",0.101557971014493
"ACACB",0.0322826086956522
"ACAD10",0.0179130434782609
"ACAD11",0.363971014492754
"ACAD8",-0.124159420289855
"ACAD9",0.336760869565217
"ACADL",0.00355797101449275
"ACADM",-0.108528985507246
"ACADS",0.0150289855072464
"ACADSB",-0.063731884057971
"ACADVL",-0.159463768115942
"ACAN",0.0647536231884058
"ACAP1",-0.159463768115942
"ACAP2",0.718963768115942
"ACAP3",-0.0447391304347826
"ACAT1",-0.121413043478261
"ACAT2",0.00523188405797102
"ACBD3",0.273731884057971
"ACBD4",0.126840579710145
"ACBD5",0.0354492753623188
"ACBD6",0.236057971014493
"ACBD7",0.0269130434782609
"ACCS",0.0431666666666667
"ACD",0.00918115942028985
"ACE",0.172644927536232
"ACE2",-0.0904420289855073
"ACER1",-0.152753623188406
"ACER2",-0.237210144927536
"ACER3",0.0910217391304348
"ACHE",0.359934782608696
"ACIN1",0.0564057971014493
"ACKR1",0.292210144927536
"ACKR2",-0.273449275362319
"ACKR3",-0.0516811594202899
"ACKR4",0.357666666666667
"ACLY",0.262913043478261
"ACO1",-0.0984492753623188
"ACO2",-0.0571811594202899
"ACOT1",-0.0102246376811594
"ACOT11",-0.0672536231884058
"ACOT13",0.0179275362318841
"ACOT2",-0.0102246376811594
"ACOT4",-0.0102246376811594
"ACOT7",-0.0257753623188406
"ACOT8",0.434971014492754
"ACOT9",-0.0383260869565217
"ACOX1",0.11613768115942
"ACOX2",-0.332471014492754
"ACOX3",-0.202840579710145
"ACOXL",0.154579710144928
"ACP1",0.106869565217391
"ACP2",-0.0116739130434783
"ACP5",-0.0802246376811594
"ACP6",0.223384057971014
"ACPP",0.362369565217391
"ACRBP",0.153985507246377
"ACRC",0.0568913043478261
"ACSBG1",-0.000369565217391304
"ACSF2",0.160731884057971
"ACSF3",-0.0206014492753623
"ACSL1",-0.187869565217391
"ACSL3",-0.0267826086956522
"ACSL4",0.0636449275362319
"ACSL5",-0.0996739130434783
"ACSL6",-0.251463768115942
"ACSM1",-0.0317753623188406
"ACSM3",-0.0345507246376812
"ACSS1",0.298086956521739
"ACSS2",0.42945652173913
"ACSS3",-0.00807246376811594
"ACTA2",-0.122507246376812
"ACTB",0.42545652173913
"ACTBL2",-0.286768115942029
"ACTC1",-0.0266376811594203
"ACTG1",0.0936304347826087
"ACTG2",0.168057971014493
"ACTL10",0.416123188405797
"ACTL6A",0.713405797101449
"ACTL8",-0.0866159420289855
"ACTN1",0.00422463768115942
"ACTN2",0.270507246376812
"ACTN4",0.0782028985507246
"ACTR10",0.0156376811594203
"ACTR1A",-0.109079710144928
"ACTR1B",0.189130434782609
"ACTR2",0.178884057971015
"ACTR3",0.170007246376812
"ACTR3B",-0.0252028985507246
"ACTR3C",-0.0265797101449275
"ACTR5",0.425775362318841
"ACTR6",0.00135507246376811
"ACTR8",-0.320847826086957
"ACTRT3",0.815188405797101
"ACVR1",0.0921594202898551
"ACVR1B",0.0104275362318841
"ACVR1C",0.0953695652173913
"ACVR2A",0.0704855072463768
"ACVR2B",-0.263101449275362
"ACVRL1",0.00631159420289855
"ACY1",-0.316434782608696
"ACY3",0.289231884057971
"ACYP1",0.0175144927536232
"ACYP2",0.165384057971014
"ADA",0.496427536231884
"ADAD2",-0.0474782608695652
"ADAL",-0.053963768115942
"ADAM10",-0.0278913043478261
"ADAM11",0.120652173913043
"ADAM12",-0.0457536231884058
"ADAM15",0.272050724637681
"ADAM17",0.117478260869565
"ADAM19",-0.201275362318841
"ADAM22",0.427384057971014
"ADAM23",0.0226739130434783
"ADAM28",-0.163188405797101
"ADAM32",0.136405797101449
"ADAM33",0.252826086956522
"ADAM6",-0.0133913043478261
"ADAM8",-0.0784492753623188
"ADAM9",0.147289855072464
"ADAMDEC1",-0.16104347826087
"ADAMTS1",-0.249471014492754
"ADAMTS10",-0.154246376811594
"ADAMTS12",0.318579710144928
"ADAMTS13",0.0674782608695652
"ADAMTS14",-0.0463405797101449
"ADAMTS15",-0.129630434782609
"ADAMTS16",0.364376811594203
"ADAMTS17",0.0917173913043478
"ADAMTS18",-0.0389057971014493
"ADAMTS19",-0.278666666666667
"ADAMTS2",-0.117152173913043
"ADAMTS20",0.0134492753623188
"ADAMTS3",-0.0680869565217391
"ADAMTS4",0.337376811594203
"ADAMTS5",-0.249471014492754
"ADAMTS6",-0.290985507246377
"ADAMTS7",-0.00380434782608696
"ADAMTS8",-0.129630434782609
"ADAMTS9",-0.291072463768116
"ADAMTSL1",-0.177268115942029
"ADAMTSL2",0.0641449275362319
"ADAMTSL3",0.0248333333333333
"ADAMTSL4",0.284942028985507
"ADAMTSL5",-0.194311594202899
"ADAP1",0.416891304347826
"ADAP2",0.111463768115942
"ADAR",0.274115942028985
"ADARB1",-0.228282608695652
"ADARB2",0.0292463768115942
"ADAT1",-0.0318260869565217
"ADAT2",0.021463768115942
"ADAT3",-0.203217391304348
"ADCK1",0.00531159420289855
"ADCK2",0.0191449275362319
"ADCK3",0.258905797101449
"ADCK4",0.00734782608695652
"ADCK5",0.484811594202899
"ADCY1",0.335739130434783
"ADCY10",0.279202898550725
"ADCY10P1",0.236942028985507
"ADCY2",0.375442028985507
"ADCY3",0.139971014492754
"ADCY4",0.0581449275362319
"ADCY5",0.312420289855072
"ADCY6",0.031036231884058
"ADCY7",-0.0150144927536232
"ADCY8",0.601586956521739
"ADCY9",-0.0832826086956522
"ADCYAP1",0.136753623188406
"ADD1",-0.225086956521739
"ADD2",0.173507246376812
"ADD3",-0.0956231884057971
"ADGRA2",0.204963768115942
"ADGRA3",-0.228471014492754
"ADGRB1",0.494463768115942
"ADGRB2",-0.069304347826087
"ADGRB3",0.0371014492753623
"ADGRD1",0.00292028985507246
"ADGRE1",-0.176152173913043
"ADGRE2",-0.00731884057971015
"ADGRE4P",-0.176152173913043
"ADGRE5",-0.0393985507246377
"ADGRF1",0.187507246376812
"ADGRF2",0.164485507246377
"ADGRF3",0.150550724637681
"ADGRF4",0.156210144927536
"ADGRF5",0.175536231884058
"ADGRG1",0.00465942028985507
"ADGRG2",-0.0821231884057971
"ADGRG3",0.00485507246376812
"ADGRG5",0.00465942028985507
"ADGRG6",0.0707173913043478
"ADGRG7",0.239876811594203
"ADGRL1",-0.0373913043478261
"ADGRL2",-0.101442028985507
"ADGRL3",-0.140891304347826
"ADGRL4",-0.107521739130435
"ADGRV1",-0.299550724637681
"ADH1B",-0.213884057971014
"ADH1C",-0.213884057971014
"ADH4",-0.221311594202899
"ADH5",-0.221311594202899
"ADH6",-0.221311594202899
"ADH7",-0.213826086956522
"ADHFE1",0.339492753623188
"ADI1",0.117840579710145
"ADIPOQ",0.670463768115942
"ADIPOR1",0.209521739130435
"ADIPOR2",0.189275362318841
"ADIRF",-0.118239130434783
"ADK",-0.0560289855072464
"ADM",-0.0586521739130435
"ADM2",-0.108202898550725
"ADM5",0.0137826086956522
"ADNP",0.435442028985507
"ADNP2",-0.266108695652174
"ADO",-0.0138478260869565
"ADORA1",0.205985507246377
"ADORA2A",-0.0550724637681159
"ADORA2B",-0.156891304347826
"ADORA3",-0.111115942028986
"ADPGK",-0.0122173913043478
"ADPRH",0.292326086956522
"ADPRHL1",0.0994927536231884
"ADPRHL2",-0.0640507246376812
"ADPRM",-0.160536231884058
"ADRA1B",-0.20381884057971
"ADRA1D",0.247920289855072
"ADRA2A",-0.0995434782608696
"ADRA2B",0.176623188405797
"ADRA2C",-0.238702898550725
"ADRB1",-0.0854347826086957
"ADRB2",-0.229079710144928
"ADRBK1",0.184985507246377
"ADRBK2",-0.0762246376811594
"ADRM1",0.426231884057971
"ADSL",-0.0926014492753623
"ADSS",0.285050724637681
"ADSSL1",0.0193768115942029
"ADTRP",-0.0113115942028986
"AEBP1",0.340369565217391
"AEBP2",0.164724637681159
"AEN",0.0558405797101449
"AES",-0.166753623188406
"AFAP1",-0.210130434782609
"AFAP1L1",-0.221673913043478
"AFAP1L2",-0.0810942028985507
"AFF1",-0.188355072463768
"AFF2",0.129985507246377
"AFF3",0.168710144927536
"AFF4",-0.246855072463768
"AFG3L1P",-0.0365507246376812
"AFG3L2",0.0326449275362319
"AFMID",0.139811594202899
"AFP",-0.0680072463768116
"AFTPH",0.179449275362319
"AGA",-0.21836231884058
"AGAP1",-0.0863188405797101
"AGAP11",-0.118239130434783
"AGAP2",0.0551376811594203
"AGAP3",0.00309420289855073
"AGAP4",0.0296231884057971
"AGAP5",-0.0274202898550725
"AGAP6",-0.0145869565217391
"AGAP7P",-0.0120869565217391
"AGBL2",-0.0166666666666667
"AGBL5",0.142369565217391
"AGER",0.057731884057971
"AGFG1",-0.0253188405797101
"AGFG2",0.374666666666667
"AGGF1",-0.295028985507246
"AGK",0.00550724637681159
"AGL",-0.100420289855072
"AGMAT",-0.0629057971014493
"AGMO",0.408072463768116
"AGO1",-0.067804347826087
"AGO2",0.560326086956522
"AGO3",-0.0641231884057971
"AGO4",-0.067804347826087
"AGPAT1",0.057731884057971
"AGPAT2",0.119115942028986
"AGPAT3",-0.230652173913043
"AGPAT4",0.00249275362318841
"AGPAT5",-0.0424927536231884
"AGPS",0.180449275362319
"AGR2",0.4265
"AGR3",0.414347826086957
"AGRN",-0.0447391304347826
"AGT",0.281311594202899
"AGTPBP1",0.0250869565217391
"AGTR1",0.552420289855072
"AGTRAP",-0.0250652173913043
"AGXT",-0.0613985507246377
"AHCTF1",0.283144927536232
"AHCY",0.424123188405797
"AHCYL1",-0.0953333333333333
"AHCYL2",0.0223985507246377
"AHDC1",-0.117978260869565
"AHI1",0.109884057971014
"AHNAK",0.0499565217391304
"AHNAK2",0.0156086956521739
"AHR",0.401927536231884
"AHRR",0.477731884057971
"AHSA1",0.0185144927536232
"AHSA2",0.179101449275362
"AIDA",0.2795
"AIF1",0.057731884057971
"AIF1L",0.0785579710144928
"AIFM1",0.0938985507246377
"AIFM2",-0.0385579710144928
"AIFM3",-0.0618405797101449
"AIG1",0.0129347826086957
"AIM1",-0.041304347826087
"AIM1L",-0.149623188405797
"AIM2",0.287615942028985
"AIMP1",-0.197521739130435
"AIMP2",0.397652173913043
"AIP",0.204710144927536
"AJAP1",-0.0577173913043478
"AJUBA",0.0564057971014493
"AK1",0.0765217391304348
"AK2",-0.0626014492753623
"AK3",-0.211608695652174
"AK4",-0.0881811594202899
"AK5",-0.100934782608696
"AK7",-0.010268115942029
"AK8",0.0608260869565217
"AK9",-0.0500724637681159
"AKAP1",0.15218115942029
"AKAP10",-0.136688405797101
"AKAP11",0.0314130434782609
"AKAP12",0.0193623188405797
"AKAP13",0.0635579710144928
"AKAP2",0.0583405797101449
"AKAP3",0.166101449275362
"AKAP5",0.000644927536231884
"AKAP6",0.0416304347826087
"AKAP7",0.0491231884057971
"AKAP8",0.0448985507246377
"AKAP8L",0.0442898550724638
"AKAP9",0.467666666666667
"AKIP1",-0.0764710144927536
"AKIRIN1",0.0561521739130435
"AKIRIN2",-0.0423913043478261
"AKNA",0.0832536231884058
"AKNAD1",-0.108934782608696
"AKR1A1",-0.0509347826086957
"AKR1B1",0.0152101449275362
"AKR1B10",0.0152101449275362
"AKR1B15",0.0152101449275362
"AKR1C1",0.0542463768115942
"AKR1C2",0.0453840579710145
"AKR1C3",0.0549782608695652
"AKR1C4",0.052536231884058
"AKR1E2",0.0550507246376812
"AKR7A2",-0.0983695652173913
"AKR7A3",-0.0983695652173913
"AKR7L",-0.0983695652173913
"AKT1",0.0308333333333333
"AKT1S1",0.0226739130434783
"AKT2",0.0264202898550725
"AKT3",0.290557971014493
"AKTIP",-0.00506521739130435
"ALAD",0.0701811594202899
"ALAS1",-0.325702898550725
"ALB",-0.0680072463768116
"ALCAM",0.254731884057971
"ALDH16A1",0.0146449275362319
"ALDH18A1",-0.112246376811594
"ALDH1A1",0.0128478260869565
"ALDH1A2",-0.0323405797101449
"ALDH1A3",0.0923333333333333
"ALDH1B1",-0.081268115942029
"ALDH1L1",0.322942028985507
"ALDH1L2",0.0149492753623188
"ALDH2",0.0179130434782609
"ALDH3A1",-0.136688405797101
"ALDH3A2",-0.131905797101449
"ALDH3B1",0.270507246376812
"ALDH3B2",0.289231884057971
"ALDH4A1",-0.0856014492753623
"ALDH5A1",0.00636231884057971
"ALDH6A1",-0.00592028985507246
