"gene","value"
"A1BG",-0.000120204603580562
"A2M",0.199416879795396
"A2ML1",0.201667519181586
"A4GALT",0.0315524296675192
"AAAS",0.0309820971867008
"AACS",0.0159718670076726
"AACSP1",-0.161230179028133
"AADAC",0.623398976982097
"AADACL2",0.627002557544757
"AADAT",-0.135797953964194
"AAED1",0.113575447570332
"AAGAB",-0.0356470588235294
"AAK1",0.08223273657289
"AAMDC",0.0480485933503836
"AAMP",-0.114398976982097
"AAR2",0.240046035805627
"AARD",0.499670076726343
"AARS",0.011306905370844
"AARS2",0.0504526854219949
"AARSD1",0.0426086956521739
"AASDH",-0.0179565217391304
"AASDHPPT",-0.161856777493606
"AASS",0.0196010230179028
"AATF",0.0405063938618926
"AATK",0.0536240409207161
"ABAT",0.0310511508951407
"ABCA1",0.128286445012788
"ABCA10",0.0779386189258312
"ABCA11P",-0.171897698209719
"ABCA12",-0.115910485933504
"ABCA13",0.213744245524297
"ABCA17P",0.0130051150895141
"ABCA2",0.112427109974425
"ABCA3",0.0130051150895141
"ABCA4",-0.0592992327365729
"ABCA5",0.0767289002557545
"ABCA6",0.0779335038363171
"ABCA7",-0.135583120204604
"ABCA8",0.0792020460358056
"ABCA9",0.0779335038363171
"ABCB1",0.194209718670077
"ABCB10",0.150902813299233
"ABCB4",0.185662404092072
"ABCB6",-0.117171355498721
"ABCB7",0.0151943734015345
"ABCB8",-0.0417749360613811
"ABCB9",0.0251278772378517
"ABCC1",0.0283606138107417
"ABCC10",0.0544168797953964
"ABCC2",-0.101383631713555
"ABCC3",0.0552506393861893
"ABCC4",-0.0691125319693095
"ABCC5",0.763521739130435
"ABCC6",0.0283606138107417
"ABCC9",0.195948849104859
"ABCD1",0.130900255754476
"ABCD2",0.0465345268542199
"ABCD3",-0.0554526854219949
"ABCD4",0.129235294117647
"ABCE1",-0.102572890025575
"ABCF1",0.0269795396419437
"ABCF2",-0.0399462915601023
"ABCF3",0.749156010230179
"ABCG1",-0.14916368286445
"ABCG2",-0.0768337595907928
"ABCG4",-0.202299232736573
"ABHD10",0.342797953964194
"ABHD11",0.103785166240409
"ABHD12",0.185524296675192
"ABHD12B",0.126007672634271
"ABHD13",-0.0341483375959079
"ABHD14A",-0.380437340153453
"ABHD14B",-0.380437340153453
"ABHD15",0.0244910485933504
"ABHD16A",0.0216649616368286
"ABHD16B",0.181864450127877
"ABHD17A",-0.132181585677749
"ABHD17B",0.0549539641943734
"ABHD17C",-0.018230179028133
"ABHD2",0.00383120204603581
"ABHD3",0.0626598465473146
"ABHD4",0.0811687979539642
"ABHD5",-0.366907928388747
"ABHD6",-0.382173913043478
"ABHD8",-0.0262762148337596
"ABI1",-0.0812608695652174
"ABI2",-0.0164961636828645
"ABI3",0.0526675191815857
"ABI3BP",0.301992327365729
"ABL1",0.12823273657289
"ABL2",0.128278772378517
"ABLIM1",-0.0800127877237852
"ABLIM2",-0.172294117647059
"ABLIM3",-0.163086956521739
"ABO",0.12462915601023
"ABR",-0.0682020460358056
"ABRA",0.45976726342711
"ABRACL",0.0030920716112532
"ABT1",0.00716368286445013
"ABTB1",0.390519181585678
"ABTB2",0.0420716112531969
"ACAA1",-0.367181585677749
"ACAA2",-0.208470588235294
"ACACA",0.0467519181585678
"ACACB",0.0205601023017903
"ACAD10",0.0181943734015345
"ACAD11",0.430828644501279
"ACAD8",-0.18418925831202
"ACAD9",0.396452685421995
"ACADL",-0.0900332480818414
"ACADM",-0.0448107416879795
"ACADS",0.02323273657289
"ACADSB",-0.0716649616368286
"ACADVL",-0.0688746803069054
"ACAN",0.000452685421994885
"ACAP1",-0.0688132992327366
"ACAP2",0.690838874680307
"ACAP3",-0.0316368286445013
"ACAT1",-0.191237851662404
"ACAT2",-0.0291764705882353
"ACBD3",0.142342710997442
"ACBD4",0.0423273657289003
"ACBD5",-0.0744194373401535
"ACBD6",0.124089514066496
"ACBD7",-0.092849104859335
"ACCS",0.0109309462915601
"ACD",0.011923273657289
"ACE",0.079
"ACE2",-0.0767953964194373
"ACER1",-0.0916751918158568
"ACER2",-0.0880179028132992
"ACER3",0.042925831202046
"ACHE",0.215670076726343
"ACIN1",0.0777928388746803
"ACKR1",0.130519181585678
"ACKR2",-0.370263427109974
"ACKR3",-0.119511508951407
"ACKR4",0.430828644501279
"ACLY",0.0407109974424552
"ACO1",-0.0475063938618926
"ACO2",0.0365166240409207
"ACOT1",0.121424552429668
"ACOT11",-0.0107340153452685
"ACOT13",0.00632736572890025
"ACOT2",0.121424552429668
"ACOT4",0.121424552429668
"ACOT7",-0.0357161125319693
"ACOT8",0.167360613810742
"ACOT9",-0.0739565217391304
"ACOX1",0.0847084398976982
"ACOX2",-0.377575447570332
"ACOX3",-0.172212276214834
"ACP1",0.0507084398976982
"ACP2",-0.0099693094629156
"ACP5",-0.0389744245524297
"ACP6",0.0777570332480818
"ACPP",0.430641943734015
"ACRBP",0.21204347826087
"ACRC",0.0197595907928389
"ACSBG1",-0.0300409207161125
"ACSF2",0.0522429667519182
"ACSF3",-0.00739386189258312
"ACSL1",-0.150209718670077
"ACSL3",-0.125383631713555
"ACSL4",0.0614040920716113
"ACSL5",-0.0803554987212276
"ACSL6",-0.173056265984655
"ACSM3",0.0175191815856777
"ACSS1",0.18176726342711
"ACSS2",0.282506393861893
"ACSS3",0.00863171355498721
"ACTA1",0.141606138107417
"ACTA2",-0.102936061381074
"ACTB",0.233739130434783
"ACTBL2",-0.165230179028133
"ACTC1",-0.0434833759590793
"ACTG1",0.050618925831202
"ACTG2",0.0803734015345269
"ACTL10",0.30416368286445
"ACTL6A",0.770987212276215
"ACTL8",-0.052153452685422
"ACTN1",0.121782608695652
"ACTN2",0.150516624040921
"ACTN3",0.195135549872123
"ACTN4",0.0150179028132992
"ACTR10",0.122219948849105
"ACTR1A",-0.0941483375959079
"ACTR1B",0.134887468030691
"ACTR2",0.0889488491048593
"ACTR3",0.0715549872122762
"ACTR3B",-0.0425524296675192
"ACTR3C",-0.0382941176470588
"ACTR5",0.201368286445013
"ACTR6",0.0217774936061381
"ACTR8",-0.380002557544757
"ACTRT3",0.721928388746803
"ACVR1",0.03253452685422
"ACVR1B",0.0286419437340153
"ACVR1C",0.036695652173913
"ACVR2A",0.0312071611253197
"ACVR2B",-0.36725831202046
"ACVRL1",0.0258158567774936
"ACY1",-0.380437340153453
"ACY3",0.249411764705882
"ACYP1",0.124608695652174
"ACYP2",0.0833913043478261
"ADA",0.171575447570332
"ADAD2",-0.00987212276214834
"ADAL",-0.0493350383631714
"ADAM10",-0.0369590792838875
"ADAM11",0.0419360613810742
"ADAM12",-0.0736010230179028
"ADAM15",0.127721227621483
"ADAM17",0.049383631713555
"ADAM19",-0.163017902813299
"ADAM22",0.19572378516624
"ADAM23",-0.0827902813299233
"ADAM28",-0.172708439897698
"ADAM32",0.0968772378516624
"ADAM33",0.15169820971867
"ADAM6",0.114544757033248
"ADAM8",-0.0702225063938619
"ADAM9",0.111409207161125
"ADAMDEC1",-0.172708439897698
"ADAMTS1",-0.136265984654731
"ADAMTS10",-0.071306905370844
"ADAMTS12",0.344997442455243
"ADAMTS13",0.124979539641944
"ADAMTS14",-0.0581381074168798
"ADAMTS15",-0.192567774936061
"ADAMTS16",0.344150895140665
"ADAMTS17",0.046156010230179
"ADAMTS18",-0.00631969309462916
"ADAMTS2",-0.159790281329923
"ADAMTS20",0.0385473145780051
"ADAMTS3",-0.019537084398977
"ADAMTS4",0.137462915601023
"ADAMTS5",-0.138350383631714
"ADAMTS6",-0.16918925831202
"ADAMTS7",-0.0244859335038363
"ADAMTS8",-0.192567774936061
"ADAMTS9",-0.371710997442455
"ADAMTSL1",-0.0823196930946292
"ADAMTSL2",0.124979539641944
"ADAMTSL3",-0.00749872122762148
"ADAMTSL4",0.135657289002558
"ADAMTSL5",-0.136350383631714
"ADAP1",0.232664961636829
"ADAP2",0.0269769820971867
"ADAR",0.127079283887468
"ADARB1",-0.147910485933504
"ADARB2",-0.105762148337596
"ADAT1",0.00684910485933504
"ADAT2",-0.0110332480818414
