"gene","value"
"A1BG",0.182551020408163
"A1CF",-0.55265306122449
"A2M",0.253510204081633
"A4GALT",0.215142857142857
"AAAS",0.297673469387755
"AACS",0.261061224489796
"AADAT",0.324979591836735
"AAED1",-0.0218367346938775
"AAGAB",0.285755102040816
"AAK1",-0.531857142857143
"AAMDC",0.197632653061224
"AAMP",-0.556918367346939
"AAR2",0.241285714285714
"AARD",0.185102040816327
"AARS",0.205
"AARS2",-0.617714285714286
"AARSD1",-0.61269387755102
"AASDH",0.329857142857143
"AASDHPPT",0.141489795918367
"AASS",0.355938775510204
"AATF",-0.613183673469388
"AATK",-0.575673469387755
"ABAT",0.244224489795918
"ABCA1",-0.0211428571428571
"ABCA10",-0.613448979591837
"ABCA11P",0.288897959183673
"ABCA12",-0.557326530612245
"ABCA13",0.309183673469388
"ABCA17P",0.247857142857143
"ABCA2",-0.0160816326530612
"ABCA3",0.247857142857143
"ABCA4",-0.604081632653061
"ABCA5",-0.613448979591837
"ABCA6",-0.613448979591837
"ABCA7",0.221612244897959
"ABCA8",-0.613448979591837
"ABCA9",-0.613448979591837
"ABCB1",0.349285714285714
"ABCB10",-0.591061224489796
"ABCB4",0.349285714285714
"ABCB6",-0.556918367346939
"ABCB7",-0.176734693877551
"ABCB8",0.327632653061224
"ABCB9",0.261061224489796
"ABCC1",0.245020408163265
"ABCC10",-0.617714285714286
"ABCC2",-0.578040816326531
"ABCC3",-0.613285714285714
"ABCC4",-0.494510204081633
"ABCC5",-0.0154081632653061
"ABCC6",0.245020408163265
"ABCC6P1",0.245020408163265
"ABCC9",0.264877551020408
"ABCD1",-0.136510204081633
"ABCD2",0.285061224489796
"ABCD3",-0.604081632653061
"ABCD4",0.295836734693878
"ABCE1",0.338530612244898
"ABCF1",-0.615897959183674
"ABCF2",0.327632653061224
"ABCF3",-0.0154081632653061
"ABCG1",-0.343122448979592
"ABCG2",0.33330612244898
"ABCG4",0.166959183673469
"ABCG5",-0.532061224489796
"ABCG8",-0.532061224489796
"ABHD1",-0.533326530612245
"ABHD10",-0.01
"ABHD11",0.332938775510204
"ABHD12",0.251224489795918
"ABHD13",-0.494673469387755
"ABHD14A",-0.0300816326530612
"ABHD14B",-0.0300816326530612
"ABHD15",-0.619857142857143
"ABHD16A",-0.615897959183674
"ABHD16B",0.246734693877551
"ABHD17A",0.221612244897959
"ABHD17B",-0.0172857142857143
"ABHD17C",0.241755102040816
"ABHD2",0.240979591836735
"ABHD3",0.110571428571429
"ABHD4",0.334918367346939
"ABHD5",0.0446734693877551
"ABHD6",-0.0303877551020408
"ABHD8",0.220204081632653
"ABI1",-0.520979591836735
"ABI2",-0.556326530612245
"ABI3",-0.613285714285714
"ABI3BP",-0.0119795918367347
"ABL1",-0.0186122448979592
"ABL2",-0.588857142857143
"ABLIM1",-0.579204081632653
"ABLIM2",0.303673469387755
"ABLIM3",0.011734693877551
"ABO",-0.0167142857142857
"ABR",-0.62434693877551
"ABRACL",-0.635367346938776
"ABT1",-0.616102040816327
"ABTB1",0.00885714285714286
"ABTB2",0.118224489795918
"ACAA1",0.0440816326530612
"ACAA2",0.110714285714286
"ACACA",-0.613183673469388
"ACACB",0.265918367346939
"ACAD10",0.263571428571429
"ACAD11",0.00891836734693877
"ACAD8",0.161142857142857
"ACAD9",0.00885714285714286
"ACADL",-0.556857142857143
"ACADM",-0.605061224489796
"ACADS",0.261877551020408
"ACADSB",-0.580897959183673
"ACADVL",-0.622795918367347
"ACAN",0.240979591836735
"ACAP1",-0.622795918367347
"ACAP2",-0.0157142857142857
"ACAP3",-0.609877551020408
"ACAT1",0.206755102040816
"ACAT2",-0.638265306122449
"ACBD3",-0.590612244897959
"ACBD4",-0.612734693877551
"ACBD5",-0.520979591836735
"ACBD6",-0.588714285714286
"ACBD7",-0.521387755102041
"ACCS",0.195204081632653
"ACD",0.20530612244898
"ACE",-0.612857142857143
"ACE2",-0.164428571428571
"ACER2",0.0140612244897959
"ACER3",0.197632653061224
"ACHE",0.349244897959184
"ACIN1",0.334918367346939
"ACKR1",-0.607265306122449
"ACKR2",0.0446326530612245
"ACKR3",-0.559020408163265
"ACKR4",0.00891836734693877
"ACLY",-0.61269387755102
"ACMSD",-0.540612244897959
"ACO1",0.0142040816326531
"ACO2",0.215285714285714
"ACOT1",0.321489795918367
"ACOT11",-0.603204081632653
"ACOT12",0.0158775510204082
"ACOT13",-0.616102040816327
"ACOT2",0.321489795918367
"ACOT4",0.321489795918367
"ACOT6",0.321489795918367
"ACOT7",-0.606775510204082
"ACOT8",0.242836734693878
"ACOT9",-0.165102040816327
"ACOX1",-0.576571428571429
"ACOX2",-0.0303877551020408
"ACOX3",0.303673469387755
"ACOXL",-0.529571428571429
"ACP1",-0.551551020408163
"ACP2",0.193
"ACP5",0.221428571428571
"ACP6",-0.616979591836735
"ACPP",0.00891836734693877
"ACRBP",0.262326530612245
"ACRC",-0.176632653061224
"ACSBG1",0.242877551020408
"ACSBG2",0.20365306122449
"ACSF2",-0.613285714285714
"ACSF3",0.213795918367347
"ACSL1",0.31165306122449
"ACSL3",-0.556918367346939
"ACSL4",-0.153469387755102
"ACSL5",-0.579204081632653
"ACSL6",0.0226122448979592
"ACSM1",0.24565306122449
"ACSM2A",0.24565306122449
"ACSM2B",0.24565306122449
"ACSM3",0.24565306122449
"ACSM5",0.24565306122449
"ACSS1",0.251224489795918
"ACSS2",0.253265306122449
"ACSS3",0.279673469387755
"ACTA2",-0.577551020408163
"ACTB",0.309897959183673
"ACTBL2",0.0352244897959184
"ACTC1",0.261959183673469
"ACTG1",-0.575571428571429
"ACTG2",-0.531367346938776
"ACTL10",0.252448979591837
"ACTL6A",-0.0152448979591837
"ACTN1",0.329040816326531
"ACTN2",-0.591408163265306
"ACTN4",0.179448979591837
"ACTR10",0.328755102040816
"ACTR1A",-0.577897959183673
"ACTR1B",-0.530244897959184
"ACTR2",-0.531795918367347
"ACTR3",-0.529673469387755
"ACTR3B",0.289714285714286
"ACTR3C",0.287387755102041
"ACTR5",0.241285714285714
"ACTR6",0.266224489795918
"ACTR8",-0.0304081632653061
