"gene","value"
"A1BG",-0.053087962962963
"A1CF",-0.0376898148148148
"A2M",0.315125
"A4GALT",-0.138375
"A4GNT",0.243064814814815
"AAAS",0.313791666666667
"AACS",0.323486111111111
"AACSP1",0.0615092592592593
"AADAT",-0.0529259259259259
"AAED1",-0.0787037037037037
"AAGAB",-0.058662037037037
"AAK1",0.0899861111111111
"AAMDC",-0.036962962962963
"AAMP",0.0958055555555556
"AAR2",0.315736111111111
"AARD",0.0559074074074074
"AARS",0.415388888888889
"AARS2",0.00875462962962963
"AARSD1",0.561907407407407
"AASDH",-0.0438888888888889
"AASDHPPT",-0.0625509259259259
"AASS",0.703828703703704
"AATF",0.556652777777778
"AATK",0.591402777777778
"ABAT",0.458162037037037
"ABCA1",-0.0829583333333333
"ABCA10",0.589949074074074
"ABCA11P",-0.0367361111111111
"ABCA12",0.103300925925926
"ABCA13",0.665407407407407
"ABCA17P",0.454069444444444
"ABCA2",-0.0766388888888889
"ABCA3",0.454069444444444
"ABCA4",-0.0966851851851852
"ABCA5",0.589949074074074
"ABCA6",0.589949074074074
"ABCA7",-0.0585972222222222
"ABCA8",0.589949074074074
"ABCA9",0.589949074074074
"ABCB1",0.667541666666667
"ABCB10",-0.00434259259259259
"ABCB4",0.667541666666667
"ABCB5",0.664435185185185
"ABCB6",0.0958055555555556
"ABCB7",0.0750787037037037
"ABCB8",0.689018518518518
"ABCB9",0.323486111111111
"ABCC1",0.455782407407407
"ABCC10",0.0131527777777778
"ABCC2",-0.0240277777777778
"ABCC3",0.583726851851852
"ABCC4",0.0171342592592593
"ABCC5",0.272736111111111
"ABCC6",0.455782407407407
"ABCC6P1",0.455782407407407
"ABCC8",-0.0330046296296296
"ABCC9",0.31937037037037
"ABCD1",0.0708703703703704
"ABCD2",0.322847222222222
"ABCD3",-0.0966851851851852
"ABCD4",-0.106986111111111
"ABCE1",-0.0522407407407407
"ABCF1",-0.0768194444444444
"ABCF2",0.689125
"ABCF3",0.265328703703704
"ABCG1",-0.0707777777777778
"ABCG2",-0.0475833333333333
"ABCG4",-0.0630046296296296
"ABCG5",0.0920601851851852
"ABCG8",0.102430555555556
"ABHD1",0.11187962962963
"ABHD10",0.245583333333333
"ABHD11",0.675439814814815
"ABHD12",0.314648148148148
"ABHD13",0.0171481481481481
"ABHD14A",0.143152777777778
"ABHD14B",0.143152777777778
"ABHD15",0.53437962962963
"ABHD16A",-0.0773935185185185
"ABHD16B",0.328921296296296
"ABHD17A",-0.0666527777777778
"ABHD17B",-0.078662037037037
"ABHD17C",-0.0584907407407407
"ABHD2",-0.0627222222222222
"ABHD3",-0.0562777777777778
"ABHD4",-0.114162037037037
