"gene","value"
"A1BG",-0.398497395833333
"A2M",0.0882213541666667
"A2ML1",0.088203125
"A4GALT",-0.0457135416666667
"AAAS",-0.0570963541666667
"AACS",-0.0157109375
"AADAT",-0.150723958333333
"AAED1",0.00177604166666667
"AAGAB",-0.0439817708333333
"AAK1",-0.009625
"AAMDC",0.04378125
"AAMP",-0.0143307291666667
"AAR2",0.0708125
"AARD",0.1460234375
"AARS",0.0121588541666667
"AARS2",-0.009578125
"AARSD1",0.022109375
"AASDH",-0.000932291666666667
"AASDHPPT",0.0493932291666667
"AASS",0.271307291666667
"AATF",0.0221770833333333
"AATK",0.0637473958333333
"ABAT",0.0226848958333333
"ABCA1",-0.00318489583333333
"ABCA10",0.0671666666666667
"ABCA11P",-0.0629947916666667
"ABCA12",-0.01590625
"ABCA13",0.1946484375
"ABCA17P",0.030671875
"ABCA2",0.00463802083333333
"ABCA3",0.0226640625
"ABCA4",-0.314018229166667
"ABCA5",0.0671666666666667
"ABCA6",0.0671666666666667
"ABCA7",0.0951484375
"ABCA8",0.0635651041666667
"ABCA9",0.0635651041666667
"ABCB1",0.2253046875
"ABCB10",0.01878125
"ABCB4",0.2253046875
"ABCB6",-0.0151119791666667
"ABCB7",-0.0192421875
"ABCB8",0.268903645833333
"ABCB9",-0.0112109375
"ABCC1",0.00926822916666667
"ABCC10",-0.0074609375
"ABCC11",0.021828125
"ABCC12",0.01928125
"ABCC2",-0.15634375
"ABCC3",0.0354166666666667
"ABCC4",-0.106580729166667
"ABCC5",0.0187604166666667
"ABCC6",0.00926822916666667
"ABCC6P1",0.00926822916666667
"ABCC8",-0.0661979166666667
"ABCC9",0.0670442708333333
"ABCD1",-0.0429270833333333
"ABCD2",-0.00626302083333333
"ABCD3",-0.3150546875
"ABCD4",-0.155861979166667
"ABCE1",-0.134606770833333
"ABCF1",-0.00904166666666667
"ABCF2",0.270809895833333
"ABCF3",0.0187604166666667
"ABCG1",0.00493229166666667
"ABCG2",-0.1013125
"ABCG4",0.071328125
"ABHD1",-0.0106796875
"ABHD10",-0.035109375
"ABHD11",0.185463541666667
"ABHD12",0.0631536458333333
"ABHD12B",-0.0873567708333333
"ABHD13",-0.0760885416666667
"ABHD14A",-0.0548359375
"ABHD14B",-0.0548359375
"ABHD15",0.0157578125
"ABHD16A",-0.00881770833333333
"ABHD16B",0.0717083333333333
"ABHD17A",0.0816380208333333
"ABHD17B",-0.00912760416666667
"ABHD17C",-0.0418125
"ABHD2",-0.0364453125
"ABHD3",-0.0531796875
"ABHD4",-0.0636380208333333
"ABHD5",-0.045625
"ABHD6",-0.0384973958333333
"ABHD8",0.0818333333333333
"ABI1",-0.0449036458333333
"ABI2",-0.0083828125
"ABI3",0.0289765625
"ABI3BP",-0.0347864583333333
"ABL1",-0.001234375
"ABL2",0.0390703125
"ABLIM1",-0.194427083333333
"ABLIM2",-0.05540625
"ABLIM3",-0.0448125
"ABR",0.0201197916666667
"ABRACL",-0.0994635416666667
"ABT1",-0.0182317708333333
"ABTB1",-0.0296979166666667
"ABTB2",-0.060546875
"ACAA1",-0.037
"ACAA2",-0.0674140625
"ACACA",0.0228255208333333
"ACACB",-0.0510104166666667
"ACAD10",-0.04871875
"ACAD11",-0.0257421875
"ACAD8",0.0544557291666667
"ACAD9",-0.0270390625
"ACADL",-0.00977604166666667
"ACADM",-0.316744791666667
"ACADS",-0.023328125
"ACADSB",-0.198723958333333
"ACADVL",0.0180208333333333
"ACAN",-0.0400338541666667
"ACAP1",0.0180208333333333
"ACAP2",-0.0390442708333333
"ACAP3",-0.336065104166667
"ACAT1",0.0468541666666667
"ACAT2",-0.0944505208333333
"ACBD3",0.0177994791666667
"ACBD4",0.0268072916666667
"ACBD5",-0.0469166666666667
"ACBD6",0.0396171875
"ACBD7",-0.0371979166666667
"ACCS",-0.0468958333333333
"ACD",0.0100833333333333
"ACE",0.0633411458333333
"ACER2",-0.189734375
"ACER3",0.0419322916666667
"ACHE",0.262807291666667
"ACIN1",-0.059703125
"ACKR1",0.0415729166666667
"ACKR2",-0.0456223958333333
"ACKR3",-0.0699583333333333
"ACKR4",-0.0257421875
"ACLY",0.022203125
"ACO1",-0.118489583333333
"ACO2",-0.0349765625
"ACOT1",-0.151244791666667
"ACOT11",-0.317309895833333
"ACOT13",-0.0207317708333333
"ACOT2",-0.151244791666667
"ACOT4",-0.151244791666667
"ACOT7",-0.357255208333333
"ACOT8",0.0647265625
"ACOT9",-0.0779192708333333
"ACOX1",0.0782447916666667
"ACOX2",-0.0424296875
"ACOX3",-0.0595234375
"ACP1",-0.0134739583333333
"ACP2",-0.0372239583333333
"ACP5",0.0827057291666667
"ACP6",-0.131322916666667
"ACPP",-0.0257421875
"ACRBP",0.109471354166667
"ACRC",-0.0136744791666667
"ACRV1",0.068453125
"ACSBG1",-0.0389140625
"ACSF2",0.0352994791666667
"ACSF3",-0.00100520833333333
"ACSL1",-0.150421875
"ACSL3",-0.01634375
"ACSL4",-0.0280546875
"ACSL5",-0.192442708333333
"ACSL6",-0.0326536458333333
