"gene","value"
"A1BG",0.0808158844765343
"A1CF",-0.0344043321299639
"A2M",-0.0758808664259928
"A4GALT",-0.0124765342960289
"A4GNT",0.0278592057761733
"AAAS",0.0148014440433213
"AACS",-0.0211083032490975
"AADAC",0.043985559566787
"AADAT",-0.278671480144404
"AAED1",-0.149256317689531
"AAGAB",-0.0448628158844765
"AAK1",0.00255595667870036
"AAMDC",-0.0232454873646209
"AAMP",-0.00729602888086643
"AAR2",0.193649819494585
"AARS",-0.267256317689531
"AARS2",0.380530685920578
"AARSD1",0.139306859205776
"AASDH",-0.165895306859206
"AASDHPPT",-0.100400722021661
"AASS",0.167202166064982
"AATF",0.12402166064982
"AATK",0.295158844765343
"ABAT",-0.118357400722022
"ABCA1",-0.141729241877256
"ABCA10",0.274501805054152
"ABCA11P",-0.0739458483754513
"ABCA13",0.208458483754513
"ABCA2",-0.114339350180505
"ABCA3",-0.122534296028881
"ABCA4",-0.0636425992779783
"ABCA5",0.269971119133574
"ABCA6",0.266389891696751
"ABCA7",-0.0874873646209386
"ABCA8",0.279519855595668
"ABCA9",0.285194945848375
"ABCB1",0.174743682310469
"ABCB10",0.685007220216607
"ABCB11",0.0103682310469314
"ABCB4",0.193104693140794
"ABCB5",0.210039711191336
"ABCB6",-0.000653429602888087
"ABCB7",0.00225992779783393
"ABCB8",0.157808664259928
"ABCB9",-0.00768231046931408
"ABCC1",-0.0850613718411552
"ABCC10",0.375332129963899
"ABCC11",-0.219682310469314
"ABCC2",-0.090783393501805
"ABCC3",0.19772202166065
"ABCC4",-0.00727075812274368
"ABCC5",0.063826714801444
"ABCC6",-0.0850613718411552
"ABCC6P1",-0.0850613718411552
"ABCC8",-0.0172815884476534
"ABCC9",-0.0704223826714801
"ABCD1",0.0681624548736462
"ABCD3",-0.0703140794223827
"ABCD4",-0.195754512635379
"ABCE1",-0.266310469314079
"ABCF1",0.384332129963899
"ABCF2",0.157624548736462
"ABCF3",0.0632490974729242
"ABCG1",-0.127581227436823
"ABCG2",-0.315516245487365
"ABCG5",0.0492166064981949
"ABCG8",0.0505667870036101
"ABHD1",0.0854981949458484
"ABHD10",0.0154368231046931
"ABHD11",0.185931407942238
"ABHD12",0.177945848375451
"ABHD13",0.0359494584837545
"ABHD14A",-0.0284657039711191
"ABHD14B",-0.0284657039711191
"ABHD15",0.14002166064982
"ABHD16A",0.37502166064982
"ABHD16B",0.247451263537906
"ABHD17A",-0.0650397111913357
"ABHD17B",-0.137223826714801
"ABHD17C",-0.0332888086642599
"ABHD2",-0.0354296028880866
"ABHD3",-0.0455559566787004
"ABHD4",-0.0233790613718412
"ABHD5",-0.00585920577617329
"ABHD6",-0.033812274368231
"ABHD8",0.0202274368231047
"ABI1",0.0851624548736462
"ABI2",0.0468736462093863
"ABI3",0.178014440433213
"ABI3BP",0.0155848375451264
"ABL1",-0.11558844765343
"ABL2",0.7375559566787
"ABLIM1",-0.12114440433213
"ABLIM2",-0.0755270758122744
"ABLIM3",0.15426714801444
"ABR",-0.382851985559567
"ABRACL",-0.206115523465704
"ABT1",0.362126353790614
"ABTB1",0.017173285198556
"ABTB2",-0.020072202166065
"ACAA1",0.00655234657039711
"ACAA2",-0.11756678700361
"ACACA",0.121238267148014
"ACACB",0.0137436823104693
"ACAD10",0.00810830324909747
"ACAD11",0.0170541516245487
"ACAD8",-0.114425992779783
"ACAD9",0.0143321299638989
"ACADL",0.0102166064981949
"ACADM",-0.086072202166065
"ACADS",-0.018985559566787
"ACADSB",-0.122815884476534
"ACADVL",-0.437111913357401
"ACAN",-0.0324512635379061
"ACAP1",-0.440086642599278
"ACAP2",0.0555162454873646
"ACAP3",-0.268635379061372
"ACAT1",-0.110061371841155
"ACAT2",-0.230718411552347
"ACBD3",0.669194945848375
"ACBD4",0.155465703971119
"ACBD5",0.0851552346570397
"ACBD6",0.719599277978339
"ACBD7",0.0886137184115523
"ACCS",-0.0295631768953069
"ACD",-0.275501805054152
"ACE",0.257938628158845
"ACE2",-0.0877075812274368
"ACER2",-0.187350180505415
"ACER3",-0.0337472924187726
"ACHE",0.169841155234657
"ACIN1",-0.0246534296028881
"ACKR1",0.778606498194946
"ACKR2",0.0122129963898917
"ACKR3",-0.0250902527075812
"ACKR4",0.0170541516245487
"ACLY",0.145194945848375
"ACMSD",0.000469314079422383
"ACO1",-0.135148014440433
"ACO2",0.00551624548736462
"ACOT1",-0.195241877256318
"ACOT11",-0.0924548736462094
"ACOT12",0.0906823104693141
"ACOT13",0.369249097472924
"ACOT2",-0.195241877256318
"ACOT4",-0.195241877256318
"ACOT6",-0.195241877256318
"ACOT7",-0.271306859205776
"ACOT8",0.202245487364621
"ACOT9",-0.081187725631769
"ACOX1",0.287371841155235
"ACOX2",-0.0417797833935018
"ACOX3",-0.0705848375451264
"ACP1",0.0801768953068592
"ACP2",-0.0219241877256318
"ACP5",-0.0516245487364621
"ACP6",0.673281588447653
"ACPP",0.0217942238267148
"ACPT",0.0577003610108303
"ACRBP",-0.0676678700361011
"ACRC",0.00235018050541516
"ACSF2",0.188599277978339
"ACSF3",-0.299516245487365
"ACSL1",-0.322707581227437
"ACSL3",-0.0099783393501805
"ACSL4",0.0605451263537906
"ACSL5",-0.113310469314079
"ACSL6",0.137768953068592
"ACSM1",-0.0882274368231047
"ACSM2A",-0.0974657039711191
"ACSM2B",-0.0928592057761733
"ACSM3",-0.098927797833935
"ACSM5",-0.0959494584837545
"ACSS1",0.173097472924188
"ACSS2",0.200158844765343
"ACSS3",0.0246028880866426
"ACTA2",-0.102512635379061
"ACTB",0.212559566787004
"ACTG1",0.305184115523466
"ACTG2",0.0125884476534296
"ACTL10",0.218534296028881
"ACTL6A",0.0683032490974729
"ACTL8",-0.233415162454874
"ACTN1",-0.179375451263538
"ACTN2",0.689014440433213
"ACTN4",0.0946281588447653
"ACTR10",-0.152537906137184
"ACTR1A",-0.0977075812274368
"ACTR1B",0.00462815884476534
"ACTR2",0.0334332129963899
"ACTR3",-0.00249097472924188
"ACTR3B",0.165649819494585
"ACTR3C",0.156043321299639
"ACTR5",0.208245487364621
"ACTR6",0.0194873646209386
"ACTR8",-0.0411480144404332
"ACTRT3",0.0763176895306859
"ACVR1",0.00233212996389892
"ACVR1B",0.0155198555956679
"ACVR1C",0.00845487364620939
"ACVR2A",-0.0373212996389892
"ACVR2B",0.00204332129963899
"ACVRL1",0.0235162454873646
"ACY1",-0.0284657039711191
"ACY3",0.0449314079422383
"ACYP1",-0.193227436823105
"ACYP2",0.0399963898916968
"ADA",0.20242238267148
"ADAL",-0.0567292418772563
"ADAM10",-0.0323285198555957
"ADAM11",0.14502166064982
"ADAM12",-0.114472924187726
"ADAM15",0.845194945848375
"ADAM17",0.0916642599277978
"ADAM19",0.153819494584838
"ADAM22",0.178906137184116
"ADAM23",0.037985559566787
"ADAM28",-0.539379061371841
"ADAM33",0.146537906137184
"ADAM6",-0.204407942238267
"ADAM8",-0.110534296028881
"ADAM9",-0.3164440433213
"ADAMDEC1",-0.539379061371841
"ADAMTS1",-0.139104693140794
"ADAMTS10",-0.0695884476534296
"ADAMTS12",0.265552346570397
"ADAMTS13",-0.118191335740072
"ADAMTS14",-0.0534981949458484
"ADAMTS15",-0.111158844765343
"ADAMTS16",0.268646209386282
"ADAMTS17",-0.0103032490974729
"ADAMTS18",-0.290830324909747
"ADAMTS2",0.188870036101083
"ADAMTS3",-0.262689530685921
"ADAMTS4",0.799963898916968
"ADAMTS5",-0.139104693140794
"ADAMTS6",0.095971119133574
"ADAMTS7",-0.0353754512635379
"ADAMTS9",-0.0395415162454874
"ADAMTSL1",-0.190180505415162
"ADAMTSL2",-0.115765342960289
"ADAMTSL3",-0.0266570397111913
"ADAMTSL4",0.788353790613718
"ADAMTSL5",-0.079797833935018
"ADAP1",0.210234657039711
"ADAP2",0.120231046931408
"ADAR",0.808187725631769
"ADARB1",-0.122913357400722
"ADAT1",-0.292458483754513
"ADAT2",-0.210386281588448
"ADAT3",-0.0650397111913357
"ADCK1",-0.190509025270758
"ADCK2",0.145068592057762
"ADCK3",0.668494584837545
"ADCK4",0.115173285198556
"ADCK5",0.748425992779783
"ADCY1",0.223328519855596
"ADCY10",0.779018050541516
"ADCY10P1",0.333314079422383
"ADCY3",0.067115523465704
"ADCY4",-0.0250324909747292
"ADCY5",0.0191913357400722
"ADCY6",0.0156678700361011
"ADCY7",-0.249021660649819
"ADCY8",0.775671480144404
"ADCY9",-0.114104693140794
"ADCYAP1",-0.0208953068592058
"ADD1",-0.0707472924187726
"ADD3",-0.105884476534296
"ADGRA2",-0.355848375451264
"ADGRA3",-0.0728519855595668
"ADGRB1",0.751321299638989
"ADGRB2",-0.218400722021661
"ADGRD1",-0.0250180505415162
"ADGRE1",-0.0743321299638989
"ADGRE2",0.0185342960288809
"ADGRE5",0.01885559566787
"ADGRF5",0.341270758122744
"ADGRG1",-0.255382671480144
"ADGRG2",-0.0852057761732852
"ADGRG3",-0.255382671480144
"ADGRG5",-0.262805054151625
"ADGRG6",-0.204635379061372
"ADGRG7",0.0173682310469314
"ADGRL1",0.00833935018050542
"ADGRL2",-0.0847942238267148
"ADGRL3",-0.195819494584838
"ADGRL4",-0.0864043321299639
"ADGRV1",0.140447653429603
"ADH1A",-0.313906137184116
"ADH1B",-0.313516245487365
"ADH1C",-0.317050541516246
"ADH4",-0.302945848375451
"ADH5",-0.32043321299639
"ADH6",-0.319884476534296
"ADHFE1",0.563057761732852
"ADI1",0.0917039711191336
"ADIPOR1",0.729397111913357
