"gene","value"
"A1BG",0.0531893333333333
"A2M",0.331768
"A2ML1",0.335629333333333
"A4GALT",0.149344
"AAAS",0.102504
"AACS",0.0304266666666667
"AACSP1",-0.305144
"AADAC",0.959954666666667
"AADACL2",0.959954666666667
"AADAT",-0.301253333333333
"AAED1",-0.0717866666666667
"AAGAB",-0.000309333333333333
"AAK1",0.315133333333333
"AAMDC",0.0598666666666667
"AAMP",-0.079352
"AAR2",0.296714666666667
"AARD",0.421821333333333
"AARS",-0.0727173333333333
"AARS2",0.0849733333333333
"AARSD1",0.0682533333333333
"AASDH",0.0112826666666667
"AASDHPPT",-0.0236773333333333
"AASS",0.179512
"AATF",0.053984
"AATK",0.189288
"ABAT",-0.0492373333333333
"ABCA1",-0.059472
"ABCA10",0.220666666666667
"ABCA11P",-0.26072
"ABCA12",-0.092064
"ABCA13",0.211725333333333
"ABCA17P",-0.100384
"ABCA2",-0.0636533333333333
"ABCA3",-0.100384
"ABCA4",-0.137946666666667
"ABCA5",0.223178666666667
"ABCA6",0.220381333333333
"ABCA7",-0.139930666666667
"ABCA8",0.228504
"ABCA9",0.220381333333333
"ABCB1",0.30812
"ABCB10",0.270746666666667
"ABCB4",0.294245333333333
"ABCB6",-0.0879546666666667
"ABCB7",-0.0162
"ABCB8",0.147808
"ABCB9",0.03036
"ABCC1",-0.04092
"ABCC10",0.104826666666667
"ABCC13",-0.112234666666667
"ABCC2",-0.201336
"ABCC3",0.185528
"ABCC4",-0.168832
"ABCC5",1.55025866666667
"ABCC6",-0.04092
"ABCC6P1",-0.04092
"ABCC8",-0.083344
"ABCC9",0.359888
"ABCD1",0.086312
"ABCD2",0.137344
"ABCD3",-0.131754666666667
"ABCD4",-0.025768
"ABCE1",-0.273698666666667
"ABCF1",0.0205146666666667
"ABCF2",0.144706666666667
"ABCF3",1.481904
"ABCG1",-0.201021333333333
"ABCG2",-0.198034666666667
"ABCG4",-0.0575946666666667
"ABHD1",0.277205333333333
"ABHD10",0.481925333333333
"ABHD11",0.219109333333333
"ABHD12",0.262344
"ABHD12B",-0.0220293333333333
"ABHD13",-0.144216
"ABHD14A",-0.413845333333333
"ABHD14B",-0.413845333333333
"ABHD15",0.0699653333333333
"ABHD16A",0.0122746666666667
"ABHD16B",0.203082666666667
"ABHD17A",-0.132325333333333
"ABHD17B",-0.105173333333333
"ABHD17C",0.0461626666666667
"ABHD2",0.124274666666667
"ABHD3",0.106346666666667
"ABHD4",0.00275733333333333
"ABHD5",-0.398069333333333
"ABHD6",-0.410173333333333
"ABHD8",-0.00651733333333333
"ABI1",-0.0789333333333333
"ABI2",0.0648853333333333
"ABI3",0.16116
"ABI3BP",0.471610666666667
"ABL1",-0.0687173333333333
"ABL2",0.313581333333333
"ABLIM1",-0.181392
"ABLIM2",-0.25816
"ABLIM3",-0.329181333333333
"ABO",-0.068176
"ABR",-0.231098666666667
"ABRACL",-0.014624
"ABT1",0.009384
"ABTB1",0.529488
"ABTB2",-0.021744
"ACAA1",-0.357930666666667
"ACAA2",-0.0856986666666667
"ACACA",0.0646826666666667
"ACACB",0.035616
"ACAD10",0.033536
"ACAD11",0.575645333333333
"ACAD8",-0.067784
"ACAD9",0.527794666666667
"ACADL",-0.0275253333333333
"ACADM",-0.116088
"ACADS",0.0241253333333333
"ACADSB",-0.168762666666667
"ACADVL",-0.251130666666667
"ACAN",0.109261333333333
"ACAP1",-0.256608
"ACAP2",1.17853066666667
"ACAP3",-0.148253333333333
"ACAT1",-0.0272293333333333
"ACAT2",-0.022232
"ACBD3",0.273968
"ACBD4",0.106112
"ACBD5",-0.0783226666666667
"ACBD6",0.306002666666667
"ACBD7",-0.111301333333333
"ACCS",-0.0170133333333333
"ACD",-0.0684746666666667
"ACE",0.217424
"ACE2",-0.0150693333333333
"ACER2",-0.252229333333333
"ACER3",0.0646533333333333
"ACHE",0.308616
"ACIN1",0.0155413333333333
"ACKR1",0.34628
"ACKR2",-0.394688
"ACKR3",-0.100506666666667
"ACKR4",0.573264
"ACLY",0.067536
"ACO1",-0.063528
"ACO2",0.158848
"ACOT1",-0.0223573333333333
"ACOT11",-0.114410666666667
"ACOT13",0.0167946666666667
"ACOT2",-0.0223573333333333
"ACOT4",-0.0223573333333333
"ACOT7",-0.15256
"ACOT8",0.241072
"ACOT9",-0.026968
"ACOX1",0.236493333333333
"ACOX2",-0.410058666666667
"ACOX3",-0.254789333333333
"ACOXL",0.148642666666667
"ACP1",0.215282666666667
"ACP2",-0.00739733333333333
"ACP5",-0.04172
"ACP6",0.284074666666667
"ACPP",0.576837333333333
"ACRBP",0.338658666666667
"ACRC",-0.0187173333333333
"ACSBG1",0.0454906666666667
"ACSF2",0.179384
"ACSF3",-0.113512
"ACSL1",-0.302482666666667
"ACSL3",-0.0899226666666667
"ACSL4",0.07436
"ACSL5",-0.183122666666667
"ACSL6",-0.352522666666667
"ACSM1",-0.0423093333333333
"ACSM3",-0.0423093333333333
"ACSM5",-0.0420133333333333
"ACSS1",0.258384
"ACSS2",0.316576
"ACSS3",0.072256
"ACTA2",-0.221410666666667
"ACTB",0.2442
"ACTC1",-0.0563493333333333
"ACTG1",0.186672
"ACTG2",0.280125333333333
"ACTL10",0.335925333333333
"ACTL6A",1.45287733333333
"ACTL8",-0.190557333333333
"ACTN1",-0.050304
"ACTN2",0.276413333333333
"ACTN4",0.362666666666667
"ACTR10",-0.04236
"ACTR1A",-0.20692
"ACTR1B",0.222010666666667
"ACTR2",0.384248
"ACTR3",0.154888
"ACTR3B",0.111792
"ACTR3C",0.138717333333333
"ACTR5",0.254498666666667
"ACTR6",0.043288
"ACTR8",-0.415045333333333
"ACTRT3",1.4124
"ACVR1",0.095904
"ACVR1B",0.094104
"ACVR1C",0.0980293333333333
"ACVR2A",0.0666506666666667
"ACVR2B",-0.360144
"ACVRL1",0.091704
"ACY1",-0.413845333333333
"ACY3",0.112837333333333
"ACYP1",-0.022368
"ACYP2",0.371896
"ADA",0.234413333333333
"ADAD2",-0.120133333333333
"ADAL",-0.0615093333333333
"ADAM10",-0.0163146666666667
"ADAM11",0.095792
"ADAM12",-0.164530666666667
"ADAM15",0.350226666666667
"ADAM17",0.215717333333333
"ADAM19",-0.335194666666667
"ADAM21",-0.044096
"ADAM22",0.311928
"ADAM23",0.000482666666666667
"ADAM28",-0.32172
"ADAM32",0.402178666666667
"ADAM33",0.296877333333333
"ADAM6",0.0564426666666667
"ADAM8",-0.162264
"ADAM9",0.407432
"ADAMDEC1",-0.319992
"ADAMTS1",-0.141434666666667
"ADAMTS10",-0.0643253333333333
"ADAMTS12",0.715773333333333
"ADAMTS13",-0.0693946666666667
"ADAMTS14",-0.130498666666667
"ADAMTS15",-0.077952
"ADAMTS16",0.714877333333333
"ADAMTS17",0.141752
"ADAMTS18",-0.103648
"ADAMTS2",-0.314776
"ADAMTS20",0.125426666666667
"ADAMTS3",-0.0779893333333333
"ADAMTS4",0.364424
"ADAMTS5",-0.141434666666667
"ADAMTS6",-0.350298666666667
"ADAMTS7",0.044184
"ADAMTS8",-0.077952
"ADAMTS9",-0.409242666666667
"ADAMTSL1",-0.244552
"ADAMTSL2",-0.071528
"ADAMTSL3",0.0731946666666667
"ADAMTSL4",0.369645333333333
"ADAMTSL5",-0.132429333333333
"ADAP1",0.221874666666667
"ADAP2",0.045184
"ADAR",0.355570666666667
"ADARB1",-0.184357333333333
"ADARB2",-0.120304
"ADAT1",-0.083848
"ADAT2",-0.0163013333333333
"ADAT3",-0.131328
"ADCK1",-0.011664
"ADCK2",0.174813333333333
"ADCK3",0.271365333333333
"ADCK4",0.209589333333333
"ADCK5",0.423069333333333
"ADCY1",0.207197333333333
"ADCY10",0.34288
"ADCY10P1",0.046008
"ADCY2",0.73368
"ADCY3",0.264322666666667
"ADCY4",-0.0105093333333333
"ADCY5",0.539349333333333
"ADCY6",0.100853333333333
"ADCY7",-0.0714613333333333
"ADCY8",0.450445333333333
"ADCY9",-0.0980266666666667
"ADCYAP1",0.154317333333333
"ADD1",-0.260045333333333
"ADD2",0.299226666666667
"ADD3",-0.191490666666667
"ADGB",-0.0175786666666667
"ADGRA1",-0.156538666666667
"ADGRA2",0.405021333333333
"ADGRA3",-0.284408
"ADGRB1",0.429912
"ADGRB2",-0.139818666666667
"ADGRB3",0.054792
"ADGRD1",0.037344
"ADGRE1",-0.073536
"ADGRE2",0.0120853333333333
"ADGRE3",0.00518133333333333
"ADGRE4P",-0.073536
"ADGRE5",0.011152
"ADGRF1",0.104258666666667
"ADGRF2",0.101861333333333
"ADGRF3",0.272933333333333
"ADGRF4",0.101861333333333
"ADGRF5",0.100922666666667
"ADGRG1",-0.08172
"ADGRG2",-0.0177573333333333
"ADGRG3",-0.08172
"ADGRG5",-0.08172
"ADGRG6",-0.012312
"ADGRG7",0.457965333333333
"ADGRL1",0.00452533333333333
"ADGRL2",-0.132392
"ADGRL3",-0.0698933333333333
"ADGRL4",-0.121290666666667
"ADGRV1",-0.370954666666667
"ADH1A",-0.230413333333333
"ADH1B",-0.230413333333333
"ADH1C",-0.224709333333333
"ADH5",-0.22816
"ADH6",-0.229850666666667
"ADH7",-0.21764
"ADHFE1",0.252293333333333
"ADI1",0.20712
"ADIPOR1",0.265309333333333
"ADIPOR2",0.358354666666667
"ADIRF",-0.199197333333333
"ADK",-0.147104
"ADM",-0.151637333333333
"ADM2",0.100664
"ADM5",0.00854666666666667
"ADNP",0.272848
"ADNP2",-0.152816
"ADO",-0.131133333333333
"ADORA1",0.271981333333333
"ADORA2A",0.231226666666667
"ADORA2B",-0.242125333333333
"ADORA3",-0.186776
"ADPGK",0.0286746666666667
"ADPRH",0.526661333333333
"ADPRHL1",-0.110157333333333
"ADPRHL2",-0.122954666666667
"ADPRM",-0.251189333333333
"ADRA1A",-0.313197333333333
"ADRA1B",-0.331848
"ADRA1D",0.288384
"ADRA2A",-0.1888
"ADRA2B",0.214565333333333
"ADRA2C",-0.261610666666667
"ADRB1",-0.182608
"ADRB2",-0.329181333333333
"ADRBK1",0.0975786666666667
"ADRBK2",0.225869333333333
"ADRM1",0.198072
"ADSL",0.17708
"ADSS",0.265837333333333
"ADSSL1",0.065368
"ADTRP",0.0279146666666667
"AEBP1",0.209466666666667
"AEBP2",0.355472
"AEN",0.103877333333333
"AES",-0.126821333333333
"AFAP1",-0.253472
"AFAP1L1",-0.329181333333333
"AFAP1L2",-0.182637333333333
"AFF1",-0.19084
"AFF2",0.0609226666666667
"AFF3",0.186130666666667
"AFF4",-0.349042666666667
"AFG3L1P",-0.113066666666667
"AFG3L2",0.108064
"AFMID",0.208994666666667
"AFP",-0.073576
"AFTPH",0.405621333333333
"AGA",-0.310301333333333
"AGAP1",-0.10692
