"gene","value"
"A1BG",-0.0165692307692308
"A2M",0.0373538461538462
"A4GALT",-0.529261538461538
"AAAS",0.0515538461538462
"AACS",0.0884
"AADAC",0.0536615384615385
"AADAT",-0.260246153846154
"AAED1",-0.0993538461538462
"AAGAB",0.129184615384615
"AAK1",-0.0374461538461538
"AAMDC",0.0970307692307692
"AAMP",-0.0730615384615385
"AAR2",0.0373230769230769
"AARD",0.0870769230769231
"AARS",-0.0883076923076923
"AARS2",0.0111076923076923
"AARSD1",0.0609846153846154
"AASDH",-0.215384615384615
"AASDHPPT",-0.0180307692307692
"AASS",0.134723076923077
"AATF",0.0172923076923077
"AATK",0.120307692307692
"ABAT",0.135323076923077
"ABCA1",-0.0987538461538462
"ABCA10",0.198138461538462
"ABCA11P",-0.229784615384615
"ABCA12",-0.0847538461538462
"ABCA13",0.180738461538462
"ABCA17P",0.0982307692307692
"ABCA2",-0.134938461538462
"ABCA3",0.0982307692307692
"ABCA4",-0.250030769230769
"ABCA5",0.198138461538462
"ABCA6",0.198138461538462
"ABCA7",-0.0277230769230769
"ABCA8",0.198138461538462
"ABCA9",0.198138461538462
"ABCB1",0.160415384615385
"ABCB10",0.178692307692308
"ABCB4",0.169723076923077
"ABCB6",-0.0589692307692308
"ABCB7",-0.0690307692307692
"ABCB8",0.0921538461538462
"ABCB9",0.0877692307692308
"ABCC1",0.0881538461538462
"ABCC10",0.0192153846153846
"ABCC2",-0.197276923076923
"ABCC3",0.174861538461538
"ABCC4",-0.159046153846154
"ABCC5",0.0231230769230769
"ABCC6",0.0881538461538462
"ABCC9",0.0621230769230769
"ABCD1",-0.0190615384615385
"ABCD2",0.0862
"ABCD3",-0.2608
"ABCD4",-0.304661538461538
"ABCE1",-0.253446153846154
"ABCF1",0.0220769230769231
"ABCF2",0.0921538461538462
"ABCF3",0.0231230769230769
"ABCG1",-0.0319692307692308
"ABCG2",-0.268753846153846
"ABCG4",0.0630461538461538
"ABHD10",0.0931384615384615
"ABHD11",0.1766
"ABHD12",-0.0630307692307692
"ABHD12B",-0.271261538461538
"ABHD13",-0.133492307692308
"ABHD14A",-0.252692307692308
"ABHD14B",-0.252692307692308
"ABHD15",-0.0226923076923077
"ABHD16A",0.0220769230769231
"ABHD16B",0.0544
"ABHD17A",-0.0267692307692308
"ABHD17B",-0.103938461538462
"ABHD17C",0.132369230769231
"ABHD2",0.116569230769231
"ABHD3",0.0219846153846154
"ABHD4",-0.269846153846154
"ABHD5",-0.193184615384615
"ABHD6",-0.157892307692308
