"gene","value"
"A1BG",-0.157327188940092
"A2M",0.482129032258065
"A2ML1",0.482820276497696
"A4GALT",-0.602135944700461
"AAAS",0.11963133640553
"AACS",-0.0341820276497696
"AACSP1",-0.0966635944700461
"AADAC",0.673175115207373
"AADACL3",-0.0167304147465438
"AADAT",-0.410707373271889
"AAED1",-0.287804147465438
"AAGAB",-0.195695852534562
"AAK1",0.191582949308756
"AAMDC",0.429831797235023
"AAMP",0.0737073732718894
"AAR2",0.447806451612903
"AARD",0.794854838709677
"AARS",-0.496693548387097
"AARS2",0.221057603686636
"AARSD1",-0.461557603686636
"AASDH",-0.10658064516129
"AASDHPPT",0.0564009216589862
"AASS",0.296732718894009
"AATF",-0.495426267281106
"AATK",0.0298847926267281
"ABAT",-0.139896313364055
"ABCA1",-0.247907834101382
"ABCA10",-0.0706059907834101
"ABCA11P",-0.0056705069124424
"ABCA12",0.0698225806451613
"ABCA13",0.107935483870968
"ABCA17P",-0.207887096774194
"ABCA2",-0.214513824884793
"ABCA3",-0.210493087557604
"ABCA4",0.0556013824884793
"ABCA5",-0.0689170506912442
"ABCA6",-0.0706059907834101
"ABCA7",-0.604209677419355
"ABCA8",-0.072573732718894
"ABCA9",-0.0724746543778802
"ABCB1",0.244942396313364
"ABCB10",0.405228110599078
"ABCB4",0.246126728110599
"ABCB5",0.0253778801843318
"ABCB6",0.055036866359447
"ABCB7",-0.00348617511520737
"ABCB8",0.401375576036866
"ABCB9",-0.0240967741935484
"ABCC1",-0.0470668202764977
"ABCC10",0.245129032258065
"ABCC11",-0.30523732718894
"ABCC2",-0.195875576036866
"ABCC3",-0.18973732718894
"ABCC4",-0.102564516129032
"ABCC5",0.835594470046083
"ABCC6",-0.0470668202764977
"ABCC6P1",-0.0470668202764977
"ABCC9",0.564364055299539
"ABCD1",0.132942396313364
"ABCD3",0.0496935483870968
"ABCD4",-0.194126728110599
"ABCE1",-0.335366359447005
"ABCF1",0.258009216589862
"ABCF2",0.406873271889401
"ABCF3",0.834124423963134
"ABCG1",-0.0860921658986175
"ABCG2",-0.40918202764977
"ABCG4",0.00905760368663595
"ABCG5",0.278271889400922
"ABCG8",0.278232718894009
"ABHD1",0.220873271889401
"ABHD10",0.428267281105991
"ABHD11",0.19686866359447
"ABHD12",0.383716589861751
"ABHD12B",-0.132352534562212
"ABHD13",-0.117578341013825
"ABHD14A",-0.0867718894009217
"ABHD14B",-0.0867718894009217
"ABHD15",-0.453043778801843
"ABHD16A",0.25776267281106
"ABHD16B",0.671032258064516
"ABHD17A",-0.60763133640553
"ABHD17B",-0.209688940092166
"ABHD17C",-0.153158986175115
"ABHD2",-0.0664838709677419
"ABHD3",-0.0230898617511521
"ABHD4",0.0512235023041475
"ABHD5",-0.0798502304147466
"ABHD6",-0.0237718894009217
"ABHD8",0.508400921658986
"ABI1",0.216548387096774
"ABI2",0.147066820276498
"ABI3",-0.214124423963134
"ABI3BP",0.329046082949309
"ABL1",-0.293103686635945
"ABL2",0.430246543778802
"ABLIM1",-0.0439470046082949
"ABLIM2",-0.0984124423963134
"ABLIM3",-0.130649769585253
"ABO",-0.300230414746544
"ABR",-0.330661290322581
"ABRACL",-0.283239631336406
"ABT1",0.266066820276498
"ABTB1",0.417135944700461
"ABTB2",-0.0111981566820276
"ACAA1",-0.0303824884792627
"ACAA2",-0.302479262672811
"ACACA",-0.485951612903226
"ACACB",-0.0496428571428571
"ACAD10",-0.0510345622119816
"ACAD11",0.465089861751152
"ACAD8",-0.000359447004608295
"ACAD9",0.423299539170507
"ACADL",0.100331797235023
"ACADM",0.0522718894009217
"ACADS",-0.0231336405529954
"ACADSB",0.000172811059907834
"ACADVL",-0.392552995391705
"ACAN",-0.0774239631336406
"ACAP1",-0.393119815668203
"ACAP2",0.740811059907834
"ACAP3",-0.00749539170506912
"ACAT1",0.0212857142857143
"ACAT2",-0.349573732718894
"ACBD3",0.395414746543779
"ACBD4",-0.392336405529954
"ACBD5",0.20444930875576
"ACBD6",0.481907834101382
"ACBD7",0.240509216589862
"ACCS",-0.0560760368663594
"ACD",-0.528753456221198
"ACE",-0.11405529953917
"ACE2",-0.146373271889401
"ACER2",-0.092278801843318
"ACER3",0.374412442396313
"ACHE",0.256870967741935
"ACIN1",-0.000672811059907832
"ACKR1",0.45023732718894
"ACKR2",-0.0602857142857143
"ACKR3",0.0172096774193548
"ACKR4",0.465089861751152
"ACLY",-0.472875576036866
"ACO1",-0.0998456221198157
"ACO2",-0.538785714285714
"ACOT1",-0.22271198156682
"ACOT11",0.188327188940092
"ACOT13",0.297799539170507
"ACOT2",-0.22271198156682
"ACOT4",-0.22271198156682
"ACOT7",0.0231866359447005
"ACOT8",0.54865668202765
"ACOT9",-0.176534562211982
"ACOX1",-0.00292396313364055
"ACOX2",-0.0339562211981567
"ACOX3",-0.0959285714285714
"ACOXL",0.0532741935483871
"ACP1",0.190808755760369
"ACP2",-0.0645622119815668
"ACP5",0.264221198156682
"ACP6",0.518228110599078
"ACPP",0.464255760368664
"ACR",-0.689672811059908
"ACRBP",0.505619815668203
"ACRC",0.0283986175115207
"ACSBG1",-0.185359447004608
"ACSF2",-0.190970046082949
"ACSF3",-0.469018433179724
"ACSL1",-0.456677419354839
"ACSL3",0.021852534562212
"ACSL4",-0.0367442396313364
"ACSL5",-0.0520506912442396
"ACSL6",-0.214099078341014
"ACSM3",-0.100854838709677
"ACSM5",-0.0868087557603687
"ACSS1",0.383375576036866
"ACSS2",0.487442396313364
"ACSS3",-0.0280806451612903
"ACTA1",0.407838709677419
"ACTA2",-0.157700460829493
"ACTB",-0.174414746543779
"ACTBL2",-0.424629032258065
"ACTC1",-0.350640552995392
"ACTG1",0.0280483870967742
"ACTG2",0.175248847926267
"ACTL10",0.506956221198157
"ACTL6A",0.871195852534562
"ACTL8",-0.111306451612903
"ACTN1",-0.23421198156682
"ACTN2",0.418055299539171
"ACTN4",0.369509216589862
"ACTR10",-0.244707373271889
"ACTR1A",-0.168089861751152
"ACTR1B",0.203769585253456
"ACTR2",0.217218894009217
"ACTR3",0.098094470046083
"ACTR3B",0.405163594470046
"ACTR3C",0.405387096774194
"ACTR5",0.399790322580645
"ACTR6",-0.0700691244239631
"ACTR8",-0.0751912442396313
"ACTRT3",1.06449078341014
"ACVR1",0.211423963133641
"ACVR1B",0.14389400921659
"ACVR1C",0.206195852534562
"ACVR2A",0.104410138248848
"ACVR2B",-0.0383294930875576
"ACVRL1",0.130336405529954
"ACY1",-0.0867718894009217
"ACY3",0.150322580645161
"ACYP1",-0.17502534562212
"ACYP2",0.280884792626728
"ADA",0.528352534562212
"ADAL",-0.37889400921659
"ADAM10",-0.288281105990783
"ADAM11",-0.405513824884793
"ADAM12",0.013241935483871
"ADAM15",0.519903225806452
"ADAM17",0.192900921658986
"ADAM19",-0.153601382488479
"ADAM21",-0.248294930875576
"ADAM22",0.24191935483871
"ADAM23",0.130504608294931
"ADAM28",-0.534311059907834
"ADAM32",-0.00800460829493087
"ADAM33",0.417799539170507
"ADAM6",-0.00930184331797235
"ADAM8",-0.00642165898617511
"ADAM9",-0.0122880184331797
"ADAMDEC1",-0.531103686635945
"ADAMTS1",-0.0732834101382489
"ADAMTS10",-0.00239170506912442
"ADAMTS12",0.390693548387097
"ADAMTS13",-0.304165898617512
"ADAMTS14",-0.00792857142857143
"ADAMTS15",0.021815668202765
"ADAMTS16",0.450983870967742
"ADAMTS17",0.00928110599078341
"ADAMTS18",-0.523414746543779
"ADAMTS19",-0.246589861751152
"ADAMTS2",-0.085758064516129
"ADAMTS20",0.237129032258065
"ADAMTS3",-0.0896497695852535
"ADAMTS4",0.440154377880184
"ADAMTS5",-0.0785944700460829
"ADAMTS6",-0.467866359447005
"ADAMTS7",-0.18415668202765
"ADAMTS8",0.0254746543778802
"ADAMTS9",0.00349769585253456
"ADAMTSL1",-0.0970345622119816
"ADAMTSL2",-0.30418202764977
"ADAMTSL3",-0.112276497695853
"ADAMTSL4",0.642721198156682
"ADAMTSL5",-0.616221198156682
"ADAP1",-0.135294930875576
"ADAP2",-0.513764976958525
"ADAR",0.504845622119816
"ADARB1",-0.0529239631336405
"ADARB2",0.308988479262673
"ADAT1",-0.489905529953917
"ADAT2",-0.312834101382488
"ADAT3",-0.604078341013825
"ADCK1",-0.139331797235023
"ADCK2",0.4236866359447
"ADCK3",0.399970046082949
"ADCK4",0.0562672811059908
"ADCK5",0.90923732718894
"ADCY1",0.0727695852534562
"ADCY10P1",0.247527649769585
"ADCY2",0.459735023041475
"ADCY3",0.183433179723502
"ADCY4",-0.0725115207373272
"ADCY5",0.409476958525346
"ADCY6",0.109193548387097
"ADCY7",-0.355758064516129
"ADCY8",1.09146774193548
"ADCY9",-0.191099078341014
"ADCYAP1",0.0190460829493088
"ADCYAP1R1",0.064073732718894
"ADD1",-0.0393917050691244
"ADD2",0.176513824884793
"ADD3",-0.0814654377880184
"ADGB",-0.33415668202765
"ADGRA1",-0.00462672811059908
"ADGRA2",-0.0417834101382488
"ADGRA3",-0.16318202764977
"ADGRB1",0.913354838709677
"ADGRB2",0.0673410138248848
"ADGRB3",-0.0142811059907834
"ADGRD1",-0.0524700460829493
"ADGRE1",-0.223619815668203
"ADGRE2",0.538638248847926
"ADGRE5",0.547364055299539
"ADGRF1",0.191912442396313
"ADGRF2",0.186589861751152
"ADGRF3",0.204039170506912
"ADGRF4",0.19355529953917
"ADGRF5",0.197248847926267
"ADGRG1",-0.423175115207373
"ADGRG2",-0.145149769585253
"ADGRG3",-0.421578341013825
"ADGRG5",-0.422509216589862
"ADGRG6",-0.299341013824885
"ADGRL1",0.541221198156682
"ADGRL2",-2.76497695852533e-05
"ADGRL3",-0.13339400921659
"ADGRL4",0.0314032258064516
"ADGRV1",-0.441942396313364
"ADH1B",-0.45958064516129
"ADH1C",-0.461873271889401
"ADH5",-0.457739631336406
"ADHFE1",0.381089861751152
"ADI1",0.192877880184332
"ADIPOQ",0.789260368663595
"ADIPOR1",0.345407834101382
"ADIPOR2",0.548953917050691
"ADIRF",-0.11710599078341
"ADK",0.0492258064516129
"ADM",-0.325776497695853
"ADM2",-0.689672811059908
"ADM5",-0.215506912442396
"ADNP",0.61318202764977
"ADNP2",-0.389407834101382
"ADO",0.015278801843318
"ADORA1",0.349283410138249
"ADORA2A",-0.344315668202765
"ADORA2B",-0.556993087557604
"ADORA3",0.107456221198157
"ADPGK",-0.151744239631336
"ADPRH",0.415804147465438
"ADPRHL1",-0.125841013824885
"ADPRHL2",0.32141935483871
"ADPRM",-0.54418202764977
"ADRA1B",-0.154811059907834
"ADRA1D",0.407285714285714
"ADRA2A",-0.0870760368663595
"ADRA2B",0.185947004608295
"ADRA2C",-0.085221198156682
"ADRB1",-0.0503041474654378
"ADRB2",-0.11644470046083
"ADRB3",-0.0350345622119816
"ADRBK1",0.133006912442396
"ADRBK2",-0.36144930875576
"ADRM1",0.684516129032258
"ADSL",-0.520541474654378
"ADSS",0.387207373271889
"ADSSL1",-0.0153640552995392
"ADTRP",0.343041474654378
"AEBP1",0.0643387096774194
"AEBP2",0.518311059907834
"AEN",-0.0787857142857143
"AES",-0.585748847926267
"AFAP1",-0.101748847926267
"AFAP1L1",-0.131108294930876
"AFAP1L2",-0.0445506912442396
"AFF1",-0.39526267281106
"AFF2",0.092758064516129
"AFF3",0.156587557603687
"AFF4",-0.20097465437788
"AFG3L1P",-0.471177419354839
"AFG3L2",-0.0025852534562212
"AFMID",0.0223755760368664
"AFTPH",0.225571428571429
"AGA",-0.444451612903226
"AGAP1",0.0126751152073733
"AGAP11",-0.122094470046083
"AGAP2",0.153760368663594
"AGAP3",0.401476958525346
"AGAP4",0.00509216589861751
"AGAP5",0.0241658986175115
"AGAP6",-0.0341981566820277
"AGAP7P",-0.00882488479262673
"AGBL2",-0.0582534562211982
"AGBL3",0.398154377880184
"AGBL4",0.209792626728111
"AGBL5",0.220764976958525
"AGER",0.25776267281106
"AGFG1",0.0280806451612903
"AGFG2",0.264057603686636
"AGGF1",-0.513732718894009
"AGK",0.410290322580645
"AGL",0.0542327188940092
"AGMAT",-0.0461244239631336
"AGMO",-0.0762119815668203
"AGO1",0.305184331797235
"AGO2",0.945458525345622
"AGO3",0.321334101382488
"AGO4",0.286610599078341
"AGPAT1",0.25776267281106
"AGPAT2",-0.229582949308756
"AGPAT3",-0.0479723502304147
"AGPAT4",-0.346797235023041
"AGPAT5",-0.466198156682028
"AGPS",0.295532258064516
"AGR2",-0.0512165898617512
"AGR3",-0.0496912442396313
"AGRN",-0.00749539170506912
"AGT",0.397571428571429
"AGTPBP1",-0.269147465437788
"AGTR1",0.65347465437788
"AGTRAP",-0.0196152073732719
"AHCTF1",0.409043778801843
"AHCY",0.490476958525346
"AHCYL1",0.0926082949308756
"AHCYL2",0.351403225806452
"AHDC1",-0.11286866359447
"AHI1",-0.272117511520737
"AHNAK",0.0582672811059908
"AHNAK2",-0.00395622119815668
"AHR",-0.0352281105990783
"AHRR",0.485603686635945
"AHSA1",-0.132679723502304
"AHSA2",0.263417050691244
"AIDA",0.335721198156682
"AIF1",0.25776267281106
"AIF1L",-0.300099078341014
"AIFM1",0.0193179723502304
"AIFM2",-0.0141036866359447
"AIFM3",-0.27878801843318
"AIG1",-0.304857142857143
"AIM1",-0.151776497695853
"AIM1L",-0.145472350230415
"AIM2",0.448373271889401
"AIMP1",-0.466440092165899
"AIMP2",-0.171778801843318
"AIP",0.144248847926267
"AJAP1",0.00534101382488479
"AJUBA",-0.0102465437788018
"AK1",-0.255854838709677
"AK2",0.140997695852535
"AK3",-0.105460829493088
"AK4",0.0962004608294931
"AK5",0.0533917050691244
"AK7",-0.112230414746544
"AK8",-0.314244239631336
"AK9",-0.228329493087558
"AKAP1",-0.181391705069124
"AKAP10",-0.542016129032258
"AKAP11",-0.349297235023041
"AKAP12",-0.296099078341014
"AKAP13",-0.102672811059908
"AKAP14",0.0477258064516129
"AKAP2",-0.247534562211982
"AKAP3",0.496297235023041
"AKAP5",-0.26521198156682
"AKAP6",-0.0845437788018433
"AKAP7",-0.272748847926267
"AKAP8",0.586815668202765
"AKAP8L",0.573735023041475
"AKAP9",0.222117511520737
"AKIP1",-0.33055069124424
"AKIRIN1",0.426071428571429
"AKIRIN2",-0.0908502304147465
"AKNA",-0.232135944700461
"AKR1A1",0.27534331797235
"AKR1B1",0.395048387096774
"AKR1B10",0.39555069124424
"AKR1B15",0.39555069124424
"AKR1C1",0.316730414746544
"AKR1C2",0.318198156682028
"AKR1C3",0.312027649769585
"AKR1E2",0.313364055299539
"AKR7A2",-0.123988479262673
"AKR7A3",-0.124972350230415
"AKT1",-0.00564746543778802
"AKT1S1",-0.2055
"AKT2",0.199532258064516
"AKT3",0.395062211981567
"AKTIP",-0.395518433179724
"ALAD",-0.234281105990783
"ALAS1",-0.0761705069124424
"ALB",-0.109064516129032
"ALCAM",0.369907834101383
"ALDH16A1",-0.223642857142857
"ALDH18A1",-0.154276497695853
"ALDH1A1",-0.19694470046083
"ALDH1A2",-0.29136866359447
"ALDH1A3",0.0120115207373272
"ALDH1B1",-0.0561382488479263
"ALDH1L1",0.410423963133641
"ALDH1L2",-0.0726198156682028
"ALDH2",-0.0524170506912442
"ALDH3A1",-0.547225806451613
"ALDH3A2",-0.550412442396313
"ALDH3B1",0.149951612903226
"ALDH3B2",0.150322580645161
"ALDH4A1",-0.125345622119816
"ALDH5A1",0.298864055299539
"ALDH6A1",-0.197122119815668
"ALDH7A1",-0.257928571428571
"ALDH8A1",-0.285887096774194
"ALDH9A1",0.435283410138249
"ALDOA",-0.0667304147465438
"ALDOC",-0.413396313364055
"ALG1",-0.149799539170507
"ALG10",0.431426267281106
"ALG10B",0.431426267281106
"ALG11",-0.323184331797235
"ALG12",-0.689672811059908
"ALG13",-0.0377188940092166
"ALG14",0.0481082949308756
"ALG1L",0.414511520737327
"ALG1L2",0.432073732718894
"ALG2",-0.268124423963134
"ALG3",0.825009216589862
"ALG5",-0.325377880184332
"ALG6",0.105138248847926
"ALG8",0.433691244239631
"ALG9",0.00754147465437788
"ALK",0.247366359447005
"ALKBH1",-0.135421658986175
"ALKBH2",-0.0478225806451613
"ALKBH3",-0.0506428571428571
"ALKBH4",0.271760368663594
"ALKBH5",-0.56044470046083
"ALKBH6",0.386391705069124
"ALKBH7",-0.346297235023041
"ALKBH8",0.0300529953917051
"ALMS1",0.171769585253456
"ALOX12",-0.402820276497696
"ALOX12B",-0.433771889400922
"ALOX12P2",-0.402820276497696
"ALOX15",-0.396470046082949
"ALOX15B",-0.435417050691244
"ALOX5",-0.00448387096774194
"ALOX5AP",-0.305470046082949
"ALOXE3",-0.435822580645161
"ALPK1",-0.439002304147465
"ALPK2",-0.367076036866359
"ALPK3",-0.123615207373272
"ALPL",-0.134790322580645
"ALPP",0.0213709677419355
"ALPPL2",0.0213709677419355
"ALS2",0.155603686635945
"ALS2CL",-0.0713110599078341
"ALS2CR11",0.166988479262673
"ALS2CR12",0.160917050691244
"ALX1",-0.0557488479262673
"ALX3",0.0892327188940092
"ALX4",-0.0533801843317972
"ALYREF",0.0283548387096774
"AMACR",0.393601382488479
"AMBRA1",-0.0404193548387097
"AMD1",-0.264981566820277
"AMDHD1",-0.0656981566820277
"AMDHD2",-0.198771889400922
"AMER1",0.0917073732718894
"AMER3",0.0182073732718894
"AMFR",-0.420069124423963
"AMH",-0.59560599078341
"AMHR2",0.105629032258065
"AMICA1",4.83870967741929e-05
"AMIGO1",0.0969585253456221
"AMIGO2",0.148661290322581
"AMIGO3",-0.0667603686635945
"AMMECR1",-0.0382281105990783
"AMMECR1L",0.0372350230414747
"AMN",-0.0421175115207373
"AMN1",0.547702764976958
"AMOT",-0.0412995391705069
"AMOTL1",0.128513824884793
"AMOTL2",0.503267281105991
"AMPD2",0.0961267281105991
"AMPD3",-0.329889400921659
"AMPH",0.0432995391705069
"AMT",-0.05863133640553
"AMY1A",0.0713732718894009
"AMY2B",0.0713732718894009
"AMZ1",-0.145029953917051
"AMZ2",-0.0783479262672811
"AMZ2P1",-0.121859447004608
"ANAPC1",0.075020737327189
"ANAPC10",-0.333527649769585
