"gene","value"
"A1BG",0.0718840579710145
"A1CF",-0.0383913043478261
"A2M",0.0266231884057971
"A2ML1",0.0220289855072464
"A4GALT",-0.106920289855072
"A4GNT",0.025768115942029
"AAAS",-0.00184782608695652
"AACS",-0.0426666666666667
"AADAC",0.0315
"AADAT",-0.0333188405797101
"AAED1",-0.0575217391304348
"AAGAB",-0.0306449275362319
"AAK1",-0.0038768115942029
"AAMDC",-0.00897101449275362
"AAMP",0.0346231884057971
"AAR2",0.126746376811594
"AARS",0.0158405797101449
"AARS2",-0.0901594202898551
"AARSD1",0.0198550724637681
"AASDH",0.00992753623188406
"AASDHPPT",-0.0106811594202899
"AASS",0.0727463768115942
"AATF",0.0389057971014493
"AATK",-0.0408768115942029
"ABAT",0.0214710144927536
"ABCA1",-0.0586521739130435
"ABCA10",-0.0332971014492754
"ABCA11P",0.0468188405797101
"ABCA12",0.0429420289855072
"ABCA13",0.159557971014493
"ABCA17P",0.00720289855072464
"ABCA2",-0.0362826086956522
"ABCA3",0.00726086956521739
"ABCA4",-0.109942028985507
"ABCA5",-0.0332971014492754
"ABCA6",-0.0332971014492754
"ABCA7",-0.0488478260869565
"ABCA8",-0.0378260869565217
"ABCA9",-0.0332971014492754
"ABCB1",0.166014492753623
"ABCB10",0.143384057971015
"ABCB4",0.169094202898551
"ABCB5",0.17063768115942
"ABCB6",0.0346231884057971
"ABCB7",-0.0209492753623188
"ABCB8",0.0825217391304348
"ABCB9",-0.0445652173913043
"ABCC1",0.0121086956521739
"ABCC10",-0.0875217391304348
"ABCC11",0.0148623188405797
"ABCC2",-0.0553550724637681
"ABCC3",0.0369492753623188
"ABCC4",0.0416086956521739
"ABCC5",0.0312246376811594
"ABCC6",0.0121086956521739
"ABCC6P1",0.0121086956521739
"ABCC8",-0.0271594202898551
"ABCC9",0.0755144927536232
"ABCD1",0.0266231884057971
"ABCD2",0.0396449275362319
"ABCD3",-0.109826086956522
"ABCD4",0.0324855072463768
"ABCE1",-0.0105434782608696
"ABCF1",-0.105028985507246
