"gene","value"
"A1BG",0.0309834710743802
"A2M",0.0312561983471074
"A4GALT",-0.288537190082645
"AAAS",0.0620165289256198
"AACS",0.0406528925619835
"AADAC",-0.44399173553719
"AADAT",-0.0490578512396694
"AAED1",-0.0321735537190083
"AAGAB",0.0482561983471074
"AAK1",-0.0149752066115702
"AAMDC",-0.130148760330579
"AAMP",-0.0515206611570248
"AAR2",0.0390743801652893
"AARS",0.0164710743801653
"AARS2",0.0567768595041322
"AARSD1",-0.103900826446281
"AASDH",-0.0158429752066116
"AASDHPPT",-0.16697520661157
"AASS",0.059702479338843
"AATF",-0.153338842975207
"AATK",0.016
"ABAT",-0.0145371900826446
"ABCA1",-0.0255206611570248
"ABCA10",0.00897520661157025
"ABCA11P",-0.024900826446281
"ABCA12",-0.0558429752066116
"ABCA17P",-0.0141404958677686
"ABCA2",-0.0227933884297521
"ABCA3",-0.0141404958677686
"ABCA5",0.00897520661157025
"ABCA6",0.00897520661157025
"ABCA7",0.104082644628099
"ABCA8",0.00897520661157025
"ABCA9",0.00897520661157025
"ABCB1",0.0693305785123967
"ABCB10",0.032
"ABCB4",0.0693305785123967
"ABCB6",-0.0516859504132231
"ABCB7",-0.0888595041322314
"ABCB8",0.067900826446281
"ABCB9",0.046702479338843
"ABCC1",-0.0150165289256198
"ABCC10",0.0572231404958678
"ABCC3",-0.00701652892561984
"ABCC4",0.000338842975206612
"ABCC5",-0.450330578512397
"ABCC6",-0.0150165289256198
"ABCC8",-0.162537190082645
"ABCC9",0.036099173553719
"ABCD1",-0.0872231404958678
"ABCD2",0.0421404958677686
"ABCD3",-0.60503305785124
"ABCD4",-0.0646363636363636
"ABCE1",-0.0293636363636364
"ABCF1",0.058495867768595
"ABCF2",0.0611900826446281
"ABCF3",-0.450330578512397
"ABCG1",-0.126322314049587
"ABCG2",-0.00706611570247934
"ABCG4",-0.17401652892562
"ABCG5",-0.00899173553719008
"ABCG8",-0.00899173553719008
"ABHD1",-0.00268595041322314
"ABHD10",-0.423487603305785
"ABHD11",0.0843223140495868
"ABHD12",0.0588677685950413
"ABHD12B",-0.0520165289256198
"ABHD13",-0.00112396694214876
"ABHD14A",-0.248297520661157
"ABHD14B",-0.248297520661157
"ABHD15",-0.18095867768595
"ABHD16A",0.058495867768595
"ABHD16B",0.0312396694214876
"ABHD17A",0.104082644628099
"ABHD17B",-0.0418842975206612
"ABHD17C",0.047801652892562
"ABHD2",0.0474214876033058
"ABHD3",0.0311652892561983
"ABHD4",-0.0649752066115702
"ABHD5",-0.232752066115702
"ABHD6",-0.240611570247934
"ABHD8",0.0946363636363636
"ABI1",0.0558181818181818
"ABI2",-0.0506363636363636
"ABI3",-0.0244462809917355
"ABI3BP",-0.416942148760331
"ABL1",-0.0236776859504132
"ABL2",0.0884297520661157
"ABLIM1",0.0426115702479339
"ABLIM2",-0.0254545454545455
"ABLIM3",-0.00902479338842975
"ABO",-0.0297190082644628
"ABR",-0.286157024793388
"ABRACL",-0.0945289256198347
"ABT1",0.058198347107438
"ABTB1",-0.437719008264463
"ABTB2",-0.189157024793388
"ACAA1",-0.240801652892562
"ACAA2",0.033297520661157
"ACACA",-0.153338842975207
"ACACB",0.0473471074380165
"ACAD10",0.0475206611570248
"ACAD11",-0.437578512396694
"ACAD8",-0.174719008264463
"ACAD9",-0.444652892561983
"ACADM",-0.600157024793388
"ACADS",0.0470330578512397
"ACADSB",0.0424297520661157
"ACADVL",-0.292512396694215
"ACAN",0.0474214876033058
"ACAP1",-0.298206611570248
"ACAP2",-0.446735537190083
"ACAP3",-0.513157024793388
"ACAT1",-0.166876033057851
"ACAT2",-0.0914793388429752
"ACBD3",0.0446363636363636
"ACBD4",-0.0613553719008264
"ACBD5",0.0558181818181818
