"gene","value"
"A1BG",-0.00349322493224932
"A2M",-0.101151761517615
"A2ML1",-0.0992872628726287
"A4GALT",-0.0566612466124661
"AAAS",0.0191680216802168
"AACS",-0.0190162601626016
"AADAT",-0.0043550135501355
"AAED1",0.0494336043360434
"AAGAB",-0.0347344173441734
"AAK1",-0.0257506775067751
"AAMDC",0.0626666666666667
"AAMP",-0.00298915989159892
"AAR2",0.0173414634146341
"AARD",0.289655826558266
"AARS",-0.211780487804878
"AARS2",-0.00857723577235772
"AARSD1",-0.061189701897019
"AASDH",-0.00827913279132791
"AASDHPPT",-0.0114823848238482
"AASS",0.097479674796748
"AATF",-0.0351219512195122
"AATK",-0.00747154471544715
"ABAT",0.0288644986449864
"ABCA1",0.06289972899729
"ABCA10",-0.00655013550135501
"ABCA11P",0.00326829268292683
"ABCA12",-0.0121029810298103
"ABCA2",0.0589322493224932
"ABCA3",0.0353712737127371
"ABCA5",-0.00560162601626016
"ABCA6",-0.00876422764227642
"ABCA7",-0.0273116531165312
"ABCA8",-0.00488617886178862
"ABCA9",-0.00964769647696477
"ABCB1",0.133463414634146
"ABCB10",-0.0294146341463415
"ABCB4",0.139894308943089
"ABCB5",0.129888888888889
"ABCB6",-0.0158753387533875
"ABCB7",-0.0384119241192412
"ABCB8",0.100121951219512
"ABCB9",-0.00297289972899729
"ABCC1",0.0269241192411924
"ABCC10",-0.00696205962059621
"ABCC11",-0.0339512195121951
"ABCC3",-0.00149864498644986
"ABCC4",-0.120406504065041
"ABCC5",0.0602493224932249
"ABCC6",0.0269241192411924
"ABCC8",0.0169945799457995
"ABCC9",-0.075420054200542
"ABCD1",-0.0309783197831978
"ABCD2",0.00400271002710027
"ABCD3",-0.0637154471544715
"ABCD4",-0.0293577235772358
"ABCE1",-0.00458807588075881
"ABCF1",-0.00304065040650406
"ABCF2",0.100121951219512
"ABCF3",0.049650406504065
"ABCG1",-0.017390243902439
"ABCG2",-0.00100813008130081
"ABHD1",0.00204065040650406
"ABHD10",0.0304308943089431
"ABHD11",0.132653116531165
"ABHD12",0.00623577235772358
"ABHD13",-0.0651409214092141
"ABHD14A",0.014840108401084
"ABHD14B",0.014840108401084
"ABHD15",-0.0258211382113821
"ABHD16A",-0.00550135501355014
"ABHD16B",0.0405176151761518
"ABHD17A",-0.0493875338753388
"ABHD17B",0.031609756097561
"ABHD17C",-0.0306070460704607
"ABHD2",-0.0196585365853659
"ABHD3",-0.0773252032520325
"ABHD4",-0.0197235772357724
"ABHD5",0.0230325203252033
"ABHD6",0.0202574525745257
"ABHD8",-0.00501626016260163
"ABI1",-0.0228915989159892
"ABI2",-0.0061029810298103
"ABI3",0.00628455284552846
"ABI3BP",0.0279891598915989
"ABL1",0.049070460704607
"ABL2",0.0137560975609756
"ABLIM1",-0.0532411924119241
"ABLIM2",-0.0107723577235772
"ABLIM3",0.000821138211382113
"ABO",0.0663712737127371
"ABR",-0.119439024390244
"ABRA",0.288926829268293
"ABRACL",-0.0415013550135501
"ABT1",-0.0101626016260163
"ABTB1",0.083490514905149
"ABTB2",0.00602710027100271
"ACAA1",0.0254444444444444
"ACAA2",-0.139658536585366
"ACACA",-0.0354959349593496
"ACACB",0.0205528455284553
"ACAD10",0.0128509485094851
"ACAD11",0.0738184281842818
"ACAD8",0.0176883468834688
"ACAD9",0.0808726287262873
"ACADL",-0.00757452574525745
"ACADM",-0.0722168021680217
"ACADS",0.00414634146341463
"ACADSB",-0.0582737127371274
"ACADVL",-0.224051490514905
"ACAN",-0.0233170731707317
"ACAP1",-0.23939566395664
"ACAP2",0.0311409214092141
"ACAP3",-0.0286043360433604
"ACAT1",-0.00868834688346883
"ACAT2",-0.0601734417344173
"ACBD3",-0.0260948509485095
"ACBD4",-0.0775149051490515
"ACBD5",-0.0264471544715447
"ACBD6",0.015520325203252
"ACBD7",-0.037929539295393
"ACCS",-0.0228644986449865
"ACD",-0.17619512195122
"ACE",0.0075420054200542
"ACE2",0.00461788617886179
"ACER1",-0.0246531165311653
"ACER2",-0.00405962059620596
"ACER3",0.0547262872628726
"ACHE",0.139336043360434
"ACIN1",-0.0149566395663957
"ACKR1",0.0039159891598916
"ACKR2",0.027189701897019
"ACKR3",-0.026940379403794
"ACKR4",0.0738184281842818
"ACLY",-0.0597588075880759
"ACO1",0.00461517615176152
"ACO2",-0.0583252032520325
"ACOT1",-0.0238861788617886
"ACOT11",-0.0529349593495935
"ACOT13",-0.0011029810298103
"ACOT2",-0.0238861788617886
"ACOT4",-0.0238861788617886
"ACOT7",-0.0514471544715447
"ACOT8",0.0363089430894309
"ACOT9",-0.000766937669376693
"ACOX1",0.00136043360433604
"ACOX2",0.0216612466124661
"ACOX3",-0.011769647696477
"ACOXL",-0.0381165311653117
"ACP1",0.00799728997289973
"ACP2",-0.032869918699187
"ACP5",-0.0269539295392954
"ACP6",0.0336856368563686
"ACPP",0.0699674796747967
"ACRBP",-0.0844227642276423
"ACRC",-0.0297479674796748
"ACRV1",-0.00646883468834688
"ACSBG1",-0.0346775067750677
"ACSF2",0.000747967479674796
"ACSF3",-0.269149051490515
"ACSL1",-0.00895663956639566
"ACSL3",-0.0216341463414634
"ACSL4",-0.0324146341463415
"ACSL5",-0.0615067750677507
"ACSL6",-0.0188346883468835
"ACSM1",0.0141734417344173
"ACSM3",0.0140623306233062
"ACSS1",0.00436585365853658
"ACSS2",0.0168617886178862
"ACSS3",0.0245636856368564
"ACTA1",-0.0310135501355014
"ACTA2",-0.179834688346883
"ACTB",0.116373983739837
"ACTC1",-0.041550135501355
"ACTG1",-0.00766937669376694
"ACTG2",-0.0245962059620596
"ACTL10",0.0253468834688347
"ACTL6A",0.0865392953929539
"ACTN1",-0.0309241192411924
"ACTN2",-0.0193577235772358
"ACTN4",-0.0111409214092141
"ACTR10",-0.0123983739837398
"ACTR1A",-0.0796476964769648
"ACTR1B",-0.00211111111111111
"ACTR2",-0.0192466124661247
"ACTR3",-0.049479674796748
"ACTR3B",0.0804444444444444
"ACTR3C",0.100563685636856
"ACTR5",0.0087940379403794
"ACTR6",0.0308157181571816
"ACTR8",0.0142032520325203
"ACTRT3",0.114024390243902
"ACVR1",-0.0572737127371274
"ACVR1B",0.0212710027100271
"ACVR1C",-0.0593929539295393
"ACVR2A",-0.110154471544715
"ACVR2B",0.0259457994579946
"ACVRL1",0.0209105691056911
"ACY1",0.014840108401084
"ACY3",0.083
"ACYP1",-0.0267262872628726
"ACYP2",-0.0149485094850949
"ADA",0.0323279132791328
"ADAL",-0.0553875338753388
"ADAM10",-0.0478970189701897
"ADAM11",-0.0864092140921409
"ADAM12",-0.0516612466124661
"ADAM15",0.0590460704607046
"ADAM17",0.00786720867208672
"ADAM19",0.0107669376693767
"ADAM2",-0.122265582655827
"ADAM21",-0.026360433604336
"ADAM22",0.136024390243902
"ADAM23",-0.00663685636856369
"ADAM28",-0.414308943089431
"ADAM32",-0.105322493224932
"ADAM33",-0.00709485094850949
"ADAM6",-0.0106720867208672
"ADAM7",-0.412262872628726
"ADAM8",-0.0639728997289973
"ADAM9",-0.115173441734417
"ADAMDEC1",-0.412262872628726
"ADAMTS1",0.00091869918699187
"ADAMTS10",-0.0211517615176152
"ADAMTS12",0.0247859078590786
"ADAMTS13",0.0694932249322493
"ADAMTS14",-0.0347723577235772
"ADAMTS15",0.0113468834688347
"ADAMTS16",0.0370352303523035
"ADAMTS17",-0.0269322493224932
"ADAMTS18",-0.275138211382114
"ADAMTS19",-0.0268265582655827
"ADAMTS2",0.0111192411924119
"ADAMTS3",0.0313035230352304
