"gene","value"
"A1BG",0.0255365853658537
"A1CF",-0.0554065040650407
"A2M",0.104861788617886
"A4GALT",-0.187666666666667
"AAAS",0.0550569105691057
"AACS",0.0294634146341463
"AADAC",0.113186991869919
"AADAT",-0.216747967479675
"AAED1",0.0512682926829268
"AAGAB",-0.265406504065041
"AAK1",0.0762357723577236
"AAMDC",-0.0215853658536585
"AAMP",0.102178861788618
"AAR2",1.3760325203252
"AARS",0.107284552845528
"AARS2",0.228048780487805
"AARSD1",0.0415691056910569
"AASDH",-0.160016260162602
"AASDHPPT",-0.0547479674796748
"AASS",0.372707317073171
"AATF",0.0677967479674797
"AATK",0.0750081300813008
"ABAT",0.132382113821138
"ABCA1",0.0399674796747967
"ABCA10",0.0801707317073171
"ABCA11P",-0.174552845528455
"ABCA12",0.093
"ABCA13",0.557430894308943
"ABCA17P",0.11950406504065
"ABCA2",0.0509756097560976
"ABCA3",0.11950406504065
"ABCA5",0.0769430894308943
"ABCA6",0.0801707317073171
"ABCA7",-0.00260975609756098
"ABCA8",0.0737479674796748
"ABCA9",0.0801707317073171
"ABCB1",0.396276422764228
"ABCB10",0.151016260162602
"ABCB4",0.396276422764228
"ABCB6",0.102178861788618
"ABCB7",-0.0151626016260163
"ABCB8",0.381910569105691
"ABCB9",0.0342276422764228
"ABCC1",0.140447154471545
"ABCC10",0.244317073170732
"ABCC13",-0.209284552845528
"ABCC2",-0.157113821138211
"ABCC3",0.0661056910569106
"ABCC4",0.806081300813008
"ABCC5",0.105032520325203
"ABCC6",0.140447154471545
"ABCC6P1",0.140447154471545
"ABCC9",0.0779268292682927
"ABCD1",0.0708536585365854
"ABCD2",0.0433739837398374
"ABCD3",-0.137292682926829
"ABCD4",-0.197918699186992
"ABCE1",-0.198008130081301
"ABCF1",0.111845528455285
"ABCF2",0.381910569105691
"ABCF3",0.109439024390244
"ABCG1",-0.192845528455285
"ABCG2",-0.20549593495935
"ABCG5",0.046390243902439
"ABCG8",0.046390243902439
"ABHD1",0.0606585365853659
"ABHD10",0.0789512195121951
"ABHD11",0.387463414634146
"ABHD12",0.716471544715447
"ABHD12B",-0.190349593495935
"ABHD13",0.836723577235772
"ABHD14A",-0.00817886178861789
"ABHD14B",-0.00817886178861789
"ABHD15",0.0803170731707317
"ABHD16A",0.107439024390244
"ABHD16B",1.29778861788618
"ABHD17A",-0.00283739837398374
"ABHD17B",0.0638780487804878
"ABHD17C",-0.213609756097561
"ABHD2",-0.142861788617886
"ABHD3",-0.457146341463415
"ABHD4",-0.211292682926829
"ABHD5",0.0266016260162602
"ABHD6",0.0151463414634146
"ABHD8",0.0395934959349593
"ABI1",-0.0341626016260163
"ABI2",0.117934959349593
"ABI3",0.056349593495935
"ABI3BP",0.0903089430894309
"ABL1",0.0433577235772358
"ABL2",0.206756097560976
"ABLIM1",-0.133934959349593
"ABLIM2",-0.166463414634146
"ABLIM3",-0.0719593495934959
"ABO",0.0467154471544715
"ABR",-0.40380487804878
"ABRACL",0.0458292682926829
"ABT1",0.0811382113821138
"ABTB1",0.109609756097561
"ABTB2",0.0191544715447154
"ACAA1",0.0475853658536585
"ACAA2",-0.63380487804878
"ACACA",0.0591382113821138
"ACACB",0.0123170731707317
"ACAD10",0.0262845528455285
"ACAD11",0.109691056910569
"ACAD8",-0.0523821138211382
"ACAD9",0.110325203252033
