"gene","value"
"A1BG",-0.128973958333333
"A2M",-0.0379739583333333
"A4GALT",-0.06096875
"AAAS",-0.0796197916666667
"AACS",0.056453125
"AADACL2",-0.0407916666666667
"AADAT",-0.0958020833333333
"AAED1",0.182447916666667
"AAGAB",0.11003125
"AAK1",-0.116114583333333
"AAMDC",-0.029734375
"AAMP",-0.1589375
"AAR2",0.191557291666667
"AARD",0.148125
"AARS",-0.2771875
"AARS2",0.107078125
"AARSD1",-0.0347708333333333
"AASDH",0.100385416666667
"AASDHPPT",-0.227197916666667
"AASS",0.127770833333333
"AATF",-0.0417916666666667
"AATK",0.102213541666667
"ABAT",0.0469114583333333
"ABCA1",0.19559375
"ABCA10",0.127140625
"ABCA11P",0.060421875
"ABCA13",0.139973958333333
"ABCA17P",0.037484375
"ABCA2",-0.0184635416666667
"ABCA3",0.037484375
"ABCA4",0.0841354166666667
"ABCA5",0.129703125
"ABCA6",0.144713541666667
"ABCA7",0.11665625
"ABCA8",0.151635416666667
"ABCA9",0.145546875
"ABCB1",0.107640625
"ABCB10",-0.120463541666667
"ABCB4",0.0973333333333333
"ABCB5",0.224520833333333
"ABCB6",-0.147109375
"ABCB7",-0.0654010416666667
"ABCB8",0.0084375
"ABCB9",0.0410416666666667
"ABCC1",0.0272395833333333
"ABCC10",0.0586145833333333
"ABCC2",-0.314046875
"ABCC3",0.0938385416666667
"ABCC4",-0.187880208333333
"ABCC5",0.0197864583333333
"ABCC6",0.0272395833333333
"ABCC6P1",0.0272395833333333
"ABCC8",-0.116796875
"ABCC9",-0.001609375
"ABCD1",-0.0406927083333333
"ABCD2",0.019
"ABCD3",0.0879791666666667
"ABCD4",-0.0663177083333333
"ABCE1",0.006734375
"ABCF1",-0.0339427083333333
"ABCF2",0.000552083333333336
"ABCF3",0.0167916666666667
"ABCG1",0.0645989583333333
"ABCG2",-0.0409791666666667
"ABCG4",-0.273338541666667
"ABHD1",-0.14959375
"ABHD10",0.0230208333333333
"ABHD11",0.104869791666667
"ABHD12",0.07921875
"ABHD13",-0.117239583333333
"ABHD14A",-0.0544114583333333
"ABHD14B",-0.0544114583333333
"ABHD15",-0.122302083333333
"ABHD16A",-0.0413177083333333
"ABHD16B",0.216375
"ABHD17A",0.118916666666667
"ABHD17B",0.209473958333333
"ABHD17C",0.0806302083333333
"ABHD2",0.119890625
"ABHD3",0.0147395833333333
"ABHD4",0.0788385416666667
"ABHD5",-0.00810416666666667
"ABHD6",-0.0435833333333333
"ABHD8",0.214901041666667
"ABI1",-0.17521875
