"gene","value"
"A1BG",0.105278787878788
"A1CF",0.0247787878787879
"A2M",0.0374818181818182
"A2ML1",0.0476727272727273
"A4GALT",-0.118966666666667
"A4GNT",0.137781818181818
"AAAS",0.0396727272727273
"AACS",0.0164757575757576
"AACSP1",-0.112966666666667
"AADAC",0.137345454545455
"AADAT",-0.174081818181818
"AAED1",-0.0204484848484848
"AAGAB",-0.0392484848484849
"AAK1",0.0879666666666667
"AAMDC",0.129581818181818
"AAMP",0.0471393939393939
"AAR2",0.503812121212121
"AARD",0.440706060606061
"AARS",-0.0460787878787879
"AARS2",0.243793939393939
"AARSD1",0.0487393939393939
"AASDH",-0.133412121212121
"AASDHPPT",-0.0119060606060606
"AASS",0.122057575757576
"AATF",0.124609090909091
"AATK",0.0456333333333333
"ABAT",-0.0100272727272727
"ABCA1",-0.0124
"ABCA10",0.0643181818181818
"ABCA11P",-0.105739393939394
"ABCA12",0.0290393939393939
"ABCA13",0.315463636363636
"ABCA17P",-0.0721787878787879
"ABCA2",0.087369696969697
"ABCA3",-0.0721787878787879
"ABCA4",-0.0795333333333333
"ABCA5",0.0675030303030303
"ABCA6",0.0629909090909091
"ABCA7",-0.120972727272727
"ABCA8",0.0604727272727273
"ABCA9",0.0604727272727273
"ABCB1",0.324675757575758
"ABCB10",0.189890909090909
"ABCB4",0.301806060606061
"ABCB5",0.322648484848485
"ABCB6",0.0421333333333333
"ABCB7",0.00278787878787879
"ABCB8",0.0647363636363636
"ABCB9",0.0054030303030303
"ABCC1",0.00399090909090909
"ABCC10",0.258281818181818
"ABCC13",-0.182763636363636
"ABCC2",-0.0639484848484849
"ABCC3",0.0788909090909091
"ABCC4",0.211769696969697
"ABCC5",0.2165
"ABCC6",0.00399090909090909
"ABCC6P1",0.00399090909090909
"ABCC8",-0.0145757575757576
"ABCC9",0.139984848484848
"ABCD1",0.0888727272727273
"ABCD2",0.0615393939393939
"ABCD3",-0.0651666666666667
"ABCD4",-0.094630303030303
"ABCE1",-0.125363636363636
"ABCF1",0.095730303030303
"ABCF2",0.0635090909090909
"ABCF3",0.194584848484848
"ABCG1",-0.189951515151515
"ABCG2",-0.158245454545455
"ABCG4",-0.00576666666666667
"ABCG5",0.0631121212121212
"ABCG8",0.0621878787878788
"ABHD1",0.0604575757575758
"ABHD10",0.0775878787878788
"ABHD11",0.226327272727273
"ABHD12",0.415048484848485
"ABHD12B",-0.0365757575757576
"ABHD13",0.215266666666667
"ABHD14A",-0.137218181818182
"ABHD14B",-0.137218181818182
"ABHD15",0.0770121212121212
"ABHD16A",0.0957515151515152
"ABHD16B",0.558921212121212
"ABHD17A",-0.144454545454545
"ABHD17B",-0.0116272727272727
"ABHD17C",0.0209545454545455
"ABHD2",0.0920393939393939
"ABHD3",0.217478787878788
"ABHD4",-0.0438333333333333
"ABHD5",-0.116057575757576
"ABHD6",-0.118439393939394
"ABHD8",-0.0738848484848485
"ABI1",0.0795909090909091
"ABI2",0.0568121212121212
"ABI3",0.0522151515151515
"ABI3BP",0.0654090909090909
"ABL1",0.0377939393939394
"ABL2",0.193527272727273
"ABLIM1",0.00260606060606061
"ABLIM2",-0.118857575757576
"ABLIM3",-0.110845454545455
"ABO",0.0621181818181818
"ABR",-0.172945454545455
"ABRACL",0.0348727272727273
"ABT1",0.0454939393939394
"ABTB1",0.0824030303030303
"ABTB2",0.0464575757575758
"ACAA1",-0.0883333333333333
"ACAA2",-0.20469696969697
"ACACA",0.179530303030303
"ACACB",0.0296393939393939
"ACAD10",0.0340939393939394
"ACAD11",0.0966242424242424
"ACAD8",-0.0413242424242424
"ACAD9",0.0848090909090909
"ACADL",0.0507272727272727
"ACADM",-0.0598878787878788
"ACADS",0.0288151515151515
"ACADSB",0.0432757575757576
"ACADVL",-0.190145454545455
"ACAN",0.0950030303030303
"ACAP1",-0.189215151515152
"ACAP2",0.187024242424242
"ACAP3",-0.0378515151515151
"ACAT1",-0.0188969696969697
"ACAT2",-0.0148030303030303
"ACBD3",0.202060606060606
"ACBD4",0.0448090909090909
"ACBD5",0.0731848484848485
"ACBD6",0.202787878787879
"ACBD7",0.0833666666666667
"ACCS",0.0383424242424242
"ACD",-0.064230303030303
"ACE",0.0706151515151515
"ACE2",0.00311515151515151
"ACER2",-0.155663636363636
"ACER3",0.11469696969697
"ACHE",0.275469696969697
"ACIN1",-0.0494969696969697
"ACKR1",0.19420303030303
"ACKR2",-0.109406060606061
"ACKR3",-0.0153333333333333
"ACKR4",0.0912484848484848
"ACLY",0.22339696969697
"ACMSD",0.0164848484848485
"ACO1",-0.0428212121212121
"ACO2",-0.116415151515152
"ACOT1",-0.0943939393939394
"ACOT11",-0.0554787878787879
"ACOT13",0.0359909090909091
"ACOT2",-0.0943939393939394
"ACOT4",-0.0943939393939394
"ACOT7",-0.0291090909090909
"ACOT8",0.609554545454545
"ACOT9",0.0216151515151515
"ACOX1",0.0241272727272727
"ACOX2",-0.120642424242424
"ACOX3",-0.113815151515152
"ACOXL",0.0841969696969697
"ACP1",0.0422636363636364
"ACP2",0.0413848484848485
"ACP5",-0.0792121212121212
"ACP6",0.187360606060606
"ACPP",0.0961606060606061
"ACRBP",0.0520575757575758
"ACRC",-0.000472727272727273
"ACSBG1",-0.0148454545454545
"ACSF2",0.0774151515151515
"ACSF3",-0.0738181818181818
"ACSL1",-0.227227272727273
"ACSL3",0.0389363636363636
"ACSL4",0.0258
"ACSL5",-0.00396363636363636
"ACSL6",-0.163775757575758
"ACSM1",-0.0140060606060606
"ACSM3",-0.0161333333333333
"ACSM5",-0.0197272727272727
"ACSS1",0.412975757575758
"ACSS2",0.489666666666667
"ACSS3",0.0125818181818182
"ACTA1",0.190375757575758
"ACTA2",-0.0903545454545455
"ACTB",0.342427272727273
"ACTBL2",-0.170281818181818
"ACTC1",-0.0759636363636364
"ACTG1",0.0455212121212121
"ACTG2",0.0777363636363636
"ACTL10",0.48700303030303
"ACTL6A",0.213309090909091
"ACTL8",-0.0652272727272727
"ACTN1",-0.0831424242424242
"ACTN2",0.189533333333333
"ACTN4",0.0946727272727273
"ACTR10",-0.0766424242424242
"ACTR1A",-0.0470666666666667
"ACTR1B",0.0910909090909091
"ACTR2",0.0795484848484849
"ACTR3",0.0737848484848485
"ACTR3B",0.0606363636363636
"ACTR3C",0.0570636363636364
"ACTR5",0.530263636363636
"ACTR6",0.0120515151515151
"ACTR8",-0.129312121212121
"ACTRT3",0.250869696969697
"ACVR1",0.0433060606060606
"ACVR1B",0.0317787878787879
"ACVR1C",0.0413545454545455
"ACVR2A",0.00528181818181818
"ACVR2B",-0.0926060606060606
"ACVRL1",0.0242151515151515
"ACY1",-0.137218181818182
"ACY3",0.105584848484848
"ACYP1",-0.0668393939393939
"ACYP2",0.0700333333333333
"ADA",0.613560606060606
"ADAL",-0.0897151515151515
"ADAM10",-0.0550757575757576
"ADAM11",0.0432
"ADAM12",0.0278454545454545
"ADAM15",0.221960606060606
"ADAM17",0.0516121212121212
"ADAM19",-0.123275757575758
"ADAM22",0.312287878787879
"ADAM23",0.0577757575757576
"ADAM28",-0.0238030303030303
"ADAM32",0.067969696969697
"ADAM33",0.355027272727273
"ADAM6",-0.101918181818182
"ADAM8",0.00281212121212121
"ADAM9",0.0696242424242424
"ADAMDEC1",-0.0264636363636364
"ADAMTS1",-0.188530303030303
"ADAMTS10",-0.132330303030303
"ADAMTS12",0.202942424242424
"ADAMTS13",0.0571272727272727
"ADAMTS14",0.0355212121212121
"ADAMTS15",-0.0114212121212121
"ADAMTS16",0.169348484848485
"ADAMTS17",0.0964787878787879
"ADAMTS18",-0.0749545454545455
"ADAMTS19",-0.163063636363636
"ADAMTS2",-0.110584848484848
"ADAMTS20",0.0628333333333333
"ADAMTS3",-0.102633333333333
"ADAMTS4",0.2123
"ADAMTS5",-0.186857575757576
"ADAMTS6",-0.166269696969697
"ADAMTS7",-0.0184909090909091
"ADAMTS8",-0.0134878787878788
"ADAMTS9",-0.0719030303030303
"ADAMTSL1",-0.156675757575758
"ADAMTSL2",0.0593242424242424
"ADAMTSL3",0.0206787878787879
"ADAMTSL4",0.252342424242424
"ADAMTSL5",-0.132784848484848
"ADAP1",0.323672727272727
"ADAP2",0.0668212121212121
"ADAR",0.229621212121212
"ADARB1",-0.198
"ADARB2",0.0645454545454545
"ADAT1",-0.0709969696969697
"ADAT2",0.042769696969697
"ADAT3",-0.144454545454545
"ADCK1",-0.0843515151515151
"ADCK2",0.0831515151515152
"ADCK3",0.182254545454545
"ADCK4",0.0533424242424242
"ADCK5",0.404569696969697
"ADCY1",0.305539393939394
"ADCY10P1",0.202906060606061
"ADCY2",0.164948484848485
"ADCY3",0.0545121212121212
"ADCY4",-0.0539212121212121
"ADCY5",0.0857666666666667
"ADCY6",0.0478424242424242
