"gene","value"
"A1BG",0.0194465240641711
"A2M",0.0146791443850267
"A4GALT",-0.14131550802139
"AAAS",0.0204679144385027
"AACS",0.0229010695187166
"AADAT",0.00189304812834225
"AAED1",-0.0332967914438503
"AAGAB",-0.00900802139037433
"AAK1",-0.00807486631016043
"AAMDC",-0.0106631016042781
"AAMP",-0.0130294117647059
"AAR2",0.0179598930481283
"AARS",0.011831550802139
"AARS2",-6.68449197860962e-05
"AARSD1",0.0330267379679144
"AASDH",0.00440106951871658
"AASDHPPT",-0.0108101604278075
"AASS",0.041831550802139
"AATF",0.0305668449197861
"AATK",0.030572192513369
"ABAT",0.0243663101604278
"ABCA1",-0.0314224598930481
"ABCA10",0.0306871657754011
"ABCA11P",0.00750267379679144
"ABCA12",-0.0129705882352941
"ABCA13",0.0377860962566845
"ABCA17P",0.0245427807486631
"ABCA2",-0.0289224598930481
"ABCA3",0.0245427807486631
"ABCA4",0.003
"ABCA5",0.0306871657754011
"ABCA6",0.0306871657754011
"ABCA7",0.00264973262032086
"ABCA8",0.0306871657754011
"ABCA9",0.0306871657754011
"ABCB1",0.0377994652406417
"ABCB10",0.0507513368983957
"ABCB4",0.0377994652406417
"ABCB6",-0.0130294117647059
"ABCB7",0.0041524064171123
"ABCB8",0.0423101604278075
"ABCB9",0.0228877005347594
"ABCC1",0.0223475935828877
"ABCC10",-3.20855614973261e-05
"ABCC11",0.0166577540106952
"ABCC3",0.0305
"ABCC4",-0.0204385026737968
"ABCC5",-0.00304812834224599
"ABCC6",0.0223475935828877
"ABCC6P1",0.0223475935828877
"ABCC8",-0.00543582887700535
"ABCC9",0.0188262032085562
"ABCD1",0.0057620320855615
"ABCD2",0.0186631016042781
"ABCD3",0.00301604278074866
"ABCD4",0.0114304812834225
"ABCE1",0.00418449197860963
"ABCF1",9.62566844919787e-05
"ABCF2",0.0423101604278075
"ABCF3",-0.00304812834224599
"ABCG1",-0.00393048128342246
"ABCG2",0.00197058823529412
"ABCG4",-0.0107112299465241
"ABHD1",-0.0101283422459893
"ABHD10",-0.00320320855614973
"ABHD11",0.0356283422459893
"ABHD12",0.0179705882352941
"ABHD13",-0.0183957219251337
"ABHD14A",-0.000748663101604278
"ABHD14B",-0.000748663101604278
"ABHD15",0.0283449197860963
"ABHD16A",9.62566844919787e-05
"ABHD16B",0.0185106951871658
"ABHD17A",0.000438502673796791
"ABHD17B",-0.0308663101604278
"ABHD17C",-0.00908021390374332
"ABHD2",-0.00911229946524064
"ABHD3",0.000620320855614973
"ABHD4",0.013572192513369
"ABHD5",-0.000676470588235294
"ABHD6",-0.000831550802139038
"ABHD8",0.003475935828877
"ABI1",-0.00322994652406417
"ABI2",-0.0108582887700535
"ABI3",0.0305427807486631
"ABI3BP",-0.0032192513368984
"ABL1",-0.028855614973262
"ABL2",0.0494812834224599
"ABLIM1",-0.00588770053475936
"ABLIM2",0.00763636363636364
"ABLIM3",0.0257459893048128
"ABO",-0.0285641711229947
"ABR",0.0122647058823529
"ABRACL",-0.00775133689839572
"ABT1",5.34759358288774e-06
"ABTB1",-0.0030668449197861
"ABTB2",-0.0034331550802139
"ACAA1",-0.000622994652406417
"ACAA2",0.000406417112299465
"ACACA",0.0305668449197861
"ACACB",0.0226042780748663
"ACAD10",0.0248903743315508
"ACAD11",-0.00308021390374332
"ACAD8",-0.0108181818181818
"ACAD9",-0.00308823529411765
"ACADL",-0.0108475935828877
"ACADM",0.00261497326203209
"ACADS",0.0228743315508021
"ACADSB",-0.0033048128342246
"ACADVL",0.0122647058823529
"ACAN",-0.00907754010695187
"ACAP1",0.0122647058823529
"ACAP2",-0.00270320855614973
"ACAP3",0.00456417112299465
"ACAT1",-0.010783422459893
"ACAT2",-0.00787967914438503
"ACBD3",0.0504224598930481
"ACBD4",0.0305802139037433
"ACBD5",-0.00322459893048128
"ACBD6",0.0495080213903743
"ACBD7",-0.00540374331550802
"ACCS",-0.00557754010695187
"ACD",0.011831550802139
"ACE",0.0306417112299465
"ACE2",0.00575935828877005
"ACER2",-0.0212513368983957
"ACER3",-0.0106069518716578
"ACHE",0.0396657754010695
"ACIN1",0.013524064171123
"ACKR1",0.049072192513369
"ACKR2",-0.000676470588235294
"ACKR3",-0.0123689839572193
"ACKR4",-0.00308021390374332
"ACLY",0.0305668449197861
"ACO1",-0.0186818181818182
"ACO2",-0.141243315508021
"ACOT1",0.0114679144385027
"ACOT11",0.00288502673796791
"ACOT13",0.000131016042780749
"ACOT2",0.0114679144385027
"ACOT4",0.0114679144385027
"ACOT7",0.000877005347593583
"ACOT8",0.0180320855614973
"ACOT9",0.00571122994652406
"ACOX1",0.0306844919786096
"ACOX2",-0.000831550802139038
"ACOX3",0.00776737967914439
"ACOXL",-0.00652941176470588
"ACP1",-0.00998663101604278
"ACP2",-0.00554545454545455
"ACP5",0.00168716577540107
"ACP6",0.0367994652406417
"ACPP",-0.00308021390374332
"ACRBP",0.014716577540107
"ACRC",0.0041283422459893
"ACSF2",0.0305106951871658
"ACSF3",0.00880213903743316
"ACSL1",0.00225133689839572
"ACSL3",-0.0127967914438503
"ACSL4",0.00394385026737968
"ACSL5",-0.00591711229946524
"ACSL6",0.0285855614973262
"ACSM1",0.022192513368984
"ACSM3",0.022192513368984
"ACSM5",0.022307486631016
"ACSM6",-0.00700802139037433
"ACSS1",0.0179705882352941
"ACSS2",0.017975935828877
"ACSS3",0.0225775401069519
"ACTA2",-0.0126791443850267
"ACTB",0.0381764705882353
"ACTBL2",0.0244117647058824
"ACTC1",-0.0114385026737968
"ACTG1",0.030572192513369
"ACTG2",-0.00810695187165775
"ACTL10",0.0180454545454545
"ACTL6A",-0.00310695187165775
"ACTN1",0.0136069518716578
"ACTN4",0.0191417112299465
"ACTR10",0.0136122994652406
"ACTR1A",-0.00581283422459893
"ACTR1B",-0.00635828877005348
"ACTR2",-0.0103422459893048
"ACTR3",-0.00782352941176471
"ACTR3B",0.0422379679144385
"ACTR3C",0.0422379679144385
"ACTR5",0.0179197860962567
"ACTR6",0.0224171122994652
"ACTR8",-0.000716577540106952
"ACTRT3",-0.00311229946524064
"ACVR1",-0.00830748663101604
"ACVR1B",0.0204679144385027
"ACVR1C",-0.00831818181818182
"ACVR2A",-0.00831283422459893
"ACVR2B",-0.000622994652406417
"ACVRL1",0.0204679144385027
"ACY1",-0.000748663101604278
"ACY3",-0.00798663101604278
"ACYP1",0.0114385026737968
"ACYP2",-0.0103021390374332
"ADA",0.0180213903743316
"ADAL",-0.0115775401069519
"ADAM10",-0.00904812834224599
"ADAM11",0.0305802139037433
"ADAM12",-0.0033048128342246
"ADAM15",0.0467566844919786
"ADAM17",-0.0100053475935829
"ADAM19",0.0282941176470588
"ADAM22",0.0377994652406417
"ADAM23",-0.010855614973262
"ADAM28",-0.00101604278074866
"ADAM33",0.0199893048128342
"ADAM6",0.0158903743315508
"ADAM8",-0.00301871657754011
"ADAM9",-0.00120320855614973
"ADAMDEC1",-0.00101604278074866
"ADAMTS1",-0.00394652406417112
"ADAMTS10",0.00170320855614973
"ADAMTS12",0.0346577540106952
"ADAMTS13",-0.0285641711229947
"ADAMTS14",-0.0126256684491979
"ADAMTS15",-0.0107406417112299
"ADAMTS16",0.0306604278074866
"ADAMTS17",-0.00925668449197861
"ADAMTS18",0.0081524064171123
"ADAMTS2",0.0285267379679144
"ADAMTS3",0.00433422459893048
"ADAMTS4",0.0490320855614973
"ADAMTS5",-0.00394652406417112
"ADAMTS6",0.0243689839572193
"ADAMTS7",-0.00906417112299465
"ADAMTS8",-0.0107406417112299
"ADAMTS9",-0.000831550802139038
"ADAMTSL1",-0.0212807486631016
"ADAMTSL2",-0.0285641711229947
"ADAMTSL3",-0.00903208556149733
"ADAMTSL4",0.0484973262032086
"ADAMTSL5",0.000566844919786096
"ADAP1",0.0386524064171123
"ADAP2",0.028331550802139
"ADAR",0.0486016042780749
"ADARB1",-0.00418449197860963
"ADAT1",0.0116764705882353
"ADAT2",-0.00776470588235294
"ADAT3",0.000438502673796791
"ADCK1",0.0135
"ADCK2",0.0459465240641711
"ADCK3",0.0504171122994652
"ADCK4",0.0191390374331551
"ADCK5",-0.00336096256684492
"ADCY1",0.037831550802139
"ADCY10P1",-0.00195187165775401
"ADCY2",0.0306122994652406
"ADCY3",-0.0101176470588235
"ADCY4",0.0133957219251337
"ADCY5",-0.00309893048128342
"ADCY6",0.0204866310160428
"ADCY7",0.0165
"ADCY8",-0.00228342245989305
"ADCY9",0.0226524064171123
"ADCYAP1",0.000764705882352941
"ADCYAP1R1",0.0378770053475936
"ADD1",0.00759358288770054
"ADD2",-0.00809090909090909
"ADD3",-0.00784491978609626
"ADGRA2",-0.00120320855614973
"ADGRA3",0.00472727272727273
"ADGRB1",-0.00415508021390374
"ADGRB2",0.00318181818181818
"ADGRB3",-0.00455882352941176
"ADGRD1",0.0230427807486631
"ADGRE1",0.00622994652406417
"ADGRE2",0.00104545454545455
"ADGRE5",0.00114171122994652
"ADGRF1",-0.000125668449197861
"ADGRF4",-0.000136363636363636
"ADGRF5",-0.000112299465240642
"ADGRG1",0.0163208556149733
"ADGRG2",0.00570588235294118
"ADGRG3",0.0162219251336898
"ADGRG5",0.0163208556149733
"ADGRG6",-0.00778609625668449
"ADGRL1",0.00114171122994652
"ADGRL2",0.00266042780748663
"ADGRL3",0.00437433155080214
"ADGRL4",0.00266310160427807
"ADGRV1",0.0243422459893048
"ADH1B",0.00420320855614973
"ADH1C",0.00420320855614973
"ADH5",0.00421122994652406
"ADHFE1",0.000165775401069519
"ADI1",-0.00998663101604278
"ADIG",0.0179197860962567
"ADIPOQ",-0.00311497326203209
"ADIPOR1",0.0500561497326203
"ADIPOR2",0.0143235294117647
"ADIRF",-0.0145855614973262
"ADK",-0.012716577540107
"ADM",-0.00348395721925134
"ADM2",-0.143850267379679
"ADM5",0.0192860962566845
"ADNP",0.0180695187165775
"ADNP2",-0.00200534759358289
"ADO",-0.0100561497326203
"ADORA1",0.0500561497326203
"ADORA2A",-0.136858288770053
"ADORA2B",0.017524064171123
"ADORA3",0.000449197860962567
"ADPGK",-0.00901069518716578
"ADPRH",-0.00313903743315508
"ADPRHL1",-0.0217620320855615
"ADPRHL2",0.00296791443850267
"ADPRM",0.017644385026738
"ADRA1B",0.028216577540107
"ADRA2A",-0.00786898395721925
"ADRA2B",-0.00635828877005348
"ADRA2C",0.00754812834224599
"ADRB1",-0.00591711229946524
"ADRB2",0.0286229946524064
"ADRBK1",-0.00798663101604278
"ADRBK2",-0.139093582887701
"ADRM1",0.0182887700534759
"ADSL",-0.141283422459893
"ADSS",0.0512326203208556
"ADSSL1",0.0158903743315508
"ADTRP",0.000328877005347594
"AEBP1",0.0378770053475936
"AEBP2",0.0189064171122995
"AEN",-0.00907754010695187
"AES",0.000438502673796791
"AFAP1",0.00761229946524064
"AFAP1L1",0.0286978609625668
"AFAP1L2",-0.00588770053475936
"AFF1",0.00432085561497326
"AFF2",0.00606951871657754
"AFF3",-0.00635561497326203
"AFF4",0.0286149732620321
"AFG3L1P",0.00880213903743316
"AFG3L2",0.00072192513368984
"AFMID",0.030572192513369
"AFTPH",-0.0103395721925134
"AGA",-9.62566844919784e-05
"AGAP1",-0.0123689839572193
"AGAP11",-0.0145855614973262
"AGAP2",0.022524064171123
"AGAP3",0.0423101604278075
"AGAP4",-0.00886363636363636
"AGAP5",-0.0126497326203209
"AGAP6",-0.0107647058823529
"AGAP7P",-0.0107647058823529
"AGBL2",-0.00554545454545455
"AGBL4",0.000622994652406417
"AGBL5",-0.0101283422459893
"AGER",9.62566844919787e-05
"AGFG1",-0.0127486631016043
"AGFG2",0.0396657754010695
"AGGF1",0.0244786096256684
"AGK",0.0421176470588235
"AGL",0.00306149732620321
"AGMAT",0.00320855614973262
"AGO1",0.00296791443850267
"AGO2",-0.00415508021390374
"AGO3",0.00296791443850267
"AGO4",0.00296791443850267
"AGPAT1",9.62566844919787e-05
"AGPAT2",-0.0289224598930481
"AGPAT3",-0.00403475935828877
"AGPAT4",-0.00781818181818182
"AGPAT5",-0.000697860962566845
"AGPS",-0.00840374331550802
"AGR2",0.040192513368984
"AGR3",0.040192513368984
"AGRN",0.00456417112299465
"AGT",0.0507754010695187
"AGTPBP1",-0.0326604278074866
"AGTR1",-0.0031524064171123
"AGTRAP",0.00314705882352941
"AHCTF1",0.0514385026737968
"AHCY",0.0180454545454545
"AHCYL1",0.00317112299465241
"AHCYL2",0.0418422459893048
"AHDC1",0.0030427807486631
"AHI1",-0.00774866310160428
"AHNAK",-0.00805882352941176
"AHNAK2",0.0158903743315508
"AHR",0.040192513368984
"AHRR",0.0357299465240642
"AHSA1",0.0135053475935829
"AHSA2",-0.0103262032085561
"AICDA",0.0146791443850267
"AIDA",0.0503743315508021
"AIF1",9.62566844919787e-05
"AIF1L",-0.0287754010695187
"AIFM1",0.000786096256684492
"AIFM2",-0.0126176470588235
"AIFM3",-0.123767379679144
"AIG1",-0.00776470588235294
"AIM1",-0.00904812834224599
"AIM1L",0.0030427807486631
"AIM2",0.049072192513369
"AIMP1",0.00420053475935829
"AIMP2",0.0382272727272727
"AIP",-0.00798663101604278
"AJAP1",0.000885026737967914
"AJUBA",0.013524064171123
"AK1",-0.028927807486631
"AK2",0.00318181818181818
"AK3",-0.0192780748663102
"AK4",0.00275401069518717
"AK7",0.0159839572192513
"AK8",-0.0286283422459893
"AK9",-0.00901069518716578
"AKAP1",0.0305106951871658
"AKAP10",0.0193262032085561
"AKAP11",-0.0253101604278075
"AKAP12",-0.00776737967914439
"AKAP13",-0.011379679144385
"AKAP2",-0.0337673796791444
"AKAP3",0.0146497326203209
"AKAP5",0.0135855614973262
"AKAP6",0.0111363636363636
"AKAP7",-0.00901069518716578
"AKAP8",0.003475935828877
"AKAP8L",0.00345989304812834
"AKAP9",0.0378449197860963
"AKIP1",-0.00352139037433155
"AKIRIN1",0.00295187165775401
"AKIRIN2",-0.00892245989304813
"AKNA",-0.031144385026738
"AKR1A1",0.00311497326203209
"AKR1B1",0.0419411764705882
"AKR1C1",-0.00531016042780749
"AKR1C2",-0.00531016042780749
"AKR1C3",-0.00531016042780749
"AKR1E2",-0.00531016042780749
"AKR7A2",0.00318983957219251
"AKR7A3",0.00318983957219251
"AKT1",0.0158903743315508
