"gene","value"
"A1BG",0.158928571428571
"A1CF",0.0352380952380952
"A2M",0.191880952380952
"A2ML1",0.213190476190476
"A4GALT",-0.374571428571429
"AAAS",0.17497619047619
"AACS",-0.0863571428571429
"AACSP1",-0.0530238095238095
"AADAC",0.429357142857143
"AADAT",-0.245214285714286
"AAED1",-0.437095238095238
"AAGAB",-0.23852380952381
"AAK1",0.361285714285714
"AAMDC",-0.123761904761905
"AAMP",0.181833333333333
"AAR2",0.728452380952381
"AARD",0.671238095238095
"AARS",-0.267119047619048
"AARS2",0.396571428571429
"AARSD1",-0.141452380952381
"AASDH",-0.157833333333333
"AASDHPPT",-0.22202380952381
"AASS",0.0212619047619048
"AATF",-0.0506666666666667
"AATK",0.351047619047619
"ABAT",-0.149785714285714
"ABCA1",-0.461809523809524
"ABCA10",0.286357142857143
"ABCA11P",-0.0412857142857143
"ABCA12",0.156809523809524
"ABCA13",0.1755
"ABCA17P",-0.143857142857143
"ABCA2",-0.286380952380952
"ABCA3",-0.116809523809524
"ABCA4",0.0693333333333333
"ABCA5",0.286357142857143
"ABCA6",0.286357142857143
"ABCA7",-0.578833333333333
"ABCA8",0.286357142857143
"ABCA9",0.286357142857143
"ABCB1",0.0795952380952381
"ABCB10",0.412095238095238
"ABCB4",0.0912380952380952
"ABCB5",0.233928571428571
"ABCB6",0.159571428571429
"ABCB7",-0.00195238095238095
"ABCB8",0.0215
"ABCB9",0.0503571428571429
"ABCC1",-0.033
"ABCC10",0.418928571428571
"ABCC12",-0.382690476190476
"ABCC2",0.0155714285714286
"ABCC3",0.357285714285714
"ABCC4",0.345880952380952
"ABCC5",0.709619047619048
"ABCC6",-0.033
"ABCC6P1",-0.033
"ABCC8",-0.242547619047619
"ABCC9",0.29302380952381
"ABCD1",-0.0570238095238095
"ABCD3",0.0698333333333333
"ABCD4",-0.215047619047619
"ABCE1",-0.272761904761905
"ABCF1",0.449285714285714
"ABCF2",0.0717380952380952
"ABCF3",0.661142857142857
"ABCG1",0.0864285714285714
"ABCG2",-0.324928571428571
"ABCG4",-0.226404761904762
