"gene","value"
"A1BG",-0.00411666666666667
"A2M",0.018
"A4GALT",0.0539833333333333
"AAAS",0.0110833333333333
"AACS",0.00985
"AADAT",0.01125
"AAED1",0.00211666666666667
"AAGAB",-0.0373166666666667
"AAK1",0.104066666666667
"AAMDC",0.0672833333333333
"AAMP",0.08735
"AANAT",0.14935
"AAR2",0.1155
"AARD",1.4635
"AARS",-0.221616666666667
"AARS2",0.569016666666667
"AARSD1",0.05835
"AASDH",0.0270166666666667
"AASDHPPT",0.0614166666666667
"AASS",0.0874333333333333
"AATF",0.0584
"AATK",0.163933333333333
"ABAT",0.0314666666666667
"ABCA1",0.0022
"ABCA10",0.164383333333333
"ABCA11P",0.141866666666667
"ABCA17P",0.0336333333333333
"ABCA2",0.00183333333333334
"ABCA3",0.0336333333333333
"ABCA4",-0.2878
"ABCA5",0.164383333333333
"ABCA7",-0.0197833333333333
"ABCA8",0.164916666666667
"ABCA9",0.151216666666667
"ABCB1",0.0868333333333333
"ABCB10",0.1513
"ABCB4",0.0868333333333333
"ABCB5",0.1231
"ABCB6",0.08735
"ABCB7",-0.00535
"ABCB8",0.06985
"ABCB9",0.00985
"ABCC1",0.0315
"ABCC10",0.60955
"ABCC11",-0.213133333333333
"ABCC12",-0.22875
"ABCC2",-0.0121333333333333
"ABCC3",0.102183333333333
"ABCC4",0.05625
"ABCC5",-0.514233333333333
"ABCC8",0.0651166666666667
"ABCC9",0.02605
"ABCD1",0.00325
"ABCD2",0.0108166666666667
"ABCD3",-0.2878
"ABCD4",0.0307666666666667
"ABCE1",0.0114666666666667
"ABCF1",0.6833
"ABCF2",0.06985
"ABCF3",-0.514233333333333
"ABCG1",0.242366666666667
"ABCG2",-0.00461666666666667
"ABCG4",0.0478833333333333
"ABHD1",0.133616666666667
"ABHD10",-0.513666666666667
"ABHD11",0.08705
"ABHD12",0.0856
"ABHD12B",0.01465
"ABHD13",0.05595
"ABHD14A",-0.511116666666667
"ABHD14B",-0.511116666666667
"ABHD15",0.0728333333333333
"ABHD16A",0.66805
"ABHD16B",0.1146
"ABHD17A",-0.0126333333333333
"ABHD17B",0.0023
"ABHD17C",-0.03775
"ABHD2",-0.0381333333333333
"ABHD3",0.00198333333333333
"ABHD4",0.0137833333333333
"ABHD5",-0.510966666666667
"ABHD6",-0.494683333333333
"ABHD8",-0.0049
"ABI1",-0.00916666666666666
"ABI2",0.0876333333333333
"ABI3",0.102183333333333
"ABI3BP",-0.51335
"ABL1",-0.0148166666666667
"ABL2",0.110383333333333
"ABLIM1",-0.0121833333333333
"ABLIM2",0.142783333333333
"ABLIM3",-0.0343333333333333
"ABR",0.0593333333333333
"ABRACL",-0.263333333333333
"ABT1",0.655783333333333
"ABTB1",-0.517966666666667
"ABTB2",0.06515
"ACAA1",-0.501383333333333
"ACAA2",-0.00393333333333333
"ACACA",0.0584
"ACACB",0.01145
"ACAD10",0.01145
