"gene","value"
"MFAP5",5.22778334950995
"MMP10",5.16863906543617
"SERPINE2",7.90250139722559
"FEZ1",4.89353737119349
"SPINK6",5.59572741798387
"MMP1",8.80964541220575
"IGFBP6",7.94551254700244
"FSTL1",4.11672604079774
"PTHLH",5.98405657495721
"MSLN",3.3700406151157
"PFN2",8.02770593573781
"MAGEA4",4.26023498855836
"MLLT11",4.07464100367451
"TPM2",6.40420257044967
"COL4A2",2.49480068781261
"IGFBP7",6.33374392075744
"CDA",5.42734097753132
"LAMC2",6.04753156851398
"DPYSL3",2.87177319311604
"NT5E",2.70540535864613
"LARP6",4.25575923220973
"IGFBP2",8.24611420779539
"CTSV",6.38591198044484
"ODC1",5.82059249027276
"TH",1.74450786374727
"SGCE",1.65329665237514
"POPDC3",2.44920126591755
"RPL29",-1.4834469231149
"PRSS23",5.61264491238723
"MFAP2",3.48482682649901
"MISP",2.04278727728343
"F3",3.96235765167032
"RPS2",-1.53174952802922
"CSPG4",2.23648286321431
"KHDC1L",2.09315050714424
"IGF2BP2",3.22089073597677
"RPL32",-1.42822065147081
"RPL13A",-1.43466397553045
"LINC00941",1.4879410494284
"KCNMA1",2.41688550877616
"RPL18A",-1.30442914142394
"RPL14",-1.37579230183992
"ITGA5",2.24608403479467
"MMP2",2.23758645026009
"TMEM200A",1.68784416156955
"AQP3",-4.77110121961652
"ANXA3",5.43203985252327
"LY6D",-5.13124701425998
"FAP",1.58015543528987
"KRT8",3.23305629836953
"LGALS1",8.23891011089901
"RPL3",-1.43430586605783
"MAGEA10",1.69903903161468
"RPS24",-1.24909639100009
"TNC",4.87982081777729
"ACTB",2.02827248248196
"CTNNAL1",5.02894969547382
"LPPR5",1.4807116219335
"CD68",4.5691879770416
"CLMP",1.55181330727899
"ECM1",5.44482482340246
"RP11-357H14.17",1.82814165498694
"TFPI2",1.50933708191785
"SLC7A8",4.43557873710292
"SPOCK1",1.99566675583757
"TSPAN1",1.91537388154276
"MYL9",2.8268488560083
"RPS18",-1.10052189471203
"CDKN2A",6.96888584873146
"TMSB4X",1.98139899477692
"DSC3",-3.29588010329929
"S100A9",-3.2952859169701
"RPS14",-1.19342073885923
"INHBA",2.57525005387496
"IGFBP3",5.36265576091211
"TIMP3",3.58628785715546
"CERCAM",2.8377735205846
"LINC00707",1.15702007143837
"CAMK2N1",1.88523452072736
"SRPX",2.82932114052817
"RPL13",-1.09774986873133
"NUPR1",-5.33732277978289
"RPS23",-1.16625464663879
"NID1",2.80394967489963
"JUNB",-3.35571477958898
"CA9",2.29699476856831
