"gene","value"
"RGS13",-5.07423755589905
"TCL6",-1.28483230430514
"DDR1",4.62646784390658
"IRF6",4.63582841543021
"TRIM29",5.46559817709431
"FXYD3",6.18827013551956
"ZNF860",-2.49292311448568
"PTPRF",4.21918340662089
"LOC642587",5.85157550922398
"KIAA1522",4.03593891665279
"PRDM15",-2.5514099407534
"AGRN",3.43073247311325
"STAP2",3.94352265033969
"JUP",3.91438495515178
"CLECL1",-3.92179295906049
"GJB5",4.41271130709871
"KRT5",6.54568616286614
"CTNND1",3.15622269881994
"LGALS3BP",2.81288134899029
"OSBPL10",-3.01857368606702
"LAD1",3.91308405129855
"CDH1",3.51618825084256
"PERP",4.6740251817973
"SDC4",2.94990486628799
"KRT18",4.32782651442476
"AFF3",-2.96561830054237
"TCL1B",-2.56447368646979
"FOSL2",2.55014447038619
"SH2D4A",3.11361755851704
"ESRP1",3.91617418190485
"PKP4",2.36731747152167
"DSP",4.71292077311388
"GNA11",2.07202829425249
"DLG3",2.28571611427751
"C16orf87",-1.81023490302931
"PKP3",4.29166913201981
"CETP",-2.8748847950601
"KLHL14",-2.83782702929889
"EPCAM",5.04255256550568
"GPHA2",-1.44755161889454
"SPINT1",3.10208977754478
"FAM129C",-5.84309993854116
"GJB3",3.73193922512612
"ST5",3.11700049857986
"DGKG",-1.89615452025615
"C7orf23",-2.47224619140285
"PMS2P1",-1.50265994565789
"NFKBID",-2.52376368190367
"PRSS8",4.15661956701758
"CYB561",2.36574398256416
"BAIAP2L1",2.9473703380984
"IL10",-2.0691407210797
"KRT8",5.0710776181901
"SEMA4C",2.62886592277102
"JAG2",2.94384632689335
"FAM83H",3.48832416576915
"SOX4",3.65792662594208
"MDK",4.63504740667399
"KBTBD8",-2.08881417892258
"ZFAT",-2.14110618053698
"RARG",2.4800236051908
"ZNF804A",-2.31178172052689
"GPR87",3.90258803948623
"SCN4A",-0.738122356126024
"SRC",1.93776562353872
"NUDT17",-1.56290784883466
"C13orf18",-3.94097769915995
"CLDN1",5.01045146994318
"LY6E",2.93344365710768
"LOC440461",-1.436430766642
"RAB25",3.69963311715877
"EDARADD",4.10854067832447
"ITGB4",3.16886621134329
"RIPK4",3.30374820623567
"LSR",3.10878621722282
"LTBR",2.47470421857725
"CLDN4",4.89213773677846
"FERMT1",3.91294182510557
"CLEC17A",-4.2176210030795
"GTF2IRD1",2.72068510217035
"GIPC1",2.11764279962068
"DLG5",3.25447710215828
"CAPN2",1.99605050390186
"TFAP2A",2.99283338563798
"OGG1",-1.65493336287085
"PTPN3",2.35886337861613
"RASGRP3",-2.58182204149008
"GNG12",2.37526597057569
"RBFOX2",1.92219325512844
"SH3BP4",2.32948551454049
"C1orf186",-2.30990330065468
"NFATC1",-3.14539387850748
"DTX1",-4.41052570231908
"GNA15",2.9963037710155
"SUSD4",3.91247450904888
"CD72",-4.02679506568004
"PRODH",4.652528944269
"KREMEN1",3.32475976846189
"ZNF629",1.78025693162448
"SDC1",4.02919230109272
"TUFT1",3.34607767740998
"P2RX5",-3.98606483383095
"LOC200772",-1.82043677658324
"FBXO43",-0.846521946536377
"LAPTM4B",3.14123802737522
"TMC4",3.13558983288307
"FOXP1",-2.02283030275531
"DOCK1",2.02892718823705
"LOC100499467",3.29113473400756
"HSPA1B",2.96174853235337
"PTPRS",3.10448990506947
"PPAP2C",4.21433461866576
"PXK",-2.27268655137186
"CYFIP1",1.33464252470105
"SLC43A1",-2.26507543622102
"RCN1",2.14875128479455
"ANK3",2.31676582779503
"MICALL2",2.55981104279839
"PTGFRN",2.69900479548934
"EML6",-3.27651522097644
"TRIP6",2.0844878476978
"RAB3D",2.24364825035098
"IGSF9",4.50861690065073
"PARD3",2.66437698359805
"TMEM132A",3.43367871482326
"PKP1",4.64469095828192
"LOC100129716",-0.551908570157753
"BCL2L10",-1.20061055261053
"KRT15",7.11838861303752
"COCH",-2.52845342642141
