"gene","value"
"KIF18B",4.40969317405063
"C16orf59",3.66439253030559
"UBE2C",4.33970657856395
"TROAP",4.23624953407241
"UHRF1",3.62667216445279
"CDK1",3.39635011660238
"KIF20A",3.86348086805534
"HJURP",3.52643903756797
"IQGAP3",3.90505862931
"NEK2",3.94255977812951
"CDC25C",3.81695857541027
"SKA3",3.45672084325085
"GTSE1",3.52847764002472
"CDT1",3.53769755929474
"TTK",3.83694198756178
"ASF1B",3.14886893675615
"CDCA8",3.31409746285399
"CLEC3B",-4.95669149586097
"AURKB",3.90443147214839
"PKMYT1",3.72314068623602
"NCAPG",3.46267380225377
"TK1",3.31428017149532
"PI16",-8.91900749276015
"KIF2C",3.36780755895582
"CDC45",3.74280565851285
"CDC20",3.89989184330883
"TPX2",3.70760446216417
"BIRC5",3.87795854786878
"FANCA",2.96695819805071
"EME1",3.13222073453627
"RAD51",2.86016453265468
"CCNB2",3.44895347054494
"ORC6",3.0862000869869
"MYOC",-6.64694349248466
"MYBL2",4.39164638681431
"POLQ",3.31782479244158
"GLP2R",-5.63504315240466
"ZWINT",2.92818891055072
"CENPA",3.81776641495527
"NCAPH",3.52208724675903
"CRY2",-1.68451206916008
"NUF2",3.74413144380178
"MELK",3.89788425028076
"RAD54L",3.22524739681328
"CDCA3",3.16512941111556
"BUB1B",3.39764811438325
"SKA1",3.29708379456348
"SRF",-1.54197888982281
"RECQL4",2.95069663246224
"TOP2A",3.51085048590543
"DLGAP5",3.76100601668172
"KIAA0101",3.30525841525564
"KIF4A",3.46144345676899
"BLM",2.5337026104749
"RYR3",-3.60861993462636
"MKI67",3.31053644984945
"PMP2",-5.56177775240431
"CENPM",3.07936647284845
"AURKA",2.86908017400773
"EXO1",3.3870775407288
"SGOL1",3.52077688787958
"CDC6",2.86069313114622
"SLC25A25",-2.16094170023566
"HLF",-5.50068618251011
"F10",-4.85224441082994
"LRRC3B",-5.42430216414194
"SPAG5",2.78160670915842
"DEPDC1B",3.25927490934412
"C16orf89",-6.70022675344188
"NUSAP1",3.04093289714712
"MTFR2",2.88363570014442
"FAM72B",3.06516644566771
"GINS1",2.66309909656928
"MEN1",1.31516891941987
"CSRNP1",-2.72811286758553
"SPC25",3.17937123611225
"NPAS4",-5.0192770275399
"ESM1",4.69378879700334
"RCC2",1.39101543590638
"CEP55",3.12559334728507
"MCM10",3.67261597785447
"PLCD4",-2.49294334453158
"HMMR",3.25123527701287
"PYGM",-5.24196592915086
"PCSK2",-6.60942509054571
"CFD",-4.67345193734943
"PPP1R12B",-3.4727207981334
"FANCI",2.05994418985908
"ASPM",3.51974191432443
"ZNF695",3.81182585394268
"SORCS1",-6.11848766117322
"FOXM1",3.29209955118422
"NR4A1",-4.36463016278811
"BUB1",2.99860549108131
"PLK1",3.23574337741165
"NRXN1",-6.57562064638993
"UBE2T",2.41603507791825
"MYOM1",-4.4157804973996
"MEF2D",-1.25291053367777
"OIP5",3.10458880058735
"PGM5-AS1",-7.87043765193737
"DTL",2.88958018285508
"SCARA5",-7.06602108054938
"FAM107A",-5.00793832735324
"CBX7",-2.55871420032013
"RCC1",2.08492178539106
"FAM64A",3.59606727669095
"CCNA2",2.81888984024053
"KIFC1",2.91759651184787
"LIG1",1.73420081121759
"PLP1",-6.9277594611324
"MYOT",-4.60760300795134
"CENPF",3.04281829033348
"CSRP1",-2.61834076922444
"CDCA2",3.10136005627479
"SDPR",-4.3756522811508
"FAM72D",3.27752034489718
"CENPK",2.8898272727854
"CDCA5",2.95547746087493
"MOGS",1.30885037305839
"SMTN",-2.60939273038964
"HMGB3",2.16532749967178
"SYNM",-5.4243116422784
"SLC2A4",-5.31191075190146
"STIL",2.49513610452651
"CKAP2L",3.28639532241963
"TCF21",-4.45151354515628
"SGCG",-5.19386766227735
"RCAN2",-3.4057217055469
"KIF14",3.26614950344481
"ATP1A2",-6.98273795581956
"ADAMTS1",-3.79936498324868
"PGM5P2",-4.39712899246506
"PLK4",2.24009400495456
"SLC52A2",1.60838369850522
"TNXB",-5.33879982079509
"KLF2",-3.14271237732611
"CCNB1",2.59852541548877
"SLMAP",-1.93798407206993
"TMEM132A",2.70899718026369
"SCN7A",-6.12882588345659
"ARHGAP39",1.80626085635597
"RBFOX3",-6.4283189018297
"KLHL41",-3.79604353690234
"SAPCD2",3.28526226776838
"OTX1",4.05224953350163
"TONSL",2.08502094879404
"FANCD2",2.14732027921889
"VIT",-6.91645008158875
"AFF3",-5.00084601097406
"SYNPO2",-5.29366959459873
"RRM2",3.10551741749167
"ITPKB",-1.70488196012831
"PBK",3.20156532949562
"BRI3BP",1.99242011982539
"CCNF",1.96805163635624
"EPM2A",-1.90743018569896
"TPPP",-4.07649206831002
"PPAP2B",-2.32747116916338
"CASP2",1.24726031863696
"PDE2A",-3.17001552106185
"HSPB6",-6.12728100880295
"HN1",1.93710551149394
"ITIH5",-4.04427210243886
"KIF23",2.71163530449608
"DEPDC1",3.17107726521068
"PER2",-2.13151719223535
"KIF15",2.93681721875204
"MBNL1-AS1",-3.26884417736493
"BRE-AS1",-3.41805842657431
"SPARCL1",-3.408004945293
"TMEM206",1.66837647157888
"GPRASP1",-3.01713283315356
"GINS2",2.41026552072275
"ANGPTL7",-5.42277543429747
"CDC25A",2.49490966469293
"KIF11",2.43274069401629
"TMEM132C",-6.05668075879764
"NR4A3",-4.65342965663133
"EIF2AK1",1.02354974327133
"GSN",-2.39427921123044
"EZH2",2.33994418888195
"HGH1",1.47440875408247
"TRAIP",2.06628397458379
"HELLS",2.27730449608826
"C2orf40",-6.87378383406791
"AUNIP",2.50693781458883
"NME1",1.59887239194128
"PDK4",-4.44048410667252
"CHTF18",2.04380061580572
"C17orf53",2.27475062711781
"C1QTNF7",-4.53599770750906
"SOX10",-5.59695257955447
"DSTN",-1.57857218687959
"ECE2",2.00034626603127
"B3GALT2",-3.85643408537002
"NR4A2",-3.24361409053897
"GNG7",-3.47278735793094
"PJA2",-1.61321863398921
"FOXF1",-3.59333142246663
"CCDC150",2.96833460058835
"FBXL6",1.76661381783355
"TNS1",-3.79123856935323
"PAQR4",2.37890410729875
"TNS2",-2.20101482368051
"NDC80",2.73150705231101
"C12orf76",1.36308000393995
"ESPL1",2.86124200706367
"BORA",1.79296818789067
"NTRK3",-5.16705822994667
"CD300LG",-4.99188838296974
"ORC1",2.71286947616192
"SOX17",-2.94322480778959
"EGR3",-4.24336326685832
"ALG3",1.26568494612954
"XRCC2",2.52433753417988
"GSTM5",-4.82138424512974
"LRRC2",-4.83733643802288
"SLC19A1",2.15700489919671
"KCNB1",-4.73684205699552
"POC1A",2.11689293324309
"KNOP1",1.32540077041011
"PAFAH1B3",2.18856594625455
"CFL2",-2.60472274468542
"AQP1",-2.67760589078056
"LTBP4",-2.72744867329771
"ZNF536",-4.90928364754188
"RNASEH2A",1.68617857872195
"PQLC2",1.3015947527412
"PAMR1",-3.21091541216442
"DUSP1",-3.47455327448418
"ADAMTSL3",-5.10687229921606
"C21orf58",2.48533972441377
"EGR1",-3.50024900443404
"CSGALNACT1",-2.40966896539202
"ZFP36",-2.85526785847846
"RHOB",-2.20189427063008
"LDB3",-3.80499863862798
"CENPU",2.20119652915451
"PARPBP",1.92235249297643
"NEIL3",3.54678835679777
"TP53INP2",-2.21848932717868
"LMOD1",-4.98551430520291
"VIPR2",-5.1602143910189
"FHL1",-4.79271503088864
"PSMG3",1.52802052779448
"ERCC6L",2.64739213448475
"SRL",-3.56532752436247
"KANK2",-2.39045406062174
"TRIP13",2.73577956490781
"TACC3",2.31516271831581
"DMGDH",-3.7038579932174
"FXYD1",-5.65438346932586
"WDR62",2.70824148188469
"FNBP1",-1.88625300311228
"FAM83H",2.77307226652023
"FILIP1",-3.98785893778282
"PTTG1",2.52345913325653
"PABPC1L",2.81450480309075
"PTBP1",0.795090964825963
