"gene","value"
"NEK2",4.81301156184786
"MMP11",5.92140084006189
"COL10A1",6.95603588457016
"PKMYT1",4.85761586085826
"GPAM",-3.55541383722141
"KIF4A",4.49030472848849
"KIAA0101",3.73177665331687
"LYVE1",-4.97086267106322
"UHRF1",3.88326054266477
"CAV1",-3.2994991479672
"IQGAP3",4.1474582183709
"CDC25C",4.22100847690177
"TNS1",-2.76401249606736
"SPC25",3.43260537025517
"MYOC",-7.0430342489702
"FIGF",-6.44757888198341
"PPP1R12B",-2.16415039850821
"HSD17B13",-5.319192880504
"NUF2",4.07384989580822
"ASF1B",3.13453466867566
"MYOM1",-3.86745491622185
"PAFAH1B3",2.63279493213125
"CPA1",-5.18646375495316
"FHL1",-4.25537430601092
"CA4",-7.69957659193569
"HSD17B6",3.14956580739267
"UBE2C",4.37292489212436
"PAMR1",-4.03837208889839
"PPAPDC1A",5.72076356718758
"FAM13A",-2.50040497630284
"HMMR",3.53429890801967
"KIF20A",3.92073133056712
"GPR146",-2.66488389107272
"HJURP",3.73847562253982
"DLGAP5",3.90651544412542
"PYCR1",2.61722149085961
"TROAP",4.0143724875944
"WDR62",3.30356949889332
"SDPR",-4.63316732704228
"NUSAP1",3.22902081071646
"NAALAD2",-3.16721496923416
"ITIH5",-4.16128454329131
"CAV2",-2.9063927731052
"UBE2T",3.2375639449659
"ADAMTS5",-3.47111968429862
"NPR1",-3.42620865135714
"PBK",3.82526403916288
"PDE2A",-3.33253623309487
"GABRD",3.60534147919847
"TPX2",3.5299378952209
"GSN",-2.29941823700968
"CCDC64",3.14931179083356
"KIF18B",3.98018829285525
"BUB1",3.65562918696293
"SIK2",-2.15147085840609
"MELK",4.0091023566337
"C16orf59",3.06103201522893
"KCNIP2",-5.01788813725366
"DTL",3.19109039169751
"PLK1",3.61322094884357
"TK1",3.13266536526531
"CDK1",3.13741568670814
"CEP55",3.52957472158514
"BUB1B",3.34756352384316
"SORBS1",-3.30580034649385
"RRM2",3.65328432742297
"EBF1",-2.96164308899674
"BTNL9",-4.29839767839702
"CENPM",3.26594724019956
"ZWINT",2.6267187127789
"SPRY2",-2.81517889561551
"SLC2A4",-4.38495292945394
"ASPM",3.8937286464395
"GLYAT",-6.89254165889479
"CCNB2",3.44228484720359
"LPL",-4.62800479224869
"CDKN3",3.09343654716751
"ACVR1C",-4.93530114973943
"SPTBN1",-1.80928901297509
"TNXB",-4.38570030948039
"AOC3",-3.55670826192452
"MIR143HG",-3.77293592414178
"TOP2A",3.79846836498548
"NEIL3",3.88940640302561
"CKS2",2.56339349290346
"KIFC1",3.23452698512382
"NDC80",3.48776966486436
"POC1A",2.1528924150311
"LRRC3B",-4.82525474093475
"HSPB6",-4.61870195507441
"KIF2C",3.58150390192158
"RYR3",-3.69502734086045
"ARHGAP20",-3.41878473676795
"RDH5",-4.12363122702439
