"gene","value"
"CDH3",6.66037520193224
"KRT80",6.90869619080554
"ESM1",5.97149992243749
"ETV4",5.51550824074988
"WNT2",5.94562889053537
"MTHFD1L",2.51848056693974
"AJUBA",2.99570237424098
"OTOP2",-10.1486379513182
"OTOP3",-5.90783632273703
"KRT24",-6.56546916323658
"C6orf223",5.51018185854274
"CEMIP",5.36318616810863
"CLDN1",4.73069205061171
"LRP8",3.44524886956933
"FOXQ1",6.01324373537605
"PRSS22",4.78137847914797
"BEST4",-6.68792104461292
"LGI1",-5.70222740424771
"GLTP",-1.59238215141498
"MAFG-AS1",2.98014666370607
"CLEC3B",-4.19029090136767
"TRIB3",3.710489081792
"TEAD4",2.32276050043878
"PHLPP2",-2.56888792099302
"CA7",-7.47522192679238
"NFE2L3",2.59273848133855
"SLC25A34",-4.36221947884958
"TRIP13",2.3975519017731
"GRIN2D",4.94663895349286
"PEX26",-1.9951759812261
"DAO",-5.90233172119584
"LRRC8E",2.7768012685646
"PCSK2",-6.40119731133625
"SLCO4A1",3.42664106914859
"EPHX4",4.85750410155507
"PDX1",4.74822753291618
"PVT1",2.88117096838528
"APPL2",-1.82344115041489
"C17orf96",3.47307830722419
"ENC1",2.01509011075688
"MDFI",3.61601791054362
"RERGL",-6.12857290048728
"GTF2IRD1",2.16783971735919
"C2orf88",-4.12499257498283
"SLC17A8",-5.31066740802246
"PLEKHN1",3.88617167988125
"VSTM2A",-6.23325734067775
"INHBA",4.93393983346264
"FAM135B",-5.37421768660723
"CST1",7.88927772674296
"SLC7A5",3.05352812278203
"RETSAT",-1.85160663630416
"GCNT2",-4.44979586668083
"MYOC",-6.72962754009063
"SPATA12",3.2592747540684
"ABCG2",-5.2699659082471
"CPNE7",5.48491393275569
"DDN",4.48920877039911
"BYSL",1.53736091502659
"COL11A1",6.72069734533183
"SLC22A5",-1.86749404294226
"SPPL2A",-1.81678794521166
"MMP7",7.65267781027133
"FIGF",-4.86396521662033
"CNNM2",-1.70258814277975
"PPAP2A",-2.00873766324078
"USP2",-4.38109910713346
"SLC36A1",-1.91157039100085
"DDX31",1.17831178976973
"LYVE1",-4.8472488825753
"S100A11",1.93291901635423
"IL6R",-3.25097764978319
"ACAN",4.01007359469952
"SPTBN2",3.22510242863802
"PDCD4",-2.03228733732059
"TP53INP2",-2.75152001937704
"ANGPTL7",-5.49582275433325
"TNFRSF12A",2.6189161401591
"ORC6",2.40729126082893
"PLCD1",-2.3611921472257
"UGP2",-2.14223683858276
"CDKN2B",-3.54928721960425
"CIPC",-1.338381472264
"ETFDH",-1.93892436998422
"PRKG2",-4.59028151642268
"FAM107A",-3.90436973436125
"CITED2",-1.8500167919202
"GLP2R",-5.03111529548122
"FUCA1",-1.80428756594599
"RXRG",-4.7338973695946
"PHOX2B",-5.39219830883037
"SCGN",-6.58158735739675
"FUT1",2.71219276916306
"CLDN23",-3.07156112038536
"DUSP14",1.87732113113789
"SALL4",4.51454410036869
"GYLTL1B",4.42739712945771
"GUCA2B",-8.60636394142148
"PPM1H",2.21775214246049
"PLP1",-6.8736265418636
"SPIB",-5.52261602818146
"AUNIP",2.2249721942412
"KIAA1549",2.32045675673827
"MAMDC2",-6.17149061776423
"TMIGD1",-9.15103548695783
"ABCB11",-5.18406951371921
"CBX8",1.68435983151516
"RUVBL1",1.36891297746285
"KIAA1257",3.45701335592304
"OTX1",5.28457468858779
"CA2",-5.49851663648148
"STBD1",-1.85466711859343
"NRXN1",-6.07941362664591
"TMEM206",1.56336090430229
"LIFR",-3.97045376643928
"PKIB",-4.58347554675248
"METTL1",1.48381144641928
"PAQR4",1.84559146176301
"KLK6",8.0843750833027
"PRDX6",-1.39125824013924
"SLC30A10",-6.9319920198216
"ZNF575",-2.03057696202782
"ASPA",-4.46194319405846
"OSBPL3",1.81745030279269
"ABCA8",-6.41734256829602
"ZER1",-1.27785805414314
"FJX1",2.75757017114596
"CCNO",3.09128838543524
"ENDOD1",-1.67111109101039
"PTPN21",-1.59925683646766
"TTC26",2.0045341559641
"TROAP",2.03771046042045
"SLC39A10",1.81418082304168
"CBX2",3.45383236954986
"SNORD1C",2.50745084288159
"PYCR1",1.83309255120581
"FEV",-5.24963900564787
"MYOT",-4.97397542978318
"GFRA2",-4.43849356539482
"SMPDL3A",-2.75068741725359
"SLC6A6",2.7271465847879
"SST",-6.53168706713305
"CDC25B",2.12820486213801
"URB2",1.26357328700187
"MS4A10",-4.79873307981987
"C10orf2",1.48307165070083
"DHDDS",-1.26715766414683
"ENPP6",-3.98653683879423
"SLC25A23",-1.73648878423293
"NAAA",-2.12559092213403
"SLC26A2",-4.90286380546771
"PYY",-8.69976184829915
"CASP7",-1.7347177799431
"TMEM100",-4.62892162805346
"CDKN2B-AS1",-6.37581247583475
"RHPN1",3.14049347431125
"PDCD2L",1.63093388330728
"GABRD",2.9336993657146
"PI16",-6.27249414630777
"TMEM132A",2.42228879115485
"TEF",-1.82128842235122
"DKC1",1.46202922386911
"AHCYL2",-2.87112716034098
"BMP3",-6.88993717967841
"NOP2",1.41728659313385
"ENTPD5",-2.68936641265556
"ZZEF1",-1.82094628655701
"HJURP",1.76213646319859
"KAT2A",1.50219230772999
"ULBP3",2.30620381288313
"TAT",-4.07753118933964
"MRGBP",1.59684651958061
"MXI1",-1.63735174563767
"GTPBP4",1.17220483584728
"APLN",3.12166955847178
"SCN9A",-4.4667163018708
"ZMYND19",1.39515509068245
"CADM3",-6.20446265724249
"FBLIM1",-1.31944567986434
"PPAP2B",-1.64285223224856
"MIER3",-1.97911575163858
"CGREF1",3.55621413047178
"PDK4",-3.4921141402075
"DHRS11",-2.6597448165455
"RIPK2",1.53906056058712
"RNF152",-3.15836184719326
"CD177",-7.35703906563096
"TRANK1",-2.20774056960359
"UHRF1",2.29248613683708
"PRR7",3.35106990916293
"SFRP1",-5.93875945443555
"GRHL3",4.4814787518953
"CADM2",-4.55829736172631
"SNHG15",1.7549941671602
"ACADS",-2.27269217000552
"CPT2",-1.38345968833034
"KLF4",-2.71055453598943
"POLR1B",1.17978534227448
"SEC14L2",2.40460575638932
"SIM2",3.87414994159626
"C2orf40",-5.44371646957311
"CNNM4",-1.61243941575772
"STIM1",-1.08248874165301
"SCARA5",-6.09637004949859
"EGFL6",3.74872654266677
"TMEM127",-0.943322244198172
"CEP72",2.04701055372394
"LRRN2",-4.32070497096118
"CNTN2",-4.85015877253059
"SLC17A7",-3.49052797522751
"KIAA0408",-6.05568312524297
"TMCC3",-2.5088711008295
"PGM5-AS1",-4.60275237972573
"HILPDA",2.28222116318293
"GLS2",3.23114546535558
"NR3C2",-3.06621080557724
"TMEM72",-5.44220396785923
"SCN7A",-6.19582270683799
"TMEM37",-3.24184458687089
"FHL1",-3.35649287991487
"SLC7A14",-4.86584924138463
"UBE2C",2.10612744997493
"CLDN8",-8.00427762756336
"PRIMA1",-5.97892339824289
"IQGAP3",1.99458244475683
"HADHA",-0.923800554749837
"CMA1",-5.17232137474736
"ACOX1",-1.53028494106833
"CCDC86",1.34482824532572
"KCNIP4",-2.16464735150772
"METTL7A",-2.82524714632101
"XPO5",1.20930186746927
"DDX56",1.05394653589436
"NAP1L2",-4.32267383082674
"TNXB",-4.2727570756098
"SMPD1",-1.87583345488077
"SMOX",2.19051282764822
"VWA2",3.98043462590869
"CIRH1A",1.21521511847311
"SPECC1L",-1.23061672503991
"SLC25A20",-1.61866186431972
"NEBL",2.30921595058713
"RRP12",1.44380397009337
"PLEKHA8P1",1.62516993680193
"COL10A1",6.84253166796749
