"gene","value"
"CDH3",6.36636831664628
"KRT80",6.80612333385348
"ETV4",5.52746376914217
"ESM1",5.86374129447658
"KRT24",-6.71089442219617
"WNT2",5.82724418244082
"OTOP2",-10.1152511741236
"MTHFD1L",2.47511030426568
"AJUBA",2.95353572757199
"FOXQ1",6.19978109965246
"CLDN1",4.75871649537687
"CEMIP",5.31402559515701
"LGI1",-5.75520037506045
"C6orf223",5.3541336372951
"LRP8",3.33156698254993
"BEST4",-6.58316302366481
"GLTP",-1.58792083578951
"MAFG-AS1",2.98948988308778
"GRIN2D",5.10874641262701
"CLEC3B",-4.22230114364984
"NFE2L3",2.63539107453819
"TEAD4",2.38338911234676
"TRIB3",3.72395350824108
"PRSS22",4.51639132383584
"PCSK2",-6.46701711726815
"CA7",-7.39492477592126
"LRRC8E",2.77329444395776
"PVT1",2.9591417566578
"PDX1",4.72740739291415
"SLCO4A1",3.47862452322451
"SLC25A34",-4.1801697212199
"RERGL",-6.14315822930937
"TRIP13",2.30351395807512
"DAO",-5.74941282544506
"EPHX4",4.67542135270837
"GTF2IRD1",2.22211780342394
"MDFI",3.58400144052728
"PHLPP2",-2.45013581503296
"PEX26",-1.85618644277021
"C2orf88",-4.14161757647857
"ENC1",1.96760495294173
"CST1",7.87738211224668
"FIGF",-5.00231659022652
"CPNE7",5.55650029224259
"VSTM2A",-6.22049903225995
"ACAN",4.12598321512607
"PLEKHN1",3.85280687611005
"GCNT2",-4.3221780216565
"MYOC",-6.83449871244775
"SPTBN2",3.21438899936609
"PPAP2A",-1.97704908695689
"SLC7A5",3.0411151923788
"LYVE1",-4.95707074754162
"BYSL",1.56713985516098
"ABCG2",-5.1236176863491
"SALL4",4.68214655104253
"C17orf96",3.42183133468466
"MMP7",7.42545503606756
"FAM135B",-5.33014562010156
"FUT1",2.73942607448504
"FAM107A",-3.87842715138686
"RETSAT",-1.79709810530998
"APPL2",-1.71930700054681
"SPPL2A",-1.79880315981524
"DDX31",1.1986044252032
"PRKG2",-4.52253861972415
"COL11A1",6.52660578644306
"ANGPTL7",-5.67548249179115
"INHBA",4.75133830528245
"SPATA12",3.05901457097222
"CBX8",1.72490179838825
"DDN",4.35542622840987
"PHOX2B",-5.4138275012721
"S100A11",1.90440680340288
"CITED2",-1.84567380121517
"PLP1",-7.01154873607151
"CIPC",-1.32252132671455
"GYLTL1B",4.44776058676003
"TP53INP2",-2.67986809384283
"IL6R",-3.20247300742127
"SPIB",-5.53854134873846
"ORC6",2.4129574409343
"NRXN1",-6.20333707510357
"GLP2R",-4.9701653425672
"RXRG",-4.70189277303035
"ETFDH",-1.9129914171246
"TMEM206",1.56777129111386
"TNFRSF12A",2.5291427309429
"PKIB",-4.58980145205916
"CA2",-5.61429341355393
"PDCD4",-2.00084085801301
"CLDN23",-3.02225760559341
"FUCA1",-1.77923682167252
"CDKN2B",-3.40967068275077
"SLC6A6",2.83330116297302
"MAMDC2",-6.18717082137934
"ASPA",-4.5512462483848
"SLC22A5",-1.72167226848394
"SCGN",-6.51478727808622
"UGP2",-2.15108053080094
"CNNM2",-1.59714416149808
"METTL1",1.47915074219813
"LIFR",-3.98230610689186
"KIAA1549",2.31594486663781
"PLCD1",-2.19219515536682
"ENDOD1",-1.73306711059395
"SLC36A1",-1.83856427442197
"RUVBL1",1.3633611965293
"SMPDL3A",-2.76726571365409
"C10orf2",1.52396646669094
"USP2",-4.05216557853142
"KCNIP4",-2.45157662601252
"CBX2",3.49175037687518
"PGM5-AS1",-4.89563741303905
"TMIGD1",-9.06940943130775
"KAT2A",1.55712252852144
"PYCR1",1.86864200505981
"PPM1H",2.18724447608632
"KIAA0408",-6.4271433372375
"TMEM100",-4.58808414301729
"GUCA2B",-8.39724460894499
"CGREF1",3.53669838159307
"SST",-6.64101250705072
"ENPP6",-3.89167292374968
"OTX1",5.14919360472273
"NOP2",1.46263081808509
"GABRD",2.9882920337908
"ABCA8",-6.29358501761827
"URB2",1.29502360619311
"SNORD1C",2.54167269786682
"KLK6",7.92355585517483
"CEP72",2.0984288104579
"CMA1",-5.32062979113061
"AUNIP",2.21896692081381
"PRDX6",-1.40652013533214
"PDK4",-3.50112637658032
"DKC1",1.45891261275956
"GFRA2",-4.33026668999132
"PAQR4",1.87738278566525
"FEV",-5.2791608356462
"APLN",3.15545479511751
"MRGBP",1.6267657382746
"CADM3",-6.23002042645358
"PTPN21",-1.59435982292523
"PI16",-6.21628605211092
"VWA2",4.07884744282507
