"gene","value"
"TPX2",3.92279179971608
"NEK2",4.26245437424914
"BUB1",4.00098639141426
"UBE2C",4.11377336646739
"BUB1B",3.91524917735801
"KIF18B",3.87193032560821
"NCAPH",3.82818532799058
"KIFC1",3.5280981337264
"CDC45",4.35900256140164
"KIF2C",3.62310073854526
"RAD54L",3.57636399075394
"EXO1",3.86697878064821
"NUF2",4.01232424266638
"DLGAP5",3.98116341797511
"HOXC9",5.62858060610397
"CENPA",4.19577795107972
"CLSPN",3.32949289553941
"CDC20",3.92648525371653
"CEP55",3.74708208235608
"KIF4A",3.77459107828102
"KIF14",3.94873106504014
"TROAP",3.71299519039334
"MELK",3.75315459659967
"CDCA2",3.69717831958724
"CDCA5",3.51688860140224
"GTSE1",3.36478989582121
"MYBL2",4.20703704413789
"ASPM",3.83794317030692
"UBE2T",3.27471257977731
"CDC25C",3.90683690601251
"SGOL1",3.4649190855711
"ORC1",3.8068358389301
"AURKB",4.11539825128643
"WDR62",3.48282890788612
"BIRC5",3.82499052331398
"MCM10",4.0562565931745
"NUSAP1",3.40878710673285
"CHIA",-9.47095069119192
"MTFR2",3.55757465231446
"KIF4B",3.73588058661947
"NCAPG",3.34135435236424
"KIF18A",3.33692013560701
"CCNB2",3.97487322062763
"HJURP",3.65080352759564
"KIF11",2.9533701614506
"FANCA",3.01801268986232
"PLK1",3.35801863221573
"CDK1",3.16579970615393
"SKA3",3.56222864581261
"KIF23",3.12208328173163
"ASF1B",3.27939260633778
"CKAP2L",3.4548529015914
"STIL",3.05761367394728
"MAD2L1",2.86197493953795
"DEPDC1",3.47732232516063
"KIAA0101",3.46582888464822
"CENPF",3.45019037957245
"CCKAR",-7.85815772650008
"RRM2",3.53562349645973
"HOXC8",5.20375395120314
"MKI67",3.42234154609892
"SPC25",3.02834389188115
"KIF20A",3.82995958266268
"CDCA8",2.99832573072352
"PKMYT1",3.9580273026665
"UHRF1",3.27400513324686
"SKA1",3.34047841387707
"IQGAP3",3.41993003135758
"KIF15",3.35124613571891
"SPAG5",3.08959732412293
"PTTG1",3.34566104744805
"BLM",2.95389750441457
"DTL",3.27353923695771
"CCNA2",2.90733866394282
"FOXM1",3.38169435391943
"POLQ",3.37508852602475
"CENPM",3.13248170948215
"RAD51",3.06918346108512
"CDKN3",3.13098166139263
"FAM72B",3.1481246499127
"PBK",3.37528521826198
"CKS2",2.75307022096649
"CDT1",3.27441114631033
"SHCBP1",2.95925623982111
"PGA5",-11.8325767695421
"ARHGAP11A",2.67037595638402
"CDCA3",2.93998140880658
"HMMR",3.3080912158666
"TOP2A",3.83803956216696
"NDC80",3.27165324311003
"CENPI",3.17967294136339
"PLK4",2.61528373749961
"OIP5",3.24227858287868
"STX12",-1.74735375204114
"HOXB7",4.3004489356422
"CDC6",3.54966850980991
"PRR11",3.26679016113142
"SPC24",3.34617843842667
"MND1",3.15547030123934
"GINS1",2.88314726250987
"CASC5",3.21289492103115
"DDIAS",3.16899507035123
"RAD51AP1",2.956086162938
"RECQL4",2.83370103615359
"HOXA10",5.33950366947694
"CCNB1",2.86430157246796
"FAM72D",3.19122049015724
"C16orf89",-7.73750099697174
"AURKA",2.7027168676447
"PRC1",2.58824847601475
"SGOL2",2.38197490500229
"FAM72A",3.57676192470487
"HOXC11",6.11505644205962
"E2F7",3.92364249030278
"CENPK",2.7431301938605
"C17orf53",2.80138970258655
"ANLN",3.21308082177855
"CKAP2",2.4837074023433
"ORC6",2.68307821189318
"CDCA7",3.34409294165091
"CENPE",2.72014157027603
"C16orf59",3.08898395053221
"ECT2",2.70305952479777
"CCNF",2.41050333543832
"RCC1",2.99633310663315
"ATP4B",-9.83895898851166
"RGMB",-2.41743242373744
"EME1",2.53679783539996
"KIAA1524",2.68851333435264
"LMNB1",2.41438867327229
"GSG2",2.63599377332382
"TTK",2.85800604425711
"TICRR",3.08389232145148
"HOXC10",6.38858697888208
"PARPBP",2.47033717795921
"FAM64A",3.35480256954674
"KPNA2",2.16624003224275
"MIR4435-2HG",2.42660001465098
"CRY2",-1.72540167942446
"DEPDC1B",3.06489584105637
"GPR155",-3.85624112792403
"ESPL1",3.24513182242193
"TRIP13",3.09087327571196
"ERCC6L",2.59426980257406
"ATP4A",-10.3656868015835
"HOXC6",4.08362309306844
"FANCB",2.47553357755526
"CHEK2",1.9472992872206
"BRIP1",2.69409180698556
"NEIL3",3.65527097886607
"TACC3",2.35379911891442
"PGA3",-12.4248415950371
"CCKBR",-7.80110187000398
"CKS1B",2.15015727745631
"TRIM50",-6.72816023400091
"HELLS",2.33211326707378
"ESCO2",2.94388744772083
"NKX6-2",-6.36487390861037
"TIMELESS",1.99439708601583
"GINS4",2.76392333346889
"ADIPOQ",-5.94086175965828
"FANCI",2.18913536091561
"CCDC150",2.96664549701309
"FAM111B",2.84110033243458
"CHEK1",2.16251447936124
"HIST1H2BH",3.39669211309691
"TK1",2.6612436981258
"C1orf112",1.70736147457808
"GINS2",2.87311652110077
"EZH2",2.10431629221626
"CLDN7",4.58002677140446
"CKMT2",-6.51431308188957
"RAB11FIP2",-1.77204409900021
"WDHD1",2.34727225820023
"RCC2",1.74833481691234
"CENPW",2.64930976985774
"POLE2",2.37958825568005
"ILDR1",4.26816218661682
"MTURN",-2.50735953136547
"MCM2",2.71634296412231
"UBE2S",2.30338667875382
"ARHGAP11B",2.32648545340555
"TBC1D31",1.85065932999657
"PGA4",-12.8543148874774
"TRAIP",2.08058203886483
"CKB",-4.07816892389044
"LAMP3",3.85469976846216
"MMP12",5.41633330353785
"RNASEH2A",2.06691015218192
"TDO2",4.45242707459645
"GHRL",-6.39408489938824
"SIK2",-1.82035222657824
"SLC25A4",-2.36176064624255
"E2F2",2.79434438459829
"BRCA2",2.46177429488885
"FANCD2",2.35300840931213
"ESRRB",-5.02644022585951
"ZWINT",2.29129126298214
"KIF22",1.63192308911389
"PIF1",2.32148211190795
"CKM",-5.95231688443265
"ATAD5",2.09309560344813
"MCM4",2.26587957583522
"GPER1",-3.80521622352901
"LINC00152",2.21540899397555
"CDC25B",2.46333161038663
"CAB39L",-2.75306603712685
"XRCC2",2.61374278231539
"KNTC1",1.83492965528618
"TYMS",2.42019463160384
"TRIM59",2.13288246571174
"AQP4",-7.31233104001651
"F12",3.53921296622421
"MTBP",2.11380964395686
"GKN1",-10.6366724196109
"ULBP2",4.74886585055776
"NUDT1",2.22906743975608
"CTIF",-1.93440185728418
"RMI2",2.5373717127452
"PVT1",2.5282133948287
"DDX39A",1.622623759688
"LIG1",1.59853033941224
"PCNA",1.8914834860832
"ALAD",-1.56914641685319
"LINC01105",-6.35231239142173
"FAM49B",1.57483289136135
"HDC",-4.76637240258093
"MTFR1L",-1.2524345983006
"ESRRG",-6.38937403782563
"MMS22L",1.60855138980301
"RHEBL1",2.89741984295575
"E2F1",1.95048721746994
"B3GAT1",-5.10075841521816
"BRCA1",2.00605467517195
"FEN1",1.84835636280341
"TMEM132C",-5.54330428319358
"SH3GL2",-6.69461019050664
"MLYCD",-1.34775025944976
"ETV4",3.75361388554337
"OTX1",3.43833396731115
"CLCNKA",-5.63026993911781
"DNA2",1.99805582928556
"CELA3A",-4.94747230110918
"AUNIP",2.23574375777999
"NUP62",1.02218141517494
"GRIA4",-5.07213377527342
"SMIM11A",-1.79855357838285
"P2RY14",-3.4681500848539
"RACGAP1",1.75318767917395
"KIAA1191",-1.1764143059675
"KCTD8",-5.2758384369871
"FNDC5",-3.90369786808401
"PRIM2",1.46127042491099
"LRP8",2.97279501830435
"HMGB3",2.23024107973558
"ZWILCH",1.60924931912066
"ETNPPL",-6.43054817204516
"DPT",-4.83835987895067
"IBSP",5.30648116661756
"POC1A",1.96117960694325
"MRGBP",1.40877705341331
"TONSL",2.08019934523166
"POLD1",1.52517919054491
"SYNJ2BP",-1.3820239144552
"ALDH6A1",-2.14306076144327
"GPR146",-2.04521912948539
"SIGLEC11",-4.99936749614621
"PBXIP1",-1.70552937356285
"CTHRC1",3.60928214960796
"CBX3",1.34822566473872
"GIF",-9.56752533412764
"STMN1",2.14446328981979
"HIST1H2AM",2.89871622446244
"APOC2",4.4088659980651
"CADM2",-6.08187997487313
"SAPCD2",2.71728164429079
"CENPU",2.07574593675633
"SLC1A2",-4.3697997291708
"TMEM161B",-1.4370779338577
"ESM1",4.05775583513699
"PLCXD3",-6.56759258529016
"SNX10",2.6588308479097
"P2RX2",-4.92318653571796
"KL",-3.47973028176598
"KCNE2",-6.19488679787434
"NME1",1.78360079021621
"TTYH3",2.09760545875205
"C3orf18",-2.57939106206643
"LIPF",-12.1551342559016
"IGF2BP3",5.23350101211335
"RFC3",1.77429481310738
"DUSP19",-2.17182608373419
"SIDT2",-1.67044906241066
"LMNB2",1.75853828404228
"MDFI",2.95190038093226
"MTHFD1L",1.75347556771387
"CST1",6.70451067044958
"CENPO",1.65371061721263
"SLC5A7",-5.55909167941755
"GABRD",3.55969658820056
"HDGF",1.2751078224982
"ACAT1",-1.65592581525086
"CLEC3B",-3.55663360831946
"RBL1",1.74492479322188
"CENPL",1.44139579580129
"RBPMS2",-3.75870269237156
"PRR7",2.37675854982791
"FAAP24",1.80071175720637
"SST",-7.36874189901686
"PLA2G7",3.2265415311438
"GPRIN1",2.47199056184814
"PTGER3",-4.46102938881942
"GKN2",-8.51404932789202
"FAM107A",-4.36780058913346
"SECISBP2L",-1.39300074626212
"FOXD2-AS1",2.51633207983717
"MYOC",-7.8503173956101
"TEAD4",1.74401880087701
"DKC1",1.33091361452634
"CHRNA1",4.17863572111383
"HIST1H2BO",3.25465210044115
"RAET1K",2.61542847962702
"C14orf159",-1.50966276582425
"TMEM206",1.59134921443174
"LEPR",-2.83534247264844
"ZHX3",-1.42281425401287
"TMC6",1.60955405964903
"CENPH",1.91103520136728
"CHAF1B",1.86957160872225
"CDCA4",2.0048473517016
"SALL4",4.20042427402799
"LRFN4",2.0651435097362
"HIST1H1B",3.11749612604699
"DPP10",-5.42628000239532
"CBFB",1.26533252976856
"GNG7",-3.45150107110214
"PI16",-6.5281927430433
"TMEM191A",2.58292251451908
"RUVBL1",1.55185474399001
"CHTF18",1.7000815542382
"RFC4",1.93896936953935
"HOXA11",5.1623604103253
"HN1",1.73781052465343
"PRIM1",1.69539357004015
"MMP11",4.57250791269955
"MYRIP",-5.12070787892529
"KIF20B",1.72401321437319
"CIRBP",-1.20056051721632
"TMED6",-3.69057269707208
"SH3BP1",2.43134613329132
"XPO1",1.018175513122
"ASPA",-4.70443701698911
"DBT",-1.39634632355489
"FOXP3",3.06492074031565
"ZBTB16",-5.74562540727028
"CBX7",-2.12051036126626
"DLEU2",1.87016518620623
"UCK2",1.25948349939368
"BCL11B",2.91849941696925
"AFF3",-4.3039841546365
"CXCL8",4.41862631388826
"NCAM1",-4.75688097606585
"GSTM5",-3.44080047864187
"ACADSB",-1.86466635670596
"DNAH3",3.41996144747039
"CDH3",4.2984545721956
"CDC7",1.7642616810883
"RAE1",1.10639679894858
"BID",1.51009005372881
"DSN1",1.37576720245724
"DLX4",3.52070664508637
"CKLF",1.63101028156983
"BCL2L12",1.40377596427323
"TNS2",-1.98841876539778
"ACO2",-1.14900626833617
"MMP1",4.93153503926638
"SNX1",-0.845808956801708
"BAX",1.23430871773874
"E2F8",2.53487060573802
"RCAN2",-2.82313926374425
"APOBEC2",-3.34372242888678
"MARVELD3",2.59419450154647
"SPDL1",1.39551160586605
"DNER",-5.85877980746103
"SLC16A13",1.9869012891881
"CLDN4",3.99373395890641
"ERH",1.0537265451128
"DTYMK",1.4116605856965
"CENPN",1.35992739536282
"DBF4",1.68157017665486
"ACTL6A",1.51489836104666
"FHL1",-3.4077806254893
"CDC25A",2.07838614399795
"DSCC1",1.82554784406103
"SNRPG",1.31055844879169
"CHAF1A",1.38078983661405
"RAD54B",1.84924739886383
"FAM110A",1.78495579067203
"PRX",-1.68292651003685
"DNMT3B",2.74393630384607
"PPP1R1A",-5.80296496160261
"SH2D2A",2.12759708174948
"PLP1",-6.2951528785195
"MT1M",-4.82613931080297
"CARNS1",-2.99815584979423
"HSPB6",-4.29141837840665
"PCSK9",4.35730556415558
"CPA2",-7.11195744367554
"ULBP1",3.69493427101817
"C2orf40",-6.41803774271911
"GRIN2D",4.15447841754884
"FAM135B",-4.68328507948482
"CGNL1",-3.6015170854427
"DNMT1",1.34491076774177
"SPHAR",-1.32496869852947
"HIST1H1D",3.22383752606213
"HIST1H2AE",2.86140857704511
"TAP2",1.52200275736541
"MICB",2.72861788273459
"RAB27A",-1.61903315920454
"FOXN3",-1.33226899357029
"HMGA1",1.97303833416028
"KLF15",-4.52523831394299
"GREM2",-5.22915208422718
"TUBB",1.28216165900925
"DDX12P",1.69641981731495
