"gene","value"
"CAB39L",-2.2714349924211
"MYOC",-6.51026587300529
"ADIPOQ",-7.64059419280435
"GPRIN1",2.40564852980607
"COLGALT1",1.47104246754381
"HOXC6",4.43736188992139
"PLIN1",-5.21485294954885
"GPD1L",-2.63219696674489
"HOXA10",4.42494836445156
"CDCA5",2.11277390742244
"GPD1",-4.92502818925501
"MYBL2",2.35346966555599
"CENPA",2.21523587314938
"HOXD11",5.98614647335541
"FOXM1",2.21619199880468
"KIF2C",2.09441950669709
"HOXC9",4.43889676124472
"CIDEC",-4.8720941555282
"NUCB2",-1.83765016819422
"NRG2",-4.29358467984448
"ZIC2",4.73084056319114
"FOXD2-AS1",2.35054318680917
"PLK1",2.068634292252
"COL4A1",2.8607436752568
"TPX2",2.07805918273133
"AGFG2",-1.90504879173815
"ZIC5",5.59069808474248
"KIF4A",2.0478998089093
"HSD17B6",2.2951913519483
"CEP55",2.17471884576661
"EME1",2.06056693534528
"CA9",6.19252628104965
"ETFDH",-1.42266824321523
"UBL3",-1.58530904969978
"HOXC8",4.55132361620249
"SH3BGRL2",-4.07999183201509
"ESM1",3.52921595425383
"KIF14",2.3006066772451
"EXO1",2.0575924887396
"COL4A2",2.58558270387882
"C6",-4.9233087169031
"SMR3B",-6.337170634285
"NETO2",2.06605977652952
"COL13A1",2.68799072785098
"AUNIP",1.86497030570685
"KIF18B",2.03834388048934
"PKMYT1",2.22641131294204
"NDRG2",-2.89672234191984
"CDC6",1.93865067758447
"UBE2C",2.09109065876789
"MFAP2",3.14347061266017
"CRISP3",-8.59754189103874
"AURKA",1.82287807923057
"HJURP",2.07743182917729
"LOXL2",3.13010981126749
"FAM107A",-3.79417978644267
"MMP9",4.12044373715753
"IL11",4.16979173248477
"MMP11",4.69714965556419
"GTSE1",1.92797814424693
"CDC45",2.07765501949991
"HMGCS2",-6.19852041179947
"ADH1B",-6.76756664879042
"BIRC5",2.18110396845409
"AQP7",-4.47327695337212
"EDN3",-5.70185941138366
"SPAG5",1.76694747159883
"RAD54L",1.91049349962565
"ADAM12",3.81237657533884
"ORC6",1.89341707162036
"CDCA3",1.9334433927689
"NFIX",-1.86050889748123
"PLIN4",-4.18343587084944
"SHCBP1",1.73849723561391
"KIF23",1.75609800937537
"CCNB2",1.84289193443608
"DLGAP5",1.95121550429685
"TROAP",2.04900252176786
"SUCLG2",-1.13101286864022
"DTL",1.92775216527924
"BUB1",1.82107704902744
"SHOX2",3.20445573930291
"KRT40",-4.52119669127402
"C1QTNF6",2.878033219095
"STC2",3.10151432856425
"DLG2",-4.47969151364383
"CDCA8",1.77273522870949
"CIPC",-1.31345857423002
"TMEM132C",-4.68673189380293
"CTHRC1",3.42465151856485
"CENPO",1.43829648891155
"MMP12",3.99440816707091
"CYP2F1",-5.4971238910211
"COL10A1",5.22353557902793
"KIAA1524",1.80999422509349
"CLEC3B",-2.96232389508768
"TK1",1.87251687233028
"MTFR2",1.77477495057617
"TGFB1",1.62036529562141
"WDR66",2.65871112518203
"CDC20",1.93617652560223
"MAP4K2",1.39780895742769
"BMP1",1.72009613427971
"GJC1",2.75487473347061
"CD276",1.8471677278806
"HOXC5",3.58353006374996
"NEK2",1.91930965930672
"FAM72B",1.79774001013313
"KPNA2",1.33014623635625
"NCAPH",1.73066786577503
"SNX10",2.2338128265936
"GYS2",-4.59001310387135
"MPC1",-1.434208948884
"C16orf59",1.92649811908641
"TRIP13",1.88003709518754
"UHRF1",1.8622744471393
"SLC27A6",-5.39279349940316
"AURKB",2.05535546184934
"FOXD2",1.93004938484691
"MMP1",5.46177276619899
"SERPINH1",2.1370927306745
"COL7A1",2.41526805046712
"FZD2",2.11287657250402
"RAD51",1.65385385864865
"KAT2B",-2.05018337437084
"PEBP4",-4.9610426826152
"ARTN",3.42158034408825
"SH2D2A",2.19848067746454
"HOXC11",5.01672577537478
"ALDH9A1",-1.29861092196084
"HOXD10",3.99746868537764
"TTYH3",1.81040155341553
"TONSL",1.74377065587587
"CDC25C",1.93708666229518
"HAPLN1",3.45291896915278
"BMP8A",2.59876949723082
"DEPDC1B",1.88702539656643
"FAM72D",1.86147461231715
"SLC26A6",1.37574892294914
"MELK",1.99869222827573
"NCAPG",1.61937755895335
"FMO2",-5.27395636891293
"FAM63A",-1.54906905692941
"HOXA11",4.45114360361919
"PTK7",1.59752185786771
"LAMC2",3.49064947093404
"EMP1",-2.52144409273379
"SPOCD1",3.42201360446144
"DPCR1",-4.14990186097479
"NDC80",1.83973338769685
"GPT",-3.5130279951595
"CAPN5",-2.4087015122138
"ARSF",-4.9632913404145
"RRAGD",-2.66482588644533
"PPEF1",3.3980527350617
"CAMK2N2",2.47548369875637
"KIF18A",1.78644684834315
"CPEB3",-1.82172340138215
"GNA12",1.38470027129458
"RMND5B",-1.29941618606574
"ARHGEF10L",-1.67728705471393
"CRY2",-1.1255582420071
"C11orf84",1.35031709661015
"CDH24",1.59321129846742
"CGNL1",-3.49709511594028
"KIF4B",1.70821282448657
"MTBP",1.63010450885953
"BUB1B",1.73898402266611
"PLAU",2.54888188003741
"TPCN1",-1.16127858922513
"P3H1",1.73137766059476
"MRGBP",1.21033843534408
"COL1A1",3.63204552438921
"E2F7",2.25777191765488
"NUF2",1.79847317507453
"ABCD3",-1.00881945680098
"RAD54B",1.54043508497209
