"gene","value"
"RALYL",-9.07083021396326
"UPK1B",-8.13994479196593
"UGT3A1",-10.6974114566728
"MYH8",-7.97250199838041
"UGT2A3",-10.1792609058869
"TMEM207",-9.13198353817727
"SLC9A3",-9.27587092963999
"UNCX",-6.37173918399371
"IRX1",-9.28419169157752
"PTGER1",-8.65358573864314
"DACH2",-6.14237661542176
"GP2",-9.28681070622192
"FBXL21",-6.16022039190545
"CLDN19",-10.9402286220398
"SEMG2",-6.49451040096492
"AQP2",-12.9971667546833
"DACT2",-7.68662674650545
"SLC5A8",-8.261228143709
"GABRA2",-8.88547811001759
"NAPSA",-7.24663106605934
"SBSPON",-5.34627366663
"VGLL1",-7.98349248008738
"FUT6",-8.54949945301059
"LHFPL3-AS2",-7.69654755960424
"MORN5",-5.39598019947592
"SLC25A48",-7.49781081150122
"LINC00602",-5.38255372419808
"FOXJ1",-7.49602856546156
"VIL1",-8.28808022680082
"SLC12A1",-13.2366407179993
"C5orf38",-7.33885952118824
"RBP4",-9.08915438902406
"TNNT2",-8.08211504456707
"IRX2",-8.79126794769811
"CYP2B6",-7.59509109278121
"EDAR",-6.11848102018336
"PDZD3",-7.32100563241386
"UMOD",-14.7671225788403
"TSPAN8",-10.1358685691237
"FGFR3",-7.06104265346378
"HAGHL",4.29154253950296
"NAT2",-5.39612211003001
"ABCA4",-7.49180648567867
"FIGNL2",-5.37947694345815
"TRIM15",-6.78088259357286
"ACSM2A",-9.63674722670829
"CDHR5",-7.67797047177854
"SPNS2",-4.31359158182877
"LRRC48",-3.57836433164113
"TYRP1",-8.28274922410661
"FRMD1",-7.16053171916313
"SLC13A1",-9.01373642219969
"TREH",-7.5252075681357
"SFRP1",-8.01537637688735
"SLCO1A2",-7.05457507849147
"WDR78",-4.48794071348566
"SLC13A2",-8.80589002534022
"C2orf73",-5.11675484862692
"CLDN16",-8.47976733375211
"TCF21",-5.87064303779785
"CLPB",1.73891999565963
"LINC00473",-7.98130696306653
"ACSM2B",-9.71339012228046
"MAPK15",-6.2795062358395
"KBTBD11",-4.10566479667462
"RNASE4",-3.73845548832801
"IGFBP2",-3.95208642102687
"GPM6B",-3.87220011365226
"TMEM252",-8.27991696126038
"FAM81B",-6.02233502453563
"DYNLRB2",-5.35542228276131
"ITIH2",-5.59278843510734
"MTNR1A",-4.59151966690876
"HRG",-10.1847074938386
"SCNN1G",-9.9076962337277
"HS6ST2",-8.79899153836667
"GLYAT",-9.3632944362211
"ACMSD",-9.25597377002886
"SLC23A1",-6.76268893374224
"ARMC3",-5.05859159201821
"EPHA7",-8.23965327632672
"KCTD16",-5.21718919744453
"TEKT2",-6.06510716668819
"ALPI",-5.51740251018266
"TMEM82",-7.2105743413511
"ALDH8A1",-6.45549310221796
"AGXT2",-9.24913633023064
"ANKS4B",-7.08464561153637
"C10orf107",-5.10913148725255
"NAT8",-9.34647674941036
"TDRD1",-5.94412197190167
"GBA3",-8.52730719053297
"NTRK2",-5.78637751497103
"SPIRE1",2.3994720836273
"HCN2",5.8087384455202
"CNNM1",-6.83127565282845
"AMBP",-5.64178986345093
"NTN1",3.98840865376038
"TRIM10",-5.94626591704928
"PRAP1",-8.32652080034104
"AURKA",2.62584492020666
"KLK4",8.51129337853081
"PROC",-6.17389399285074
"SLC5A10",-6.44433101859819
"NET1",-2.21348039683567
"SLC39A5",-7.84387287350725
"IL17RB",-3.37483487360339
"SLC17A1",-8.4878787624829
"PRODH2",-9.05823891564714
"SLC22A11",-8.08487081640188
"LYG1",-5.48451610628366
"SLC6A18",-7.18641403248388
"TLDC2",-4.3169182154571
"TAL2",-4.7296919360891
"DDC",-9.12225494118223
"SLC7A9",-7.41394253691957
"SORCS3",-5.44061240654911
"ACY3",-7.22821921872279
"CLRN3",-6.85339960480246
"EXOC3L4",-4.97823171254184
"CYP4A11",-9.07360320092275
"CFAP43",-4.68462370577994
"DZIP1",-4.85926964543981
"TM4SF5",-6.65175190630557
"PLG",-9.33900007761058
"ATP12A",-8.66272037548736
"SLC22A12",-9.48639001069991
"KLRG2",-7.408646089097
"C21orf62",-7.4481208839039
"A1CF",-6.36662072365101
"IQCD",-2.48427880734923
"CNTN1",-8.20612918610906
"DRC7",-5.31806889926968
"CXorf57",-4.96140348035923
"LINC00488",-5.82806491511258
"HS3ST6",-5.44091974236787
"UPB1",-6.10961689887391
"NTS",-6.04600175984747
"PLSCR4",-3.03262059488951
"GGTLC1",-5.10929686446121
"GADL1",-6.01328341782645
"NPHS2",-9.72295284754122
"PARVB",3.356218161393
"FGFBP1",-5.49062414590079
"DPYS",-8.32678541035157
"DIO1",-7.55202642808762
"ALPK2",-7.03032212268877
"AFAP1L2",-3.66150846970006
"EFCAB12",-4.48020704480281
"HAO2",-8.5941949267067
"PKLR",-7.70174919474035
"RSPO1",-4.71821469018386
"BBOX1",-8.18615640006778
"CTXN3",-7.58170235519008
"KLKP1",6.56475433921394
"PITX2",-5.15478694489484
"CUBN",-6.09917573023802
"SLC15A1",-6.92009268890585
"AJAP1",-5.24803835301787
"PRIMA1",-5.68590734211782
"SLC6A13",-6.45121650457743
"FLRT3",-5.11072726605501
"ABCB1",-6.27936740359205
"CXCL14",-9.32955412172301
"DAO",-7.84186901587207
"RIPPLY1",-5.28212710906518
"IL22RA1",-5.20564126129619
"BPI",-5.25973190564083
"NPR1",-2.75918039137892
"MT1H",-8.24917754237651
"DTX1",-4.85806036301059
"GPRIN2",-6.63386754592713
"DNAAF3",-4.22678879715979
"ZNF185",-3.17380516328316
"CALB1",-8.35105074522758
"TANGO2",2.36911297184731
"IL5RA",-4.34644671002428
"WT1",-7.9422519145371
"SERPINA6",-8.31973944858306
"WT1-AS",-5.43294032492406
"C1orf186",-6.36226164869272
"SLC28A1",-6.63971612951554
"MT1F",-6.00405547245663
"SIM2",-6.38144418814536
"EPS15L1",1.28024700029425
"CLDN2",-6.34114611405435
"GCM1",-5.18996005532907
"E2F1",3.59480056133897
"MBL1P",-4.57180418659896
"UNC93A",-5.26550124088832
"KLK3",6.86804527646656
"ZCCHC16",-4.73972907603873
"CCDC103",-4.19122006150296
"SLC10A2",-6.74672662457596
"PLCB1",-3.75315004729038
"FTCD",-7.50568583649461
"PHKA1",2.87978111675851
"ITM2C",-3.57052296084793
"GPC5",-6.95372647951513
"OR2T10",-4.6589282873022
"CASC1",-4.07790657137111
"LHFPL3",-5.27598485806261
"CHRNA4",-5.82366564626509
"KLK15",7.70843883870764
"LGSN",-5.56411903379504
"SLC16A9",-6.49181239181116
"KCNJ16",-9.76303841706
"ELF5",-8.07281543365642
"CATIP",-4.68932270048283
"LINC00908",-4.47499980451647
"PAPPA",-4.87177326755272
"FOXC1",-3.93472183537744
"LGALS3",3.02792460458357
"FBXO15",-3.78695598429479
"SLC44A4",-5.20687897477129
"MTMR11",-3.33738825064709
"SERP2",-3.7743102098002
"WNK4",-6.27575018473984
"SLC5A2",-7.81665109833377
"B3GNT3",-7.12356455438675
"NECAB3",2.09504037050851
"CYP4F12",-4.833652956424
"SLC15A2",-4.93693572812034
"SLC22A7",-7.91089138827761
"BHMT",-7.74455336066538
"NDNF",-7.60513643209761
"CDH9",-5.41487920902509
"AQP1",-4.07400634852489
"SALL2",-3.96621147456487
"TMEM37",-4.70420524830999
"GALNT14",-7.03328169431383
"TUBAL3",-5.5829176543231
"CCDC176",-1.70579032125204
"EFHC2",-6.02586380830169
"RASAL1",-7.25712907433521
"SHMT1",-3.73078936034911
"AOC1",-8.31587052258153
"GPM6A",-4.67035370987261
"NAT8B",-5.66485539500613
"ANGPTL3",-7.30738060672714
"ACE2",-6.12548188936834
"ANG",-3.3183240070858
"SYNGR3",4.88939134623213
"TMEM176A",-5.35806419693782
"PRICKLE3",1.44351599739918
"OLFM3",-5.07034504125618
"MT1G",-7.32429133653089
"SLC17A3",-8.23496593350432
"CTSD",2.10519697613297
"SLC16A4",-5.46383874422124
"FAM35BP",-1.54545782464515
"DPEP1",-8.13670096376686
"C19orf48",2.23737510317017
"TMEM117",2.30385756012561
"PRUNE2",-4.52609828968876
"UTS2R",-4.36598281977016
"DZIP1L",-4.07225468529045
"NXNL2",-4.50790029361071
"SLC22A6",-9.01348144165261
"RASL11B",-6.23869984020402
"CAPN6",-7.43063512274091
"MGC27382",-4.69337408478977
"SOST",-7.13690175073575
"AKAP5",-3.84969026345111
"GAL3ST3",-6.83190750286646
"CHP2",-5.07041060328026
"AFMID",-3.67820755609345
"ENPP6",-6.11283346540648
"AMPH",-5.49029628923606
"NCR3LG1",3.22447719805285
"CYP2J2",-5.14366777652789
"ANXA13",-6.541829634348
"STK39",2.35253620711434
"ARSF",-6.09524702728004
"SLC36A2",-7.7311883522522
"VTCN1",-6.96100684005366
"GGT1",-6.24244045207446
"SPON1",-6.04517786493403
"IQUB",-5.38638323335022
"SLC6A19",-8.6919701814415
"ROS1",-5.56542695950458
"ZNF69",-2.11579005199101
"GALNT18",-2.68984996382307
"SPOCK2",-3.30455214620294
"GRSF1",1.07266000046819
"SLC38A1",1.91759900772867
"GLYATL1",-7.3801635076257
"MYOZ2",-4.40915933883463
"GDF7",-4.39702441596818
"LINC00265",3.48740134881458
"TBC1D1",2.14144560155496
"CCDC78",3.57479710025031
"PWRN1",-4.31593501714923
"TMEM176B",-4.82806955834404
"ARHGAP29",-2.22243297108982
"USP44",-4.79663706357017
"SLC47A2",-6.86409781986657
"NME7",-1.78757858457404
"COX6C",2.26817074249669
"SNX24",1.60156226813961
"CASC10",-3.13959409029317
"CHRD",-3.41276801606977
"ITPKA",5.47808645315368
"FCAMR",-6.64881513424593
"LGALS4",-5.18675952105071
"DNAH7",-4.78753775486282
"FAM35DP",-1.59991589056612
"AKR1C3",-4.23089951118349
"SLC17A4",-4.96244866837178
"TMEM169",-4.50649253290777
"CCDC173",-3.74685248105497
"RALA",1.77576315437737
"SLC38A7",1.46328476215917
"ME3",1.88793390627438
"WNT10A",-5.46947576396054
"CARHSP1",-2.03033294779418
"SOD3",-4.86991393357044
"ARL3",-1.36385305184993
"THPO",-4.2846227786135
"BAIAP2L1",2.10621222006672
"CCDC146",-2.23790485497256
"TCEAL7",-2.59699014335911
"KIF6",-4.87891903673066
"WNT9B",-5.73994800958159
"BLOC1S5",-1.81316390070982
"ATXN2L",1.25193419166465
"FGFR4",-5.50076662147525
"ITLN1",-7.35789614392652
"ARHGEF33",-2.47772117027417
"SPEF1",-3.67365103559003
"PACS1",1.57176024418372
"G6PC",-7.9964566159752
"NEK11",-4.12720220788151
"ZYG11A",-5.38359034290506
"FSIP1",-3.62982097699276
"SOSTDC1",-7.32861154261799
"HAVCR1",-5.73606957360421
"NSUN4",-1.16602244246831
"SPTBN4",3.68514000337044
"LONP1",1.41496271893335
"GSTA2",-8.43641858678078
"LIX1",-6.80476636341012
"COQ2",1.58803119841304
"KCNK2",-5.87567072878433
"PIPOX",-5.46093533455464
"GABRP",-5.32829128723102
"MNS1",-3.54220098565478
"TUBA4B",-4.44783164152151
"TNPO2",1.19369152302946
"TSNAXIP1",-3.16481982616606
"IFT88",-2.27147254921008
"BSG",1.93295776638038
"LRP2",-8.24726392807647
"ENPP7",-5.29902552994652
"LEPR",-2.91300891134794
"GYG2",-5.8409178990495
"CDNF",-2.85989802430053
"VEGFB",1.90632310588866
"CLDN10",-8.93073722413756
"VWA3B",-4.29785872274474
"FABP1",-7.80177592240301
"C2orf81",-2.8923083055664
"PON3",-5.87014223551387
"CRYAA",-7.33464072346224
"DOCK11",-3.58059424306511
"SYVN1",1.40631850121892
"ODC1",-2.16228555047932
"TFAP2B",-9.09974497739245
"NRGN",-2.38176221769816
"FGB",-6.76067011723449
"GSDMC",6.83969256598006
"FMO2",-6.07032834306596
"SLC22A17",-3.80125947710728
"LRRC19",-6.38163709844672
"TRPV5",-5.20172267572551
"ABCC2",-4.40092193395994
