"gene","value"
"SEMG2",-6.2210878023099
"ATP12A",-9.08535028980387
"TMEM207",-8.80468294647796
"PRR35",-8.81750650521008
"RBP2",-5.50815536338656
"POU3F4",-6.15438059215832
"GP2",-7.923515965388
"PVT1",5.05411300674466
"MFSD4",-4.92528063630011
"FXYD4",-11.8232436211108
"CDKN2A",5.76495577426928
"GADL1",-6.2906744286738
"PIK3C2G",-9.21888396022779
"ACPP",-6.3756304363646
"AQP2",-14.5031421825902
"ELF5",-8.80376069196089
"ESRRB",-6.80974601475955
"SLC9A4",-10.2284772305357
"SIM2",-4.42022403330815
"LOC284578",-7.67364072941063
"UMOD",-15.2059314588261
"GABRD",6.31356853741328
"ATP1A1",-2.81151523923535
"ACOT12",-6.38676089958634
"MUC15",-10.4490179685388
"CA9",10.1889061749651
"TRPV6",-6.67172691827541
"SPAG4",4.13794975689536
"HS6ST2",-7.93570198431596
"VGLL1",-7.24327027018447
"OLFM3",-5.10088073102975
"FRMD7",-7.1611793270551
"BRINP3",-6.75927203634951
"GABRA2",-8.5860911718685
"DDB2",2.26725166265196
"CA10",-8.40052061085767
"HRG",-9.66850074742906
"KCNJ1",-9.00216174113274
"GPC5",-6.67428300971532
"KNG1",-12.4011806350522
"RALYL",-8.35923567805577
"SIGLEC8",5.95638560280461
"KCNE1",-5.6100894151786
"COL4A6",-6.4539009710349
"GATA3-AS1",-6.82087179273612
"SLC12A1",-11.6687815099125
"TFAP2B",-9.00191228793776
"NELL1",-9.45268357581063
"TREM2",4.70030848534162
"CALB1",-9.36467188845267
"TRPV5",-5.71315202002666
"CLDN16",-7.90963542882418
"BSND",-9.62877830072548
"KCNJ10",-7.43345980829488
"OVCH2",-7.575886912999
"NDUFA4L2",6.66467185276168
"STC2",4.78693747068275
"TYRP1",-8.03900541053511
"FECH",-1.90687449672872
"DUSP9",-8.82966355294077
"NHLRC4",-3.52060792759419
"HILPDA",4.82459619436706
"RANBP3L",-7.05415944447716
"SLC4A9",-8.03868598417809
"CLDN8",-10.968136033041
"IRX2",-5.86255090251479
"NOL3",3.30647451174225
"HYKK",-2.24194584550803
"SCARB1",3.93480462919244
"SFRP1",-6.86864840232589
"IRX1",-5.86649565158808
"MTURN",-3.14406542477513
"CDCA2",5.56143240156275
"KLRG2",-6.6145824401052
"SLC2A12",-3.2665003378296
"ADGRF3",-3.96776958570334
"LILRB1",3.29375075917856
"APOC1",5.47601642576385
"ARHGAP22",3.16793822296313
"HSPA2",-3.74531598900251
"NAT8L",-6.29070783262854
"ODAM",-5.75549326712106
"C2orf71",-4.99028516135485
"AGAP2",3.18525131716574
"CXCR4",3.0121132737224
"COL5A3",4.10032319274128
"DBT",-1.59725657495042
"SLC1A4",1.99684376571451
"ITGAX",3.86668196989505
"SLC12A3",-8.8486560653054
"LINC00982",-7.28108395092967
"SDS",5.24242713489386
"SAP30",2.45569910403724
"CALCA",-7.62424243567766
"ATP6V1G3",-8.86206613650193
"RBBP8NL",-5.45007814971433
"KCTD8",-4.99420033677448
"ERMP1",-2.42359003978721
"NRK",-7.32151848633373
"ADH1C",-6.89292471818053
"CLCNKA",-8.48561254077039
"HSF4",5.43772313701825
"PIK3R5",3.20637227220777
"NR0B2",-8.21426954738765
"PRR15",-4.74122350430767
"COBLL1",-2.54590778655456
"TMEM52B",-6.21213449562803
"ST8SIA4",3.54631565552003
"FAM169A",-3.42803797385437
"SCNN1G",-9.63109955836269
"SLC16A3",3.25014844861032
"CD1D",2.58491871278276
"CLUL1",-4.53746926733495
"C14orf37",-3.84349294626246
"HEPACAM2",-8.85721285020497
"AQP6",-8.46300270400544
"VIM",2.59119250018383
"FLRT1",-4.76218919834457
"ANGPTL4",5.65140769701916
"EHF",-7.48384511169518
"HS6ST1",-1.96493853213906
"SLC26A7",-6.92369973480809
"CFAP74",4.04628144060235
"DNASE1",-4.48249019063227
"GCGR",-8.30365159934622
"GRM1",-4.80395502419969
"PIP4K2C",-1.45302603859345
"RHBDF2",1.97894507062555
"TMEM213",-10.1347457404575
"SIAH3",-5.13936894828203
"CD300LF",3.43476158273034
"PTGER1",-6.65652557154584
"CACNA2D2",-2.88383048836749
"NETO2",3.31892718139255
"C1orf64",-5.85792181327885
"TNFAIP6",6.59341088405368
"FABP6",7.07501920061972
"SERPINA5",-7.34318645817084
"GGT6",-8.05434176269356
"PRRG2",-4.06054422333336
"COLGALT1",1.71301157711798
"FAM3B",-6.50862859350587
"EGF",-6.66572327464434
"ARHGEF39",2.42945913473481
"TNNC1",-5.33369424455989
"MPP7",-3.37367631727337
"RASAL3",2.91150826009046
"MCCD1",-7.57301524361673
"FAM184B",-5.65579838463986
"DOK3",2.72015053284449
