"gene","value"
"ATP12A",-9.22521340900814
"FRMD7",-7.74869976429935
"ATP6V1G3",-9.4354484512687
"TMEM207",-8.91328978844437
"GP2",-8.36949661170323
"UMOD",-15.090853731174
"OLFM3",-5.67178425318948
"PRR35",-9.66407643658055
"INSRR",-7.8444997205021
"HEPACAM2",-9.24810922240841
"MUC15",-10.551972134076
"SLC4A9",-8.949557325288
"LOC284578",-9.81741352058982
"FOXI1",-10.8454102995287
"MFSD4",-4.6304098187844
"KCNJ10",-8.00634895055416
"FAM184B",-6.18131220061452
"RALYL",-8.67040461563413
"SLC9A4",-10.1100732143531
"HMX2",-6.07201339826739
"AQP2",-14.6159718966309
"SLC12A3",-10.1439561098839
"CALB1",-10.2619061494265
"BSND",-9.85558486660073
"PIK3C2G",-8.99262829828643
"FXYD4",-11.9728463114012
"TRPV5",-6.08676657919325
"POU3F4",-5.86066866338437
"SLC4A1",-11.1528772011078
"LINC00982",-9.67098202168033
"SOST",-8.35950983428615
"TFAP2B",-9.99162327503088
"NELL1",-9.38151030919998
"KNG1",-13.1942993702784
"OXGR1",-7.09114924945556
"ATP6V1C2",-3.69544930906171
"ESRRB",-7.21243778503084
"HRG",-10.1807886904287
"DMRT2",-9.56752472450994
"SCNN1G",-11.763907815585
"CRHBP",-7.09615200915563
"GPC5",-7.52873940219353
"ASB15",-6.37181208675584
"CALCA",-7.28324498548718
"SLC26A7",-7.42331377558906
"SCNN1B",-10.2272961747939
"DUSP9",-9.51483899144554
"WNT9B",-6.79797052780243
"EMCN",-4.42228295420989
"CLDN8",-10.9513519117966
"DNASE1",-3.79158624441483
"ACPP",-6.95996544133801
"C2orf71",-5.32184097569736
"LINC00473",-8.50571150177255
"RANBP3L",-7.56187460371182
"AQP6",-7.99742371050799
"SEMA3G",-4.2106226874541
"KCNJ1",-10.6378567350812
"IRX1",-8.75532195802976
"PODXL",-4.39257856509975
"DDN",-6.59844209480884
"NXPH2",-6.74157150350671
"CLNK",-5.95320626868392
"TEK",-4.69885516529045
"SLC2A12",-3.21793843325112
"PRDM16",-7.46850312678903
"TMEM52B",-7.13747711177182
"FBN3",-7.00925529516086
"TYRP1",-7.86856299463044
"CPNE6",-6.65419006848744
"AFM",-8.0359891429229
"NPHS2",-10.1837793991566
"GABRA2",-7.88306955054956
"NOS1",-7.01433403278097
"EGF",-6.8151599547274
"DACH2",-5.53298994467248
"BBC3",2.72029667613424
"CYP2B6",-7.78925200259005
"FLRT1",-5.14508539339118
"PTGER1",-6.17109988007444
"TNFRSF10B",1.84122053803377
"ELF5",-7.49764410535072
"RASL11B",-6.69021985375074
"C9orf84",-5.52839977416947
"SLC12A1",-11.2181278162963
"C1orf64",-5.81532316488305
"FOXI2",-6.44873658215925
"HSD11B2",-7.3833343644893
"DDB2",2.37773734585515
"WNT8B",-4.48056173849057
"PTGER3",-9.99847298822893
"SALL3",-6.22280349824588
"INPP5J",-3.91701339468677
"CCNI2",-3.59516206955341
"MT1H",-8.50428610007865
"F11",-8.18359161620839
"LINC00602",-4.87370445543206
"ST6GALNAC3",-4.10674046258844
"MYOZ2",-4.60315197971955
"RHBDF2",2.03768868342806
"NDNF",-8.29854630048485
"GGACT",-3.07871105602188
"CLIC5",-5.29515134922183
"CRYAA",-8.03639375641745
"TSPAN7",-4.25631425324024
"PTPRB",-3.42045834745296
"NHLRC4",-4.58531327599395
"CPAMD8",-4.17405797176609
"ADAMTS19",-4.97216235438636
"RHCG",-9.97716419165652
"GCGR",-8.17992308295008
"SLC26A4",-4.84104507895384
"PP7080",-3.01296459326324
"GRM1",-4.88235093434616
"CLCNKA",-7.25574199390843
"HK2",3.47222786589346
"VAT1L",-6.57626146242067
"ATP1B2",-4.21787263173626
"NES",-3.10397968932303
"CEL",-5.31575597408457
"SIAH3",-5.15178576397374
"CA8",-6.15339680579119
"SYT7",-6.23417343091706
"KIF26A",-4.53065062518114
"VSIG8",-5.12869444208834
"SLC9A3",-6.6612556015636
"ADGRF5",-3.9221184683121
"GPR182",-4.59266026603339
"SLC5A3",-2.74326437215095
"ADH1C",-6.99684009799085
"HAMP",5.89405403651567
"PROX1",-5.53367697940589
"PDE2A",-3.80828655497142
"ACOT12",-6.17934944647913
"MT1G",-7.73618391413976
"MYO3B",-7.93193605985009
"CRABP1",-6.70624699745542
"GPRIN1",3.30853504434623
"GPRC6A",-4.67341674721237
"CTXN3",-8.46233017202928
"VWA5B1",-6.36763175727919
"EYA4",-6.52726902288832
"NR0B2",-7.86105927530613
"NUPR1L",-6.93307869799855
"ZNF804B",-5.04966071980356
"CHRNA4",-6.54163540224319
