"gene","value"
"BMP10",-5.77658972239628
"CLEC4M",-9.36675167073565
"CLEC1B",-9.11445435368607
"CLEC4G",-8.61873018058193
"GABRD",4.61128752659185
"GDF2",-8.71584421450577
"BMPER",-6.23749162629949
"NDST3",-5.22023959211927
"STAB2",-7.75996788431779
"PLVAP",2.83964348466349
"UBE2T",3.61189286169958
"ADAMTS13",-3.25546081282619
"CDH13",2.79426149880127
"MND1",4.2903772656028
"PVALB",-4.92654302583548
"CXorf36",2.30046053828109
"CRHBP",-6.75328579512332
"CCL23",-4.47295984848835
"CDKN3",4.29330269797915
"FCN2",-7.96312230878588
"MELK",4.36533418325323
"FCN3",-5.93497294667093
"ECM1",-3.73313661821775
"COL15A1",4.13551590211019
"COL6A6",-4.73424118534805
"NCAPG",4.23667751992418
"NUF2",4.66131540930897
"IQGAP3",4.30790952613379
"CDC25C",4.74139852917697
"NDC80",3.88837839614835
"SKA1",4.35819996924606
"CSRNP1",-2.34573836292164
"MARCO",-7.76389682546102
"PRC1",3.32077723147419
"OIT3",-4.11826239878113
"CFP",-4.14583326667773
"EXO1",4.14788782955295
"SLC26A6",2.64842404071754
"CCNB2",4.22729222282663
"HIGD1B",3.41229077474394
"NEK2",4.2085606409332
"CDCA5",3.35704720511351
"KIF20A",4.26318681874059
"CENPF",3.78756749927321
"BIRC5",4.48287018160011
"CDC45",4.16604755925465
"TOP2A",4.14927222380261
"HJURP",3.98377258348733
"CDC20",4.42953765728127
"ASPM",3.89050912726855
"COLEC10",-6.04653630197189
"KIFC1",3.81197230224909
"HMMR",3.71152237089946
"PBK",3.98347245232106
"CDK1",3.59333831045453
"KIF4A",4.07103399937742
"PKMYT1",3.42185901196135
"C14orf180",-5.93259487527752
"TTK",4.45253675859359
"ARHGEF39",2.58113776789379
"BUB1",4.04277129595845
"E2F1",3.74745865595428
"UBE2C",4.20171279955217
"VIPR1",-4.80126415701243
"KIF2C",4.16178208346922
"DLGAP5",4.10427379883123
"SPC25",3.83855893504384
"FOXM1",3.71560192306222
"TROAP",4.25782299107585
"AMIGO3",1.99183748136021
"RCAN1",-2.59587706142074
"CDCA3",3.55182099064616
"RACGAP1",2.46903075748871
"SKA3",3.69223258763786
"ANLN",3.88765920690405
"TNFRSF4",3.03704104923402
"PTH1R",-4.38840900263095
"FBXL18",2.1886610762883
"EZH2",2.56928536702906
"CCBE1",-5.45354140102946
"CCNB1",3.14964036057229
"KCNN2",-5.07391666850014
"TRAIP",3.27045929787144
"THY1",2.72310309238915
"PZP",-7.19363873968679
"FBXO43",3.60727332986618
"DEPDC1",3.92009279082971
"LYVE1",-3.86778751709793
"CDC6",3.42626291553809
"LRAT",-4.13680704209659
"DBH",-4.63684244250409
"AURKA",2.70462441283704
"DTL",3.43307401926083
"CDCA8",3.14461402464987
"RRM2",3.2742303055675
"CEP131",1.92232647655624
"VPS45",1.11716183840496
"CD34",2.05903357666399
"TRIP13",3.40271385649559
"ESM1",4.18881730296765
"CENPM",3.86367608621986
"CDT1",3.51260097482733
"CXCL14",-6.89063927400765
"PTTG1",3.74916624966279
"BUB1B",3.85315283681024
"TMEM120B",1.3428317866003
"APLN",3.6850972756295
"TUBE1",-2.14188759709049
"OR51E1",3.07857819513702
"CCNA2",3.36340454441631
"CENPA",3.96630117656075
"CENPE",3.34463291092512
"FAM189B",1.62491396414396
"OLFML2B",2.96928463961759
"SLITRK6",-4.31985605934135
"EME1",3.01975652447562
"MSTO1",1.68542070037984
"LIFR",-3.54357545569116
"KIF18B",3.7775702208113
"CPEB3",-2.72369313520813
"FANCI",2.58536158069523
"TOMM40L",1.64693683938781
"RND3",-2.63640891736933
"CENPL",2.08587645062567
"SPATS2",1.59341357655932
"KIF18A",3.676872405553
"PLK1",3.57535317908077
"MKI67",3.30713509337377
"MAP2K1",-1.22574249018736
"NTF3",-3.97235784503877
"NOX4",2.86441805422625
"ORC1",3.25816365313769
"SPDL1",1.87584822860478
"C5orf34",2.54272988446195
"ANKRD55",-3.76445552915464
"HHIP",-5.85677872374864
"TRIB1",-2.11036300395174
"DACH1",-3.36130385029483
"DSCC1",2.15913441652315
"PLXDC1",2.84517412901358
"NCAPH",3.18032659949265
"PITPNM3",-3.88039204201863
"GPR182",-4.6249093668119
"AURKB",3.48081846333682
"UHRF1",3.49404850973237
"TICRR",3.49008873947322
"FAM111B",3.15298562883723
"TCF19",2.65850856023788
"COX4I2",3.40470706312566
"ANGPTL6",-3.83212231180249
"TTC13",1.46571426789911
"E2F8",3.82310924135559
"ZFP36",-2.19930580631761
"RECQL4",2.93593589372635
"SPC24",3.59960616751046
"GPM6A",-4.83509148963546
"INS-IGF2",-8.55294661353396
"DIAPH3",3.40480620780203
"ZFP1",-1.84536639138414
"PARPBP",2.60379408835773
"NEIL3",3.92702935530227
"AADAT",-3.68766063060723
"CETP",-3.37822659342438
"MTFR2",3.27662339861572
"SEMA3F",1.45782598488527
"GTSE1",3.36126884013255
"RSPO3",-5.24815713419902
"THBS4",5.61027217551052
"C21orf58",2.43049841852842
"MT1F",-5.54208073563098
"TBC1D31",1.63389315952474
"C1RL",-1.84928268656639
"RASL12",2.22451571349171
"MT1H",-7.42715483666074
"C16orf59",2.93233063046902
"FOS",-3.64766705329634
"KIF14",2.98434652630861
"FAM65C",-3.62157407204807
"ITLN1",-4.79879377414219
"ABCC10",1.42587417571237
"ORC6",2.85343591369435
"ZWINT",2.54154888701862
"ANKRD52",1.46146754111761
"MCM10",3.43763646116088
"MYBL2",4.07647213391857
"KIF23",3.37734543777192
"STIL",2.27556465348043
"CDKN2A",3.97562210002863
"PAMR1",-2.85920855650032
"TBXA2R",-2.12151410307682
"CDC37L1",-1.67372515063967
"JRK",1.6896620120224
"DCUN1D3",-1.2495757846533
"KIF19",-3.25362617255788
"FLVCR1",2.20905474213261
"CSPG4",2.21686199641332
"TARBP1",1.70330147044185
"CXCL12",-3.5948394567876
"FOSB",-4.44097830668709
"ADCY6",1.25520744937817
"LRRN3",-3.39464341810435
"ZNF692",1.66039638346446
"HMGXB3",0.902417764449996
"FAM72D",3.13390616602819
"PYGO2",1.17593184542099
"ASF1B",2.78873336683483
"RAD54L",3.37610846913099
"LRRC14",1.36442535542072
"KDM8",-3.04735669118371
"CEP250",1.16861174917117
"DNASE1L3",-3.90207252604361
"ACADS",-1.98243799090821
"KAT2A",1.45513865005259
"C8orf4",-2.74114256203679
"ERCC6L",2.79609082748261
"HAMP",-7.23315681245708
"CELSR3",3.20227540163977
"EHD3",-2.40411693140575
"PCNXL3",1.07442057109169
"GMNN",1.95913009713574
"SLC5A1",-5.76460205999435
"NVL",1.06804455599764
"SHCBP1",3.09632520732348
"TMEM206",1.40120895284352
"OIP5",2.93440355378293
"CDCA2",3.23769266712132
"CCNF",2.16799385809152
"TMEM26",-2.51988649053276
"POLQ",3.12267915655061
"SGOL2",2.34213988614187
"CENPH",2.00774244941236
"CKAP2L",3.20587257441358
"LCAT",-3.5106057412848
"ARHGAP11A",2.43206155334944
"C21orf91",-1.76495299119701
"IGFBP3",-2.55962321668638
"DUSP6",-1.85217011093093
"ADRA2B",-2.43837134333099
"DENND4B",1.09479980464298
"MT1M",-6.03301913500934
"BCO2",-4.62566399953304
"ETFDH",-1.92728673247535
"TIMD4",-4.92600479256922
"PRIM2",1.36893018372381
"NRBF2",-1.07289696601043
"ZNF335",0.843705227751719
"XRCC3",1.67630827272431
"ZFP41",1.69211085644233
"ZIC2",5.53306871436408
"RASD2",2.40682628150116
"CENPW",2.3724091987578
"EHMT2",1.30661216635069
"NPY1R",-3.53877564624679
"CYP26A1",-5.43606787800697
"E2F2",2.81976350569033
"DIRAS3",-4.15691360302062
"NSUN5P2",1.70795965872874
"ETS2",-1.75582397708218
