"gene","value"
"PYCR1",3.65702532856417
"RTKN2",-4.60175607921899
"OTUD1",-2.10449018210296
"PECAM1",-2.31582340341943
"STX11",-3.31579026466938
"ACVRL1",-2.63198148744306
"C16orf59",3.68447420678625
"EPAS1",-2.7173972271327
"RGCC",-2.98875825787542
"RAMP2",-2.96910251019035
"LINC00961",-2.76003495534755
"S1PR1",-2.96494294959901
"LDB2",-2.76685568169058
"KANK3",-2.96107611341641
"TEK",-3.58649607164763
"WWC2",-2.48546007620442
"ANGPT4",-5.03038966584556
"SLC6A4",-8.39800196188156
"FAM107A",-4.99804607316346
"EMP2",-2.93830294254635
"EDNRB",-3.88513042965223
"LIMS2",-2.9876172171665
"PALM2-AKAP2",-2.5873045116457
"HSPA12B",-2.94627710607203
"SPOCK2",-3.55013346904109
"ROBO4",-2.95229867599349
"RAMP3",-3.19732804778384
"CAV1",-4.09485689270362
"FHL1",-4.00244829563698
"PTPN21",-2.6323060226953
"CDH5",-2.66025363472437
"TAL1",-3.01146761237721
"PRX",-3.45601098324636
"SERTM1",-7.3074140730253
"SH2D3C",-2.36197940650536
"RS1",-4.9301747405116
"CLEC3B",-4.26697691467104
"FAM83A",6.3510057034808
"AGER",-6.78985373972825
"ANGPTL7",-5.37170635914116
"PRKCE",-2.03010326447684
"FABP4",-6.26964622736253
"CCM2L",-2.75215937298353
"C10orf67",-5.41579875733292
"IQGAP3",3.7537036673754
"SGCG",-4.7943268184706
"STARD13",-2.20747930858393
"CALCRL",-2.9523406665112
"MND1",3.68014152860476
"GRK5",-2.68093371269683
"SEMA3G",-3.1665156946815
"SH3GL3",-6.02577663603056
"OVCH1",-5.42840562539835
"ADM2",3.40972388820108
"GYPE",-3.89480101598849
"HTR3C",-5.1167881003895
"GCOM1",-3.75752124845894
"JAM2",-2.64157653073948
"GIMAP8",-2.64777801554961
"CYYR1",-2.35168768516587
"MYOC",-5.53026827076031
"NECAB1",-3.77285600698241
"PTPRB",-2.90387678469323
"FOXF1",-2.85561935038535
"UBE2T",3.28092432298026
"SAPCD2",3.50428280945
"PTPRQ",-5.81859863724078
"GPM6A",-6.16830700822041
"FGD5",-2.42589500607578
"ETV4",3.77549299449691
"E2F8",3.45943422533448
"MYCT1",-2.39798926008182
"GPR146",-2.35370963280799
"KIF20A",3.42081649066687
"TOP2A",3.74654845424616
"ARHGEF26",-3.02267704359817
"SDPR",-3.76989117118325
"ALDH18A1",1.57945976964495
"TMEM177",1.61581017203857
"CD300LG",-6.52133835347925
"CD5L",-4.88869597255141
"CYP1A2",-5.16097473860925
"CLEC1A",-2.46733597261047
"CDC25C",4.02862004120917
"RASIP1",-2.51668016452603
"ARHGEF15",-2.60600560169083
"CLEC14A",-2.38299115375336
"UHRF1",3.42682037623533
"CDC20",3.82253917326624
"AKAP2",-2.92794357326538
"ARHGAP6",-2.78891322529184
"ERG",-2.30159564210641
"SLC39A8",-2.833108651695
"ITLN2",-7.54067105025424
"CAT",-2.05217655852942
"GPIHBP1",-4.56563451632591
"BUB1B",3.59255081110273
"GOLM1",2.4766244663608
"SCUBE1",-4.62019241227007
"KIF4A",4.05560444581386
"KIF2C",3.78659920994164
"ECSCR",-2.48419769399136
"OTX1",3.65822917943109
"ADCY8",-5.81510065006014
"DENND3",-1.97058983294833
"NUF2",3.9287739031993
"CHRM1",-5.47964742545954
"THSD1",-2.36150647636114
"USHBP1",-2.69108117613444
"CD101",-2.88595593800636
"KCNA4",-5.18130089737711
"DLGAP5",3.90736445165588
"KANK2",-1.67561084256957
"NCKAP5",-4.69513017190179
"C20orf202",-2.73153245621094
"CLIC5",-4.62242433633734
"LMO2",-2.02636852503697
"WNT3A",-5.47323581348759
"EFNA4",2.13502921551047
"LYVE1",-3.54707688334379
"SPAG5",3.10907430266457
"PNPLA6",-1.52617184645815
"ORC6",3.05757073953726
"STARD8",-2.31032660959542
"PDLIM2",-1.9930605385612
"CDC45",3.8781172689213
"OVCH2",-4.38463646976659
"EZH2",2.58892413923336
"TMEM184A",3.04813285876848
"MMP11",5.18344498429017
"C14orf132",-3.04878669462826
"MGAT3",-3.87706659421331
"TMEM100",-5.07328878413044
"COL10A1",4.70184544170873
"MMRN2",-2.22649015603067
"HJURP",3.72953603372807
"CTHRC1",3.78968141495825
"SEMA6A",-2.94602903284712
"GRASP",-2.53599852954721
"SPTBN1",-1.797951487207
"CCDC141",-4.20299984094113
"SOX7",-3.01721226631578
"PLK1",3.28990910550866
"SNRK",-1.24549844820975
"SPAG4",3.00749083281619
"ADRB2",-3.56189487892521
"NEK2",3.65705211356827
"B3GNT3",4.25692022365018
"PEAK1",-1.78366462707429
"SASH1",-1.9589155043828
"PPP1R14B",2.04874650838569
"SRPK1",1.50855615604595
"BMPR2",-1.36781435839782
"GPD1",-5.00958840628583
"CDCA8",2.97414517468509
"EMCN",-3.07169008001605
"RCC1",2.04059814660391
"KCNT2",-3.62115845644139
"FCN3",-4.94666625271604
"PTRF",-2.22644392040335
"BTNL9",-4.13611097326997
"JPH4",-3.00727982091491
"SOX17",-2.75088192310997
"CD93",-2.35552481328838
"PLEKHN1",3.40812880605289
"TUBB3",3.90694846517856
"RECQL4",3.11495729954838
"FMO2",-3.76298176369787
"TGFBR3",-3.04227783860563
"CSRNP1",-2.28359106554107
"HBA2",-4.82003961326297
"ERCC6L",2.92413808647065
"LRRC32",-2.2708140599834
"STIL",2.44123195578534
"HPS5",-1.21584446033973
"CDC6",3.31130626069606
"RAD54L",3.41127874180788
"CDCA3",3.26379014739652
"FAM46B",-3.2240068056669
"SFXN1",1.54123761964235
"BIRC5",3.86799710718244
"PAICS",1.7774861598092
"MSTO1",1.5087470918858
"INMT",-4.25247774168417
"NME1",2.17696335440941
"KIF14",3.61175783384988
"CD36",-3.73073814224047
"RMI2",2.27285402419305
"ARHGAP31",-2.43978747342101
"CCNB2",3.18979145279935
"FEZ1",-2.28162021081108
"DEPDC1B",3.56400082588454
"SERINC1",-1.21113976685714
"FGFBP2",-4.00355854888329
"NDST1",-1.61636942395567
"MELK",3.75766616421003
"ADPRH",-1.72241496864498
"ASPM",3.4529973897167
"SBSPON",-3.21987816008405
"GLIPR2",-2.36793102744832
"TROAP",3.80864901655984
"WFS1",-1.77242951547923
"EFNA3",2.63851519779305
"ANLN",3.5729173721521
"AOC3",-2.96182435190134
"GIMAP6",-2.28065964057427
"MEX3A",3.70621641728753
"RXFP1",-4.03087525290854
"RBP2",-5.15510512723918
"PPP1R15A",-1.80093978509164
"SPTBN2",2.58964941392664
"LRRN3",-3.63200420825434
"STX12",-1.0349741771726
"AURKB",3.61334609322386
"EXO1",3.55552413019163
"ANKRD1",-5.91134958194879
"KCNAB1",-2.04812693531205
"GTSE1",3.15196587401261
"ADRA1A",-4.63169406830939
"HEG1",-2.30997606009332
"CYP3A7",-4.4105437744259
"THBD",-2.63952159055149
"KIF26B",3.08012078181201
"TGM1",-3.04844033437977
"FAM110D",-2.4327622855847
"TNS1",-2.37460836179407
"SMAD6",-2.51245520116248
"ODAM",-5.43814642004667
"TCF21",-3.83468349330031
"ANOS1",-3.37329192300466
"TACC1",-2.05228937627275
"MBNL1-AS1",-2.33475878172971
"PPAT",1.83888606304497
"KIF18B",3.62323720933606
"FRMD3",-3.23635137298808
"NPR1",-3.16303625990748
"UPK3B",-6.00101546236214
"TPX2",3.45988492689588
"KNOP1",1.26603568703511
"QKI",-1.43412620644059
"SESN1",-1.82718891095071
"RHOJ",-2.01073806939565
"IGSF9",3.43374672068437
"NLRC4",-2.47685826977682
"SKA3",3.18918236375998
"AGTPBP1",-1.34753361271665
"CLDN5",-2.95926300825162
"PAFAH1B3",2.08433737534564
"GINS1",2.77621584682287
"RSPO1",-4.3674291378215
"MYO19",1.61703460706287
"NCAPG",3.18347206129263
"SPRYD7",-1.31846491621045
"SEMA5A",-3.05536771680982
"C2orf71",-4.69813008610779
"MCEMP1",-5.17707238111363
"ANGPTL1",-3.23003238048499
"RAI2",-2.38304025222628
"CENPF",3.1473458871841
"TMEM88",-2.37392385055548
"PPAP2C",2.74656104743878
"NXPH3",-2.69598296341972
"HBEGF",-2.7106344026326
"PKMYT1",3.15178870877972
"HMMR",3.11221981600556
"CCDC85A",-3.22671389686092
"UBE2C",3.88229841401733
"TIE1",-2.09813800468918
"ZWINT",2.50751648043337
"DEPDC1",3.56112989049875
"MYBL2",3.96222464529466
"CEP55",3.09138170779618
"RCAN1",-1.81887042002807
"AGBL1",-4.21261769858405
"C1orf112",1.79714041882308
"HELLS",2.71292028792266
"LGI3",-6.94083127561681
"LTBP4",-2.36212480162026
"KIAA0101",2.86644005113746
"HBB",-4.94002307380507
"ARHGEF39",2.28334729233457
"KIAA1462",-2.24266083911418
"EFCC1",-3.00090434102979
"NDC80",3.27949071095705
"RASAL1",4.14105124580152
"FAM83A-AS1",4.62058254752834
"NMUR1",-2.96771230882562
"DNAH14",1.98857950981923
"NOVA2",-2.25562479876368
"SYT15",-3.70688805908489
"CCNB1",2.68910287741103
"ATIC",1.22393839675422
"FGF11",3.48831898660122
"HIGD1B",-3.01648818296549
"PHACTR2",-1.73857569650318
"SCN4B",-3.34964869419112
"DOCK4",-1.84598035540998
"ST8SIA6",-4.24794018930714
"CLEC4M",-4.41369957906612
"STX1A",2.79857495728658
"ACTN2",-3.95132930831936
"SGOL1",3.26255207207439
"LGR4",2.51479684943376
"SLC25A10",2.02177917354417
"CGNL1",-2.54310560441575
"PTPN5",-4.10274840025747
"FHL5",-3.33697966534773
"CNTN6",-5.84641244999546
"PDE5A",-2.04916628069555
"LHFP",-1.7913401486377
"CASKIN2",-1.62947972368561
"KLF6",-1.84017894135283
"KIF11",2.6008911438198
"RGS9",-2.99789645849057
"PDIA4",1.65586715528666
"CA4",-6.20606782690472
"TUBB1",-2.68823666735247
"SLC19A3",-3.69066411425558
"VIPR1",-3.52958877107359
"NCAPH",3.07404818051964
"RRM2",3.07061415095293
"TNNC1",-4.58476186716818
"ACKR4",-3.14424900423003
"EPM2A",-1.34297289459469
"TNR",-3.99338051118218
"C10orf54",-1.68947403032171
"GINS2",2.76625730154695
"FUT2",3.10112861897764
"PPAP2B",-1.44858357487284
"PLAC9",-3.29906324548906
"FAM150B",-4.16337058191789
"ADARB1",-1.89126006620519
"KNTC1",2.1734995884937
"ALAS2",-4.36928585986677
"FOXM1",3.21040106706267
"STXBP6",-3.92674571491721
"ADAMTS8",-4.7030497705909
"CAV2",-2.81134830243227
"RAPGEF4",-2.26782497586637
"EPN3",3.4309300002974
"CNOT11",1.09112309802222
"GRIA1",-5.49569079000428
"INPP5K",-1.11743393851792
"ESAM",-2.17766110447207
"NUSAP1",2.48488234251924
"DPEP2",-2.67820252957032
"GPX3",-2.62330515913675
"XRCC2",2.78333734796108
"KAT2A",1.62824117732361
"SPP1",4.73449585628185
"OCIAD2",2.01516004171217
"CHAF1B",1.95767059976725
"GPT2",2.90331488510162
"IL3RA",-1.88575086437723
"COLEC10",-3.57389199066119
"LAMP3",-3.41328736442546
"CDT1",2.7636939849082
"ZNF106",-1.43123586031543
"GAB1",-1.55563441417882
"FRMD5",3.85800178103465
"PLCL1",-2.01356028785747
"MYO7A",2.15840911389411
"TONSL",2.2967848243584
"FLI1",-1.86494254792887
"CDO1",-3.3318458378014
"PALMD",-2.33243313481954
"TRPV2",-2.05490445120085
"FXYD6",-2.04210893355458
"TGFBR2",-1.85479253886809
"FERMT1",2.97865381545473
"TTK",3.40563689266059
"ADCY4",-2.0464298700124
"MS4A7",-2.49278020881091
"SIRPB1",-2.86730281706195
"TBX3",-2.36002445358388
"DONSON",1.61725587336565
"DACH1",-3.18870644493105
"GNAQ",-1.27867363415523
"LRRC36",-4.26054144735367
"KIF17",-2.32112952367365
"KIF1C",-1.39049832290911
"ST6GALNAC6",-1.41686696716804
"MGC27382",-4.21779935729354
"LINC00472",-2.96865476049576
"MYADM",-1.91091063940508
"MCM10",3.47188344283319
"TMPRSS4",4.82013213202374
"PEAR1",-2.27874217603
"TMEM204",-1.89984653843165
"ORC1",2.86056003402999
"PPM1F",-1.28073337175323
"LIN7A",-3.18917740960346
"KL",-3.22123968100485
"PVT1",2.42426131656003
"GSTM5",-2.89133580294579
"MDK",2.76384290482715
"NOTCH4",-1.90145258863185
"FERMT2",-1.51466524473826
"SYNM",-1.99085699917931
"TRAIP",2.01172230046987
"CENPA",3.39019520259214
"SYN2",-4.13278624263838
"FGR",-2.29902306420477
"IGSF10",-3.73894815991453
"ESPL1",3.22065639125285
"GDF10",-4.34682254256444
"RPL13AP17",-5.91721982224495
"GYPC",-1.88712272296979
"AGMAT",2.8574291886652
"CDCA5",2.7785587223988
"CDCA2",2.92717678317754
"FANCI",1.97038837100719
"SPC25",2.84015044444485
"SPN",-2.55476184657566
"SYNPO",-1.88234938173607
"PERM1",2.73058353914607
"MEF2A",-0.907488485278874
"LMCD1",-1.73109716304599
"CKAP2L",3.02433993928207
"CBX7",-1.88602095947356
"VWF",-2.54563594455498
"TSPAN18",-2.19316339750368
"SLC6A13",-3.75331337723192
"POLQ",3.08230383377336
"FAM136A",1.13405213071294
"CCNE1",3.01238338104676
"HSPB6",-3.04714032389962
"KIF15",2.98395571968049
"OSBPL11",-0.981023343005894
"PAPSS1",-0.93780468089301
"PLEK2",2.4864498312323
"ASF1B",2.28702987316077
"ARC",-3.73242879115188
"PSAT1",3.22348788209827
"EME1",2.61264682661702
"PHACTR1",-2.87654639240041
"ASPA",-3.26668103726351
"TRIM58",-3.72246277011068
"BCL6B",-1.80856504284703
"TFR2",2.93419833127553
"DNA2",2.24039555786907
"POLG2",1.14439393706111
"NARF",1.22144074138315
"IQSEC3",-3.22223264079049
"MTMR10",-1.16626465570405
"AFAP1L1",-1.83117690515953
"C1orf74",1.25882164439675
"PRC1",2.3587420041917
"HMGB3",3.00889425041169
"FAM189A2",-3.67627096087779
"PBK",3.34794358439881
"MKI67",2.84644967638581
"TFAP4",1.33315901513932
"CCNA2",2.67892442364084
"LDLR",-2.07943129772569
"DPP6",-3.71957417123825
"RAB26",3.4492381161701
"MYH2",-3.7939579169988
"C17orf53",2.55889024095616
"CALCOCO1",-1.32222187837815
"RNF144B",-1.93309009994291
"N4BP1",-0.972130433317869
"SNX1",-0.89482422192694
"CCNF",1.91742335338734
"TNXB",-3.40927753672874
"GPA33",-4.26859033008133
"AMOTL1",-2.03522736832265
"RILPL2",-1.35936035563713
"RMDN3",-0.988532474572771
"SMYD5",0.890791885615549
"F8",-1.82077689575037
"PKNOX2",-2.99229184229806
"FLAD1",1.34291861524757
"CSTF2",1.08122824386306
"E2F3",1.36546237622488
"MYL9",-1.87689509215058
"HYAL2",-1.20401366272545
"BLM",2.16779474383732
"GRIK4",-3.43185389384874
"ENG",-1.66308670083669
"MME",-3.65254598312212
"ERVFRD-1",-3.05685104340795
"METTL7A",-2.16939168227143
"MFNG",-1.71053934470342
"CORO2B",-2.64369008595162
"MSRB3",-2.13727577136044
"SPARCL1",-2.12417122737948
"ECE2",1.98848920290479
"MARCKSL1",1.87669969161622
"ST6GALNAC3",-2.38592377696515
"GPRIN1",2.42022571359563
"FGF2",-2.54145964763714
"PKHD1L1",-3.71044425189552
"FER1L4",4.21787699760637
"MASP1",-3.50665502273346
"ADAMTS1",-2.45415883014715
"TCEAL2",-3.74284425346529
"CD34",-1.68836053245182
"FAM111B",2.52726494658848
"LOC399815",3.09190162528098
"RECK",-1.80962962435637
"RBMS2",-1.35421156755396
"PCDH15",-4.75426307586283
"GHR",-2.62500572877296
"TRAP1",1.1421435818407
"TK1",2.49745271724743
"FPR2",-3.45467323004817
"POLE2",2.77831381968133
"VAMP2",-1.21882886770366
"LRP2BP",-2.12629505806714
"CD52",-2.54124157236685
"MFAP4",-3.15256318297439
"FRMD4A",-1.46386095824389
"GIMAP5",-2.07738001015542
"TOM1L2",-1.45014219179483
"RASGRP4",-2.40811763883074
"ATP10B",4.7752815560977
"SAMD10",1.66885964465713
"NPM3",1.65955981037606
"GIMAP7",-2.01394295069402
"FIGF",-5.16349605112791
"SH2D4B",-2.84480204839929
"FOLR3",-4.58625017267251
"CHIAP2",-6.02557262223582
"CCT3",1.27638555761812
"FAM162B",-2.57567491899633
"SULT1C4",-2.81470355878446
"ADAMTSL3",-3.01976439352829
"ADIRF",-3.54377472964983
"CPED1",-2.56302813467271
"COX4I2",-2.66266611459291
"FIG4",-1.00729711672709
"FANCD2",1.65375521354417
"P3H4",1.90386526384106
"GJB2",3.88577946551349
"EIF2AK1",0.970948042659281
"FAM64A",3.10536738928057
"PTPRH",5.02819780634935
"NEIL3",3.72222670756467
"KIFC1",2.56339678840899
"PRKG2",-3.75862714382706
"E2F2",2.28516582093855
"PAX6",-1.70051468660089
"CFP",-2.51366078995746
"GAS6",-2.0107355705665
"GPM6B",-2.52557807952641
"NHSL1",-2.01303090564653
"NRG3",-3.58233200329982
"KDELR3",2.03565773524951
"LRRC2",-2.98942458153169
"EDN3",-4.44959687850409
"SLC2A1",2.99601303561855
"GGCT",1.53925746873256
"C20orf194",-1.44691674009641
"RASGEF1B",-1.67355097636459
"ADGRE3",-3.75000420352119
"HSPB2",-2.05236768821461
"PHKA1",1.63818103381602
"OSCAR",-2.49186191235035
"CELSR3",3.01908726612086
"ESCO2",2.52596371057747
"CDKN3",3.0219273477212
"RHBDL2",2.65573414921751
"CBLC",3.09286378795177
"OLR1",-3.0040313773216
"MANF",1.32220405295015
"MFAP3L",-2.6092866031485
"SIX4",2.18882953261813
"SSFA2",-1.3193743605622
"ABI3BP",-3.13835572274778
"BRIP1",2.57701772118323
"ST6GALNAC5",-2.75815571541745
"UNC5CL",2.91931761880366
"SALL4",3.23114282980349
"SLC14A1",-3.27569666950922
"CST1",6.60856144073129
"TFAP2A",3.70507825075533
"TMEM182",1.44677410749557
"ADH1A",-4.29542953411644
"DAPK2",-2.30947110670023
"ABCA8",-4.2306018215905
"LATS2",-1.24665002009217
"MSR1",-2.69338119750501
"CMTM2",-2.55081535758681
"UNC45B",-2.8465085484976
"ARL13B",-1.12920166879925
"LINC00341",-2.17104773895445
"CNRIP1",-1.64222880421512
"CBX8",1.42382468862359
"FANCA",1.88356620372685
"SKA1",2.81162548898526
"LGALSL",-1.9951749053874
"C5AR1",-2.1660301774794
"MIR22HG",-1.63049824923226
"SLC5A9",-3.7906494169216
"SFXN4",1.34627402191122
"TRHDE",-4.78643950411368
"DLC1",-2.68006826178491
"SLC27A6",-4.56670498685394
"C1orf162",-2.06959863029651
"ABCA12",5.51833910349178
"ITPRIP",-1.65877203960183
"PRKCH",-1.15549961221791
"CDCA7",2.97684751017434
"ADRB1",-4.0699453485262
"AGRP",-3.76130187439009
"ABHD6",-1.35359428915107
"TNFRSF21",1.83254133384475
"SLC35F2",1.79672512583974
"SOSTDC1",-5.61617362958146
"KLF9",-1.72601155090195
"C1orf131",0.963108837915625
"MSI2",1.4886495109398
"AHNAK",-2.2969788975955
"SEMA6D",-2.81784414613912
"PDZD2",-2.89796201453066
"TICRR",2.67409201640847
"DIXDC1",-1.4115828405758
"ANGPT1",-2.82635733602932
"KLF13",-1.46480783688256
"CLDN18",-7.16155334097942
"BUB1",2.64346499203195
"KCTD10",-0.72945709658385
"SERINC2",1.89414761686721
"ABCG2",-2.38909090245336
"PRR19",1.99556669948154
"CRYAB",-2.34104821682589
"COX7A1",-2.02493346304081
"UTRN",-1.59397414865765
"B4GALT2",1.19893412070946
"SYNPO2L",-2.993427236677
"ACE",-1.96376721123024
"SECISBP2L",-1.63294996265462
"SLITRK2",-3.60254175609238
"JDP2",-1.39242618038589
"A2M",-2.15464410899753
"ITM2A",-2.16777734450989
"SLIT2",-2.93004619441162
"ADGRE1",-3.52810175110945
"TMEM47",-1.9595548611274
"TBX2",-2.05010246863947
"PRAM1",-2.57115501368284
"FZD4",-1.749651922747
"RADIL",-3.05775164820402
"C1QTNF6",2.09480183800352
"SPC24",2.94184427083704
"GRHL3",3.73294899678702
"CCDC150",2.92564991587571
"GIMAP1",-1.89101795768441
"SLC25A39",1.1849542028686
"BDNF",-3.62421565270545
"SYT12",4.98812894660734
"PCDH12",-1.77891325189496
"KLF4",-2.62099551329545
"ADGRL2",-2.13804421919972
"NLN",1.46128615537668
"SLCO1A2",-5.67561361406256
"PIP5K1B",-3.04947678342806
"SLC50A1",1.66481914452382
"KIAA0040",-1.27169949109603
"COL11A1",6.19376332128188
"SHCBP1",2.24866457094729
"DPYSL2",-1.8038891325366
"C1orf198",-1.26980721799414
"RDM1",3.39503196038191
"CRABP2",4.63757842855641
"WDR46",0.86577382831056
"SOX4",1.61093210804721
"TYMS",2.05197886240588
"CTNNAL1",-1.44913721767789
"GMPPA",0.989807310520292
"KIAA1324L",-2.49883843911082
"FXYD1",-3.75491009905338
"TIMP3",-2.2290313923121
"ANO2",-2.63755999071724
"CXCR2",-2.91405566562632
"DES",-3.99934334703143
"SEPT4",-1.64356066130146
"TRAF4",1.26772683930481
"ACP5",-1.87181493880485
"CFD",-2.81961703059673
"CILP2",3.50055071047418
"GLDN",-2.99880325914157
"BCHE",-3.1900167686935
"NKAPL",-2.24507421247073
"DENND2A",-2.11087406667047
"SIGLEC11",-2.90828700345761
"HBA1",-6.1905550319799
"LEPR",-2.34789925159476
"VSIG4",-2.76454629031953
"HBG1",-3.797252424192
"SEC14L3",-4.87691418635069
"LINC00312",-2.11278119405827
"GINS4",2.18177765261863
"SELP",-2.76008146049699
"PRSS35",-2.94180783328008
"ADAMTSL4",-2.32775356498502
"TIMELESS",1.57613686283461
"RAD51",2.26727515492983
"MCM4",1.95237519560212
"GFOD1",-1.8970931993016
"TIMM8A",1.25353432834892
"AURKA",2.35561815914226
"GGA2",-0.935481510612461
"HACD4",-1.69784729262371
"LGI4",-1.91055669243708
"CTIF",-1.25842688316138
"SIDT2",-1.12564005498518
"DKK2",-2.56594843144264
"CFL2",-1.51683753262934
"RPP40",1.61436482871608
"MAP3K3",-1.11275106060443
"ACADL",-4.635470603042
"FANCF",0.975774389411006
"SLC44A2",-0.993475342751855
"PI16",-4.32995642659582
"MARCO",-3.99373324095791
"SYNPO2",-2.19446463337725
"ZNF423",-2.08291589750609
"DKC1",1.07495921435823
"FBLN5",-2.14629699356565
"ADAMTS14",2.58380525563538
"KIF23",2.49461779493748
"EML1",-2.01070986766112
"CD300C",-2.41284420775232
"WASF3",-2.25685536834628
"C5orf34",2.16398235463427
"ARHGAP24",-1.60954895270477
"MAD2L1",2.32768275502839
"ZEB2",-1.70304056585547
"HN1L",1.08655752777094
"FAM212B",-1.7676812848154
"CAB39L",-1.57407963183469
"SLC24A4",-2.57564923616396
"CENPI",3.00860791440395
"GNL3",1.08994718855991
"C11orf80",1.4009084880794
"SH3GL2",-4.49810068341594
"DBNDD1",1.85241865289027
"LOXHD1",-2.76365219861665
"PPM1D",-0.908255193429885
"ZEB1",-1.54302348026161
"PDK4",-2.86775865424829
"HSPB8",-2.31021013511207
"DNASE1L3",-4.14942478001592
"PDE8B",-2.48552415185087
"P4HB",1.08614989007871
"HS6ST2",3.48217675003177
"F12",2.82709668242844
"GREM1",4.2777728596401
"SFTPC",-8.63114244832808
"HIST1H2BD",2.22242007407065
"DOK2",-2.10460249719034
"PDCD2L",1.40880351418936
"KIAA0907",1.40714305155208
"HSD17B6",-3.37619026394506
"CYBRD1",-2.1532918219841
"RNF182",-3.142401502531
"FAM124B",-1.99683783653265
"EPCAM",1.51575859022201
"CENPE",2.49869026146311
"AFF3",-3.43310313719024
"CENPU",2.0414232745447
"PYGO2",0.911453496597477
"PLSCR4",-1.62632754433546
"MAMDC2",-3.64379979945972
"DNASE1",1.68901775094194
"C1QTNF7",-3.25120174475208
"FKBP11",1.79481220108791
"FAT3",-3.42467536314716
"COL6A6",-3.94496688289085
"VARS",1.15025335381726
"CCDC50",-1.16340920234226
"CXorf36",-1.6867109549704
"GAPDH",1.58103459067735
"ARHGEF6",-1.68779659496649
"IL33",-2.81531225429501
"ZYG11A",4.60126783320753
"ENTPD8",4.20308224137777
"PCYOX1",-1.17285694511888
"LILRA5",-2.43895006502985
"TEX14",-2.06960083553823
"STRA6",4.46852759034755
"C1orf220",2.25836884103911
"ECT2",1.92619197114898
"HIST1H2AM",3.01397037454493
"CAMP",-3.87600817736654
"PMM2",1.03841107560817
"IRAK1",1.16143097256377
"GIMAP4",-1.69297471954618
"PSMG3",1.45218335751173
"ANKS1A",-1.08614770328772
"CYP27B1",2.28262447393083
"FRY",-1.85212970774155
"SLC1A1",-2.83814205321087
"PHOSPHO1",-2.3205256694185
"POLR2H",1.13405535244709
"LMNB1",1.75333707795832
"SCAI",-1.34436457662732
"RUSC1",1.09161869701196
"MVB12B",-1.65341211969388
"CDH19",-3.78359318159077
"MRPL3",1.01957768754526
"ZFP69B",1.53329778948838
"OLFML1",-1.83393798166244
"C1QTNF2",-2.14376067500686
"ODF3L1",-2.68828912700763
"CLSPN",2.79127692816915
"SRD5A1",1.71799840799533
"S1PR4",-1.92879140785951
"NIM1K",-3.39302015394617
"UBL3",-1.23359148731801
"SRL",-2.22558612558639
"CDC25A",2.31797570164667
"PTPN1",-1.01612923481511
