"gene","value"
"KIF4A",4.97101094102836
"KIF2C",4.75429812095016
"TPX2",4.91950847362617
"CENPA",5.21344373472238
"HJURP",5.0362947179008
"BUB1B",4.97339987090753
"UBE2C",5.17628005794075
"TROAP",5.31894041997847
"PLK1",4.44952147937199
"BIRC5",5.41397890335405
"CDC20",4.92913906846291
"NEK2",4.98997117395331
"TTK",5.19008612461081
"CDC45",5.50102672573684
"MYBL2",5.25577799353363
"EXO1",4.87387362912047
"RAD54L",4.79385576424339
"CDCA5",4.14327130969734
"DLGAP5",5.05345343909279
"DEPDC1",5.11325116734579
"CCNB2",4.59215831061313
"KIF23",3.90857287982252
"CDCA8",4.00672556602216
"NCAPH",4.3662042829644
"CDCA3",4.56051961195604
"NUF2",4.95612647842572
"ANLN",4.63573606483047
"NCAPG",4.00769413552293
"SKA3",4.42447370793997
"KIF14",4.94859037325303
"CKAP2L",4.43011083411372
"KIF18B",5.20011316822592
"GTSE1",4.37185876457498
"KIF11",3.73138257491944
"ORC6",4.30405998817918
"MELK",5.05325656879556
"AURKB",4.92430120757227
"KIF20A",4.2414008174033
"FOXM1",4.9018407951173
"MCM10",4.66194707287313
"CDC25C",4.8064531481214
"CEP55",4.39269778569706
"CCNA2",4.09324515660157
"GINS1",4.11145469926787
"POLQ",4.97350536882215
"TOP2A",4.69597001317594
"SKA1",4.4958947317963
"PRC1",3.68188769794728
"CDC6",4.3441491839529
"DEPDC1B",4.66356355159934
"ASPM",4.57766136057509
"SGOL1",4.28238696892103
"UHRF1",4.38607256752294
"NDC80",4.3190632269887
"TRIP13",4.1694634021116
"NUSAP1",3.64826100467283
"PKMYT1",4.62158171989193
"RAD51",3.76607599121018
"CCNB1",3.6923845761242
"BUB1",3.72339256959109
"SPC25",4.17038930009143
"C16orf59",4.43512018949365
"UBE2T",3.93432004422042
"CDCA2",4.35368079481369
"STIL",3.27013351783721
"ESPL1",4.11179545171936
"ORC1",3.99591378831271
"RRM2",4.2164410676537
"PBK",4.73068372368477
"CDT1",4.00904128944393
"KIFC1",3.6160922559369
"HELLS",3.85758528926182
"FAM64A",4.47164076974993
"OIP5",4.06898150236113
"MND1",4.37662261144156
"CENPF",4.33222191045332
"CENPI",4.08587040528128
"AURKA",3.31593816717978
"AUNIP",3.73498079445395
"TFAP2A",5.65520598476954
"ZWINT",3.31045646040753
"MAD2L1",3.59560927769405
"TICRR",4.65568173662631
"KIF15",3.99190957993978
"SLC2A1",5.46710283835529
"E2F7",4.7452203520011
"RGCC",-3.66826493385371
"IQGAP3",4.10194836256354
"CDK1",3.51841580928158
"PTTG1",3.19546300845187
