"gene","value"
"A1BG",-0.148421703635325
"A1BG-AS1",-0.346848876946932
"A1CF",-0.749934522957351
"A2M",-1.25687977818043
"A2M-AS1",-0.990938741805172
"A2ML1",0.553253442801088
"A4GALT",-0.227891089323982
"A4GNT",-0.161703068666074
"AAAS",0.40940219024041
"AACS",0.19151677253035
"AACSP1",0.55734834118847
"AADAC",-0.684829328887346
"AADACL2",-0.298024859307063
"AADACP1",-0.375774611099278
"AADAT",-0.312124396245463
"AAED1",-0.21360105063097
"AAGAB",0.215542620123709
"AAK1",-0.227412608932686
"AAMDC",-0.442534352015915
"AAMP",0.0619535471625353
"AAR2",0.133481984922667
"AARD",-1.40241391120602
"AARS",0.327882648547867
"AARS2",0.357191284277825
"AARSD1",0.198402256929744
"AASDH",-0.206712312874421
"AASDHPPT",0.112929380947086
"AASS",-0.990130906332072
"AATBC",0.426755262485625
"AATF",0.468180818894721
"AATK",-0.501558173651377
"ABAT",-0.960785858889065
"ABCA1",-0.129155060700239
"ABCA10",-1.52862252257571
"ABCA11P",-0.066243982037424
"ABCA12",2.4652357210788
"ABCA13",0.145522438266863
"ABCA17P",0.495251374932101
"ABCA2",0.112183335852604
"ABCA3",-0.806459299575641
"ABCA4",-0.767736383167082
"ABCA5",-0.607862275316255
"ABCA6",-2.53948540637447
"ABCA7",0.438554239201942
"ABCA8",-4.09352555259441
"ABCA9",-2.77502007530863
"ABCB1",-1.91317159831925
"ABCB10",-0.0688313621590039
"ABCB11",-0.460858960795982
"ABCB4",-0.205559200260818
"ABCB5",-0.200329016153671
"ABCB6",0.51506630629851
"ABCB7",-0.0285166232230143
"ABCB8",0.249145976276236
"ABCB9",0.597247750789197
"ABCC1",0.544451116642762
"ABCC10",0.531836142655603
"ABCC11",0.184022454065156
"ABCC12",0.0543037561258762
"ABCC13",-1.04346424649179
"ABCC2",0.306169415247629
"ABCC3",0.417528868981241
"ABCC4",-0.0380799242615776
"ABCC5",0.379744913764493
"ABCC6",-0.988053659592559
"ABCC6P1",-0.529421382703158
"ABCC6P2",-0.514353500033435
"ABCC8",-1.42469797864439
"ABCC9",-1.48287891174977
"ABCD1",0.379747821951526
"ABCD2",-1.57421572753541
"ABCD3",-0.545331242011471
"ABCD4",-0.175314906350038
"ABCE1",0.320133003551316
"ABCF1",0.183667772310435
"ABCF2",0.418486309691716
"ABCF3",0.317305300661394
"ABCG1",0.225378050671554
"ABCG2",-2.02281958773436
"ABCG4",-0.0403587255839966
"ABCG5",0.0967416856236624
"ABCG8",-0.318647302399254
"ABHD1",0.0979723891725017
"ABHD10",0.115827681583035
"ABHD11",0.836685575054937
"ABHD11-AS1",0.334019646087815
"ABHD12",0.461659711899752
"ABHD12B",-0.336572411426236
"ABHD13",-0.272147987543389
