"gene","value"
"ETV4",5.50981052275079
"KRT80",6.36846455391365
"KRT24",-7.24962424140798
"CDH3",5.21767284558377
"ESM1",5.39499989111182
"LGI1",-6.01295402804666
"FOXQ1",6.87414338365528
"OTOP2",-9.871684416202
"GRIN2D",5.78971422005212
"PCSK2",-6.79199680965491
"KCNIP4",-3.57416532977529
"CLDN1",4.84986100380319
"DPEP1",8.37416840928119
"NFE2L3",2.77603181145705
"ACAN",4.46759315970795
"WNT2",5.31219169140428
"SALL4",5.20326545863253
"PGM5-AS1",-6.16351484881369
"FIGF",-5.64018896834197
"CEMIP",5.13112932121152
"MAFG-AS1",2.97461547077442
"CBX8",1.90539468134607
"CLEC3B",-4.4146621163279
"GLTP",-1.5254163108794
"AJUBA",2.77825096195544
"BEST4",-6.21715232034519
"EPM2A",-2.22344266617653
"FUT1",2.8215386570611
"TEAD4",2.62212913401886
"PVT1",3.20634959396216
"SPTBN2",3.180761553902
"RERGL",-6.19324895497228
"LRRC8E",2.7042191225339
"CSRP1",-2.44332592956619
"GTF2IRD1",2.38293598646068
"KIAA0408",-7.9313989283278
"SLC6A6",3.16286953283903
"MTHFD1L",2.31428333817475
"NRXN1",-6.78083125070416
"FAM107A",-3.80807752528496
"PLP1",-7.63281292357817
"CCDC69",-3.4274336159744
"CMA1",-5.83837373367362
"FABP6",7.3707494000177
"CA7",-7.15117949098231
"TRIB3",3.73922472445877
"CPNE7",5.7928896588171
"LYVE1",-5.38460490307001
"NFE2L3P2",2.20294146033517
"SULT2B1",4.4127677097124
"MDFI",3.43409222757565
"VWA2",4.43686865675078
"SLCO4A1",3.64495677807519
"FGFBP2",-4.31719367358926
"SDPR",-3.78776392746022
"ANGPTL7",-6.45106073536239
"AFF3",-3.84196074053308
"PDX1",4.61916262500069
"NLGN1",-5.25575917231402
"CEP72",2.33241500559768
"TMEM206",1.59479264468769
"SCN7A",-7.2604160668067
"CST1",7.76421834511891
"C6orf223",4.6738671331619
"DPP6",-6.45652146126179
"RYR3",-3.51419036947958
"ZSWIM4",1.91952203557107
"VSTM2A",-6.29428247608254
"PPAP2A",-1.85798617775213
"GNG7",-3.16112852469606
"SPIB",-5.52234666169245
"LRP8",2.87423767417674
"GRIK3",-4.27012056406159
"PRKG2",-4.2635781358841
"CGREF1",3.36012423043436
"C10orf2",1.65656170578243
"SMPDL3A",-2.81057301532948
"PKIB",-4.52231310325662
"MYOC",-7.25995803892285
"ANGPTL1",-6.40274231807198
"CARD14",3.78315505017427
"GYLTL1B",4.40147517420496
"ENDOD1",-1.98330018122027
"KAT2A",1.76232484060379
"ASPA",-4.84085918998136
"PHOX2B",-5.54613385101195
"GCNT2",-3.78240354663428
"ATP6V1G2",-3.03827312548752
"PRIMA1",-6.09107682491917
"KIAA2022",-4.96646036591997
"FHL1",-3.99543949099807
"PITX2",4.91900668843682
"C2orf88",-4.13597936918821
"NPY2R",-5.3531597475227
"FAM129A",-4.08070083937195
"NKD2",4.65887091689154
"PABPC1L",3.91368888414388
"PDK4",-3.5820011637228
"PKHD1L1",-4.92671386983781
"MPZ",-3.50851413955702
"CA2",-5.91657068053282
"LIFR",-4.10457873591025
"HAND2-AS1",-6.55805847884447
"ATP1A2",-6.65084673961966
"MYLK",-3.98079399903
"TFAP4",1.6075671264023
"CALM1",-1.0890763140547
"RSPO2",-6.00822093871036
"DDX31",1.26375878768629
"MAMDC2",-6.37456960511259
"PYGM",-4.76382541072856
"TPM1",-2.07328091447189
"PLEKHN1",3.72864415656531
"SST",-7.28580773911763
"PPP1R12B",-3.52308997962971
"GLP2R",-4.90723410955934
"SVIL",-2.38286637684353
"RXRG",-4.70148966916004
"CXCL12",-3.4280222678836
"BYSL",1.6452967941253
"NOP2",1.64067413437884
"TMEM100",-4.485217025187
"PDE2A",-3.15592365380912
"DAO",-5.19700123068769
"CBX2",3.6188773412278
"MBNL1-AS1",-3.28204608142481
"POU5F1B",4.2742761564195
"PYCR1",2.03622289527819
"ABI3BP",-4.59705257254794
"METTL1",1.45569540301869
"KCNB1",-4.97108376735015
"MMP7",6.5370270843377
"TCF7",2.16377601389925
"LDB3",-5.12653508424458
"RBFOX3",-5.22887043116983
"NEGR1",-3.81613417069393
"PTGES2-AS1",3.86223646344718
"GNAO1",-4.13955167292728
"NAP1L2",-4.77919157698854
"CADM3",-6.40215947069927
"LMTK3",3.52312499777673
"TESC",4.31628766664583
"ABCG2",-4.622660244114
"GLIPR2",-2.5200350216572
"MAL",-4.62121834488551
"CNR1",-5.33044822422281
"EPHX4",3.93163157972204
"GRHL3",5.15231053890995
"ANK2",-4.20118299599958
"GABRD",3.09013827000284
"HILPDA",2.32080828480501
"FAM135B",-5.29001447942186
"CNTD2",4.62787675321167
"MYOM1",-4.14587450391722
"CFL2",-3.28665996233948
"ENC1",1.80924339576631
"TGFBI",3.21620699890093
"CCNO",4.01398523813417
"RBM20",-3.88069855191992
"CITED2",-1.81186641521832
"ENPP6",-3.58535268780548
"FGL2",-3.56168412567035
"HSPB8",-4.38437710043731
"GSTM5",-3.7334340874778
"SLC7A5",2.98351576135946
"PTN",-3.37012664425859
"PTGS1",-2.98502563259186
"MORN5",-5.80157401872784
"CAV1",-2.77670066462647
"CNTN2",-5.02288666811612
"ANKZF1",1.33525161022285
"SYNPO2",-4.91934300876684
"APLN",3.26016412556709
"TNXB",-4.24720596622353
"COL7A1",4.36488511255618
"GLDN",-4.14972910317151
"C16orf89",-5.27133244400607
"KRT23",7.39044490483729
"SIM2",4.09643679268182
"SYNM",-5.28988884299688
"MRGBP",1.694388465507
"C2orf70",3.53215500711863
"TOMM34",1.99975004194916
"ABCA8",-6.07653658632215
"NPTX1",-5.97807878013805
"ACTR3B",1.47100015214243
"LPP",-2.04912090489312
"SOX9",2.01464630934435
"ORC6",2.43946080762607
